,date,open,high,low,close,volume,average,barCount
0,2024-10-28 09:30:00-04:00,13.66,13.84,13.58,13.7,5557322.0,13.714,8793
1,2024-10-28 09:45:00-04:00,13.7,13.8,13.62,13.63,2969167.0,13.72,5873
2,2024-10-28 10:00:00-04:00,13.63,13.67,13.6,13.64,1064744.0,13.626,2691
3,2024-10-28 10:15:00-04:00,13.64,13.7,13.6,13.69,1307222.0,13.665,2445
4,2024-10-28 10:30:00-04:00,13.69,13.7,13.63,13.7,1329098.0,13.68,2658
5,2024-10-28 10:45:00-04:00,13.7,13.79,13.69,13.75,2186664.0,13.723,3667
6,2024-10-28 11:00:00-04:00,13.75,13.79,13.72,13.78,1168715.0,13.755,2224
7,2024-10-28 11:15:00-04:00,13.78,13.82,13.78,13.82,1547879.0,13.802,2310
8,2024-10-28 11:30:00-04:00,13.82,13.85,13.8,13.82,1876820.0,13.821,3191
9,2024-10-28 11:45:00-04:00,13.83,13.84,13.76,13.81,1263522.0,13.803,1983
10,2024-10-28 12:00:00-04:00,13.81,13.82,13.73,13.77,732580.0,13.772,1528
11,2024-10-28 12:15:00-04:00,13.76,13.77,13.75,13.77,513554.0,13.762,1047
12,2024-10-28 12:30:00-04:00,13.77,13.77,13.68,13.76,1053181.0,13.727,2638
13,2024-10-28 12:45:00-04:00,13.76,13.76,13.71,13.73,421473.0,13.742,1049
14,2024-10-28 13:00:00-04:00,13.73,13.75,13.7,13.72,249891.0,13.722,666
15,2024-10-28 13:15:00-04:00,13.73,13.75,13.71,13.73,327698.0,13.734,855
16,2024-10-28 13:30:00-04:00,13.73,13.74,13.72,13.73,368093.0,13.729,751
17,2024-10-28 13:45:00-04:00,13.74,13.74,13.66,13.69,708829.0,13.695,1172
18,2024-10-28 14:00:00-04:00,13.69,13.7,13.65,13.66,485749.0,13.67,1046
19,2024-10-28 14:15:00-04:00,13.65,13.66,13.62,13.63,493039.0,13.636,1161
20,2024-10-28 14:30:00-04:00,13.63,13.65,13.59,13.62,856872.0,13.626,1794
21,2024-10-28 14:45:00-04:00,13.62,13.65,13.56,13.58,787628.0,13.604,1800
22,2024-10-28 15:00:00-04:00,13.59,13.63,13.58,13.61,533182.0,13.605,1135
23,2024-10-28 15:15:00-04:00,13.61,13.64,13.6,13.63,433268.0,13.621,1120
24,2024-10-28 15:30:00-04:00,13.63,13.68,13.62,13.66,936662.0,13.656,2091
25,2024-10-28 15:45:00-04:00,13.66,13.66,13.59,13.61,3007880.0,13.626,6626
26,2024-10-29 09:30:00-04:00,13.38,13.58,13.28,13.57,1721664.0,13.433,4308
27,2024-10-29 09:45:00-04:00,13.57,13.68,13.56,13.59,1213542.0,13.614,3540
28,2024-10-29 10:00:00-04:00,13.59,13.71,13.58,13.68,1680963.0,13.673,3094
29,2024-10-29 10:15:00-04:00,13.68,13.71,13.62,13.67,915857.0,13.676,2052
30,2024-10-29 10:30:00-04:00,13.67,13.71,13.66,13.67,625936.0,13.689,1451
31,2024-10-29 10:45:00-04:00,13.66,13.74,13.66,13.74,1506209.0,13.71,1673
32,2024-10-29 11:00:00-04:00,13.73,13.74,13.69,13.71,854189.0,13.722,2062
33,2024-10-29 11:15:00-04:00,13.71,13.72,13.66,13.68,592794.0,13.687,1335
34,2024-10-29 11:30:00-04:00,13.68,13.75,13.65,13.74,770264.0,13.696,1546
35,2024-10-29 11:45:00-04:00,13.74,13.75,13.7,13.7,626282.0,13.733,1384
36,2024-10-29 12:00:00-04:00,13.71,13.72,13.69,13.7,287884.0,13.707,834
37,2024-10-29 12:15:00-04:00,13.71,13.71,13.63,13.64,512852.0,13.669,1169
38,2024-10-29 12:30:00-04:00,13.63,13.66,13.6,13.65,821369.0,13.631,1977
39,2024-10-29 12:45:00-04:00,13.66,13.71,13.65,13.71,538271.0,13.685,1218
40,2024-10-29 13:00:00-04:00,13.71,13.76,13.7,13.76,960710.0,13.734,1489
41,2024-10-29 13:15:00-04:00,13.76,13.82,13.71,13.82,1721583.0,13.769,1934
42,2024-10-29 13:30:00-04:00,13.82,13.83,13.78,13.8,650244.0,13.806,1468
43,2024-10-29 13:45:00-04:00,13.8,13.85,13.8,13.85,522784.0,13.824,1047
44,2024-10-29 14:00:00-04:00,13.84,13.86,13.8,13.81,750290.0,13.838,1189
45,2024-10-29 14:15:00-04:00,13.82,13.83,13.79,13.82,553307.0,13.815,1152
46,2024-10-29 14:30:00-04:00,13.83,13.83,13.77,13.82,993307.0,13.806,1840
47,2024-10-29 14:45:00-04:00,13.81,13.82,13.76,13.79,357484.0,13.792,1024
48,2024-10-29 15:00:00-04:00,13.79,13.81,13.75,13.8,698001.0,13.777,1553
49,2024-10-29 15:15:00-04:00,13.81,13.85,13.8,13.85,797525.0,13.828,1861
50,2024-10-29 15:30:00-04:00,13.85,13.86,13.83,13.85,722886.0,13.846,1635
51,2024-10-29 15:45:00-04:00,13.85,13.86,13.79,13.82,2646773.0,13.823,5996
52,2024-10-30 09:30:00-04:00,13.66,13.82,13.61,13.75,1444337.0,13.708,2606
53,2024-10-30 09:45:00-04:00,13.75,13.81,13.73,13.74,534344.0,13.778,1380
54,2024-10-30 10:00:00-04:00,13.74,13.8,13.72,13.76,655771.0,13.752,1438
55,2024-10-30 10:15:00-04:00,13.76,13.8,13.74,13.79,567982.0,13.777,1291
56,2024-10-30 10:30:00-04:00,13.79,13.83,13.78,13.79,554445.0,13.808,1179
57,2024-10-30 10:45:00-04:00,13.79,13.81,13.72,13.75,789253.0,13.756,1439
58,2024-10-30 11:00:00-04:00,13.76,13.78,13.73,13.77,472274.0,13.757,1111
59,2024-10-30 11:15:00-04:00,13.77,13.8,13.76,13.77,540798.0,13.78,1227
60,2024-10-30 11:30:00-04:00,13.77,13.81,13.75,13.81,759234.0,13.782,1404
61,2024-10-30 11:45:00-04:00,13.81,13.83,13.8,13.83,702926.0,13.809,1186
62,2024-10-30 12:00:00-04:00,13.83,13.88,13.82,13.87,687307.0,13.849,1416
63,2024-10-30 12:15:00-04:00,13.87,13.87,13.84,13.86,461278.0,13.854,1138
64,2024-10-30 12:30:00-04:00,13.86,13.87,13.84,13.87,512341.0,13.854,1156
65,2024-10-30 12:45:00-04:00,13.87,13.92,13.86,13.88,843355.0,13.893,1232
66,2024-10-30 13:00:00-04:00,13.88,13.95,13.88,13.9,745538.0,13.915,1202
67,2024-10-30 13:15:00-04:00,13.9,13.96,13.89,13.95,648329.0,13.931,991
68,2024-10-30 13:30:00-04:00,13.95,13.95,13.9,13.94,655724.0,13.929,960
69,2024-10-30 13:45:00-04:00,13.94,13.96,13.92,13.96,350205.0,13.94,703
70,2024-10-30 14:00:00-04:00,13.96,13.99,13.95,13.99,669691.0,13.97,1432
71,2024-10-30 14:15:00-04:00,13.99,13.99,13.95,13.96,943050.0,13.98,1370
72,2024-10-30 14:30:00-04:00,13.96,13.96,13.9,13.92,474154.0,13.932,903
73,2024-10-30 14:45:00-04:00,13.92,13.92,13.9,13.91,282667.0,13.913,539
74,2024-10-30 15:00:00-04:00,13.91,13.94,13.87,13.94,428959.0,13.899,957
75,2024-10-30 15:15:00-04:00,13.94,13.96,13.93,13.95,457322.0,13.942,1199
76,2024-10-30 15:30:00-04:00,13.95,13.96,13.89,13.91,809829.0,13.919,1713
77,2024-10-30 15:45:00-04:00,13.91,13.95,13.89,13.94,2413920.0,13.93,5658
78,2024-10-31 09:30:00-04:00,13.79,13.89,13.78,13.79,1486044.0,13.814,2376
79,2024-10-31 09:45:00-04:00,13.79,13.79,13.7,13.75,931727.0,13.744,1716
80,2024-10-31 10:00:00-04:00,13.75,13.76,13.67,13.74,1479372.0,13.716,2654
81,2024-10-31 10:15:00-04:00,13.74,13.76,13.6,13.61,1079580.0,13.692,2834
82,2024-10-31 10:30:00-04:00,13.62,13.66,13.58,13.63,736931.0,13.624,1731
83,2024-10-31 10:45:00-04:00,13.62,13.64,13.52,13.54,1461227.0,13.569,2655
84,2024-10-31 11:00:00-04:00,13.53,13.55,13.51,13.53,493263.0,13.529,1249
85,2024-10-31 11:15:00-04:00,13.52,13.57,13.46,13.46,1279749.0,13.519,2028
86,2024-10-31 11:30:00-04:00,13.46,13.53,13.45,13.52,1190764.0,13.492,2119
87,2024-10-31 11:45:00-04:00,13.51,13.57,13.5,13.57,905906.0,13.527,2027
88,2024-10-31 12:00:00-04:00,13.57,13.61,13.56,13.6,826298.0,13.593,1650
89,2024-10-31 12:15:00-04:00,13.6,13.6,13.56,13.58,574265.0,13.581,1202
90,2024-10-31 12:30:00-04:00,13.57,13.63,13.57,13.63,601322.0,13.595,1315
91,2024-10-31 12:45:00-04:00,13.63,13.67,13.59,13.61,403014.0,13.634,863
92,2024-10-31 13:00:00-04:00,13.61,13.61,13.57,13.58,239036.0,13.588,667
