,date,open,high,low,close,volume,average,barCount
0,2019-11-29,28.92,29.27,28.66,28.74,2355093.0,29.002,11622
1,2019-12-02,28.79,29.0,28.01,28.08,5303201.0,28.357,26138
2,2019-12-03,27.73,27.77,26.96,27.29,6375760.0,27.285,32374
3,2019-12-04,27.42,27.76,27.22,27.38,3518913.0,27.559,18632
4,2019-12-05,27.46,27.57,27.05,27.24,4001850.0,27.195,19582
5,2019-12-06,27.5,27.96,27.47,27.73,5010113.0,27.718,23624
6,2019-12-09,27.62,27.83,27.45,27.49,3350726.0,27.609,16051
7,2019-12-10,27.55,27.63,26.9,27.0,6268017.0,27.17,28064
8,2019-12-11,27.03,27.1,26.68,26.86,4626758.0,26.888,21921
9,2019-12-12,27.09,28.02,26.95,27.72,7837516.0,27.732,38207
10,2019-12-13,27.93,28.13,27.36,27.48,4560109.0,27.583,24471
11,2019-12-16,27.62,28.35,27.6,27.92,5396891.0,28.107,25165
12,2019-12-17,27.96,28.48,27.86,28.28,4743641.0,28.298,22738
13,2019-12-18,28.35,28.57,27.93,28.0,3570611.0,28.123,17442
14,2019-12-19,28.0,28.57,27.93,28.55,5064012.0,28.377,24903
15,2019-12-20,28.67,29.05,28.49,29.04,7527804.0,28.827,31178
16,2019-12-23,29.23,29.72,29.2,29.3,6534799.0,29.488,35394
17,2019-12-24,29.32,29.43,29.1,29.18,2004812.0,29.27,10783
18,2019-12-26,29.32,29.71,29.26,29.67,3938622.0,29.522,19755
19,2019-12-27,29.76,29.81,28.36,28.44,7036927.0,28.689,30999
20,2019-12-30,28.5,28.54,28.06,28.3,3885637.0,28.3,18836
21,2019-12-31,28.2,28.79,28.19,28.68,3442707.0,28.581,17710
22,2020-01-02,28.98,29.3,28.65,29.09,4723919.0,28.945,22181
23,2020-01-03,28.29,28.29,27.34,27.65,12008342.0,27.762,52663
24,2020-01-06,27.19,27.5,27.08,27.32,4769959.0,27.308,21805
25,2020-01-07,27.56,27.68,27.06,27.22,5008563.0,27.303,22322
26,2020-01-08,27.1,28.09,27.07,27.84,8956666.0,27.704,37357
27,2020-01-09,28.09,28.23,27.71,27.95,5695744.0,27.967,24219
