,date,open,high,low,close,volume,average,barCount
0,2024-10-07 09:30:00-04:00,224.49,225.11,224.05,224.84,2461099.0,224.63,7599
1,2024-10-07 09:45:00-04:00,224.86,225.41,224.73,225.06,961066.0,225.066,4708
2,2024-10-07 10:00:00-04:00,225.03,225.54,224.42,225.08,1465291.0,224.994,5809
3,2024-10-07 10:15:00-04:00,225.1,225.53,224.94,225.32,729077.0,225.283,3063
4,2024-10-07 10:30:00-04:00,225.31,225.69,225.17,225.41,554725.0,225.447,2719
5,2024-10-07 10:45:00-04:00,225.42,225.53,225.04,225.31,534971.0,225.271,2711
6,2024-10-07 11:00:00-04:00,225.31,225.31,224.48,224.92,793331.0,224.781,3526
7,2024-10-07 11:15:00-04:00,224.92,225.15,224.8,225.08,365929.0,225.012,2219
8,2024-10-07 11:30:00-04:00,225.07,225.28,224.75,224.84,432983.0,225.02,2036
9,2024-10-07 11:45:00-04:00,224.82,224.97,224.71,224.89,370692.0,224.823,1826
10,2024-10-07 12:00:00-04:00,224.89,224.93,224.07,224.57,754675.0,224.504,2966
11,2024-10-07 12:15:00-04:00,224.57,224.83,224.24,224.26,401796.0,224.644,1873
12,2024-10-07 12:30:00-04:00,224.25,224.42,224.06,224.16,404406.0,224.234,1874
13,2024-10-07 12:45:00-04:00,224.17,224.18,223.89,223.96,572141.0,224.013,2322
14,2024-10-07 13:00:00-04:00,223.96,224.57,223.95,224.28,488656.0,224.261,1862
15,2024-10-07 13:15:00-04:00,224.3,224.42,223.81,223.81,460272.0,224.06,2056
16,2024-10-07 13:30:00-04:00,223.82,224.06,223.71,223.77,400319.0,223.88,1807
17,2024-10-07 13:45:00-04:00,223.77,223.87,223.4,223.86,612831.0,223.617,2523
18,2024-10-07 14:00:00-04:00,223.86,223.93,223.55,223.69,352628.0,223.698,1751
19,2024-10-07 14:15:00-04:00,223.68,223.99,223.64,223.75,407643.0,223.811,2033
20,2024-10-07 14:30:00-04:00,223.73,223.73,222.76,223.06,1006376.0,223.17,4788
21,2024-10-07 14:45:00-04:00,223.08,223.15,222.23,222.33,1067967.0,222.521,4412
22,2024-10-07 15:00:00-04:00,222.32,222.79,222.22,222.58,588858.0,222.576,2925
23,2024-10-07 15:15:00-04:00,222.58,222.79,222.43,222.56,625852.0,222.591,3068
24,2024-10-07 15:30:00-04:00,222.56,222.63,222.16,222.21,958237.0,222.348,3821
25,2024-10-07 15:45:00-04:00,222.22,222.58,221.33,221.72,2634070.0,221.859,13690
26,2024-10-08 09:30:00-04:00,224.3,224.54,223.25,224.21,2311130.0,224.144,8770
27,2024-10-08 09:45:00-04:00,224.21,225.17,223.74,225.07,1327267.0,224.693,6090
28,2024-10-08 10:00:00-04:00,225.08,225.88,224.62,224.69,1422956.0,225.288,6876
29,2024-10-08 10:15:00-04:00,224.68,225.1,224.54,224.9,806618.0,224.772,3721
30,2024-10-08 10:30:00-04:00,224.9,225.76,224.8,225.61,877178.0,225.279,4315
31,2024-10-08 10:45:00-04:00,225.59,225.97,224.91,225.04,928273.0,225.398,4260
32,2024-10-08 11:00:00-04:00,225.05,225.24,224.7,224.89,488984.0,224.884,2439
33,2024-10-08 11:15:00-04:00,224.89,225.35,224.66,225.33,478017.0,225.011,2491
34,2024-10-08 11:30:00-04:00,225.34,225.47,225.07,225.41,485220.0,225.264,2202
35,2024-10-08 11:45:00-04:00,225.41,225.6,225.21,225.35,439470.0,225.4,2174
36,2024-10-08 12:00:00-04:00,225.34,225.35,224.82,225.04,443752.0,225.034,2003
37,2024-10-08 12:15:00-04:00,225.05,225.23,224.74,224.82,296813.0,224.991,1438
38,2024-10-08 12:30:00-04:00,224.83,225.01,224.71,224.71,268253.0,224.844,1396
39,2024-10-08 12:45:00-04:00,224.72,224.83,224.57,224.71,274469.0,224.667,1428
40,2024-10-08 13:00:00-04:00,224.69,224.75,224.22,224.7,402700.0,224.508,2127
41,2024-10-08 13:15:00-04:00,224.7,224.8,224.42,224.74,302704.0,224.619,1555
42,2024-10-08 13:30:00-04:00,224.74,224.98,224.7,224.75,303126.0,224.846,1572
43,2024-10-08 13:45:00-04:00,224.77,224.99,224.66,224.96,245797.0,224.833,1386
44,2024-10-08 14:00:00-04:00,224.96,225.12,224.87,224.98,310783.0,224.993,1854
45,2024-10-08 14:15:00-04:00,224.98,225.12,224.92,224.93,249493.0,225.035,1416
46,2024-10-08 14:30:00-04:00,224.92,225.31,224.77,224.97,450195.0,225.016,2193
47,2024-10-08 14:45:00-04:00,224.98,225.44,224.94,225.34,386483.0,225.168,2100
48,2024-10-08 15:00:00-04:00,225.32,225.59,225.1,225.3,466893.0,225.419,2564
49,2024-10-08 15:15:00-04:00,225.3,225.42,225.1,225.27,634840.0,225.269,3075
50,2024-10-08 15:30:00-04:00,225.27,225.59,225.23,225.41,953860.0,225.437,3305
51,2024-10-08 15:45:00-04:00,225.4,225.98,225.36,225.78,1759067.0,225.717,8628
52,2024-10-09 09:30:00-04:00,225.31,226.39,224.83,225.75,1960345.0,225.537,6855
53,2024-10-09 09:45:00-04:00,225.74,226.49,225.7,226.15,846347.0,226.159,4158
54,2024-10-09 10:00:00-04:00,226.15,226.58,225.83,226.06,993196.0,226.316,3697
55,2024-10-09 10:15:00-04:00,226.06,227.17,225.82,227.1,1483247.0,226.572,4047
56,2024-10-09 10:30:00-04:00,227.1,227.68,226.97,227.56,866489.0,227.424,4289
57,2024-10-09 10:45:00-04:00,227.57,227.8,227.2,227.65,847733.0,227.469,4387
58,2024-10-09 11:00:00-04:00,227.66,228.23,227.64,228.17,944730.0,227.949,4693
59,2024-10-09 11:15:00-04:00,228.17,228.29,227.82,228.19,621706.0,228.068,3119
60,2024-10-09 11:30:00-04:00,228.21,228.56,228.1,228.46,781825.0,228.363,3217
61,2024-10-09 11:45:00-04:00,228.46,228.63,228.32,228.42,548845.0,228.489,2452
62,2024-10-09 12:00:00-04:00,228.43,228.51,228.08,228.32,478550.0,228.287,2354
63,2024-10-09 12:15:00-04:00,228.32,228.71,228.19,228.71,476933.0,228.484,1918
64,2024-10-09 12:30:00-04:00,228.72,229.04,228.66,228.85,721516.0,228.858,3067
65,2024-10-09 12:45:00-04:00,228.85,228.99,228.52,228.65,435425.0,228.755,2037
66,2024-10-09 13:00:00-04:00,228.64,228.82,228.56,228.79,274440.0,228.677,1476
67,2024-10-09 13:15:00-04:00,228.79,228.99,228.75,228.86,291183.0,228.859,1446
68,2024-10-09 13:30:00-04:00,228.84,229.0,228.64,228.67,371935.0,228.797,1787
69,2024-10-09 13:45:00-04:00,228.67,228.73,228.02,228.5,469596.0,228.473,2210
70,2024-10-09 14:00:00-04:00,228.51,228.79,228.41,228.73,313751.0,228.639,1491
71,2024-10-09 14:15:00-04:00,228.72,229.67,228.64,229.64,886289.0,229.135,3500
72,2024-10-09 14:30:00-04:00,229.63,229.63,229.17,229.51,624055.0,229.367,2903
