date,open,high,low,close,volume,average,barCount
2022-11-07 09:30:00-05:00,137.11,138.22,135.74,136.31,7310795.0,136.773,29919
2022-11-07 09:45:00-05:00,136.31,136.5,135.67,136.28,4041259.0,136.108,17835
2022-11-07 10:00:00-05:00,136.28,137.07,136.07,136.95,3627004.0,136.694,16339
2022-11-07 10:15:00-05:00,136.95,137.58,136.55,136.69,2963188.0,137.056,12398
2022-11-07 10:30:00-05:00,136.7,136.75,136.25,136.51,2286046.0,136.493,9855
2022-11-07 10:45:00-05:00,136.52,137.05,136.22,136.99,2369355.0,136.696,11138
2022-11-07 11:00:00-05:00,137.0,137.3,136.58,136.75,2809580.0,136.939,12875
2022-11-07 11:15:00-05:00,136.76,137.8,136.75,137.64,2646012.0,137.308,11921
2022-11-07 11:30:00-05:00,137.63,137.82,136.87,136.9,2398096.0,137.463,10338
2022-11-07 11:45:00-05:00,136.9,137.0,136.38,136.42,1769934.0,136.7,7285
2022-11-07 12:00:00-05:00,136.42,137.21,136.25,137.04,1808382.0,136.768,7290
2022-11-07 12:15:00-05:00,137.05,137.35,136.73,137.32,1551813.0,137.094,6062
2022-11-07 12:30:00-05:00,137.33,137.62,137.26,137.4,1469188.0,137.461,6230
2022-11-07 12:45:00-05:00,137.39,137.51,137.02,137.31,1368259.0,137.207,4931
2022-11-07 13:00:00-05:00,137.31,137.65,137.29,137.45,1395382.0,137.494,5295
2022-11-07 13:15:00-05:00,137.46,137.53,136.93,137.1,1561204.0,137.184,5649
2022-11-07 13:30:00-05:00,137.1,137.19,136.84,136.95,1333859.0,136.979,5042
2022-11-07 13:45:00-05:00,136.96,137.38,136.87,137.35,1361624.0,137.087,6196
2022-11-07 14:00:00-05:00,137.35,137.79,137.35,137.76,1564808.0,137.537,6602
2022-11-07 14:15:00-05:00,137.76,138.31,137.76,138.26,2048657.0,138.122,8192
2022-11-07 14:30:00-05:00,138.25,138.84,138.24,138.67,2505393.0,138.58,9462
2022-11-07 14:45:00-05:00,138.67,138.76,138.08,138.16,1895258.0,138.451,8719
2022-11-07 15:00:00-05:00,138.17,138.48,137.71,138.46,2333140.0,138.118,9975
2022-11-07 15:15:00-05:00,138.46,138.88,138.42,138.77,2242236.0,138.677,10030
2022-11-07 15:30:00-05:00,138.77,139.01,138.61,138.92,2163739.0,138.798,9055
2022-11-07 15:45:00-05:00,138.92,139.15,138.69,138.96,4230088.0,138.933,20952
2022-11-08 09:30:00-05:00,140.4,140.49,138.78,139.15,4605767.0,139.424,18394
2022-11-08 09:45:00-05:00,139.16,139.5,138.44,139.16,3203557.0,138.983,13419
2022-11-08 10:00:00-05:00,139.16,139.21,138.04,138.24,3317361.0,138.531,13947
2022-11-08 10:15:00-05:00,138.23,138.73,138.1,138.44,2599898.0,138.426,10721
2022-11-08 10:30:00-05:00,138.45,139.41,138.38,139.32,2289198.0,138.863,8719
2022-11-08 10:45:00-05:00,139.32,139.52,139.05,139.49,2055025.0,139.295,7813
2022-11-08 11:00:00-05:00,139.49,139.98,139.2,139.94,2019788.0,139.546,7823
