,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,144.83,145.26,143.79,144.53,6092.0,144.525,30
1,2024-10-10 09:45:00-04:00,144.7,145.22,144.46,144.65,7967.0,144.789,46
2,2024-10-10 10:00:00-04:00,144.86,145.18,144.81,145.11,4330.0,144.987,42
3,2024-10-10 10:15:00-04:00,145.06,145.14,144.76,144.9,4987.0,144.935,47
4,2024-10-10 10:30:00-04:00,144.75,145.14,144.38,144.4,10007.0,144.928,87
5,2024-10-10 10:45:00-04:00,144.37,144.48,144.12,144.2,7817.0,144.289,75
6,2024-10-10 11:00:00-04:00,144.2,144.4,143.94,144.26,14227.0,144.262,76
7,2024-10-10 11:15:00-04:00,144.33,144.4,144.0,144.3,11457.0,144.196,102
8,2024-10-10 11:30:00-04:00,144.4,144.53,144.19,144.53,5223.0,144.36,51
9,2024-10-10 11:45:00-04:00,144.45,144.71,144.25,144.25,4479.0,144.447,44
10,2024-10-10 12:00:00-04:00,144.33,144.52,144.28,144.37,3500.0,144.383,35
11,2024-10-10 12:15:00-04:00,144.4,144.48,144.28,144.34,3274.0,144.405,32
12,2024-10-10 12:30:00-04:00,144.4,144.64,144.17,144.18,10048.0,144.46,61
13,2024-10-10 12:45:00-04:00,144.17,144.48,144.0,144.48,5968.0,144.131,40
14,2024-10-10 13:00:00-04:00,144.45,144.48,144.25,144.42,4474.0,144.344,34
15,2024-10-10 13:15:00-04:00,144.58,144.86,144.58,144.73,600.0,144.713,6
16,2024-10-10 13:30:00-04:00,144.86,144.95,144.62,144.71,5624.0,144.785,35
17,2024-10-10 13:45:00-04:00,144.71,144.71,144.31,144.52,4201.0,144.459,32
18,2024-10-10 14:00:00-04:00,144.47,144.47,144.24,144.3,11823.0,144.309,69
19,2024-10-10 14:15:00-04:00,144.37,144.44,144.07,144.15,8094.0,144.261,49
20,2024-10-10 14:30:00-04:00,144.11,144.11,143.66,143.97,6925.0,143.931,64
21,2024-10-10 14:45:00-04:00,144.03,144.24,144.03,144.24,47913.0,144.109,30
22,2024-10-10 15:00:00-04:00,144.22,144.38,144.22,144.24,4597.0,144.286,45
23,2024-10-10 15:15:00-04:00,144.24,144.57,144.24,144.52,2955.0,144.464,25
24,2024-10-10 15:30:00-04:00,144.59,144.59,144.36,144.5,9432.0,144.486,78
25,2024-10-10 15:45:00-04:00,144.53,144.8,144.31,144.65,67309.0,144.554,553
26,2024-10-11 09:30:00-04:00,144.63,146.63,144.63,145.41,18219.0,145.594,115
27,2024-10-11 09:45:00-04:00,145.65,146.27,145.49,146.27,3751.0,145.825,36
28,2024-10-11 10:00:00-04:00,146.12,146.64,145.81,146.25,40902.0,146.434,222
29,2024-10-11 10:15:00-04:00,146.24,146.69,146.24,146.45,12419.0,146.37,62
30,2024-10-11 10:30:00-04:00,146.54,146.55,146.22,146.22,5808.0,146.396,49
31,2024-10-11 10:45:00-04:00,146.33,146.38,146.08,146.28,12024.0,146.333,70
32,2024-10-11 11:00:00-04:00,146.17,146.51,146.17,146.5,20936.0,146.369,144
33,2024-10-11 11:15:00-04:00,146.61,146.69,146.5,146.69,4920.0,146.577,40
34,2024-10-11 11:30:00-04:00,146.73,147.08,146.68,146.79,9265.0,146.843,53
35,2024-10-11 11:45:00-04:00,146.84,146.86,146.43,146.43,21814.0,146.547,133
36,2024-10-11 12:00:00-04:00,146.49,146.5,146.0,146.4,10943.0,146.249,93
37,2024-10-11 12:15:00-04:00,146.43,146.47,146.27,146.29,2960.0,146.365,23
38,2024-10-11 12:30:00-04:00,146.3,146.47,146.2,146.3,6501.0,146.298,40
39,2024-10-11 12:45:00-04:00,146.33,146.61,146.0,146.61,33617.0,146.263,126
40,2024-10-11 13:00:00-04:00,146.67,146.8,146.46,146.5,13713.0,146.571,34
41,2024-10-11 13:15:00-04:00,146.53,146.58,146.4,146.45,13919.0,146.464,27
42,2024-10-11 13:30:00-04:00,146.52,146.66,146.39,146.66,20199.0,146.47,94
43,2024-10-11 13:45:00-04:00,146.66,146.76,146.64,146.73,9391.0,146.685,66
44,2024-10-11 14:00:00-04:00,146.74,146.74,146.57,146.62,4938.0,146.644,41
45,2024-10-11 14:15:00-04:00,146.63,146.63,146.48,146.48,4838.0,146.544,39
46,2024-10-11 14:30:00-04:00,146.5,146.62,146.39,146.45,5463.0,146.517,45
47,2024-10-11 14:45:00-04:00,146.45,146.73,146.44,146.61,24745.0,146.511,92
48,2024-10-11 15:00:00-04:00,146.68,147.0,146.68,146.93,7626.0,146.829,63
49,2024-10-11 15:15:00-04:00,146.95,147.06,146.84,146.86,7726.0,146.957,64
50,2024-10-11 15:30:00-04:00,146.88,147.23,146.8,147.12,12836.0,147.06,106
51,2024-10-11 15:45:00-04:00,147.11,147.4,146.89,147.27,81294.0,147.146,629
52,2024-10-14 09:30:00-04:00,147.13,147.13,146.21,146.34,10113.0,146.711,50
53,2024-10-14 09:45:00-04:00,146.09,147.5,146.09,146.87,15593.0,146.787,93
54,2024-10-14 10:00:00-04:00,146.69,147.78,146.69,147.45,17055.0,147.279,144
55,2024-10-14 10:15:00-04:00,147.53,147.61,147.13,147.33,17985.0,147.309,122
56,2024-10-14 10:30:00-04:00,147.38,147.94,147.36,147.93,6158.0,147.705,59
57,2024-10-14 10:45:00-04:00,147.84,148.28,147.75,148.21,16617.0,148.074,64
58,2024-10-14 11:00:00-04:00,148.22,148.4,147.96,148.27,4610.0,148.199,43
59,2024-10-14 11:15:00-04:00,148.31,148.55,147.96,148.07,11155.0,148.276,93
60,2024-10-14 11:30:00-04:00,147.99,148.54,147.98,148.54,7709.0,148.264,74
61,2024-10-14 11:45:00-04:00,148.48,148.64,148.42,148.54,5720.0,148.536,52
62,2024-10-14 12:00:00-04:00,148.53,148.89,148.48,148.84,16636.0,148.648,106
63,2024-10-14 12:15:00-04:00,148.81,148.97,148.47,148.94,17265.0,148.735,76
64,2024-10-14 12:30:00-04:00,148.86,148.87,148.28,148.61,16521.0,148.551,134
65,2024-10-14 12:45:00-04:00,148.56,148.78,148.56,148.74,4555.0,148.674,38
