,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,167.63,168.28,166.95,167.57,11593.0,167.622,42
1,2024-10-10 09:45:00-04:00,167.05,168.05,167.05,167.86,6276.0,167.326,53
2,2024-10-10 10:00:00-04:00,167.4,168.14,167.29,168.1,5350.0,167.811,43
3,2024-10-10 10:15:00-04:00,167.83,168.31,167.73,167.73,6556.0,168.067,41
4,2024-10-10 10:30:00-04:00,167.91,168.21,167.91,168.21,3270.0,168.106,27
5,2024-10-10 10:45:00-04:00,168.04,168.12,167.8,167.89,9362.0,168.035,38
6,2024-10-10 11:00:00-04:00,167.95,168.42,167.9,168.42,30562.0,168.188,123
7,2024-10-10 11:15:00-04:00,168.34,168.61,168.33,168.61,2793.0,168.481,23
8,2024-10-10 11:30:00-04:00,168.46,168.71,168.43,168.71,4695.0,168.594,29
9,2024-10-10 11:45:00-04:00,168.68,168.86,168.57,168.63,4781.0,168.7,36
10,2024-10-10 12:00:00-04:00,168.72,168.84,168.61,168.84,4257.0,168.727,34
11,2024-10-10 12:15:00-04:00,168.87,168.92,168.74,168.79,6147.0,168.819,53
12,2024-10-10 12:30:00-04:00,168.84,168.94,168.62,168.67,13653.0,168.811,117
13,2024-10-10 12:45:00-04:00,168.61,168.71,168.53,168.71,3464.0,168.633,24
14,2024-10-10 13:00:00-04:00,168.74,168.74,168.29,168.33,4019.0,168.551,37
15,2024-10-10 13:15:00-04:00,168.37,168.74,168.37,168.74,4417.0,168.626,26
16,2024-10-10 13:30:00-04:00,168.72,168.75,168.45,168.45,4274.0,168.631,31
17,2024-10-10 13:45:00-04:00,168.56,168.58,168.18,168.38,4730.0,168.359,39
18,2024-10-10 14:00:00-04:00,168.43,168.43,168.26,168.28,3423.0,168.312,31
19,2024-10-10 14:15:00-04:00,168.26,168.33,168.15,168.33,12768.0,168.256,40
20,2024-10-10 14:30:00-04:00,168.3,168.38,168.18,168.25,8942.0,168.285,78
21,2024-10-10 14:45:00-04:00,168.27,168.59,168.27,168.59,7731.0,168.408,69
22,2024-10-10 15:00:00-04:00,168.58,168.62,168.35,168.43,13390.0,168.474,109
23,2024-10-10 15:15:00-04:00,168.43,168.44,168.22,168.3,21762.0,168.308,150
24,2024-10-10 15:30:00-04:00,168.28,168.6,168.27,168.41,54876.0,168.418,376
25,2024-10-10 15:45:00-04:00,168.43,169.15,168.42,168.9,136769.0,168.935,791
26,2024-10-11 09:30:00-04:00,169.04,170.65,169.04,169.55,18270.0,169.455,75
27,2024-10-11 09:45:00-04:00,169.86,170.28,169.58,169.9,10478.0,169.945,89
28,2024-10-11 10:00:00-04:00,169.87,170.75,169.81,170.69,23202.0,170.304,142
29,2024-10-11 10:15:00-04:00,170.7,171.26,170.68,171.11,30999.0,170.918,182
30,2024-10-11 10:30:00-04:00,171.15,171.15,170.76,170.84,10021.0,170.929,84
31,2024-10-11 10:45:00-04:00,170.84,171.18,170.8,171.09,8816.0,170.965,72
32,2024-10-11 11:00:00-04:00,171.09,171.11,170.91,171.11,7725.0,170.998,65
33,2024-10-11 11:15:00-04:00,171.08,171.15,170.82,170.87,6030.0,170.985,52
34,2024-10-11 11:30:00-04:00,170.83,171.19,170.83,171.09,17030.0,171.054,145
35,2024-10-11 11:45:00-04:00,171.15,171.36,171.1,171.31,12481.0,171.229,111
36,2024-10-11 12:00:00-04:00,171.31,171.58,171.07,171.07,9303.0,171.376,75
37,2024-10-11 12:15:00-04:00,171.06,171.14,170.65,170.66,6029.0,170.898,41
38,2024-10-11 12:30:00-04:00,170.58,170.75,170.58,170.62,6046.0,170.667,51
39,2024-10-11 12:45:00-04:00,170.65,170.75,170.56,170.74,6208.0,170.635,51
40,2024-10-11 13:00:00-04:00,170.72,170.78,170.48,170.53,18239.0,170.654,64
41,2024-10-11 13:15:00-04:00,170.62,170.69,170.53,170.64,5103.0,170.617,45
42,2024-10-11 13:30:00-04:00,170.68,170.83,170.62,170.77,14230.0,170.738,120
43,2024-10-11 13:45:00-04:00,170.81,171.26,170.81,171.03,21627.0,171.012,123
44,2024-10-11 14:00:00-04:00,171.03,171.4,170.91,171.3,16113.0,171.116,59
45,2024-10-11 14:15:00-04:00,171.24,171.31,171.07,171.14,6703.0,171.201,49
46,2024-10-11 14:30:00-04:00,171.14,171.17,170.9,171.0,9934.0,171.012,78
47,2024-10-11 14:45:00-04:00,170.99,171.1,170.89,170.97,19581.0,170.951,138
48,2024-10-11 15:00:00-04:00,170.96,171.29,170.96,171.13,25066.0,171.107,142
49,2024-10-11 15:15:00-04:00,171.17,171.42,171.17,171.26,11612.0,171.302,99
50,2024-10-11 15:30:00-04:00,171.25,171.39,170.87,170.92,22533.0,171.195,188
51,2024-10-11 15:45:00-04:00,170.91,171.01,170.31,170.43,192782.0,170.517,1440
52,2024-10-14 09:30:00-04:00,170.75,170.75,170.21,170.38,47919.0,170.617,40
53,2024-10-14 09:45:00-04:00,170.51,170.78,170.3,170.4,6607.0,170.455,52
54,2024-10-14 10:00:00-04:00,170.63,170.78,170.44,170.45,8832.0,170.618,58
55,2024-10-14 10:15:00-04:00,170.5,170.68,170.44,170.48,4359.0,170.548,37
56,2024-10-14 10:30:00-04:00,170.49,170.66,170.39,170.54,5733.0,170.527,54
57,2024-10-14 10:45:00-04:00,170.48,170.63,170.36,170.49,6153.0,170.529,43
58,2024-10-14 11:00:00-04:00,170.55,170.85,170.41,170.85,9001.0,170.614,78
59,2024-10-14 11:15:00-04:00,170.91,170.92,170.59,170.72,6664.0,170.724,40
60,2024-10-14 11:30:00-04:00,170.72,171.18,170.64,171.13,5189.0,170.883,31
61,2024-10-14 11:45:00-04:00,171.08,171.13,171.01,171.06,1900.0,171.057,19
62,2024-10-14 12:00:00-04:00,171.08,171.12,170.75,170.83,14305.0,171.009,108
63,2024-10-14 12:15:00-04:00,170.84,170.91,170.69,170.83,19833.0,170.787,142
64,2024-10-14 12:30:00-04:00,170.78,170.95,170.49,170.52,104848.0,170.663,336
65,2024-10-14 12:45:00-04:00,170.52,170.57,170.39,170.52,27394.0,170.473,156
66,2024-10-14 13:00:00-04:00,170.48,170.75,170.45,170.66,244657.0,170.606,614
67,2024-10-14 13:15:00-04:00,170.62,170.7,170.57,170.66,50373.0,170.649,341
68,2024-10-14 13:30:00-04:00,170.64,170.64,170.43,170.6,33262.0,170.535,229
69,2024-10-14 13:45:00-04:00,170.6,170.74,170.58,170.61,31453.0,170.626,223
70,2024-10-14 14:00:00-04:00,170.62,170.7,170.42,170.63,205194.0,170.516,688
71,2024-10-14 14:15:00-04:00,170.65,170.89,170.39,170.75,222306.0,170.513,622
72,2024-10-14 14:30:00-04:00,170.74,171.15,170.74,171.08,24851.0,170.996,172
73,2024-10-14 14:45:00-04:00,171.13,171.31,170.82,170.9,27013.0,171.056,192
74,2024-10-14 15:00:00-04:00,170.9,171.0,170.64,170.9,46163.0,170.872,138
75,2024-10-14 15:15:00-04:00,170.83,171.02,170.76,170.84,28187.0,170.898,203
76,2024-10-14 15:30:00-04:00,170.84,170.92,170.69,170.79,25711.0,170.82,214
77,2024-10-14 15:45:00-04:00,170.78,171.71,170.74,171.61,98507.0,171.457,730
78,2024-10-15 09:30:00-04:00,171.96,172.33,171.39,172.06,30994.0,171.912,81
79,2024-10-15 09:45:00-04:00,172.28,173.12,172.28,172.7,19217.0,172.764,137
80,2024-10-15 10:00:00-04:00,172.75,172.84,172.57,172.58,28313.0,172.668,202
81,2024-10-15 10:15:00-04:00,172.66,172.86,172.42,172.5,76491.0,172.73,464
82,2024-10-15 10:30:00-04:00,172.24,172.46,171.85,171.92,25335.0,172.062,135
83,2024-10-15 10:45:00-04:00,171.9,172.1,171.87,171.93,40361.0,171.961,72
