,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,87.0,87.39,86.68,86.93,11622.0,87.021,34
1,2024-10-10 09:45:00-04:00,86.93,87.0,86.44,86.9,8005.0,86.764,71
2,2024-10-10 10:00:00-04:00,86.91,87.13,86.91,87.05,7832.0,87.015,64
3,2024-10-10 10:15:00-04:00,87.08,87.08,86.89,86.95,15579.0,87.005,122
4,2024-10-10 10:30:00-04:00,86.99,87.05,86.85,86.9,14743.0,86.942,103
5,2024-10-10 10:45:00-04:00,86.88,86.9,86.7,86.73,10505.0,86.782,101
6,2024-10-10 11:00:00-04:00,86.7,86.98,86.7,86.98,9738.0,86.846,78
7,2024-10-10 11:15:00-04:00,86.94,86.99,86.93,86.95,6134.0,86.953,41
8,2024-10-10 11:30:00-04:00,86.92,87.01,86.9,86.96,5139.0,86.943,41
9,2024-10-10 11:45:00-04:00,87.0,87.03,86.93,86.99,5054.0,86.976,42
10,2024-10-10 12:00:00-04:00,86.99,87.03,86.94,87.03,4853.0,86.993,38
11,2024-10-10 12:15:00-04:00,87.01,87.17,87.0,87.13,5656.0,87.087,43
12,2024-10-10 12:30:00-04:00,87.12,87.14,86.99,87.0,6187.0,87.087,59
13,2024-10-10 12:45:00-04:00,87.03,87.04,86.96,86.97,5889.0,87.008,58
14,2024-10-10 13:00:00-04:00,86.97,87.07,86.92,87.06,14541.0,86.974,103
15,2024-10-10 13:15:00-04:00,87.05,87.29,87.04,87.13,8495.0,87.183,59
16,2024-10-10 13:30:00-04:00,87.13,87.16,86.91,86.92,12130.0,87.071,110
17,2024-10-10 13:45:00-04:00,86.9,86.93,86.73,86.93,6652.0,86.836,51
18,2024-10-10 14:00:00-04:00,86.91,86.91,86.7,86.7,13172.0,86.816,123
19,2024-10-10 14:15:00-04:00,86.67,86.8,86.63,86.8,5751.0,86.709,57
20,2024-10-10 14:30:00-04:00,86.78,86.79,86.61,86.65,7831.0,86.7,68
21,2024-10-10 14:45:00-04:00,86.65,86.72,86.64,86.64,7420.0,86.678,69
22,2024-10-10 15:00:00-04:00,86.66,86.71,86.3,86.3,17690.0,86.525,122
23,2024-10-10 15:15:00-04:00,86.31,86.33,86.2,86.23,19242.0,86.272,164
24,2024-10-10 15:30:00-04:00,86.25,86.3,86.16,86.23,30511.0,86.216,260
25,2024-10-10 15:45:00-04:00,86.21,86.31,86.16,86.25,118944.0,86.244,850
26,2024-10-11 09:30:00-04:00,80.34,83.2,79.5,79.89,263103.0,80.508,1178
27,2024-10-11 09:45:00-04:00,79.94,80.75,79.89,80.6,151366.0,80.222,624
28,2024-10-11 10:00:00-04:00,80.62,81.49,80.5,81.24,74368.0,81.062,456
