,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,214.4,215.85,213.98,213.98,4637.0,214.592,18
1,2024-10-10 09:45:00-04:00,213.81,214.64,213.8,214.06,1932.0,214.219,17
2,2024-10-10 10:00:00-04:00,214.12,214.44,214.08,214.11,3560.0,214.262,25
3,2024-10-10 10:15:00-04:00,214.01,214.01,213.59,213.83,1425.0,213.816,14
4,2024-10-10 10:30:00-04:00,214.03,214.42,214.03,214.35,3187.0,214.24,21
5,2024-10-10 10:45:00-04:00,214.32,214.32,213.96,213.97,4107.0,214.082,29
6,2024-10-10 11:00:00-04:00,213.97,214.72,213.96,214.69,2492.0,214.311,20
7,2024-10-10 11:15:00-04:00,214.73,214.98,214.57,214.6,5368.0,214.787,27
8,2024-10-10 11:30:00-04:00,214.67,214.72,214.6,214.6,2010.0,214.651,16
9,2024-10-10 11:45:00-04:00,214.61,214.61,214.45,214.52,3479.0,214.545,21
10,2024-10-10 12:00:00-04:00,214.72,214.88,214.62,214.81,2680.0,214.753,22
11,2024-10-10 12:15:00-04:00,214.73,214.81,214.64,214.81,6258.0,214.801,7
12,2024-10-10 12:30:00-04:00,214.72,214.84,214.2,214.2,2751.0,214.697,22
13,2024-10-10 12:45:00-04:00,214.17,214.67,214.17,214.43,3030.0,214.341,24
14,2024-10-10 13:00:00-04:00,214.45,214.52,214.19,214.31,4705.0,214.344,36
15,2024-10-10 13:15:00-04:00,214.31,214.91,214.31,214.91,3715.0,214.533,27
16,2024-10-10 13:30:00-04:00,214.82,214.82,214.82,214.82,295.0,214.82,2
17,2024-10-10 13:45:00-04:00,214.81,214.87,214.28,214.73,3403.0,214.541,28
18,2024-10-10 14:00:00-04:00,214.73,214.86,214.71,214.74,1161.0,214.775,8
19,2024-10-10 14:15:00-04:00,214.75,214.9,214.63,214.75,7915.0,214.755,56
20,2024-10-10 14:30:00-04:00,214.72,214.72,214.05,214.05,3214.0,214.439,23
21,2024-10-10 14:45:00-04:00,214.12,214.73,214.1,214.73,4208.0,214.45,37
22,2024-10-10 15:00:00-04:00,214.6,214.63,214.1,214.35,4410.0,214.29,33
23,2024-10-10 15:15:00-04:00,214.24,214.44,214.24,214.25,3450.0,214.328,25
24,2024-10-10 15:30:00-04:00,214.23,214.68,214.22,214.64,7552.0,214.514,65
25,2024-10-10 15:45:00-04:00,214.76,215.23,214.63,215.08,31839.0,214.994,263
26,2024-10-11 09:30:00-04:00,215.3,216.61,215.3,216.31,3992.0,215.704,13
27,2024-10-11 09:45:00-04:00,216.84,216.84,216.44,216.7,6284.0,216.684,54
28,2024-10-11 10:00:00-04:00,216.7,217.5,216.27,217.4,7870.0,216.916,70
29,2024-10-11 10:15:00-04:00,217.41,217.5,217.16,217.17,4500.0,217.405,44
30,2024-10-11 10:30:00-04:00,217.11,217.5,217.09,217.45,3605.0,217.247,32
31,2024-10-11 10:45:00-04:00,217.45,218.33,217.44,218.06,5412.0,217.826,47
32,2024-10-11 11:00:00-04:00,218.03,218.5,217.89,218.5,3000.0,218.141,30
33,2024-10-11 11:15:00-04:00,218.37,218.53,217.9,217.9,5717.0,218.287,45
34,2024-10-11 11:30:00-04:00,217.83,218.46,217.83,218.11,4275.0,218.097,36
35,2024-10-11 11:45:00-04:00,218.05,218.28,218.03,218.22,8673.0,218.16,78
36,2024-10-11 12:00:00-04:00,218.25,218.27,217.14,217.31,4253.0,217.739,36
37,2024-10-11 12:15:00-04:00,217.46,217.49,217.1,217.1,2208.0,217.229,21
38,2024-10-11 12:30:00-04:00,217.03,217.25,216.99,217.18,1889.0,217.121,17
39,2024-10-11 12:45:00-04:00,217.18,217.48,217.0,217.48,3251.0,217.315,26
40,2024-10-11 13:00:00-04:00,217.48,217.73,217.47,217.59,5906.0,217.625,37
41,2024-10-11 13:15:00-04:00,217.72,217.77,217.4,217.74,8959.0,217.56,56
42,2024-10-11 13:30:00-04:00,217.86,218.38,217.85,218.15,3341.0,218.003,31
43,2024-10-11 13:45:00-04:00,218.34,218.37,218.28,218.36,500.0,218.342,5
44,2024-10-11 14:00:00-04:00,218.26,218.4,218.11,218.4,3622.0,218.26,22
45,2024-10-11 14:15:00-04:00,218.35,218.62,218.35,218.51,6266.0,218.485,52
46,2024-10-11 14:30:00-04:00,218.51,218.58,218.02,218.15,7558.0,218.303,67
47,2024-10-11 14:45:00-04:00,218.07,218.07,217.63,217.63,3413.0,217.843,30
48,2024-10-11 15:00:00-04:00,217.67,217.91,217.58,217.91,2257.0,217.714,17
49,2024-10-11 15:15:00-04:00,217.8,218.08,217.8,217.88,1550.0,217.931,15
50,2024-10-11 15:30:00-04:00,217.88,218.01,217.59,217.68,3968.0,217.798,31
51,2024-10-11 15:45:00-04:00,217.68,218.35,217.67,218.04,33746.0,218.145,247
52,2024-10-14 09:30:00-04:00,217.79,218.61,217.0,217.0,2393.0,217.729,5
53,2024-10-14 09:45:00-04:00,217.0,217.0,217.0,217.0,0.0,217.0,0
54,2024-10-14 10:00:00-04:00,218.15,218.36,217.66,217.82,3829.0,218.053,27
