,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,86.77,86.77,86.25,86.38,197251.0,86.593,814
1,2024-10-10 09:45:00-04:00,86.37,86.73,86.0,86.01,103392.0,86.429,630
2,2024-10-10 10:00:00-04:00,86.01,86.27,85.96,86.16,48479.0,86.17,380
3,2024-10-10 10:15:00-04:00,86.18,86.19,86.02,86.05,48378.0,86.123,309
4,2024-10-10 10:30:00-04:00,86.06,86.1,85.89,85.93,93729.0,85.993,493
5,2024-10-10 10:45:00-04:00,85.94,85.96,85.76,85.78,52487.0,85.878,342
6,2024-10-10 11:00:00-04:00,85.8,86.12,85.8,86.08,68822.0,85.981,395
7,2024-10-10 11:15:00-04:00,86.08,86.08,85.84,85.87,33160.0,85.952,260
8,2024-10-10 11:30:00-04:00,85.86,86.0,85.86,85.97,28365.0,85.91,237
9,2024-10-10 11:45:00-04:00,85.96,86.01,85.92,85.95,37449.0,85.96,234
10,2024-10-10 12:00:00-04:00,85.95,86.03,85.85,86.0,51292.0,85.971,177
11,2024-10-10 12:15:00-04:00,86.0,86.05,85.94,85.96,43452.0,85.994,254
12,2024-10-10 12:30:00-04:00,85.96,86.02,85.86,85.89,30377.0,85.956,226
13,2024-10-10 12:45:00-04:00,85.88,85.92,85.84,85.87,41253.0,85.873,278
14,2024-10-10 13:00:00-04:00,85.87,85.88,85.77,85.85,79684.0,85.839,577
15,2024-10-10 13:15:00-04:00,85.87,85.96,85.85,85.94,51182.0,85.912,385
16,2024-10-10 13:30:00-04:00,85.93,85.94,85.84,85.92,50801.0,85.91,363
17,2024-10-10 13:45:00-04:00,85.92,85.95,85.82,85.95,69702.0,85.88,413
18,2024-10-10 14:00:00-04:00,85.95,85.97,85.88,85.95,53894.0,85.925,348
19,2024-10-10 14:15:00-04:00,85.96,85.97,85.87,85.92,100289.0,85.922,692
20,2024-10-10 14:30:00-04:00,85.89,86.0,85.87,85.98,122028.0,85.968,874
21,2024-10-10 14:45:00-04:00,85.98,86.02,85.86,85.9,64514.0,85.946,475
22,2024-10-10 15:00:00-04:00,85.9,86.01,85.84,85.86,339789.0,85.968,1237
23,2024-10-10 15:15:00-04:00,85.86,86.01,85.82,85.92,154213.0,85.942,692
24,2024-10-10 15:30:00-04:00,85.92,86.05,85.89,85.98,126723.0,85.983,867
25,2024-10-10 15:45:00-04:00,85.98,86.22,85.92,86.2,583559.0,86.097,2958
26,2024-10-11 09:30:00-04:00,86.53,86.77,86.19,86.76,153022.0,86.46,410
27,2024-10-11 09:45:00-04:00,86.76,86.92,86.66,86.92,169568.0,86.747,582
28,2024-10-11 10:00:00-04:00,86.93,87.14,86.83,87.0,89663.0,86.978,457
29,2024-10-11 10:15:00-04:00,87.02,87.17,87.01,87.14,72551.0,87.106,458
30,2024-10-11 10:30:00-04:00,87.13,87.18,87.03,87.15,171128.0,87.071,413
31,2024-10-11 10:45:00-04:00,87.16,87.28,87.09,87.25,106157.0,87.189,436
32,2024-10-11 11:00:00-04:00,87.24,87.25,87.06,87.09,49565.0,87.149,272
33,2024-10-11 11:15:00-04:00,87.09,87.15,86.89,86.89,63578.0,87.028,318
34,2024-10-11 11:30:00-04:00,86.89,87.01,86.84,86.91,73478.0,86.943,400
35,2024-10-11 11:45:00-04:00,86.9,86.95,86.84,86.92,36167.0,86.889,269
36,2024-10-11 12:00:00-04:00,86.92,87.0,86.82,86.84,57980.0,86.921,386
37,2024-10-11 12:15:00-04:00,86.84,86.93,86.82,86.87,95002.0,86.876,249
38,2024-10-11 12:30:00-04:00,86.87,86.87,86.71,86.72,534881.0,86.756,258
39,2024-10-11 12:45:00-04:00,86.73,86.82,86.62,86.7,78965.0,86.745,352
40,2024-10-11 13:00:00-04:00,86.72,86.76,86.6,86.74,46841.0,86.684,233
41,2024-10-11 13:15:00-04:00,86.75,86.76,86.68,86.7,59361.0,86.733,269
42,2024-10-11 13:30:00-04:00,86.7,86.81,86.65,86.8,55332.0,86.747,178
43,2024-10-11 13:45:00-04:00,86.8,86.82,86.75,86.77,33290.0,86.787,223
44,2024-10-11 14:00:00-04:00,86.76,86.86,86.71,86.83,196439.0,86.784,531
45,2024-10-11 14:15:00-04:00,86.83,86.96,86.74,86.78,140527.0,86.846,461
46,2024-10-11 14:30:00-04:00,86.79,86.88,86.74,86.86,628165.0,86.767,481
47,2024-10-11 14:45:00-04:00,86.85,86.88,86.71,86.88,376762.0,86.842,327
48,2024-10-11 15:00:00-04:00,86.88,87.05,86.86,87.03,40739.0,86.973,228
49,2024-10-11 15:15:00-04:00,87.05,87.07,86.88,86.91,138621.0,86.975,502
50,2024-10-11 15:30:00-04:00,86.89,86.92,86.79,86.84,84397.0,86.838,584
51,2024-10-11 15:45:00-04:00,86.84,87.11,86.83,87.1,541978.0,86.969,2575
52,2024-10-14 09:30:00-04:00,87.6,87.77,86.96,87.23,135225.0,87.375,467
53,2024-10-14 09:45:00-04:00,87.28,87.35,87.13,87.26,85427.0,87.242,453
54,2024-10-14 10:00:00-04:00,87.28,87.43,87.25,87.41,61217.0,87.341,385
55,2024-10-14 10:15:00-04:00,87.42,87.63,87.42,87.45,158815.0,87.543,617
56,2024-10-14 10:30:00-04:00,87.43,87.59,87.43,87.53,93693.0,87.506,388
57,2024-10-14 10:45:00-04:00,87.53,87.65,87.36,87.59,160000.0,87.554,550
58,2024-10-14 11:00:00-04:00,87.59,87.76,87.5,87.76,170518.0,87.643,404
59,2024-10-14 11:15:00-04:00,87.76,87.79,87.64,87.67,192203.0,87.692,367
60,2024-10-14 11:30:00-04:00,87.67,87.75,87.49,87.53,135035.0,87.656,582
61,2024-10-14 11:45:00-04:00,87.54,87.57,87.33,87.38,91738.0,87.454,394
62,2024-10-14 12:00:00-04:00,87.39,87.4,87.1,87.15,121003.0,87.271,514
63,2024-10-14 12:15:00-04:00,87.15,87.16,86.91,86.95,171215.0,87.035,722
64,2024-10-14 12:30:00-04:00,86.93,87.18,86.93,87.09,56091.0,87.085,421
65,2024-10-14 12:45:00-04:00,87.1,87.27,87.09,87.22,107510.0,87.21,378
66,2024-10-14 13:00:00-04:00,87.23,87.28,87.11,87.21,63764.0,87.21,404
67,2024-10-14 13:15:00-04:00,87.21,87.35,87.1,87.34,107619.0,87.211,439
68,2024-10-14 13:30:00-04:00,87.34,87.42,87.28,87.29,50101.0,87.38,355
69,2024-10-14 13:45:00-04:00,87.28,87.33,87.26,87.27,49723.0,87.301,308
70,2024-10-14 14:00:00-04:00,87.25,87.3,87.2,87.3,172688.0,87.261,700
71,2024-10-14 14:15:00-04:00,87.31,87.4,87.21,87.34,82109.0,87.298,525
72,2024-10-14 14:30:00-04:00,87.33,87.42,87.32,87.34,209099.0,87.343,676
73,2024-10-14 14:45:00-04:00,87.33,87.39,87.29,87.34,59990.0,87.34,434
74,2024-10-14 15:00:00-04:00,87.34,87.42,87.28,87.39,59351.0,87.338,413
75,2024-10-14 15:15:00-04:00,87.42,87.67,87.4,87.67,125970.0,87.517,687
