,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,114.9,115.1,114.41,114.41,20301.0,114.844,64
1,2024-10-10 09:45:00-04:00,114.31,114.61,114.04,114.04,17380.0,114.39,124
2,2024-10-10 10:00:00-04:00,114.0,114.45,113.88,114.33,12575.0,114.253,96
3,2024-10-10 10:15:00-04:00,114.33,114.42,114.25,114.28,9904.0,114.328,82
4,2024-10-10 10:30:00-04:00,114.31,114.55,114.31,114.43,12470.0,114.451,89
5,2024-10-10 10:45:00-04:00,114.43,114.61,114.28,114.29,12046.0,114.473,95
6,2024-10-10 11:00:00-04:00,114.33,114.62,114.32,114.55,14828.0,114.463,110
7,2024-10-10 11:15:00-04:00,114.59,114.8,114.59,114.71,11686.0,114.699,74
8,2024-10-10 11:30:00-04:00,114.73,114.77,114.59,114.66,8522.0,114.684,66
9,2024-10-10 11:45:00-04:00,114.69,114.71,114.59,114.59,6319.0,114.642,48
10,2024-10-10 12:00:00-04:00,114.62,114.82,114.52,114.82,11043.0,114.669,85
11,2024-10-10 12:15:00-04:00,114.81,115.13,114.78,115.1,109405.0,114.82,198
12,2024-10-10 12:30:00-04:00,115.1,115.14,114.44,114.47,122530.0,114.813,159
13,2024-10-10 12:45:00-04:00,114.52,114.67,114.35,114.6,13649.0,114.53,104
14,2024-10-10 13:00:00-04:00,114.59,114.59,114.35,114.4,12241.0,114.431,88
15,2024-10-10 13:15:00-04:00,114.4,114.47,114.35,114.47,6627.0,114.416,52
16,2024-10-10 13:30:00-04:00,114.46,114.59,114.46,114.55,12558.0,114.512,87
17,2024-10-10 13:45:00-04:00,114.54,114.63,114.4,114.45,17211.0,114.525,132
18,2024-10-10 14:00:00-04:00,114.46,114.58,114.31,114.52,15622.0,114.482,110
19,2024-10-10 14:15:00-04:00,114.46,114.57,114.43,114.46,11434.0,114.504,88
20,2024-10-10 14:30:00-04:00,114.46,114.52,114.32,114.32,35189.0,114.397,263
21,2024-10-10 14:45:00-04:00,114.33,114.45,114.3,114.43,22654.0,114.378,166
22,2024-10-10 15:00:00-04:00,114.45,114.49,114.32,114.32,16777.0,114.405,133
23,2024-10-10 15:15:00-04:00,114.31,114.34,114.16,114.16,30989.0,114.268,221
24,2024-10-10 15:30:00-04:00,114.17,114.33,114.14,114.23,41702.0,114.254,300
25,2024-10-10 15:45:00-04:00,114.23,114.33,113.75,113.85,203951.0,113.966,1349
26,2024-10-11 09:30:00-04:00,114.16,114.68,114.16,114.32,19117.0,114.235,61
27,2024-10-11 09:45:00-04:00,114.29,114.41,114.08,114.09,44973.0,114.132,106
28,2024-10-11 10:00:00-04:00,114.07,114.14,113.95,114.13,23666.0,114.086,106
29,2024-10-11 10:15:00-04:00,114.21,114.49,114.2,114.44,8057.0,114.346,64
30,2024-10-11 10:30:00-04:00,114.48,114.53,114.26,114.32,10529.0,114.378,80
31,2024-10-11 10:45:00-04:00,114.34,114.54,114.34,114.45,20057.0,114.444,147
32,2024-10-11 11:00:00-04:00,114.43,114.43,113.83,113.89,22404.0,114.143,153
33,2024-10-11 11:15:00-04:00,113.9,114.02,113.67,113.74,16070.0,113.848,121
34,2024-10-11 11:30:00-04:00,113.76,113.86,113.68,113.71,24022.0,113.778,117
35,2024-10-11 11:45:00-04:00,113.71,113.75,113.41,113.46,21367.0,113.542,167
36,2024-10-11 12:00:00-04:00,113.43,113.46,113.25,113.26,11558.0,113.359,90
37,2024-10-11 12:15:00-04:00,113.25,113.31,113.07,113.17,21097.0,113.233,164
38,2024-10-11 12:30:00-04:00,113.15,113.23,112.88,112.9,18942.0,113.048,117
39,2024-10-11 12:45:00-04:00,112.88,112.91,111.93,112.36,68660.0,112.375,480
40,2024-10-11 13:00:00-04:00,112.41,112.52,112.25,112.34,37555.0,112.419,257
41,2024-10-11 13:15:00-04:00,112.37,112.51,112.27,112.46,31321.0,112.387,202
42,2024-10-11 13:30:00-04:00,112.46,112.62,112.42,112.55,64038.0,112.52,368
43,2024-10-11 13:45:00-04:00,112.59,112.66,112.53,112.65,23065.0,112.602,155
44,2024-10-11 14:00:00-04:00,112.65,112.71,112.59,112.66,33828.0,112.657,208
45,2024-10-11 14:15:00-04:00,112.66,112.76,112.6,112.62,31025.0,112.693,222
46,2024-10-11 14:30:00-04:00,112.61,112.65,112.38,112.45,21963.0,112.552,159
47,2024-10-11 14:45:00-04:00,112.45,112.55,112.42,112.46,28677.0,112.488,209
48,2024-10-11 15:00:00-04:00,112.45,112.55,112.38,112.51,28558.0,112.476,183
49,2024-10-11 15:15:00-04:00,112.51,112.53,112.32,112.38,33001.0,112.406,240
50,2024-10-11 15:30:00-04:00,112.37,112.55,112.3,112.44,78312.0,112.432,485
51,2024-10-11 15:45:00-04:00,112.43,112.52,112.25,112.51,231922.0,112.424,1445
52,2024-10-14 09:30:00-04:00,112.62,112.62,111.96,111.96,20800.0,112.416,92
53,2024-10-14 09:45:00-04:00,111.88,111.95,111.7,111.95,28787.0,111.835,213
54,2024-10-14 10:00:00-04:00,111.98,112.23,111.89,112.11,35907.0,112.106,196
55,2024-10-14 10:15:00-04:00,112.15,112.49,111.99,111.99,23983.0,112.267,168
56,2024-10-14 10:30:00-04:00,112.11,112.19,111.8,111.89,82277.0,112.026,207
57,2024-10-14 10:45:00-04:00,111.92,112.13,111.87,112.12,20062.0,112.021,112
58,2024-10-14 11:00:00-04:00,112.09,112.3,112.06,112.2,18520.0,112.208,127
59,2024-10-14 11:15:00-04:00,112.21,112.29,112.08,112.14,24092.0,112.153,146
60,2024-10-14 11:30:00-04:00,112.17,112.23,112.13,112.17,16456.0,112.18,135
