,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,81.07,81.32,80.58,80.8,101773.0,80.99,397
1,2024-10-10 09:45:00-04:00,80.84,81.03,80.68,80.79,61367.0,80.829,343
2,2024-10-10 10:00:00-04:00,80.75,81.09,80.74,80.95,28206.0,80.917,154
3,2024-10-10 10:15:00-04:00,80.97,81.08,80.82,80.82,36234.0,80.983,245
4,2024-10-10 10:30:00-04:00,80.83,80.97,80.82,80.85,67387.0,80.886,478
5,2024-10-10 10:45:00-04:00,80.8,80.86,80.52,80.54,62632.0,80.683,445
6,2024-10-10 11:00:00-04:00,80.52,80.79,80.45,80.78,57881.0,80.646,406
7,2024-10-10 11:15:00-04:00,80.78,80.78,80.49,80.58,112650.0,80.599,660
8,2024-10-10 11:30:00-04:00,80.56,80.58,80.36,80.53,61254.0,80.468,417
9,2024-10-10 11:45:00-04:00,80.52,80.55,80.43,80.54,69878.0,80.484,477
10,2024-10-10 12:00:00-04:00,80.54,80.85,80.54,80.7,33462.0,80.73,231
11,2024-10-10 12:15:00-04:00,80.73,80.83,80.69,80.78,18064.0,80.747,116
12,2024-10-10 12:30:00-04:00,80.8,80.86,80.63,80.71,24459.0,80.74,191
13,2024-10-10 12:45:00-04:00,80.67,80.8,80.66,80.71,19817.0,80.744,135
14,2024-10-10 13:00:00-04:00,80.71,80.84,80.61,80.69,21974.0,80.754,167
15,2024-10-10 13:15:00-04:00,80.72,80.93,80.69,80.83,12475.0,80.848,105
16,2024-10-10 13:30:00-04:00,80.82,80.91,80.77,80.8,25879.0,80.845,182
17,2024-10-10 13:45:00-04:00,80.8,80.82,80.54,80.77,29780.0,80.71,228
18,2024-10-10 14:00:00-04:00,80.76,80.8,80.63,80.64,31773.0,80.759,186
19,2024-10-10 14:15:00-04:00,80.65,80.65,80.56,80.6,18570.0,80.619,118
20,2024-10-10 14:30:00-04:00,80.59,80.63,80.45,80.49,41794.0,80.561,220
21,2024-10-10 14:45:00-04:00,80.5,80.59,80.48,80.56,15396.0,80.534,108
22,2024-10-10 15:00:00-04:00,80.54,80.57,80.43,80.44,21715.0,80.492,152
23,2024-10-10 15:15:00-04:00,80.45,80.51,80.41,80.48,44740.0,80.47,243
24,2024-10-10 15:30:00-04:00,80.47,80.49,80.31,80.38,399055.0,80.401,360
25,2024-10-10 15:45:00-04:00,80.39,80.62,80.31,80.43,339571.0,80.504,1958
26,2024-10-11 09:30:00-04:00,80.22,81.15,80.22,81.1,71877.0,80.849,323
27,2024-10-11 09:45:00-04:00,81.15,81.32,80.96,81.23,34573.0,81.16,251
28,2024-10-11 10:00:00-04:00,81.2,81.54,81.14,81.54,108812.0,81.325,609
29,2024-10-11 10:15:00-04:00,81.53,81.67,81.46,81.53,50241.0,81.567,199
30,2024-10-11 10:30:00-04:00,81.52,81.71,81.51,81.58,29142.0,81.612,229
31,2024-10-11 10:45:00-04:00,81.59,81.81,81.58,81.74,32816.0,81.668,176
32,2024-10-11 11:00:00-04:00,81.74,81.94,81.71,81.93,24001.0,81.813,188
33,2024-10-11 11:15:00-04:00,81.93,81.93,81.79,81.84,20689.0,81.86,167
34,2024-10-11 11:30:00-04:00,81.84,81.98,81.81,81.83,45438.0,81.919,251
35,2024-10-11 11:45:00-04:00,81.86,81.9,81.69,81.72,147877.0,81.805,461
36,2024-10-11 12:00:00-04:00,81.72,81.78,81.62,81.69,34546.0,81.707,185
37,2024-10-11 12:15:00-04:00,81.69,81.76,81.49,81.53,81879.0,81.678,232
38,2024-10-11 12:30:00-04:00,81.53,81.59,81.34,81.36,24412.0,81.443,155
