,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,223.88,223.88,222.12,222.13,5318.0,223.427,16
1,2024-10-10 09:45:00-04:00,222.87,224.4,222.3,223.74,39900.0,223.989,64
2,2024-10-10 10:00:00-04:00,223.72,224.84,223.49,224.75,61453.0,224.732,93
3,2024-10-10 10:15:00-04:00,224.8,225.19,224.63,224.95,7693.0,224.846,55
4,2024-10-10 10:30:00-04:00,225.38,225.38,223.97,223.98,48795.0,224.465,158
5,2024-10-10 10:45:00-04:00,223.84,223.89,223.29,223.36,8882.0,223.599,43
6,2024-10-10 11:00:00-04:00,223.34,223.84,223.0,223.68,41680.0,223.125,76
7,2024-10-10 11:15:00-04:00,223.69,224.1,223.39,223.39,12386.0,223.591,112
8,2024-10-10 11:30:00-04:00,223.4,223.76,222.5,223.73,41982.0,223.129,342
9,2024-10-10 11:45:00-04:00,223.7,223.98,223.41,223.49,1405.0,223.628,14
10,2024-10-10 12:00:00-04:00,223.43,223.85,222.96,223.33,5781.0,223.445,51
11,2024-10-10 12:15:00-04:00,223.38,223.54,223.35,223.47,1688.0,223.414,12
12,2024-10-10 12:30:00-04:00,223.45,223.45,222.99,223.0,3248.0,223.229,29
13,2024-10-10 12:45:00-04:00,223.22,223.28,222.97,223.06,1478.0,223.103,12
14,2024-10-10 13:00:00-04:00,223.23,223.32,222.89,223.29,6092.0,223.121,40
15,2024-10-10 13:15:00-04:00,223.44,224.05,223.43,223.81,3374.0,223.814,12
16,2024-10-10 13:30:00-04:00,223.99,224.18,223.62,223.65,3162.0,223.834,25
17,2024-10-10 13:45:00-04:00,223.55,223.73,223.15,223.67,11604.0,223.499,87
18,2024-10-10 14:00:00-04:00,223.67,223.67,223.26,223.27,4362.0,223.456,34
19,2024-10-10 14:15:00-04:00,223.26,223.33,222.98,223.07,5890.0,223.175,50
20,2024-10-10 14:30:00-04:00,223.06,223.07,222.41,222.55,8070.0,222.661,70
21,2024-10-10 14:45:00-04:00,222.42,222.76,222.41,222.65,11547.0,222.623,99
22,2024-10-10 15:00:00-04:00,222.62,222.74,222.36,222.36,5758.0,222.501,47
23,2024-10-10 15:15:00-04:00,222.35,222.6,222.19,222.53,120366.0,222.417,175
24,2024-10-10 15:30:00-04:00,222.64,222.64,222.03,222.25,27666.0,222.255,211
25,2024-10-10 15:45:00-04:00,222.25,222.46,221.49,221.65,123308.0,222.123,987
26,2024-10-11 09:30:00-04:00,222.51,223.03,221.69,221.91,23310.0,222.54,116
27,2024-10-11 09:45:00-04:00,221.78,221.99,219.26,219.5,26589.0,220.87,158
28,2024-10-11 10:00:00-04:00,219.63,222.26,219.26,221.91,28958.0,221.261,186
29,2024-10-11 10:15:00-04:00,221.87,222.36,221.49,222.08,63306.0,222.126,267
30,2024-10-11 10:30:00-04:00,221.86,222.71,221.53,222.37,24631.0,222.155,120
31,2024-10-11 10:45:00-04:00,222.5,223.11,222.18,222.64,23584.0,222.567,143
32,2024-10-11 11:00:00-04:00,222.75,223.2,222.05,223.14,31820.0,222.56,198
33,2024-10-11 11:15:00-04:00,223.05,223.2,222.54,222.78,7989.0,222.808,63
34,2024-10-11 11:30:00-04:00,222.78,222.93,222.61,222.87,26346.0,222.782,149
35,2024-10-11 11:45:00-04:00,222.86,222.95,222.55,222.64,10636.0,222.744,80
36,2024-10-11 12:00:00-04:00,222.53,222.58,222.15,222.22,5228.0,222.412,42
37,2024-10-11 12:15:00-04:00,222.1,222.18,221.85,221.9,5759.0,221.969,43
38,2024-10-11 12:30:00-04:00,221.91,222.11,221.53,221.7,15839.0,221.991,103
39,2024-10-11 12:45:00-04:00,221.7,221.73,221.55,221.73,1900.0,221.673,17
40,2024-10-11 13:00:00-04:00,221.9,221.96,221.68,221.79,2083.0,221.807,20
41,2024-10-11 13:15:00-04:00,221.68,222.12,221.59,222.0,8307.0,221.74,51
42,2024-10-11 13:30:00-04:00,221.88,222.12,221.77,222.1,3230.0,221.952,28
43,2024-10-11 13:45:00-04:00,222.03,222.27,222.01,222.23,5856.0,222.158,41
44,2024-10-11 14:00:00-04:00,222.05,222.3,222.01,222.01,4408.0,222.16,30
45,2024-10-11 14:15:00-04:00,222.19,222.19,221.9,221.93,2505.0,222.036,17
46,2024-10-11 14:30:00-04:00,222.05,222.2,221.81,221.95,8908.0,222.015,62
