,date,open,high,low,close,volume,average,barCount
0,2024-10-07 09:30:00-04:00,25.45,26.05,25.37,25.85,1884501.0,25.799,5050
1,2024-10-07 09:45:00-04:00,25.87,25.91,25.71,25.78,847788.0,25.809,3531
2,2024-10-07 10:00:00-04:00,25.79,26.28,25.74,25.98,1069139.0,26.007,5257
3,2024-10-07 10:15:00-04:00,25.95,26.25,25.88,25.96,632406.0,25.982,3058
4,2024-10-07 10:30:00-04:00,25.96,25.97,25.7,25.74,529183.0,25.774,2415
5,2024-10-07 10:45:00-04:00,25.73,25.82,25.7,25.78,342623.0,25.763,1559
6,2024-10-07 11:00:00-04:00,25.77,25.78,25.58,25.69,232141.0,25.677,1216
7,2024-10-07 11:15:00-04:00,25.69,25.96,25.66,25.92,239183.0,25.87,1299
8,2024-10-07 11:30:00-04:00,25.92,26.09,25.88,25.99,541989.0,26.018,1609
9,2024-10-07 11:45:00-04:00,25.99,26.01,25.9,25.99,159407.0,25.981,748
10,2024-10-07 12:00:00-04:00,25.99,26.01,25.9,25.92,149742.0,25.942,747
11,2024-10-07 12:15:00-04:00,25.92,25.97,25.87,25.91,166057.0,25.916,670
12,2024-10-07 12:30:00-04:00,25.9,25.95,25.86,25.94,104524.0,25.913,569
13,2024-10-07 12:45:00-04:00,25.94,25.96,25.89,25.94,121494.0,25.932,557
14,2024-10-07 13:00:00-04:00,25.93,25.94,25.88,25.89,177553.0,25.911,739
15,2024-10-07 13:15:00-04:00,25.88,25.94,25.87,25.89,225539.0,25.908,947
16,2024-10-07 13:30:00-04:00,25.88,25.94,25.8,25.93,288472.0,25.858,1299
17,2024-10-07 13:45:00-04:00,25.93,26.0,25.9,25.99,211196.0,25.944,702
18,2024-10-07 14:00:00-04:00,25.99,26.01,25.94,26.0,214191.0,25.984,899
19,2024-10-07 14:15:00-04:00,26.0,26.2,25.97,26.16,391065.0,26.079,1372
20,2024-10-07 14:30:00-04:00,26.16,26.25,26.07,26.14,705991.0,26.141,1966
21,2024-10-07 14:45:00-04:00,26.14,26.14,26.02,26.04,857624.0,26.096,1567
22,2024-10-07 15:00:00-04:00,26.05,26.07,25.95,25.99,496997.0,26.036,1551
23,2024-10-07 15:15:00-04:00,25.99,26.02,25.82,25.96,420254.0,25.914,1337
24,2024-10-07 15:30:00-04:00,25.96,25.97,25.81,25.83,349030.0,25.865,1598
25,2024-10-07 15:45:00-04:00,25.83,25.88,25.76,25.8,1542606.0,25.82,6130
26,2024-10-08 09:30:00-04:00,25.54,26.0,25.44,25.95,373211.0,25.725,1340
27,2024-10-08 09:45:00-04:00,25.94,25.95,25.69,25.81,241050.0,25.803,1354
28,2024-10-08 10:00:00-04:00,25.81,26.0,25.81,25.87,149671.0,25.913,1025
29,2024-10-08 10:15:00-04:00,25.87,25.87,25.73,25.75,124204.0,25.784,857
30,2024-10-08 10:30:00-04:00,25.74,25.91,25.73,25.9,103448.0,25.812,654
31,2024-10-08 10:45:00-04:00,25.91,25.92,25.82,25.84,88820.0,25.878,493
32,2024-10-08 11:00:00-04:00,25.84,25.84,25.72,25.76,67582.0,25.768,416
33,2024-10-08 11:15:00-04:00,25.75,25.78,25.72,25.78,56025.0,25.75,336
34,2024-10-08 11:30:00-04:00,25.77,25.83,25.76,25.8,53329.0,25.8,323
35,2024-10-08 11:45:00-04:00,25.8,25.87,25.78,25.8,80964.0,25.829,482
36,2024-10-08 12:00:00-04:00,25.8,25.82,25.71,25.8,89971.0,25.766,586
37,2024-10-08 12:15:00-04:00,25.81,25.87,25.8,25.86,109525.0,25.842,534
38,2024-10-08 12:30:00-04:00,25.86,25.86,25.77,25.8,90309.0,25.807,509
