,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,55.4,55.55,55.01,55.09,136800.0,55.295,538
1,2024-10-10 09:45:00-04:00,55.0,55.3,54.99,55.2,196633.0,55.115,438
2,2024-10-10 10:00:00-04:00,55.21,55.47,55.19,55.45,103701.0,55.352,648
3,2024-10-10 10:15:00-04:00,55.46,55.57,55.42,55.54,147046.0,55.51,1050
4,2024-10-10 10:30:00-04:00,55.54,55.61,55.39,55.49,127279.0,55.477,588
5,2024-10-10 10:45:00-04:00,55.48,55.5,55.33,55.36,108525.0,55.418,797
6,2024-10-10 11:00:00-04:00,55.36,55.52,55.35,55.52,167787.0,55.45,515
7,2024-10-10 11:15:00-04:00,55.52,55.69,55.52,55.66,72084.0,55.618,539
8,2024-10-10 11:30:00-04:00,55.66,55.72,55.59,55.59,41554.0,55.642,316
9,2024-10-10 11:45:00-04:00,55.6,55.69,55.59,55.69,52473.0,55.647,382
10,2024-10-10 12:00:00-04:00,55.69,55.91,55.68,55.91,72099.0,55.806,516
11,2024-10-10 12:15:00-04:00,55.91,55.96,55.87,55.88,50384.0,55.927,379
12,2024-10-10 12:30:00-04:00,55.88,55.96,55.8,55.83,256588.0,55.883,958
13,2024-10-10 12:45:00-04:00,55.83,55.9,55.76,55.9,116298.0,55.83,616
14,2024-10-10 13:00:00-04:00,55.9,55.9,55.75,55.83,184834.0,55.819,597
15,2024-10-10 13:15:00-04:00,55.83,56.0,55.83,55.9,155199.0,55.927,713
16,2024-10-10 13:30:00-04:00,55.89,55.97,55.87,55.92,83195.0,55.913,505
17,2024-10-10 13:45:00-04:00,55.93,55.93,55.49,55.49,278822.0,55.786,858
18,2024-10-10 14:00:00-04:00,55.49,55.49,55.18,55.33,113676.0,55.295,655
19,2024-10-10 14:15:00-04:00,55.33,55.35,55.27,55.32,95079.0,55.322,423
20,2024-10-10 14:30:00-04:00,55.32,55.49,55.29,55.4,87633.0,55.387,476
21,2024-10-10 14:45:00-04:00,55.4,55.45,55.35,55.43,72555.0,55.419,447
22,2024-10-10 15:00:00-04:00,55.43,55.49,55.41,55.41,92008.0,55.445,675
23,2024-10-10 15:15:00-04:00,55.41,55.58,55.37,55.58,144387.0,55.475,906
24,2024-10-10 15:30:00-04:00,55.58,55.65,55.47,55.56,193659.0,55.569,1355
25,2024-10-10 15:45:00-04:00,55.55,55.66,55.51,55.61,561352.0,55.597,2847
26,2024-10-11 09:30:00-04:00,55.75,56.24,55.73,56.13,190397.0,55.859,219
27,2024-10-11 09:45:00-04:00,56.13,56.21,55.99,56.19,37996.0,56.098,212
28,2024-10-11 10:00:00-04:00,56.17,56.19,55.87,55.9,93299.0,55.993,609
29,2024-10-11 10:15:00-04:00,55.89,56.07,55.85,56.05,131510.0,55.921,370
30,2024-10-11 10:30:00-04:00,56.05,56.39,56.04,56.32,86926.0,56.287,490
31,2024-10-11 10:45:00-04:00,56.31,56.35,56.17,56.32,197313.0,56.301,337
32,2024-10-11 11:00:00-04:00,56.32,56.35,56.25,56.33,74467.0,56.297,559
33,2024-10-11 11:15:00-04:00,56.33,56.35,56.25,56.3,29183.0,56.286,223
34,2024-10-11 11:30:00-04:00,56.3,56.4,56.3,56.4,38080.0,56.345,286
35,2024-10-11 11:45:00-04:00,56.4,56.59,56.39,56.56,72143.0,56.499,373
36,2024-10-11 12:00:00-04:00,56.56,56.57,56.43,56.43,43130.0,56.515,304
37,2024-10-11 12:15:00-04:00,56.43,56.48,56.1,56.14,229591.0,56.324,216
38,2024-10-11 12:30:00-04:00,56.13,56.15,56.05,56.05,23593.0,56.118,199
39,2024-10-11 12:45:00-04:00,56.04,56.18,55.98,56.18,165959.0,56.034,322
40,2024-10-11 13:00:00-04:00,56.18,56.2,56.03,56.03,25920.0,56.123,163
41,2024-10-11 13:15:00-04:00,56.04,56.09,56.02,56.08,13437.0,56.049,107
42,2024-10-11 13:30:00-04:00,56.09,56.09,56.0,56.08,52646.0,56.046,210
43,2024-10-11 13:45:00-04:00,56.08,56.1,56.0,56.01,64544.0,56.049,318
44,2024-10-11 14:00:00-04:00,56.01,56.09,56.0,56.04,29144.0,56.055,222
45,2024-10-11 14:15:00-04:00,56.04,56.08,55.96,56.05,34078.0,56.026,215
46,2024-10-11 14:30:00-04:00,56.05,56.07,55.99,56.03,18329.0,56.028,116
47,2024-10-11 14:45:00-04:00,56.03,56.05,56.0,56.03,29150.0,56.027,206
48,2024-10-11 15:00:00-04:00,56.03,56.11,56.0,56.1,93955.0,56.057,307
49,2024-10-11 15:15:00-04:00,56.1,56.11,55.97,55.98,48667.0,56.031,417
50,2024-10-11 15:30:00-04:00,55.98,56.0,55.91,56.0,65192.0,55.955,570
51,2024-10-11 15:45:00-04:00,56.0,56.07,55.89,55.92,229590.0,55.967,1635
52,2024-10-14 09:30:00-04:00,55.91,55.94,55.39,55.39,78766.0,55.747,262
53,2024-10-14 09:45:00-04:00,55.4,55.48,55.24,55.33,68800.0,55.361,270
54,2024-10-14 10:00:00-04:00,55.35,55.41,55.21,55.29,51353.0,55.316,377
55,2024-10-14 10:15:00-04:00,55.28,55.3,55.2,55.27,33794.0,55.256,284
56,2024-10-14 10:30:00-04:00,55.28,55.52,55.27,55.43,35814.0,55.421,286
57,2024-10-14 10:45:00-04:00,55.43,55.45,55.21,55.35,63304.0,55.321,445
58,2024-10-14 11:00:00-04:00,55.34,55.38,55.22,55.25,45165.0,55.309,403
59,2024-10-14 11:15:00-04:00,55.25,55.28,55.14,55.16,46008.0,55.214,384
60,2024-10-14 11:30:00-04:00,55.15,55.17,55.0,55.03,61890.0,55.103,387
61,2024-10-14 11:45:00-04:00,55.05,55.14,55.04,55.13,36205.0,55.097,302
62,2024-10-14 12:00:00-04:00,55.12,55.15,55.03,55.09,36972.0,55.089,289
63,2024-10-14 12:15:00-04:00,55.08,55.16,55.06,55.16,41055.0,55.092,327
64,2024-10-14 12:30:00-04:00,55.16,55.26,55.16,55.19,40636.0,55.197,296
65,2024-10-14 12:45:00-04:00,55.2,55.22,55.16,55.16,31068.0,55.188,260
66,2024-10-14 13:00:00-04:00,55.16,55.2,55.07,55.12,47750.0,55.133,396
67,2024-10-14 13:15:00-04:00,55.13,55.18,55.12,55.14,42500.0,55.142,352
68,2024-10-14 13:30:00-04:00,55.14,55.14,55.03,55.08,32340.0,55.089,279
69,2024-10-14 13:45:00-04:00,55.08,55.16,55.07,55.12,39274.0,55.118,298
70,2024-10-14 14:00:00-04:00,55.12,55.12,55.03,55.07,40852.0,55.079,330
71,2024-10-14 14:15:00-04:00,55.07,55.09,55.01,55.05,41024.0,55.05,331
72,2024-10-14 14:30:00-04:00,55.05,55.08,55.03,55.05,49157.0,55.055,401
73,2024-10-14 14:45:00-04:00,55.05,55.08,54.99,55.05,73353.0,55.042,422
74,2024-10-14 15:00:00-04:00,55.04,55.06,55.02,55.06,55858.0,55.043,417
75,2024-10-14 15:15:00-04:00,55.05,55.13,55.04,55.13,64831.0,55.086,479
76,2024-10-14 15:30:00-04:00,55.12,55.22,55.08,55.19,97745.0,55.148,748
77,2024-10-14 15:45:00-04:00,55.18,55.31,55.16,55.26,438215.0,55.263,2946
78,2024-10-15 09:30:00-04:00,55.29,55.47,55.13,55.37,137451.0,55.298,577
79,2024-10-15 09:45:00-04:00,55.35,55.8,55.34,55.8,54763.0,55.618,388
80,2024-10-15 10:00:00-04:00,55.8,55.93,55.74,55.85,102889.0,55.861,384
81,2024-10-15 10:15:00-04:00,55.86,55.93,55.67,55.73,86280.0,55.771,542
82,2024-10-15 10:30:00-04:00,55.72,55.82,55.56,55.57,74963.0,55.735,591
83,2024-10-15 10:45:00-04:00,55.57,55.59,55.49,55.5,69004.0,55.524,403
84,2024-10-15 11:00:00-04:00,55.49,55.6,55.46,55.57,95753.0,55.531,569
85,2024-10-15 11:15:00-04:00,55.58,55.6,55.53,55.56,37428.0,55.566,268
86,2024-10-15 11:30:00-04:00,55.55,55.58,55.37,55.39,56699.0,55.477,407
87,2024-10-15 11:45:00-04:00,55.39,55.42,55.3,55.36,51018.0,55.363,324
88,2024-10-15 12:00:00-04:00,55.35,55.37,55.27,55.33,60211.0,55.329,385
89,2024-10-15 12:15:00-04:00,55.33,55.39,55.29,55.37,46190.0,55.333,308
90,2024-10-15 12:30:00-04:00,55.38,55.46,55.35,55.36,38011.0,55.393,252
91,2024-10-15 12:45:00-04:00,55.36,55.37,55.29,55.32,37715.0,55.322,260
92,2024-10-15 13:00:00-04:00,55.32,55.35,55.23,55.29,42250.0,55.285,250
93,2024-10-15 13:15:00-04:00,55.3,55.34,55.28,55.29,33865.0,55.308,218
94,2024-10-15 13:30:00-04:00,55.29,55.29,55.2,55.28,29522.0,55.242,205
95,2024-10-15 13:45:00-04:00,55.28,55.28,55.16,55.16,67850.0,55.232,356
96,2024-10-15 14:00:00-04:00,55.16,55.21,55.06,55.07,40693.0,55.123,284
97,2024-10-15 14:15:00-04:00,55.07,55.12,54.99,55.01,90840.0,55.05,588
98,2024-10-15 14:30:00-04:00,55.0,55.01,54.82,54.82,84173.0,54.921,538
99,2024-10-15 14:45:00-04:00,54.83,54.9,54.82,54.86,64291.0,54.857,413
100,2024-10-15 15:00:00-04:00,54.86,54.86,54.62,54.63,128837.0,54.736,882
101,2024-10-15 15:15:00-04:00,54.63,54.86,54.59,54.77,196260.0,54.737,800
102,2024-10-15 15:30:00-04:00,54.78,54.85,54.68,54.8,119068.0,54.759,770
103,2024-10-15 15:45:00-04:00,54.8,54.89,54.69,54.86,447254.0,54.823,2910
104,2024-10-16 09:30:00-04:00,54.71,54.91,54.23,54.44,105099.0,54.674,345
105,2024-10-16 09:45:00-04:00,54.44,54.65,54.34,54.62,141579.0,54.534,461
106,2024-10-16 10:00:00-04:00,54.62,54.7,54.43,54.62,500724.0,54.587,594
107,2024-10-16 10:15:00-04:00,54.62,54.75,54.59,54.66,50041.0,54.661,314
108,2024-10-16 10:30:00-04:00,54.65,54.67,54.41,54.41,70170.0,54.574,427
109,2024-10-16 10:45:00-04:00,54.41,54.51,54.34,54.5,70360.0,54.426,542
110,2024-10-16 11:00:00-04:00,54.48,54.48,54.35,54.39,58875.0,54.402,410
111,2024-10-16 11:15:00-04:00,54.39,54.5,54.39,54.42,45707.0,54.435,318
112,2024-10-16 11:30:00-04:00,54.42,54.47,54.34,54.36,37249.0,54.414,315
113,2024-10-16 11:45:00-04:00,54.35,54.36,54.28,54.35,50713.0,54.33,369
114,2024-10-16 12:00:00-04:00,54.35,54.35,54.24,54.29,47910.0,54.285,291
115,2024-10-16 12:15:00-04:00,54.29,54.31,54.24,54.3,41658.0,54.273,272
116,2024-10-16 12:30:00-04:00,54.3,54.41,54.26,54.38,91834.0,54.351,413
117,2024-10-16 12:45:00-04:00,54.38,54.39,54.3,54.38,34376.0,54.358,241
118,2024-10-16 13:00:00-04:00,54.38,54.38,54.29,54.32,20930.0,54.327,170
119,2024-10-16 13:15:00-04:00,54.31,54.34,54.27,54.28,44125.0,54.299,259
120,2024-10-16 13:30:00-04:00,54.28,54.4,54.28,54.4,46543.0,54.317,313
121,2024-10-16 13:45:00-04:00,54.4,54.43,54.36,54.39,43973.0,54.395,311
122,2024-10-16 14:00:00-04:00,54.4,54.42,54.36,54.38,77850.0,54.395,364
123,2024-10-16 14:15:00-04:00,54.38,54.48,54.36,54.47,71902.0,54.429,427
124,2024-10-16 14:30:00-04:00,54.46,54.5,54.38,54.4,76564.0,54.447,436
125,2024-10-16 14:45:00-04:00,54.39,54.5,54.39,54.41,68555.0,54.436,446
