,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,53.66,53.74,53.52,53.71,596804.0,53.659,2010
1,2024-10-10 09:45:00-04:00,53.71,53.81,53.57,53.68,361244.0,53.722,2089
2,2024-10-10 10:00:00-04:00,53.68,53.76,53.63,53.72,172009.0,53.702,1152
3,2024-10-10 10:15:00-04:00,53.72,53.75,53.55,53.55,195546.0,53.661,1083
4,2024-10-10 10:30:00-04:00,53.55,53.61,53.53,53.53,168319.0,53.565,988
5,2024-10-10 10:45:00-04:00,53.53,53.53,53.43,53.46,176745.0,53.477,998
6,2024-10-10 11:00:00-04:00,53.46,53.57,53.43,53.55,111682.0,53.503,759
7,2024-10-10 11:15:00-04:00,53.55,53.62,53.51,53.53,118260.0,53.56,800
8,2024-10-10 11:30:00-04:00,53.53,53.54,53.5,53.52,70888.0,53.519,422
9,2024-10-10 11:45:00-04:00,53.51,53.52,53.45,53.48,88817.0,53.48,511
10,2024-10-10 12:00:00-04:00,53.48,53.6,53.46,53.58,89444.0,53.538,611
11,2024-10-10 12:15:00-04:00,53.59,53.61,53.58,53.61,103599.0,53.589,606
12,2024-10-10 12:30:00-04:00,53.61,53.62,53.46,53.48,196727.0,53.585,970
13,2024-10-10 12:45:00-04:00,53.48,53.53,53.45,53.51,84761.0,53.494,517
14,2024-10-10 13:00:00-04:00,53.5,53.52,53.45,53.5,94513.0,53.493,558
15,2024-10-10 13:15:00-04:00,53.5,53.58,53.49,53.58,71898.0,53.543,413
16,2024-10-10 13:30:00-04:00,53.58,53.61,53.56,53.57,78976.0,53.582,484
17,2024-10-10 13:45:00-04:00,53.56,53.57,53.42,53.54,82993.0,53.508,583
18,2024-10-10 14:00:00-04:00,53.54,53.54,53.45,53.48,65670.0,53.481,436
19,2024-10-10 14:15:00-04:00,53.48,53.56,53.48,53.55,132269.0,53.521,689
20,2024-10-10 14:30:00-04:00,53.54,53.56,53.48,53.52,109571.0,53.526,761
21,2024-10-10 14:45:00-04:00,53.51,53.55,53.5,53.55,90210.0,53.523,549
22,2024-10-10 15:00:00-04:00,53.55,53.56,53.48,53.51,129520.0,53.515,765
23,2024-10-10 15:15:00-04:00,53.51,53.53,53.48,53.53,145655.0,53.507,794
24,2024-10-10 15:30:00-04:00,53.53,53.56,53.47,53.49,201304.0,53.526,1206
25,2024-10-10 15:45:00-04:00,53.48,53.58,53.45,53.53,800906.0,53.525,4731
26,2024-10-11 09:30:00-04:00,53.52,53.9,53.52,53.66,573722.0,53.736,1712
27,2024-10-11 09:45:00-04:00,53.66,53.99,53.65,53.95,332264.0,53.877,1735
28,2024-10-11 10:00:00-04:00,53.95,54.11,53.88,54.08,541112.0,54.022,2440
29,2024-10-11 10:15:00-04:00,54.08,54.25,54.07,54.23,337141.0,54.191,1857
30,2024-10-11 10:30:00-04:00,54.23,54.27,54.2,54.22,359800.0,54.241,1956
31,2024-10-11 10:45:00-04:00,54.22,54.24,54.16,54.2,336703.0,54.204,1928
32,2024-10-11 11:00:00-04:00,54.2,54.2,54.11,54.14,218654.0,54.158,1155
33,2024-10-11 11:15:00-04:00,54.14,54.15,54.03,54.04,183042.0,54.087,1093
34,2024-10-11 11:30:00-04:00,54.05,54.17,54.02,54.16,228093.0,54.08,1385
35,2024-10-11 11:45:00-04:00,54.16,54.17,54.11,54.15,218236.0,54.138,1348
36,2024-10-11 12:00:00-04:00,54.15,54.17,54.12,54.13,182018.0,54.147,1083
37,2024-10-11 12:15:00-04:00,54.13,54.16,54.1,54.15,147554.0,54.128,881
38,2024-10-11 12:30:00-04:00,54.15,54.17,54.12,54.16,144039.0,54.144,901
39,2024-10-11 12:45:00-04:00,54.16,54.18,54.12,54.18,185077.0,54.147,1109
40,2024-10-11 13:00:00-04:00,54.18,54.2,54.1,54.13,159247.0,54.138,994
41,2024-10-11 13:15:00-04:00,54.13,54.17,54.09,54.16,200877.0,54.124,1199
42,2024-10-11 13:30:00-04:00,54.16,54.18,54.12,54.16,208644.0,54.148,1022
43,2024-10-11 13:45:00-04:00,54.16,54.24,54.15,54.19,302579.0,54.196,1397
44,2024-10-11 14:00:00-04:00,54.19,54.25,54.18,54.24,206667.0,54.209,1138
