,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,208.61,209.27,207.97,208.94,58569.0,208.585,238
1,2024-10-10 09:45:00-04:00,208.88,209.24,208.38,208.38,22420.0,208.863,177
2,2024-10-10 10:00:00-04:00,208.19,209.24,208.02,208.76,86006.0,208.876,517
3,2024-10-10 10:15:00-04:00,208.85,209.09,207.96,207.97,13282.0,208.793,87
4,2024-10-10 10:30:00-04:00,208.1,208.81,207.96,208.06,8750.0,208.32,66
5,2024-10-10 10:45:00-04:00,207.88,207.92,207.04,207.09,15268.0,207.454,132
6,2024-10-10 11:00:00-04:00,207.05,207.2,206.91,207.16,20092.0,207.051,176
7,2024-10-10 11:15:00-04:00,207.16,207.34,206.95,207.22,16197.0,207.169,130
8,2024-10-10 11:30:00-04:00,207.33,207.33,207.08,207.22,19270.0,207.215,94
9,2024-10-10 11:45:00-04:00,207.24,207.39,206.98,207.08,7087.0,207.17,59
10,2024-10-10 12:00:00-04:00,207.14,207.6,207.14,207.5,10391.0,207.405,82
11,2024-10-10 12:15:00-04:00,207.5,207.51,207.13,207.14,4251.0,207.355,38
12,2024-10-10 12:30:00-04:00,207.18,207.19,206.76,206.77,15056.0,207.056,95
13,2024-10-10 12:45:00-04:00,206.8,207.02,206.67,206.69,5367.0,206.845,43
14,2024-10-10 13:00:00-04:00,206.66,206.72,206.49,206.63,4666.0,206.624,37
15,2024-10-10 13:15:00-04:00,206.62,206.76,206.55,206.68,6267.0,206.679,53
16,2024-10-10 13:30:00-04:00,206.68,206.93,206.58,206.67,5334.0,206.79,40
17,2024-10-10 13:45:00-04:00,206.66,206.66,205.98,206.17,8069.0,206.263,69
18,2024-10-10 14:00:00-04:00,206.24,206.24,205.96,206.19,3883.0,206.116,29
19,2024-10-10 14:15:00-04:00,206.12,206.2,205.85,205.86,6452.0,206.061,52
20,2024-10-10 14:30:00-04:00,205.83,205.98,205.62,205.8,10412.0,205.808,88
21,2024-10-10 14:45:00-04:00,205.82,205.94,205.77,205.85,6000.0,205.899,52
22,2024-10-10 15:00:00-04:00,205.98,205.99,205.71,205.94,8456.0,205.874,60
23,2024-10-10 15:15:00-04:00,205.92,205.92,205.61,205.75,8880.0,205.761,74
24,2024-10-10 15:30:00-04:00,205.78,206.31,205.78,206.28,20024.0,206.117,151
25,2024-10-10 15:45:00-04:00,206.23,206.32,205.95,206.16,52897.0,206.162,419
26,2024-10-11 09:30:00-04:00,207.01,207.99,206.51,206.59,43324.0,207.211,262
27,2024-10-11 09:45:00-04:00,206.61,206.89,206.19,206.77,43410.0,206.525,376
28,2024-10-11 10:00:00-04:00,206.52,206.9,206.27,206.76,15313.0,206.64,87
29,2024-10-11 10:15:00-04:00,206.76,207.13,206.69,207.03,24286.0,206.827,181
30,2024-10-11 10:30:00-04:00,207.1,207.15,206.76,207.14,34266.0,207.007,205
31,2024-10-11 10:45:00-04:00,207.04,207.12,206.81,206.89,7254.0,206.959,58
32,2024-10-11 11:00:00-04:00,206.84,207.03,206.64,207.02,6556.0,206.781,59
33,2024-10-11 11:15:00-04:00,207.03,207.33,207.02,207.32,14887.0,207.151,95
34,2024-10-11 11:30:00-04:00,207.33,207.59,207.15,207.49,12345.0,207.368,76
35,2024-10-11 11:45:00-04:00,207.5,207.95,207.42,207.86,13835.0,207.63,98
36,2024-10-11 12:00:00-04:00,207.81,207.86,207.24,207.24,14031.0,207.606,88
37,2024-10-11 12:15:00-04:00,207.25,207.33,206.9,206.96,5878.0,207.031,51
38,2024-10-11 12:30:00-04:00,207.0,207.18,206.89,206.91,3170.0,207.013,24
39,2024-10-11 12:45:00-04:00,206.89,207.01,206.75,206.99,6960.0,206.875,34
40,2024-10-11 13:00:00-04:00,207.05,207.05,206.43,206.51,5156.0,206.676,26
41,2024-10-11 13:15:00-04:00,206.51,206.64,206.45,206.56,7418.0,206.503,49
42,2024-10-11 13:30:00-04:00,206.64,206.82,206.56,206.82,4059.0,206.665,37
43,2024-10-11 13:45:00-04:00,206.87,206.96,206.57,206.64,6034.0,206.704,47
44,2024-10-11 14:00:00-04:00,206.66,206.92,206.66,206.82,5310.0,206.757,49
45,2024-10-11 14:15:00-04:00,206.87,206.99,206.74,206.78,3669.0,206.819,34
46,2024-10-11 14:30:00-04:00,206.78,206.79,206.44,206.63,6360.0,206.622,53
47,2024-10-11 14:45:00-04:00,206.56,206.78,206.43,206.77,5334.0,206.602,45
48,2024-10-11 15:00:00-04:00,206.77,207.06,206.75,207.06,7729.0,206.908,69
49,2024-10-11 15:15:00-04:00,207.06,207.18,206.96,206.99,11146.0,207.033,85
50,2024-10-11 15:30:00-04:00,206.96,207.39,206.92,207.38,10824.0,207.234,90
51,2024-10-11 15:45:00-04:00,207.38,208.05,207.21,208.05,169973.0,207.832,1145
52,2024-10-14 09:30:00-04:00,208.52,209.29,208.25,208.83,22452.0,208.69,113
53,2024-10-14 09:45:00-04:00,208.82,209.08,208.57,208.98,8554.0,208.801,72
54,2024-10-14 10:00:00-04:00,209.05,209.76,209.05,209.71,14094.0,209.425,112
55,2024-10-14 10:15:00-04:00,209.67,210.11,209.57,209.89,5051.0,209.857,40
56,2024-10-14 10:30:00-04:00,209.9,210.39,209.87,209.95,8815.0,210.14,65
