,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,149.28,149.28,148.79,148.84,6721.0,149.145,26
1,2024-10-10 09:45:00-04:00,148.84,148.98,148.02,148.19,9700.0,148.71,74
2,2024-10-10 10:00:00-04:00,148.08,148.34,147.89,148.12,4587.0,148.192,43
3,2024-10-10 10:15:00-04:00,148.03,148.09,147.91,147.96,2243.0,148.024,19
4,2024-10-10 10:30:00-04:00,148.04,148.2,148.0,148.09,1156.0,148.094,10
5,2024-10-10 10:45:00-04:00,147.9,147.99,147.52,147.72,1947.0,147.837,19
6,2024-10-10 11:00:00-04:00,147.79,148.15,147.79,148.14,1446.0,148.005,12
7,2024-10-10 11:15:00-04:00,148.2,148.28,147.93,147.94,1576.0,148.036,13
8,2024-10-10 11:30:00-04:00,147.83,147.88,147.73,147.73,1655.0,147.785,11
9,2024-10-10 11:45:00-04:00,147.68,147.81,147.56,147.57,3010.0,147.709,28
10,2024-10-10 12:00:00-04:00,147.62,147.79,147.5,147.79,11396.0,147.612,42
11,2024-10-10 12:15:00-04:00,147.66,147.79,147.64,147.74,4645.0,147.687,23
12,2024-10-10 12:30:00-04:00,147.76,147.79,147.46,147.46,3285.0,147.676,32
13,2024-10-10 12:45:00-04:00,147.4,147.46,147.34,147.46,7029.0,147.362,26
14,2024-10-10 13:00:00-04:00,147.45,147.45,147.34,147.34,1512.0,147.37,14
15,2024-10-10 13:15:00-04:00,147.3,147.56,147.3,147.5,1841.0,147.413,17
16,2024-10-10 13:30:00-04:00,147.6,147.82,147.6,147.81,648.0,147.711,6
17,2024-10-10 13:45:00-04:00,147.78,147.78,147.57,147.74,2461.0,147.707,19
18,2024-10-10 14:00:00-04:00,147.69,147.73,147.66,147.68,1319.0,147.68,13
19,2024-10-10 14:15:00-04:00,147.58,147.75,147.58,147.61,1032.0,147.673,8
20,2024-10-10 14:30:00-04:00,147.68,147.73,147.59,147.66,2420.0,147.668,17
21,2024-10-10 14:45:00-04:00,147.69,147.79,147.68,147.79,2003.0,147.719,17
22,2024-10-10 15:00:00-04:00,147.75,147.93,147.68,147.68,2423.0,147.813,24
23,2024-10-10 15:15:00-04:00,147.69,147.69,147.59,147.64,3055.0,147.645,28
24,2024-10-10 15:30:00-04:00,147.64,147.97,147.63,147.81,6590.0,147.815,59
25,2024-10-10 15:45:00-04:00,147.84,148.15,147.76,147.79,42146.0,147.925,305
26,2024-10-11 09:30:00-04:00,148.55,149.44,148.55,149.06,11172.0,148.675,18
27,2024-10-11 09:45:00-04:00,149.19,149.19,148.9,148.92,1057.0,149.003,9
28,2024-10-11 10:00:00-04:00,148.92,149.07,148.74,148.96,7078.0,148.938,63
29,2024-10-11 10:15:00-04:00,149.09,149.18,148.9,149.18,4361.0,149.057,39
30,2024-10-11 10:30:00-04:00,149.16,149.19,148.97,149.09,4404.0,149.092,38
31,2024-10-11 10:45:00-04:00,149.18,149.19,149.01,149.02,3094.0,149.131,29
32,2024-10-11 11:00:00-04:00,148.88,148.98,148.8,148.83,5763.0,148.849,43
33,2024-10-11 11:15:00-04:00,148.78,148.84,148.75,148.77,2807.0,148.776,23
34,2024-10-11 11:30:00-04:00,148.75,148.77,148.51,148.59,16292.0,148.678,67
35,2024-10-11 11:45:00-04:00,148.59,148.6,148.3,148.44,5224.0,148.446,51
36,2024-10-11 12:00:00-04:00,148.44,148.59,148.17,148.17,4784.0,148.389,44
37,2024-10-11 12:15:00-04:00,148.14,148.14,148.0,148.04,2380.0,148.063,23
38,2024-10-11 12:30:00-04:00,148.03,148.11,148.0,148.03,1813.0,148.046,18
39,2024-10-11 12:45:00-04:00,147.99,147.99,147.85,147.87,2410.0,147.902,23
40,2024-10-11 13:00:00-04:00,147.87,147.94,147.81,147.9,2430.0,147.861,23
41,2024-10-11 13:15:00-04:00,147.83,147.83,147.68,147.78,4727.0,147.757,31
42,2024-10-11 13:30:00-04:00,147.79,148.25,147.73,148.25,5001.0,147.955,49
43,2024-10-11 13:45:00-04:00,148.3,148.31,148.18,148.28,3012.0,148.268,26
44,2024-10-11 14:00:00-04:00,148.25,148.29,148.25,148.29,1779.0,148.271,17
45,2024-10-11 14:15:00-04:00,148.29,148.43,148.17,148.18,3050.0,148.282,30
46,2024-10-11 14:30:00-04:00,148.21,148.35,148.21,148.34,2955.0,148.271,26
47,2024-10-11 14:45:00-04:00,148.35,148.65,148.35,148.64,4293.0,148.486,31
48,2024-10-11 15:00:00-04:00,148.56,148.66,148.51,148.63,4771.0,148.618,31
49,2024-10-11 15:15:00-04:00,148.63,148.66,148.43,148.43,5959.0,148.6,51
50,2024-10-11 15:30:00-04:00,148.41,148.47,148.3,148.35,8301.0,148.376,80
51,2024-10-11 15:45:00-04:00,148.28,148.69,148.14,148.65,72044.0,148.462,496
52,2024-10-14 09:30:00-04:00,149.21,149.21,147.02,147.7,12581.0,148.142,49
53,2024-10-14 09:45:00-04:00,147.4,147.79,147.08,147.52,4545.0,147.501,26
54,2024-10-14 10:00:00-04:00,147.55,148.14,147.44,148.07,11908.0,147.793,62
55,2024-10-14 10:15:00-04:00,148.07,148.43,148.07,148.25,9859.0,148.288,76
56,2024-10-14 10:30:00-04:00,148.16,148.38,148.02,148.38,7139.0,148.181,51
57,2024-10-14 10:45:00-04:00,148.23,148.98,148.23,148.98,39867.0,148.562,151
58,2024-10-14 11:00:00-04:00,148.84,149.29,148.73,148.93,20974.0,149.016,127
59,2024-10-14 11:15:00-04:00,149.02,149.52,148.93,149.49,10150.0,149.244,62
60,2024-10-14 11:30:00-04:00,149.33,149.5,149.22,149.43,14291.0,149.364,66
61,2024-10-14 11:45:00-04:00,149.5,149.95,149.35,149.35,76219.0,149.737,423
62,2024-10-14 12:00:00-04:00,149.36,149.36,149.19,149.27,4853.0,149.267,36
