,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,69.16,69.58,68.57,69.58,66202.0,69.118,297
1,2024-10-10 09:45:00-04:00,69.58,70.0,69.14,69.48,318353.0,69.307,487
2,2024-10-10 10:00:00-04:00,69.38,69.77,69.32,69.44,310500.0,69.544,937
3,2024-10-10 10:15:00-04:00,69.45,69.51,69.19,69.2,66960.0,69.433,251
4,2024-10-10 10:30:00-04:00,69.24,69.48,69.24,69.47,27296.0,69.29,170
5,2024-10-10 10:45:00-04:00,69.43,69.53,69.22,69.23,41730.0,69.421,260
6,2024-10-10 11:00:00-04:00,69.24,69.56,69.16,69.54,83398.0,69.405,591
7,2024-10-10 11:15:00-04:00,69.55,69.57,69.09,69.14,49718.0,69.312,375
8,2024-10-10 11:30:00-04:00,69.14,69.51,69.14,69.41,93095.0,69.404,652
9,2024-10-10 11:45:00-04:00,69.41,69.51,69.41,69.47,89037.0,69.479,488
10,2024-10-10 12:00:00-04:00,69.48,69.52,69.43,69.47,21470.0,69.48,158
11,2024-10-10 12:15:00-04:00,69.49,69.53,69.44,69.44,26229.0,69.484,190
12,2024-10-10 12:30:00-04:00,69.45,69.54,69.35,69.47,41962.0,69.442,232
13,2024-10-10 12:45:00-04:00,69.46,69.47,69.38,69.41,15989.0,69.434,128
14,2024-10-10 13:00:00-04:00,69.42,69.42,69.13,69.21,30833.0,69.234,204
15,2024-10-10 13:15:00-04:00,69.2,69.26,69.13,69.2,72984.0,69.222,541
16,2024-10-10 13:30:00-04:00,69.2,69.42,69.18,69.31,34429.0,69.287,199
17,2024-10-10 13:45:00-04:00,69.32,69.53,68.9,69.51,1493952.0,68.915,559
18,2024-10-10 14:00:00-04:00,69.48,69.53,69.08,69.11,30905.0,69.296,243
19,2024-10-10 14:15:00-04:00,69.11,69.32,68.96,69.2,58246.0,69.143,408
20,2024-10-10 14:30:00-04:00,69.22,69.46,69.19,69.45,127736.0,69.363,336
21,2024-10-10 14:45:00-04:00,69.45,69.53,69.4,69.47,40387.0,69.454,232
22,2024-10-10 15:00:00-04:00,69.47,69.52,69.42,69.44,34169.0,69.474,257
23,2024-10-10 15:15:00-04:00,69.44,69.5,69.4,69.47,35609.0,69.467,271
24,2024-10-10 15:30:00-04:00,69.46,69.51,69.39,69.48,72904.0,69.482,514
25,2024-10-10 15:45:00-04:00,69.49,69.64,69.46,69.53,299273.0,69.536,1908
26,2024-10-11 09:30:00-04:00,69.96,70.02,69.34,69.47,76467.0,69.824,315
27,2024-10-11 09:45:00-04:00,69.43,69.48,69.21,69.29,32522.0,69.341,218
28,2024-10-11 10:00:00-04:00,69.27,69.75,69.06,69.63,64897.0,69.541,407
29,2024-10-11 10:15:00-04:00,69.64,69.84,69.54,69.57,128123.0,69.719,682
30,2024-10-11 10:30:00-04:00,69.56,69.72,69.4,69.42,67105.0,69.597,436
31,2024-10-11 10:45:00-04:00,69.44,69.92,69.43,69.69,82430.0,69.672,485
32,2024-10-11 11:00:00-04:00,69.69,69.79,69.49,69.76,166328.0,69.669,840
33,2024-10-11 11:15:00-04:00,69.78,69.87,69.65,69.76,52269.0,69.787,348
34,2024-10-11 11:30:00-04:00,69.72,69.99,69.72,69.94,87419.0,69.85,439
35,2024-10-11 11:45:00-04:00,69.94,70.0,69.87,69.87,57584.0,69.952,394
36,2024-10-11 12:00:00-04:00,69.88,69.91,69.72,69.76,64619.0,69.819,387
37,2024-10-11 12:15:00-04:00,69.75,69.79,69.59,69.62,25522.0,69.699,153
38,2024-10-11 12:30:00-04:00,69.63,69.63,69.51,69.51,19182.0,69.567,120
39,2024-10-11 12:45:00-04:00,69.52,69.52,69.28,69.41,32549.0,69.437,198
40,2024-10-11 13:00:00-04:00,69.41,69.52,69.36,69.51,29317.0,69.441,196
41,2024-10-11 13:15:00-04:00,69.52,69.52,69.41,69.43,31484.0,69.466,241
42,2024-10-11 13:30:00-04:00,69.43,69.5,69.4,69.41,47785.0,69.458,259
43,2024-10-11 13:45:00-04:00,69.42,69.5,69.36,69.4,43737.0,69.427,271
44,2024-10-11 14:00:00-04:00,69.38,69.5,69.32,69.45,36200.0,69.421,252
45,2024-10-11 14:15:00-04:00,69.45,69.57,69.45,69.56,117006.0,69.511,669
46,2024-10-11 14:30:00-04:00,69.56,69.7,69.47,69.69,50719.0,69.571,379
47,2024-10-11 14:45:00-04:00,69.69,69.71,69.5,69.6,61683.0,69.595,416
48,2024-10-11 15:00:00-04:00,69.6,69.69,69.56,69.65,66653.0,69.606,480
49,2024-10-11 15:15:00-04:00,69.65,69.67,69.61,69.62,48200.0,69.646,350
50,2024-10-11 15:30:00-04:00,69.62,69.65,69.54,69.54,54005.0,69.584,391
51,2024-10-11 15:45:00-04:00,69.55,69.55,69.16,69.21,456495.0,69.319,2811
52,2024-10-14 09:30:00-04:00,69.81,69.81,68.76,68.82,143736.0,69.239,484
53,2024-10-14 09:45:00-04:00,68.78,69.01,68.62,68.78,72862.0,68.818,388
54,2024-10-14 10:00:00-04:00,68.79,69.3,68.78,69.13,137736.0,69.047,624
55,2024-10-14 10:15:00-04:00,69.09,69.22,69.05,69.06,48006.0,69.124,305
56,2024-10-14 10:30:00-04:00,69.04,69.19,68.94,68.97,72007.0,69.056,423
57,2024-10-14 10:45:00-04:00,68.98,69.48,68.85,69.11,183358.0,69.197,681
58,2024-10-14 11:00:00-04:00,69.08,69.18,68.97,69.17,78444.0,69.057,468
59,2024-10-14 11:15:00-04:00,69.18,69.36,69.11,69.2,43051.0,69.235,251
60,2024-10-14 11:30:00-04:00,69.19,69.37,68.86,68.9,69438.0,69.157,408
61,2024-10-14 11:45:00-04:00,68.94,68.98,68.69,68.73,35910.0,68.802,253
62,2024-10-14 12:00:00-04:00,68.72,68.76,68.49,68.57,69446.0,68.608,472
63,2024-10-14 12:15:00-04:00,68.57,68.6,68.25,68.27,63476.0,68.432,422
64,2024-10-14 12:30:00-04:00,68.28,68.55,68.19,68.41,67989.0,68.334,419
65,2024-10-14 12:45:00-04:00,68.43,68.68,68.39,68.67,28571.0,68.538,209
66,2024-10-14 13:00:00-04:00,68.7,68.81,68.56,68.63,38188.0,68.66,274
67,2024-10-14 13:15:00-04:00,68.63,68.86,68.62,68.76,34516.0,68.752,232
68,2024-10-14 13:30:00-04:00,68.74,68.79,68.58,68.66,39413.0,68.696,281
69,2024-10-14 13:45:00-04:00,68.67,68.7,68.51,68.68,34753.0,68.605,243
70,2024-10-14 14:00:00-04:00,68.66,68.73,68.59,68.7,73202.0,68.658,431
71,2024-10-14 14:15:00-04:00,68.7,68.91,68.67,68.86,36288.0,68.791,248
72,2024-10-14 14:30:00-04:00,68.85,68.86,68.62,68.71,69890.0,68.709,406
73,2024-10-14 14:45:00-04:00,68.72,68.87,68.69,68.82,104221.0,68.759,618
74,2024-10-14 15:00:00-04:00,68.84,69.02,68.74,68.75,62226.0,68.888,421
75,2024-10-14 15:15:00-04:00,68.75,69.06,68.75,69.06,75598.0,68.826,450
76,2024-10-14 15:30:00-04:00,69.05,69.2,68.99,69.06,98126.0,69.086,647
77,2024-10-14 15:45:00-04:00,69.08,69.22,68.93,69.17,360720.0,69.118,2066
78,2024-10-15 09:30:00-04:00,69.08,69.09,68.02,68.43,167333.0,68.416,568
79,2024-10-15 09:45:00-04:00,68.44,68.98,68.38,68.66,126111.0,68.641,689
80,2024-10-15 10:00:00-04:00,68.66,68.86,68.4,68.76,64121.0,68.653,371
81,2024-10-15 10:15:00-04:00,68.73,68.78,68.38,68.53,55542.0,68.588,355
82,2024-10-15 10:30:00-04:00,68.55,68.62,68.35,68.45,63838.0,68.496,438
83,2024-10-15 10:45:00-04:00,68.45,68.45,68.17,68.19,56591.0,68.308,340
84,2024-10-15 11:00:00-04:00,68.2,68.2,67.95,68.08,134018.0,68.062,642
85,2024-10-15 11:15:00-04:00,68.09,68.44,68.05,68.23,69441.0,68.201,483
86,2024-10-15 11:30:00-04:00,68.23,68.27,68.05,68.08,73641.0,68.156,575
87,2024-10-15 11:45:00-04:00,68.08,68.1,67.85,67.94,66059.0,67.957,439
88,2024-10-15 12:00:00-04:00,67.93,68.1,67.86,68.08,63760.0,67.979,406
89,2024-10-15 12:15:00-04:00,68.1,68.11,67.94,67.98,83340.0,68.003,646
90,2024-10-15 12:30:00-04:00,67.97,68.13,67.87,67.9,81588.0,68.002,495
91,2024-10-15 12:45:00-04:00,67.9,67.98,67.85,67.85,37526.0,67.897,238
92,2024-10-15 13:00:00-04:00,67.86,67.9,67.58,67.7,94436.0,67.74,528
93,2024-10-15 13:15:00-04:00,67.72,67.97,67.7,67.9,61462.0,67.846,422
94,2024-10-15 13:30:00-04:00,67.88,68.29,67.83,68.25,87036.0,68.061,574
95,2024-10-15 13:45:00-04:00,68.25,68.28,67.95,68.01,139953.0,68.058,896
96,2024-10-15 14:00:00-04:00,68.01,68.04,67.46,67.7,215455.0,67.713,1287
97,2024-10-15 14:15:00-04:00,67.7,67.75,67.53,67.61,79889.0,67.634,498
98,2024-10-15 14:30:00-04:00,67.62,67.7,67.4,67.55,109236.0,67.529,655
99,2024-10-15 14:45:00-04:00,67.56,67.61,67.46,67.52,122298.0,67.541,838
100,2024-10-15 15:00:00-04:00,67.55,67.58,67.3,67.35,152253.0,67.448,935
