date,open,high,low,close,volume,average,barCount
2022-12-12 09:30:00-05:00,34.11,34.46,33.07,34.07,175609.0,33.832,564
2022-12-12 09:45:00-05:00,34.07,34.59,33.91,34.45,108497.0,34.281,379
2022-12-12 10:00:00-05:00,34.43,34.6,33.89,33.89,69526.0,34.306,478
2022-12-12 10:15:00-05:00,33.87,34.28,33.77,34.26,68803.0,33.997,531
2022-12-12 10:30:00-05:00,34.26,34.39,34.07,34.13,34830.0,34.236,271
2022-12-12 10:45:00-05:00,34.15,34.21,33.98,34.15,52583.0,34.097,323
2022-12-12 11:00:00-05:00,34.16,34.37,33.96,34.1,50188.0,34.108,352
2022-12-12 11:15:00-05:00,34.1,34.12,33.89,34.01,42375.0,33.997,232
2022-12-12 11:30:00-05:00,33.98,34.42,33.92,34.22,34912.0,34.163,170
2022-12-12 11:45:00-05:00,34.22,34.41,34.18,34.39,21250.0,34.295,171
2022-12-12 12:00:00-05:00,34.37,34.49,34.12,34.19,27662.0,34.307,189
2022-12-12 12:15:00-05:00,34.2,34.34,34.13,34.21,25255.0,34.223,188
2022-12-12 12:30:00-05:00,34.22,34.27,34.09,34.27,23549.0,34.167,168
2022-12-12 12:45:00-05:00,34.28,34.45,34.24,34.32,27044.0,34.339,215
2022-12-12 13:00:00-05:00,34.33,34.6,34.2,34.57,41031.0,34.401,281
2022-12-12 13:15:00-05:00,34.57,34.78,34.56,34.7,51151.0,34.672,333
2022-12-12 13:30:00-05:00,34.7,34.99,34.69,34.89,47170.0,34.887,315
2022-12-12 13:45:00-05:00,34.89,35.03,34.76,34.82,37942.0,34.922,286
2022-12-12 14:00:00-05:00,34.81,34.86,34.56,34.66,42974.0,34.672,265
2022-12-12 14:15:00-05:00,34.63,34.85,34.59,34.81,41087.0,34.763,298
2022-12-12 14:30:00-05:00,34.82,34.82,34.51,34.52,36510.0,34.607,290
2022-12-12 14:45:00-05:00,34.52,34.59,34.38,34.57,56695.0,34.497,447
2022-12-12 15:00:00-05:00,34.57,34.7,34.33,34.37,57511.0,34.549,462
2022-12-12 15:15:00-05:00,34.37,34.41,34.19,34.41,75219.0,34.291,564
2022-12-12 15:30:00-05:00,34.39,34.66,34.33,34.48,79651.0,34.511,544
2022-12-12 15:45:00-05:00,34.47,34.69,34.34,34.58,293557.0,34.594,1528
2022-12-13 09:30:00-05:00,35.51,36.16,35.36,35.7,50093.0,35.602,254
2022-12-13 09:45:00-05:00,35.7,35.84,35.42,35.5,32929.0,35.588,244
2022-12-13 10:00:00-05:00,35.5,35.63,35.4,35.5,28672.0,35.521,239
2022-12-13 10:15:00-05:00,35.45,35.5,34.97,35.03,27823.0,35.219,205
2022-12-13 10:30:00-05:00,35.07,35.22,34.84,34.95,24035.0,35.051,202
2022-12-13 10:45:00-05:00,35.01,35.2,34.87,35.11,22684.0,35.05,173
2022-12-13 11:00:00-05:00,35.1,35.18,35.03,35.14,26860.0,35.1,216
2022-12-13 11:15:00-05:00,35.13,35.18,34.77,35.14,24169.0,35.014,200
2022-12-13 11:30:00-05:00,35.16,35.23,34.91,34.98,38171.0,35.09,260
2022-12-13 11:45:00-05:00,34.98,35.01,34.73,34.91,19350.0,34.834,169
2022-12-13 12:00:00-05:00,34.95,35.09,34.88,34.98,19164.0,34.989,142
2022-12-13 12:15:00-05:00,34.95,35.23,34.88,35.12,28623.0,35.037,213
2022-12-13 12:30:00-05:00,35.12,35.38,35.09,35.27,33273.0,35.251,245
2022-12-13 12:45:00-05:00,35.27,35.32,35.11,35.2,62662.0,35.259,239
2022-12-13 13:00:00-05:00,35.2,35.41,35.19,35.32,15637.0,35.308,131
2022-12-13 13:15:00-05:00,35.35,35.48,35.31,35.42,28892.0,35.426,171
2022-12-13 13:30:00-05:00,35.43,35.49,35.29,35.4,50972.0,35.325,94
2022-12-13 13:45:00-05:00,35.37,35.37,35.16,35.34,14219.0,35.252,124
2022-12-13 14:00:00-05:00,35.32,35.54,35.29,35.49,18235.0,35.428,154
2022-12-13 14:15:00-05:00,35.48,35.59,35.44,35.59,38792.0,35.496,265
2022-12-13 14:30:00-05:00,35.58,35.62,35.46,35.62,13426.0,35.527,111
2022-12-13 14:45:00-05:00,35.64,35.68,35.45,35.52,21078.0,35.586,167
2022-12-13 15:00:00-05:00,35.5,35.54,35.33,35.44,28070.0,35.455,218
2022-12-13 15:15:00-05:00,35.42,35.62,35.4,35.56,51056.0,35.535,383
2022-12-13 15:30:00-05:00,35.56,35.93,35.56,35.87,140274.0,35.788,926
2022-12-13 15:45:00-05:00,35.87,35.94,35.42,35.51,280160.0,35.633,1896
2022-12-14 09:30:00-05:00,35.66,36.19,35.66,35.86,24515.0,35.898,139
2022-12-14 09:45:00-05:00,35.85,36.15,35.77,36.09,55271.0,35.972,221
2022-12-14 10:00:00-05:00,36.1,36.13,35.63,35.75,44618.0,35.875,223
2022-12-14 10:15:00-05:00,35.75,35.95,35.57,35.8,25079.0,35.746,231
2022-12-14 10:30:00-05:00,35.78,36.15,35.78,36.04,21604.0,35.999,150
2022-12-14 10:45:00-05:00,36.01,36.3,35.98,36.23,23725.0,36.131,162
2022-12-14 11:00:00-05:00,36.24,36.38,36.13,36.22,15822.0,36.254,100
2022-12-14 11:15:00-05:00,36.23,36.38,36.19,36.29,17847.0,36.278,155
2022-12-14 11:30:00-05:00,36.27,36.32,36.06,36.06,27694.0,36.216,227
2022-12-14 11:45:00-05:00,36.06,36.2,36.05,36.06,15893.0,36.12,137
2022-12-14 12:00:00-05:00,36.06,36.12,35.76,35.9,23031.0,35.964,185
2022-12-14 12:15:00-05:00,35.87,35.89,35.74,35.8,19397.0,35.822,169
2022-12-14 12:30:00-05:00,35.78,35.81,35.55,35.58,14370.0,35.684,125
2022-12-14 12:45:00-05:00,35.58,35.58,35.36,35.41,19712.0,35.456,164
2022-12-14 13:00:00-05:00,35.4,35.69,35.36,35.66,20260.0,35.561,167
2022-12-14 13:15:00-05:00,35.66,35.7,35.51,35.53,14871.0,35.612,131
2022-12-14 13:30:00-05:00,35.53,35.58,35.37,35.48,74838.0,35.456,252
2022-12-14 13:45:00-05:00,35.46,35.52,35.36,35.46,11724.0,35.448,98
2022-12-14 14:00:00-05:00,35.43,35.45,34.83,35.37,40230.0,35.12,298
2022-12-14 14:15:00-05:00,35.26,35.5,35.25,35.33,19194.0,35.386,155
