,date,open,high,low,close,volume,average,barCount
0,2009-12-14,14.49,14.49,13.98,14.23,1119700.0,14.153,6419
1,2009-12-15,14.12,14.21,13.99,14.05,1905100.0,14.044,8635
2,2009-12-16,14.2,14.48,14.09,14.43,2178300.0,14.333,9585
3,2009-12-17,14.3,14.7,14.26,14.31,1492000.0,14.432,8851
4,2009-12-18,14.33,15.22,14.3,15.07,3403500.0,15.006,14626
5,2009-12-21,15.08,15.46,15.05,15.44,1471400.0,15.293,7042
6,2009-12-22,15.46,15.55,15.22,15.28,1527200.0,15.306,8546
7,2009-12-23,15.34,15.5,15.2,15.44,902800.0,15.365,5288
8,2009-12-24,15.44,15.55,15.22,15.37,350700.0,15.31,1865
9,2009-12-28,15.4,15.42,15.0,15.16,845100.0,15.123,4864
10,2009-12-29,15.15,15.4,15.13,15.32,1043100.0,15.304,5085
11,2009-12-30,15.2,15.27,14.89,15.04,1158800.0,15.029,6148
12,2009-12-31,15.08,15.13,14.91,14.92,1124300.0,15.026,5450
13,2010-01-04,14.41,14.8,14.2,14.64,3813700.0,14.554,17228
14,2010-01-05,14.58,14.6,14.3,14.36,2345600.0,14.383,11094
15,2010-01-06,14.73,14.87,14.41,14.68,3072000.0,14.604,15025
16,2010-01-07,14.73,14.89,14.55,14.69,1576800.0,14.662,8675
17,2010-01-08,14.39,14.59,14.23,14.43,1783000.0,14.376,9946
18,2010-01-11,14.45,14.56,14.26,14.45,1626700.0,14.376,8183
19,2010-01-12,14.39,14.63,14.3,14.46,857700.0,14.487,5016
20,2010-01-13,14.47,14.83,14.46,14.81,1078700.0,14.694,6062
21,2010-01-14,14.87,15.52,14.81,15.45,2899900.0,15.293,16714
22,2010-01-15,15.45,15.45,15.01,15.18,1703600.0,15.161,9946
23,2010-01-19,15.23,15.45,15.11,15.31,3351200.0,15.271,16782
24,2010-01-20,16.61,17.47,16.54,17.26,11513900.0,17.071,48779
25,2010-01-21,17.31,17.61,17.07,17.42,3773600.0,17.402,18283
26,2010-01-22,17.37,17.49,16.9,16.91,2626000.0,17.04,11124
27,2010-01-25,17.09,17.09,16.4,16.55,4119000.0,16.554,14651
28,2010-01-26,16.48,16.95,16.4,16.83,2244600.0,16.803,10134
29,2010-01-27,16.74,16.87,16.43,16.56,1821700.0,16.587,9081
30,2010-01-28,16.57,16.77,16.36,16.55,1694700.0,16.612,10095
31,2010-01-29,16.59,16.91,16.31,16.32,1005300.0,16.563,6040
32,2010-02-01,16.37,16.83,16.32,16.8,982800.0,16.667,5701
33,2010-02-02,16.83,16.9,16.61,16.83,1521300.0,16.805,7952
34,2010-02-03,16.7,16.91,16.7,16.83,1308300.0,16.818,6971
35,2010-02-04,16.71,16.76,16.18,16.19,1646300.0,16.381,8978
36,2010-02-05,16.2,16.47,16.06,16.3,2629500.0,16.281,10854
37,2010-02-08,16.3,16.6,16.13,16.3,1252000.0,16.359,7096
38,2010-02-09,16.76,17.09,16.58,17.0,2133000.0,16.89,11958
39,2010-02-10,17.0,17.31,16.94,17.15,1436100.0,17.147,7470
40,2010-02-11,17.09,17.55,17.01,17.54,1356700.0,17.408,7796
41,2010-02-12,17.34,17.87,17.18,17.81,1440100.0,17.68,8640
42,2010-02-16,18.07,18.34,18.02,18.08,1730400.0,18.156,8448
43,2010-02-17,18.04,18.27,18.04,18.22,1373700.0,18.159,6322
44,2010-02-18,18.22,18.34,18.08,18.24,1421700.0,18.236,6562
45,2010-02-19,18.18,18.41,18.13,18.25,846200.0,18.233,4699
46,2010-02-22,18.31,18.34,18.05,18.18,773900.0,18.193,4806
47,2010-02-23,18.11,18.36,17.92,17.95,1456300.0,18.078,7326
48,2010-02-24,18.04,18.24,17.95,18.14,964500.0,18.118,5158
49,2010-02-25,18.01,18.22,17.8,18.17,1211200.0,18.023,7670
50,2010-02-26,18.12,18.34,17.99,18.11,1186300.0,18.146,6977
51,2010-03-01,18.13,18.36,17.96,18.23,1588400.0,18.213,8849
52,2010-03-02,18.18,18.27,17.82,17.84,1829500.0,17.969,9077
53,2010-03-03,17.91,17.97,17.74,17.85,1179200.0,17.866,6085
54,2010-03-04,17.93,18.25,17.82,18.08,2483000.0,18.078,9275
55,2010-03-05,18.2,18.49,18.09,18.27,2300400.0,18.335,10374
56,2010-03-08,18.3,19.45,18.27,19.37,3277100.0,19.163,17442
57,2010-03-09,19.28,19.63,19.09,19.13,1498600.0,19.312,8576
58,2010-03-10,19.1,19.54,19.05,19.45,1689000.0,19.332,9386
59,2010-03-11,19.36,20.07,19.32,20.0,1998500.0,19.913,10379
60,2010-03-12,20.1,20.2,19.68,19.72,1550300.0,19.857,8468
61,2010-03-15,19.91,19.91,19.39,19.67,959800.0,19.587,6289
62,2010-03-16,19.14,19.59,19.14,19.57,1411000.0,19.392,8662
63,2010-03-17,19.72,19.8,19.5,19.66,1108200.0,19.693,6203
64,2010-03-18,19.74,20.07,19.69,19.8,1113000.0,19.905,6624
65,2010-03-19,19.93,19.95,19.68,19.74,1322100.0,19.78,7865
66,2010-03-22,19.65,20.6,19.62,20.48,1564100.0,20.348,9866
67,2010-03-23,20.54,20.69,20.23,20.39,1544000.0,20.37,8450
68,2010-03-24,20.33,20.61,20.1,20.36,2233300.0,20.382,11617
69,2010-03-25,20.58,20.63,20.21,20.27,1641400.0,20.37,9444
70,2010-03-26,20.86,20.86,19.55,19.59,4131000.0,19.953,20723
71,2010-03-29,19.73,19.87,19.2,19.58,2896500.0,19.5,15491
72,2010-03-30,19.57,19.71,19.25,19.39,1531400.0,19.432,8990
73,2010-03-31,19.41,19.53,19.14,19.28,1317400.0,19.36,8429
74,2010-04-01,19.42,19.57,18.89,19.28,2032900.0,19.135,10944
75,2010-04-05,19.32,19.96,19.22,19.86,1565300.0,19.734,9583
76,2010-04-06,19.79,20.07,19.58,19.87,1024400.0,19.847,6459
77,2010-04-07,19.78,20.16,19.78,20.16,1881900.0,19.991,10239
78,2010-04-08,20.07,20.34,19.9,20.22,1424200.0,20.195,7683
79,2010-04-09,20.22,20.26,19.95,20.14,1141600.0,20.066,6809
80,2010-04-12,20.23,20.48,20.09,20.38,1055700.0,20.304,6593
81,2010-04-13,20.34,20.39,20.12,20.24,1635800.0,20.235,7225
82,2010-04-14,20.25,20.68,20.2,20.68,1410700.0,20.526,7586
83,2010-04-15,20.72,21.12,20.51,20.71,1117400.0,20.759,6407
84,2010-04-16,20.54,20.75,20.08,20.38,1272100.0,20.34,8665
85,2010-04-19,20.33,20.71,19.89,20.33,1901800.0,20.257,11168
86,2010-04-20,19.6,20.21,19.25,20.16,4885100.0,19.782,25030
87,2010-04-21,20.08,20.61,19.86,20.4,2797500.0,20.331,14511
88,2010-04-22,20.2,20.84,20.18,20.7,2701000.0,20.692,11787
89,2010-04-23,20.65,20.65,20.24,20.46,2057300.0,20.421,11400
90,2010-04-26,20.43,20.43,19.87,19.91,2458800.0,20.09,13701
91,2010-04-27,19.85,20.06,19.61,19.63,1986800.0,19.822,12061
92,2010-04-28,19.59,19.59,18.77,18.9,3240400.0,18.971,16911
93,2010-04-29,19.08,19.5,19.01,19.28,2080500.0,19.301,11788
94,2010-04-30,19.28,19.4,18.52,18.52,1695900.0,18.803,10047
95,2010-05-03,18.65,19.26,18.6,19.08,1409700.0,19.09,8120
96,2010-05-04,18.81,18.81,18.2,18.26,1606400.0,18.378,9534
97,2010-05-05,18.14,18.8,17.86,18.24,1487900.0,18.413,9772
98,2010-05-06,18.19,18.49,16.86,17.74,2108300.0,17.936,12447
99,2010-05-07,17.69,18.08,17.2,17.64,2220000.0,17.718,13725
100,2010-05-10,18.37,18.49,18.13,18.27,1121200.0,18.284,6788
101,2010-05-11,18.16,18.91,18.13,18.52,1105800.0,18.639,6722
102,2010-05-12,18.58,18.98,18.56,18.79,1581300.0,18.756,8967
103,2010-05-13,18.71,18.75,17.89,17.94,2992500.0,18.187,15894
104,2010-05-14,17.82,17.84,17.42,17.5,2152000.0,17.565,12332
105,2010-05-17,17.5,17.72,17.05,17.67,1827600.0,17.437,12029
106,2010-05-18,17.82,18.06,17.49,17.62,1941600.0,17.643,12433
107,2010-05-19,17.6,18.09,17.46,17.88,1926600.0,17.832,11295
108,2010-05-20,17.53,17.76,17.3,17.31,1958600.0,17.555,13173
109,2010-05-21,17.01,17.85,16.8,17.61,2340800.0,17.532,13721
110,2010-05-24,17.59,17.87,17.29,17.32,1393900.0,17.545,8392
111,2010-05-25,16.86,17.5,16.74,17.42,1342300.0,17.154,8856
112,2010-05-26,17.49,17.77,17.31,17.37,890200.0,17.539,5941
113,2010-05-27,17.65,17.97,17.5,17.97,614700.0,17.738,3917
114,2010-05-28,18.07,18.07,17.66,17.78,788400.0,17.845,5118
115,2010-06-01,17.69,17.8,17.28,17.28,1081700.0,17.505,7585
116,2010-06-02,17.4,17.76,17.3,17.7,806300.0,17.557,5051
117,2010-06-03,17.83,17.95,17.59,17.85,774300.0,17.807,5129
118,2010-06-04,17.56,17.7,16.99,17.19,1779600.0,17.284,9947
119,2010-06-07,16.69,16.88,15.83,15.85,2535500.0,16.215,14537
120,2010-06-08,15.79,16.38,15.68,16.37,3977500.0,15.991,17790
121,2010-06-09,16.43,16.88,16.43,16.54,1085600.0,16.626,7147
122,2010-06-10,16.77,16.91,16.31,16.64,1237200.0,16.574,7479
123,2010-06-11,16.23,16.85,16.23,16.79,1237700.0,16.629,8469
124,2010-06-14,16.9,17.11,16.82,16.84,947200.0,16.975,6814
125,2010-06-15,16.74,16.95,16.65,16.82,1673400.0,16.822,9310
126,2010-06-16,16.57,16.77,16.25,16.26,2211100.0,16.44,11708
127,2010-06-17,16.27,16.4,15.67,16.0,2934500.0,15.95,15061
128,2010-06-18,16.02,16.07,15.7,15.94,3022300.0,15.911,11969
129,2010-06-21,16.15,16.16,15.56,15.64,1498600.0,15.827,8297
130,2010-06-22,15.64,15.87,15.22,15.26,1481700.0,15.41,7576
131,2010-06-23,15.18,15.6,15.11,15.42,1801600.0,15.401,9805
132,2010-06-24,15.32,15.33,14.62,14.65,3004000.0,14.901,13223
133,2010-06-25,14.76,15.22,14.61,14.92,2273500.0,14.984,11243
134,2010-06-28,14.98,15.06,14.78,14.83,1602800.0,14.924,8522
135,2010-06-29,14.6,14.68,14.29,14.43,2012800.0,14.46,11494
136,2010-06-30,14.44,14.82,14.42,14.46,1713400.0,14.621,9018
137,2010-07-01,14.56,14.56,13.96,14.26,2563800.0,14.239,13571
138,2010-07-02,14.31,14.45,14.12,14.24,1320400.0,14.272,6992
139,2010-07-06,14.46,14.57,14.04,14.12,2053700.0,14.232,10801
140,2010-07-07,14.21,14.8,14.06,14.78,1994000.0,14.516,12068
141,2010-07-08,14.9,15.07,14.77,14.96,1133800.0,14.905,6746
142,2010-07-09,14.9,15.29,14.84,15.26,775800.0,15.124,4912
143,2010-07-12,15.23,15.43,15.04,15.36,1002000.0,15.269,5850
144,2010-07-13,15.56,15.95,15.55,15.85,1459100.0,15.843,7685
145,2010-07-14,15.76,15.95,15.63,15.83,1599800.0,15.828,8378
146,2010-07-15,15.87,16.14,15.56,16.08,2096200.0,15.941,10199
147,2010-07-16,15.98,16.0,15.5,15.53,1474900.0,15.658,8700
148,2010-07-19,15.54,15.75,15.28,15.37,1542200.0,15.469,8240
149,2010-07-20,15.15,15.54,14.97,15.51,2122500.0,15.287,8904
150,2010-07-21,15.57,15.63,15.28,15.34,1602000.0,15.503,8241
151,2010-07-22,15.49,16.31,15.49,16.26,2700200.0,16.03,11834
152,2010-07-23,16.19,16.44,16.01,16.24,1822200.0,16.212,9769
153,2010-07-26,16.35,16.5,16.18,16.42,1110100.0,16.374,5350
154,2010-07-27,16.57,16.6,16.31,16.43,1593300.0,16.477,9124
155,2010-07-28,16.36,16.53,15.98,16.1,1073100.0,16.271,6407
