,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,191.99,192.54,191.51,191.96,4814.0,191.985,24
1,2024-10-10 09:45:00-04:00,191.99,193.4,191.74,193.23,15606.0,192.989,74
2,2024-10-10 10:00:00-04:00,193.13,193.53,192.7,193.42,6183.0,193.105,57
3,2024-10-10 10:15:00-04:00,193.59,194.14,193.59,193.73,2922.0,193.92,28
4,2024-10-10 10:30:00-04:00,193.82,194.04,193.78,193.79,1658.0,193.927,16
5,2024-10-10 10:45:00-04:00,193.76,194.0,193.49,193.52,2899.0,193.734,23
6,2024-10-10 11:00:00-04:00,193.44,194.09,193.44,194.05,1200.0,193.782,12
7,2024-10-10 11:15:00-04:00,194.02,194.02,193.53,193.53,2477.0,193.666,14
8,2024-10-10 11:30:00-04:00,193.64,193.8,193.28,193.71,1875.0,193.539,18
9,2024-10-10 11:45:00-04:00,193.45,193.8,193.32,193.44,600.0,193.513,6
10,2024-10-10 12:00:00-04:00,193.44,193.62,193.13,193.62,2151.0,193.311,20
11,2024-10-10 12:15:00-04:00,193.6,193.63,193.53,193.55,1139.0,193.591,11
12,2024-10-10 12:30:00-04:00,193.55,193.83,193.55,193.57,2034.0,193.658,17
13,2024-10-10 12:45:00-04:00,193.44,193.45,193.22,193.22,1844.0,193.346,17
14,2024-10-10 13:00:00-04:00,193.01,193.11,192.92,192.92,707.0,193.025,7
15,2024-10-10 13:15:00-04:00,192.98,193.51,192.97,193.51,1825.0,193.253,17
16,2024-10-10 13:30:00-04:00,193.49,193.68,193.14,193.31,1690.0,193.417,16
17,2024-10-10 13:45:00-04:00,193.14,193.28,192.78,192.94,2515.0,193.029,24
18,2024-10-10 14:00:00-04:00,192.95,192.95,192.36,192.37,2028.0,192.688,16
19,2024-10-10 14:15:00-04:00,192.28,192.58,192.28,192.5,3141.0,192.495,18
20,2024-10-10 14:30:00-04:00,192.65,192.76,192.62,192.76,4570.0,192.679,35
21,2024-10-10 14:45:00-04:00,192.8,193.09,192.7,192.77,14593.0,192.821,40
22,2024-10-10 15:00:00-04:00,192.66,192.83,192.65,192.71,840.0,192.715,7
23,2024-10-10 15:15:00-04:00,192.61,192.88,192.57,192.77,4361.0,192.725,31
24,2024-10-10 15:30:00-04:00,192.69,193.13,192.62,193.02,10133.0,192.917,89
25,2024-10-10 15:45:00-04:00,193.02,193.36,192.56,192.87,57244.0,192.938,463
26,2024-10-11 09:30:00-04:00,193.1,194.75,193.1,194.01,16416.0,194.133,91
27,2024-10-11 09:45:00-04:00,194.11,194.18,193.77,194.11,6428.0,194.044,54
28,2024-10-11 10:00:00-04:00,194.12,194.37,193.79,194.37,15918.0,194.072,137
29,2024-10-11 10:15:00-04:00,194.37,194.48,194.23,194.26,4348.0,194.371,41
30,2024-10-11 10:30:00-04:00,194.44,195.17,194.27,195.1,25275.0,194.884,207
31,2024-10-11 10:45:00-04:00,195.06,195.21,194.92,195.09,6688.0,195.078,51
32,2024-10-11 11:00:00-04:00,194.93,195.23,194.56,195.0,17885.0,194.981,151
33,2024-10-11 11:15:00-04:00,195.01,195.12,194.93,195.03,21284.0,195.032,187
34,2024-10-11 11:30:00-04:00,195.03,195.19,194.72,195.04,19622.0,195.017,165
35,2024-10-11 11:45:00-04:00,195.0,195.13,194.85,194.88,25848.0,194.979,232
36,2024-10-11 12:00:00-04:00,194.91,194.91,194.38,194.41,5265.0,194.695,43
37,2024-10-11 12:15:00-04:00,194.32,194.36,193.79,194.11,16029.0,194.097,54
38,2024-10-11 12:30:00-04:00,194.38,195.15,194.29,195.02,5069.0,194.807,47
39,2024-10-11 12:45:00-04:00,195.03,196.02,194.98,195.69,8316.0,195.362,80
40,2024-10-11 13:00:00-04:00,195.86,195.92,195.11,195.16,5990.0,195.337,42
41,2024-10-11 13:15:00-04:00,195.16,195.18,194.71,194.8,6036.0,195.069,46
42,2024-10-11 13:30:00-04:00,194.77,195.16,194.65,195.04,12599.0,195.003,115
43,2024-10-11 13:45:00-04:00,195.16,195.22,194.84,195.03,24052.0,195.124,104
44,2024-10-11 14:00:00-04:00,195.06,195.22,194.91,195.06,4198.0,195.064,34
45,2024-10-11 14:15:00-04:00,195.06,195.14,194.63,194.65,6917.0,194.905,44
46,2024-10-11 14:30:00-04:00,194.74,194.79,194.18,194.43,33943.0,194.417,149
47,2024-10-11 14:45:00-04:00,194.43,194.47,194.28,194.44,8362.0,194.404,51
48,2024-10-11 15:00:00-04:00,194.43,194.53,194.15,194.42,14661.0,194.372,117
49,2024-10-11 15:15:00-04:00,194.42,194.57,194.2,194.52,25401.0,194.333,138
50,2024-10-11 15:30:00-04:00,194.53,194.64,194.3,194.4,13132.0,194.463,79
51,2024-10-11 15:45:00-04:00,194.4,195.03,194.18,195.0,60041.0,194.559,348
52,2024-10-14 09:30:00-04:00,195.85,195.85,195.31,195.31,2264.0,195.818,3
53,2024-10-14 09:45:00-04:00,196.22,196.22,194.99,195.3,3916.0,195.422,35
54,2024-10-14 10:00:00-04:00,195.3,196.0,195.08,195.53,12422.0,195.55,77
55,2024-10-14 10:15:00-04:00,195.53,195.89,195.12,195.25,23405.0,195.386,188
56,2024-10-14 10:30:00-04:00,195.24,195.88,194.65,195.88,15131.0,195.055,132
57,2024-10-14 10:45:00-04:00,195.78,196.16,194.81,195.05,8855.0,195.225,70
58,2024-10-14 11:00:00-04:00,194.92,194.99,194.7,194.78,17113.0,194.784,131
59,2024-10-14 11:15:00-04:00,194.83,195.46,194.65,195.46,58151.0,194.802,487
60,2024-10-14 11:30:00-04:00,195.41,195.44,194.87,195.11,4870.0,195.148,39
61,2024-10-14 11:45:00-04:00,195.05,195.33,195.03,195.16,4297.0,195.186,33
