,date,open,high,low,close,volume,average,barCount
0,2019-11-25,26.42,26.71,26.33,26.58,3618307.0,26.488,15689
1,2019-11-26,26.56,26.68,26.4,26.43,2964525.0,26.545,11765
2,2019-11-27,26.43,26.76,25.96,26.76,4373930.0,26.33,17161
3,2019-11-29,26.65,26.69,26.28,26.32,1379815.0,26.41,6189
4,2019-12-02,26.32,26.39,25.85,25.96,5607423.0,26.006,23967
5,2019-12-03,25.81,25.98,25.53,25.68,4644626.0,25.77,18156
6,2019-12-04,25.78,26.23,25.68,26.13,4495873.0,25.966,18939
7,2019-12-05,26.13,26.3,26.04,26.07,3344758.0,26.181,12619
8,2019-12-06,26.15,26.34,26.13,26.25,3523091.0,26.211,14704
9,2019-12-09,26.2,26.74,26.1,26.72,4445493.0,26.456,18094
10,2019-12-10,26.83,27.34,26.77,27.17,5902475.0,27.186,26230
11,2019-12-11,28.0,28.06,27.31,27.67,8181530.0,27.743,36522
12,2019-12-12,27.51,28.36,27.51,28.16,8023349.0,28.181,33362
13,2019-12-13,28.21,28.22,27.39,27.52,5060181.0,27.617,21975
14,2019-12-16,27.62,27.88,27.52,27.7,4126652.0,27.645,20185
15,2019-12-17,27.86,28.31,27.83,27.85,5256373.0,28.06,24062
16,2019-12-18,28.01,28.38,27.97,28.12,4048253.0,28.222,18244
17,2019-12-19,28.1,28.31,27.69,28.31,7277016.0,28.022,30637
18,2019-12-20,28.3,28.36,28.0,28.13,3909956.0,28.18,16569
19,2019-12-23,28.13,28.59,28.03,28.5,3778688.0,28.363,15337
20,2019-12-24,28.5,28.53,28.2,28.34,1457298.0,28.311,5944
21,2019-12-26,28.43,28.75,28.33,28.51,3671602.0,28.494,16917
22,2019-12-27,28.58,28.58,28.06,28.18,3072279.0,28.267,13140
23,2019-12-30,28.21,28.45,27.84,27.88,3851467.0,28.021,16554
24,2019-12-31,27.74,28.19,27.61,28.16,3543102.0,27.941,15593
25,2020-01-02,28.2,28.37,27.96,28.13,3564157.0,28.118,13846
26,2020-01-03,28.25,28.45,27.95,28.4,3076624.0,28.216,13314
27,2020-01-06,28.7,28.85,28.48,28.7,4048245.0,28.708,16420
