,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,50.29,50.63,50.08,50.49,77280.0,50.342,318
1,2024-10-10 09:45:00-04:00,50.41,50.52,50.15,50.15,78375.0,50.252,356
2,2024-10-10 10:00:00-04:00,50.13,50.39,50.13,50.3,75903.0,50.284,501
3,2024-10-10 10:15:00-04:00,50.3,50.49,50.14,50.48,85293.0,50.275,426
4,2024-10-10 10:30:00-04:00,50.52,50.57,50.31,50.33,25990.0,50.459,177
5,2024-10-10 10:45:00-04:00,50.31,50.31,50.07,50.15,38097.0,50.192,238
6,2024-10-10 11:00:00-04:00,50.14,50.44,50.02,50.42,50871.0,50.22,241
7,2024-10-10 11:15:00-04:00,50.41,50.43,50.11,50.12,26517.0,50.319,171
8,2024-10-10 11:30:00-04:00,50.08,50.19,50.04,50.14,53620.0,50.086,318
9,2024-10-10 11:45:00-04:00,50.13,50.16,50.06,50.12,19742.0,50.114,151
10,2024-10-10 12:00:00-04:00,50.11,50.25,50.1,50.19,77290.0,50.192,460
11,2024-10-10 12:15:00-04:00,50.18,50.2,50.04,50.2,37697.0,50.138,237
12,2024-10-10 12:30:00-04:00,50.2,50.33,50.07,50.22,66677.0,50.165,373
13,2024-10-10 12:45:00-04:00,50.2,50.23,49.9,49.95,66744.0,50.059,298
14,2024-10-10 13:00:00-04:00,49.95,50.07,49.94,50.02,60230.0,50.005,261
15,2024-10-10 13:15:00-04:00,50.0,50.21,49.97,50.19,22630.0,50.073,134
16,2024-10-10 13:30:00-04:00,50.18,50.19,50.02,50.06,30055.0,50.119,195
17,2024-10-10 13:45:00-04:00,50.04,50.07,49.87,49.98,42076.0,49.972,232
18,2024-10-10 14:00:00-04:00,49.95,49.95,49.64,49.65,53546.0,49.803,243
19,2024-10-10 14:15:00-04:00,49.65,49.76,49.57,49.73,61571.0,49.648,315
20,2024-10-10 14:30:00-04:00,49.72,49.84,49.69,49.77,36001.0,49.771,190
21,2024-10-10 14:45:00-04:00,49.77,49.85,49.73,49.75,40979.0,49.796,234
22,2024-10-10 15:00:00-04:00,49.74,49.86,49.64,49.85,68001.0,49.72,390
23,2024-10-10 15:15:00-04:00,49.84,49.84,49.66,49.67,49845.0,49.733,308
24,2024-10-10 15:30:00-04:00,49.66,49.7,49.56,49.64,71171.0,49.62,454
25,2024-10-10 15:45:00-04:00,49.64,49.9,49.58,49.63,296003.0,49.739,2032
26,2024-10-11 09:30:00-04:00,49.49,50.27,49.49,49.94,57795.0,49.809,221
27,2024-10-11 09:45:00-04:00,49.97,50.02,49.77,49.84,81908.0,49.879,290
28,2024-10-11 10:00:00-04:00,49.82,49.96,49.72,49.87,62745.0,49.82,307
29,2024-10-11 10:15:00-04:00,49.89,49.93,49.56,49.6,58048.0,49.687,376
30,2024-10-11 10:30:00-04:00,49.58,49.85,49.57,49.81,89843.0,49.693,477
31,2024-10-11 10:45:00-04:00,49.82,50.05,49.73,49.95,33516.0,49.928,230
32,2024-10-11 11:00:00-04:00,49.95,50.18,49.95,50.16,42224.0,50.094,233
33,2024-10-11 11:15:00-04:00,50.15,50.34,50.1,50.34,47291.0,50.2,312
34,2024-10-11 11:30:00-04:00,50.33,50.49,50.3,50.39,35470.0,50.403,256
35,2024-10-11 11:45:00-04:00,50.38,50.46,50.24,50.4,39758.0,50.372,248
36,2024-10-11 12:00:00-04:00,50.4,50.4,50.15,50.22,60005.0,50.24,353
37,2024-10-11 12:15:00-04:00,50.23,50.28,50.19,50.23,42958.0,50.236,301
38,2024-10-11 12:30:00-04:00,50.23,50.35,50.13,50.13,43255.0,50.248,285
39,2024-10-11 12:45:00-04:00,50.15,50.31,50.14,50.29,31583.0,50.224,242
40,2024-10-11 13:00:00-04:00,50.29,50.34,50.23,50.28,53437.0,50.299,395
41,2024-10-11 13:15:00-04:00,50.28,50.29,50.2,50.2,50763.0,50.238,312
42,2024-10-11 13:30:00-04:00,50.2,50.21,49.96,49.97,58903.0,50.095,413
43,2024-10-11 13:45:00-04:00,49.96,50.12,49.93,50.0,47592.0,50.013,341
44,2024-10-11 14:00:00-04:00,49.98,50.02,49.88,49.97,84386.0,49.961,514
45,2024-10-11 14:15:00-04:00,49.97,50.11,49.94,50.04,52509.0,50.015,389
46,2024-10-11 14:30:00-04:00,50.03,50.07,49.99,50.07,41814.0,50.036,298
47,2024-10-11 14:45:00-04:00,50.05,50.08,49.94,50.0,56580.0,50.009,456
48,2024-10-11 15:00:00-04:00,50.0,50.06,49.96,50.04,57473.0,50.006,442
49,2024-10-11 15:15:00-04:00,50.04,50.05,49.89,49.95,78813.0,49.948,601
50,2024-10-11 15:30:00-04:00,49.93,49.94,49.72,49.76,94270.0,49.822,636
51,2024-10-11 15:45:00-04:00,49.76,49.83,49.66,49.67,305776.0,49.737,1903
52,2024-10-14 09:30:00-04:00,49.6,49.6,48.06,48.16,234671.0,48.549,994
53,2024-10-14 09:45:00-04:00,48.14,48.58,48.11,48.5,108566.0,48.424,616
54,2024-10-14 10:00:00-04:00,48.5,49.21,48.43,49.04,148120.0,48.923,669
55,2024-10-14 10:15:00-04:00,49.05,49.19,48.92,49.13,92700.0,49.049,623
56,2024-10-14 10:30:00-04:00,49.13,49.25,48.95,49.17,62500.0,49.104,401
57,2024-10-14 10:45:00-04:00,49.17,49.24,49.07,49.08,53755.0,49.149,344
58,2024-10-14 11:00:00-04:00,49.08,49.34,49.05,49.31,38596.0,49.199,294
59,2024-10-14 11:15:00-04:00,49.32,49.37,49.13,49.14,34675.0,49.251,264
60,2024-10-14 11:30:00-04:00,49.12,49.17,49.03,49.16,40236.0,49.106,323
61,2024-10-14 11:45:00-04:00,49.17,49.3,49.14,49.16,43323.0,49.214,256
62,2024-10-14 12:00:00-04:00,49.16,49.38,49.16,49.34,34780.0,49.289,245
63,2024-10-14 12:15:00-04:00,49.36,49.5,49.3,49.42,45201.0,49.397,336
64,2024-10-14 12:30:00-04:00,49.43,49.46,49.28,49.29,61697.0,49.39,319
65,2024-10-14 12:45:00-04:00,49.3,49.5,49.21,49.23,50287.0,49.372,306
66,2024-10-14 13:00:00-04:00,49.25,49.43,49.24,49.26,24107.0,49.32,193
67,2024-10-14 13:15:00-04:00,49.26,49.3,49.19,49.2,29166.0,49.255,238
68,2024-10-14 13:30:00-04:00,49.2,49.21,49.09,49.1,28259.0,49.132,221
69,2024-10-14 13:45:00-04:00,49.1,49.14,49.03,49.06,29221.0,49.09,243
70,2024-10-14 14:00:00-04:00,49.05,49.24,48.98,49.23,73826.0,49.042,377
71,2024-10-14 14:15:00-04:00,49.23,49.28,49.13,49.21,42099.0,49.192,240
72,2024-10-14 14:30:00-04:00,49.21,49.27,49.17,49.21,29433.0,49.215,221
73,2024-10-14 14:45:00-04:00,49.21,49.31,49.21,49.25,21530.0,49.27,181
74,2024-10-14 15:00:00-04:00,49.23,49.25,49.13,49.2,61364.0,49.195,428
75,2024-10-14 15:15:00-04:00,49.21,49.38,49.17,49.33,67708.0,49.317,467
76,2024-10-14 15:30:00-04:00,49.33,49.44,49.33,49.38,61183.0,49.378,522
77,2024-10-14 15:45:00-04:00,49.38,49.66,49.35,49.59,355105.0,49.574,2549
78,2024-10-15 09:30:00-04:00,48.62,49.66,48.52,49.55,340933.0,49.078,1389
79,2024-10-15 09:45:00-04:00,49.53,50.73,49.53,50.65,230874.0,50.418,1372
80,2024-10-15 10:00:00-04:00,50.65,51.24,50.53,50.94,168750.0,50.891,935
81,2024-10-15 10:15:00-04:00,50.94,51.0,50.69,50.86,109491.0,50.858,654
82,2024-10-15 10:30:00-04:00,50.82,51.04,50.21,50.34,98065.0,50.603,643
83,2024-10-15 10:45:00-04:00,50.33,50.93,50.3,50.77,88546.0,50.63,540
84,2024-10-15 11:00:00-04:00,50.75,50.99,50.53,50.99,138787.0,50.739,665
85,2024-10-15 11:15:00-04:00,50.99,51.18,50.8,50.88,90186.0,50.998,737
86,2024-10-15 11:30:00-04:00,50.87,51.27,50.87,51.18,111031.0,51.116,733
87,2024-10-15 11:45:00-04:00,51.19,51.31,51.12,51.17,202578.0,51.223,743
88,2024-10-15 12:00:00-04:00,51.19,51.66,51.16,51.66,79720.0,51.414,516
89,2024-10-15 12:15:00-04:00,51.66,51.74,51.52,51.71,63175.0,51.626,398
90,2024-10-15 12:30:00-04:00,51.71,51.83,51.61,51.65,60672.0,51.751,393
91,2024-10-15 12:45:00-04:00,51.66,51.67,51.23,51.3,89446.0,51.442,603
92,2024-10-15 13:00:00-04:00,51.3,51.5,51.12,51.27,162966.0,51.282,662
93,2024-10-15 13:15:00-04:00,51.28,51.28,51.06,51.09,132807.0,51.187,539
94,2024-10-15 13:30:00-04:00,51.09,51.23,50.99,51.17,57401.0,51.105,337
95,2024-10-15 13:45:00-04:00,51.16,51.34,51.03,51.07,35896.0,51.174,256
96,2024-10-15 14:00:00-04:00,51.08,51.33,51.01,51.33,45683.0,51.191,361
97,2024-10-15 14:15:00-04:00,51.33,51.39,51.2,51.26,69330.0,51.317,482
98,2024-10-15 14:30:00-04:00,51.27,51.31,51.17,51.31,38231.0,51.248,313
99,2024-10-15 14:45:00-04:00,51.34,51.43,51.3,51.37,45878.0,51.368,333
100,2024-10-15 15:00:00-04:00,51.38,51.45,51.06,51.09,48961.0,51.286,363
101,2024-10-15 15:15:00-04:00,51.09,51.09,50.81,50.92,97354.0,50.965,664
102,2024-10-15 15:30:00-04:00,50.91,51.2,50.84,51.05,220899.0,51.003,1293
103,2024-10-15 15:45:00-04:00,51.06,51.36,50.97,51.33,583506.0,51.186,3599
104,2024-10-16 09:30:00-04:00,51.53,52.35,51.53,52.34,122697.0,51.993,626
105,2024-10-16 09:45:00-04:00,52.36,52.43,51.82,52.04,101766.0,52.091,603
106,2024-10-16 10:00:00-04:00,52.02,52.56,52.01,52.38,86073.0,52.366,603
107,2024-10-16 10:15:00-04:00,52.37,52.79,52.35,52.45,102161.0,52.616,690
108,2024-10-16 10:30:00-04:00,52.41,53.12,52.4,52.91,232073.0,52.871,1630
109,2024-10-16 10:45:00-04:00,52.91,53.01,52.74,52.93,131676.0,52.909,860
110,2024-10-16 11:00:00-04:00,52.92,53.24,52.83,53.19,110452.0,53.071,761
111,2024-10-16 11:15:00-04:00,53.18,53.19,52.51,52.59,90185.0,52.85,376
112,2024-10-16 11:30:00-04:00,52.57,52.71,52.45,52.46,29331.0,52.58,259
113,2024-10-16 11:45:00-04:00,52.46,52.47,52.29,52.43,26383.0,52.395,218
114,2024-10-16 12:00:00-04:00,52.43,52.44,52.2,52.26,23038.0,52.318,161
115,2024-10-16 12:15:00-04:00,52.26,52.47,52.24,52.35,27527.0,52.352,212
116,2024-10-16 12:30:00-04:00,52.34,52.48,52.31,52.48,35949.0,52.413,277
117,2024-10-16 12:45:00-04:00,52.48,52.55,52.39,52.5,29225.0,52.476,237
118,2024-10-16 13:00:00-04:00,52.5,52.57,52.3,52.54,35696.0,52.429,263
119,2024-10-16 13:15:00-04:00,52.54,52.71,52.46,52.63,35123.0,52.586,272
120,2024-10-16 13:30:00-04:00,52.64,52.71,52.6,52.71,20139.0,52.675,164
121,2024-10-16 13:45:00-04:00,52.71,52.72,52.54,52.57,44538.0,52.619,327
122,2024-10-16 14:00:00-04:00,52.57,52.59,52.52,52.54,33840.0,52.555,276
123,2024-10-16 14:15:00-04:00,52.54,52.62,52.31,52.34,77630.0,52.461,432
124,2024-10-16 14:30:00-04:00,52.34,52.61,52.31,52.61,36566.0,52.451,295
125,2024-10-16 14:45:00-04:00,52.6,52.78,52.6,52.74,36015.0,52.718,303
126,2024-10-16 15:00:00-04:00,52.74,52.89,52.73,52.78,55681.0,52.808,420
127,2024-10-16 15:15:00-04:00,52.78,52.78,52.61,52.68,58451.0,52.691,447
128,2024-10-16 15:30:00-04:00,52.68,52.83,52.66,52.75,78000.0,52.743,541
129,2024-10-16 15:45:00-04:00,52.75,52.79,52.47,52.52,253215.0,52.567,1892
130,2024-10-17 09:30:00-04:00,52.37,52.44,51.61,51.83,86223.0,52.018,441
131,2024-10-17 09:45:00-04:00,51.88,51.9,51.16,51.27,97442.0,51.467,605
132,2024-10-17 10:00:00-04:00,51.32,51.52,50.7,50.84,181319.0,50.969,1000
133,2024-10-17 10:15:00-04:00,50.81,50.97,50.62,50.84,141990.0,50.815,902
134,2024-10-17 10:30:00-04:00,50.84,50.95,50.55,50.65,114887.0,50.785,832
135,2024-10-17 10:45:00-04:00,50.67,50.87,50.65,50.66,61316.0,50.764,470
136,2024-10-17 11:00:00-04:00,50.66,50.73,50.44,50.54,196951.0,50.612,1004
137,2024-10-17 11:15:00-04:00,50.54,50.76,50.46,50.48,69174.0,50.573,495
138,2024-10-17 11:30:00-04:00,50.51,50.65,50.31,50.65,84792.0,50.495,578
139,2024-10-17 11:45:00-04:00,50.62,50.72,50.52,50.62,34534.0,50.622,239
140,2024-10-17 12:00:00-04:00,50.62,50.7,50.57,50.6,35105.0,50.643,224
141,2024-10-17 12:15:00-04:00,50.61,50.91,50.58,50.9,95582.0,50.755,367
142,2024-10-17 12:30:00-04:00,50.9,51.0,50.82,50.9,80364.0,50.925,398
143,2024-10-17 12:45:00-04:00,50.88,50.93,50.77,50.8,43350.0,50.844,328
144,2024-10-17 13:00:00-04:00,50.81,51.11,50.8,51.01,40191.0,50.948,297
145,2024-10-17 13:15:00-04:00,51.01,51.04,50.96,51.01,36996.0,50.999,306
146,2024-10-17 13:30:00-04:00,51.01,51.16,50.98,51.14,60651.0,51.093,462
147,2024-10-17 13:45:00-04:00,51.14,51.33,51.1,51.18,40748.0,51.208,298
148,2024-10-17 14:00:00-04:00,51.19,51.26,50.86,51.01,94989.0,51.024,628
149,2024-10-17 14:15:00-04:00,51.03,51.03,50.73,50.75,56496.0,50.845,350
150,2024-10-17 14:30:00-04:00,50.74,50.8,50.64,50.69,61375.0,50.727,450
151,2024-10-17 14:45:00-04:00,50.68,50.77,50.64,50.67,85739.0,50.696,625
152,2024-10-17 15:00:00-04:00,50.68,50.7,50.57,50.57,47493.0,50.625,359
153,2024-10-17 15:15:00-04:00,50.58,50.59,50.36,50.47,84947.0,50.46,607
154,2024-10-17 15:30:00-04:00,50.48,50.58,50.35,50.53,110725.0,50.453,798
155,2024-10-17 15:45:00-04:00,50.53,50.77,50.52,50.74,354503.0,50.67,2444
156,2024-10-18 09:30:00-04:00,50.92,51.27,50.59,51.07,56032.0,50.891,203
157,2024-10-18 09:45:00-04:00,50.99,51.14,50.87,50.97,38422.0,50.987,314
158,2024-10-18 10:00:00-04:00,50.97,51.03,50.85,50.91,30856.0,50.939,246
159,2024-10-18 10:15:00-04:00,50.91,51.05,50.91,51.0,21753.0,50.986,186
160,2024-10-18 10:30:00-04:00,51.01,51.01,50.73,50.77,26983.0,50.835,227
161,2024-10-18 10:45:00-04:00,50.78,50.91,50.64,50.84,39554.0,50.768,286
162,2024-10-18 11:00:00-04:00,50.86,50.93,50.8,50.81,27914.0,50.855,194
163,2024-10-18 11:15:00-04:00,50.81,50.83,50.68,50.79,43488.0,50.769,263
164,2024-10-18 11:30:00-04:00,50.79,50.94,50.77,50.93,22262.0,50.85,174
165,2024-10-18 11:45:00-04:00,50.93,50.99,50.79,50.98,32904.0,50.883,261
166,2024-10-18 12:00:00-04:00,50.98,51.04,50.94,50.97,28983.0,50.995,244
167,2024-10-18 12:15:00-04:00,50.96,51.09,50.93,51.09,39517.0,51.008,300
168,2024-10-18 12:30:00-04:00,51.09,51.28,51.06,51.26,30440.0,51.133,200
169,2024-10-18 12:45:00-04:00,51.27,51.27,51.15,51.24,29030.0,51.221,229
170,2024-10-18 13:00:00-04:00,51.25,51.3,51.18,51.3,28466.0,51.241,238
171,2024-10-18 13:15:00-04:00,51.3,51.46,51.28,51.46,34506.0,51.339,276
172,2024-10-18 13:30:00-04:00,51.45,51.55,51.43,51.54,35734.0,51.481,264
173,2024-10-18 13:45:00-04:00,51.54,51.57,51.39,51.39,31339.0,51.502,250
174,2024-10-18 14:00:00-04:00,51.37,51.43,51.27,51.43,29156.0,51.384,198
175,2024-10-18 14:15:00-04:00,51.44,51.54,51.44,51.54,30963.0,51.504,228
176,2024-10-18 14:30:00-04:00,51.53,51.57,51.45,51.5,35939.0,51.527,261
177,2024-10-18 14:45:00-04:00,51.51,51.54,51.48,51.52,24331.0,51.514,196
178,2024-10-18 15:00:00-04:00,51.51,51.52,51.4,51.48,33235.0,51.473,260
179,2024-10-18 15:15:00-04:00,51.48,51.51,51.45,51.5,32180.0,51.485,282
180,2024-10-18 15:30:00-04:00,51.5,51.52,51.2,51.29,99533.0,51.384,681
181,2024-10-18 15:45:00-04:00,51.29,51.58,51.17,51.58,234819.0,51.392,1765
182,2024-10-21 09:30:00-04:00,51.59,52.78,51.59,52.48,101895.0,52.131,534
183,2024-10-21 09:45:00-04:00,52.58,53.2,52.52,52.83,138557.0,52.944,823
184,2024-10-21 10:00:00-04:00,52.85,52.92,51.74,51.76,70268.0,52.426,468
185,2024-10-21 10:15:00-04:00,51.76,52.01,51.59,51.6,70682.0,51.821,340
186,2024-10-21 10:30:00-04:00,51.63,51.79,51.58,51.58,30811.0,51.688,209
187,2024-10-21 10:45:00-04:00,51.62,51.67,51.5,51.53,46396.0,51.588,317
188,2024-10-21 11:00:00-04:00,51.53,51.62,51.38,51.62,50436.0,51.511,328
189,2024-10-21 11:15:00-04:00,51.62,51.65,51.47,51.6,41923.0,51.565,321
190,2024-10-21 11:30:00-04:00,51.61,51.73,51.54,51.62,32412.0,51.609,216
191,2024-10-21 11:45:00-04:00,51.62,51.67,51.4,51.49,29469.0,51.504,220
192,2024-10-21 12:00:00-04:00,51.51,51.71,51.48,51.66,15998.0,51.605,135
193,2024-10-21 12:15:00-04:00,51.68,51.73,51.58,51.6,29568.0,51.663,174
194,2024-10-21 12:30:00-04:00,51.57,51.63,51.46,51.59,34360.0,51.555,154
195,2024-10-21 12:45:00-04:00,51.58,51.71,51.53,51.69,24648.0,51.61,190
196,2024-10-21 13:00:00-04:00,51.69,51.88,51.65,51.81,33997.0,51.774,200
197,2024-10-21 13:15:00-04:00,51.82,51.9,51.71,51.9,67807.0,51.816,310
198,2024-10-21 13:30:00-04:00,51.88,52.02,51.88,51.95,26796.0,51.957,171
199,2024-10-21 13:45:00-04:00,51.94,51.94,51.7,51.78,30395.0,51.779,177
200,2024-10-21 14:00:00-04:00,51.78,51.83,51.66,51.72,20227.0,51.752,147
201,2024-10-21 14:15:00-04:00,51.72,51.72,51.5,51.52,22091.0,51.624,128
202,2024-10-21 14:30:00-04:00,51.5,51.57,51.48,51.5,15447.0,51.52,124
203,2024-10-21 14:45:00-04:00,51.49,51.63,51.46,51.56,25970.0,51.557,199
204,2024-10-21 15:00:00-04:00,51.6,51.77,51.6,51.71,29566.0,51.694,230
205,2024-10-21 15:15:00-04:00,51.72,51.79,51.68,51.75,35222.0,51.74,270
206,2024-10-21 15:30:00-04:00,51.75,51.75,51.62,51.62,32875.0,51.681,285
207,2024-10-21 15:45:00-04:00,51.63,51.81,51.61,51.78,188697.0,51.718,1456
208,2024-10-22 09:30:00-04:00,51.28,51.55,50.63,50.89,113464.0,50.99,397
209,2024-10-22 09:45:00-04:00,50.89,50.92,50.25,50.44,131525.0,50.452,707
210,2024-10-22 10:00:00-04:00,50.43,50.6,50.17,50.21,99749.0,50.433,520
211,2024-10-22 10:15:00-04:00,50.21,50.4,50.15,50.16,109743.0,50.237,537
212,2024-10-22 10:30:00-04:00,50.18,50.4,50.12,50.25,71799.0,50.259,404
213,2024-10-22 10:45:00-04:00,50.23,50.36,50.08,50.09,40431.0,50.216,264
214,2024-10-22 11:00:00-04:00,50.08,50.15,49.82,49.9,92863.0,49.965,507
215,2024-10-22 11:15:00-04:00,49.9,49.95,49.66,49.66,51967.0,49.787,319
216,2024-10-22 11:30:00-04:00,49.67,49.76,49.64,49.75,58990.0,49.695,364
217,2024-10-22 11:45:00-04:00,49.75,49.87,49.63,49.85,50754.0,49.735,286
218,2024-10-22 12:00:00-04:00,49.84,49.84,49.64,49.79,35790.0,49.724,222
219,2024-10-22 12:15:00-04:00,49.81,49.84,49.5,49.61,67389.0,49.638,393
220,2024-10-22 12:30:00-04:00,49.63,49.7,49.59,49.61,28903.0,49.644,209
221,2024-10-22 12:45:00-04:00,49.62,49.67,49.53,49.57,39401.0,49.611,262
222,2024-10-22 13:00:00-04:00,49.55,49.55,49.43,49.47,31144.0,49.476,215
223,2024-10-22 13:15:00-04:00,49.47,49.54,49.4,49.41,43893.0,49.451,264
