,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,152.2,152.61,151.35,152.61,39632.0,152.129,213
1,2024-10-10 09:45:00-04:00,152.69,152.79,151.45,152.79,18530.0,152.232,143
2,2024-10-10 10:00:00-04:00,152.71,152.87,152.35,152.61,15029.0,152.675,130
3,2024-10-10 10:15:00-04:00,152.61,152.89,152.36,152.47,12220.0,152.732,101
4,2024-10-10 10:30:00-04:00,152.47,152.58,151.77,152.13,18433.0,152.121,125
5,2024-10-10 10:45:00-04:00,152.11,152.11,151.61,151.8,35356.0,151.803,125
6,2024-10-10 11:00:00-04:00,151.88,152.23,151.7,151.97,14784.0,151.972,128
7,2024-10-10 11:15:00-04:00,152.04,152.04,151.2,151.47,15932.0,151.555,142
8,2024-10-10 11:30:00-04:00,151.49,152.08,151.4,151.75,11771.0,151.862,96
9,2024-10-10 11:45:00-04:00,151.69,151.69,151.2,151.24,15902.0,151.515,115
10,2024-10-10 12:00:00-04:00,151.28,151.44,151.15,151.41,12546.0,151.297,115
11,2024-10-10 12:15:00-04:00,151.39,151.41,150.88,151.02,11861.0,151.181,110
12,2024-10-10 12:30:00-04:00,150.87,151.23,150.78,150.78,16630.0,151.062,155
13,2024-10-10 12:45:00-04:00,150.84,151.08,150.7,150.91,11766.0,150.898,107
14,2024-10-10 13:00:00-04:00,150.92,150.93,150.37,150.42,14073.0,150.669,129
15,2024-10-10 13:15:00-04:00,150.62,151.0,150.41,150.86,22252.0,150.612,204
16,2024-10-10 13:30:00-04:00,150.87,151.01,150.66,150.69,12472.0,150.85,112
17,2024-10-10 13:45:00-04:00,150.7,150.78,150.1,150.53,19835.0,150.429,166
18,2024-10-10 14:00:00-04:00,150.44,150.62,150.11,150.43,17044.0,150.335,142
19,2024-10-10 14:15:00-04:00,150.37,150.42,149.93,150.26,21972.0,150.203,154
20,2024-10-10 14:30:00-04:00,150.27,150.35,150.1,150.15,13637.0,150.261,122
21,2024-10-10 14:45:00-04:00,150.14,150.33,149.94,150.09,16656.0,150.109,153
22,2024-10-10 15:00:00-04:00,150.07,150.15,149.57,149.72,25749.0,149.724,219
23,2024-10-10 15:15:00-04:00,149.72,150.39,149.71,150.37,42756.0,149.969,287
24,2024-10-10 15:30:00-04:00,150.34,150.55,150.09,150.43,41970.0,150.326,361
25,2024-10-10 15:45:00-04:00,150.38,151.11,150.36,150.84,129574.0,150.842,1095
26,2024-10-11 09:30:00-04:00,151.13,152.02,150.19,150.87,23792.0,151.188,138
27,2024-10-11 09:45:00-04:00,151.0,151.21,150.55,150.87,13301.0,150.885,119
28,2024-10-11 10:00:00-04:00,150.7,151.63,150.7,151.36,36235.0,151.253,209
29,2024-10-11 10:15:00-04:00,151.49,151.5,150.84,151.14,13985.0,151.244,93
30,2024-10-11 10:30:00-04:00,151.16,151.4,151.01,151.29,15233.0,151.252,110
31,2024-10-11 10:45:00-04:00,151.28,151.88,151.28,151.65,21635.0,151.637,153
32,2024-10-11 11:00:00-04:00,151.69,151.83,151.4,151.42,13442.0,151.661,126
33,2024-10-11 11:15:00-04:00,151.5,151.52,151.02,151.22,16036.0,151.189,140
34,2024-10-11 11:30:00-04:00,151.23,151.36,151.13,151.19,14140.0,151.26,135
35,2024-10-11 11:45:00-04:00,151.25,151.36,151.07,151.07,12954.0,151.243,118
36,2024-10-11 12:00:00-04:00,151.11,151.26,150.52,150.55,20167.0,150.893,152
37,2024-10-11 12:15:00-04:00,150.61,150.61,150.31,150.51,18438.0,150.418,124
38,2024-10-11 12:30:00-04:00,150.48,150.67,150.38,150.67,25447.0,150.444,93
39,2024-10-11 12:45:00-04:00,150.67,150.67,149.86,150.03,23555.0,150.16,175
40,2024-10-11 13:00:00-04:00,150.03,150.17,149.94,150.17,16895.0,150.035,135
41,2024-10-11 13:15:00-04:00,150.19,150.55,150.18,150.23,17641.0,150.306,89
42,2024-10-11 13:30:00-04:00,150.21,150.55,150.03,150.45,18826.0,150.345,151
43,2024-10-11 13:45:00-04:00,150.49,150.85,150.46,150.85,9856.0,150.641,76
44,2024-10-11 14:00:00-04:00,150.81,150.99,150.58,150.66,9934.0,150.81,69
45,2024-10-11 14:15:00-04:00,150.6,150.66,150.35,150.35,11244.0,150.525,98
46,2024-10-11 14:30:00-04:00,150.34,150.5,150.06,150.28,22894.0,150.326,125
47,2024-10-11 14:45:00-04:00,150.46,150.5,150.38,150.41,6758.0,150.439,58
48,2024-10-11 15:00:00-04:00,150.42,150.53,150.24,150.28,19253.0,150.368,122
49,2024-10-11 15:15:00-04:00,150.35,150.75,150.24,150.55,19596.0,150.576,160
50,2024-10-11 15:30:00-04:00,150.54,150.75,150.4,150.55,40631.0,150.562,323
51,2024-10-11 15:45:00-04:00,150.53,150.93,150.41,150.48,142091.0,150.615,1148
52,2024-10-14 09:30:00-04:00,150.94,150.94,149.23,149.78,25396.0,150.198,125
53,2024-10-14 09:45:00-04:00,149.84,150.51,149.72,150.36,20796.0,150.256,156
54,2024-10-14 10:00:00-04:00,150.35,150.55,149.97,150.48,45562.0,150.261,388
55,2024-10-14 10:15:00-04:00,150.42,150.44,150.08,150.08,22366.0,150.24,191
56,2024-10-14 10:30:00-04:00,150.04,150.62,149.97,150.53,19561.0,150.264,162
57,2024-10-14 10:45:00-04:00,150.56,150.68,150.2,150.44,12802.0,150.461,114
58,2024-10-14 11:00:00-04:00,150.41,150.86,150.41,150.86,10106.0,150.658,96
59,2024-10-14 11:15:00-04:00,150.77,150.97,150.61,150.65,15272.0,150.705,137
60,2024-10-14 11:30:00-04:00,150.61,150.75,150.37,150.57,12596.0,150.571,111
61,2024-10-14 11:45:00-04:00,150.66,150.66,150.36,150.56,6814.0,150.522,60
62,2024-10-14 12:00:00-04:00,150.61,151.23,150.58,151.16,17519.0,150.854,133
63,2024-10-14 12:15:00-04:00,151.16,151.18,150.87,150.97,9910.0,151.088,88
64,2024-10-14 12:30:00-04:00,151.0,151.0,150.77,150.8,9878.0,150.874,66
65,2024-10-14 12:45:00-04:00,150.77,151.08,150.54,150.62,32665.0,150.84,170
66,2024-10-14 13:00:00-04:00,150.61,150.67,150.34,150.44,8144.0,150.497,67
67,2024-10-14 13:15:00-04:00,150.45,150.49,150.09,150.24,9905.0,150.277,79
68,2024-10-14 13:30:00-04:00,150.32,150.45,150.19,150.39,12781.0,150.316,107
69,2024-10-14 13:45:00-04:00,150.39,150.61,150.37,150.51,9380.0,150.496,82
70,2024-10-14 14:00:00-04:00,150.52,150.6,150.44,150.53,15134.0,150.531,106
71,2024-10-14 14:15:00-04:00,150.65,150.71,150.27,150.46,9462.0,150.456,79
72,2024-10-14 14:30:00-04:00,150.5,150.73,150.5,150.66,11166.0,150.614,87
73,2024-10-14 14:45:00-04:00,150.67,150.83,150.51,150.67,8502.0,150.625,72
74,2024-10-14 15:00:00-04:00,150.58,150.58,150.39,150.55,16270.0,150.474,113
75,2024-10-14 15:15:00-04:00,150.52,150.63,150.35,150.41,31586.0,150.503,264
76,2024-10-14 15:30:00-04:00,150.41,150.48,149.85,149.85,63728.0,150.129,422
77,2024-10-14 15:45:00-04:00,149.91,150.76,149.81,150.4,170109.0,150.335,1314
78,2024-10-15 09:30:00-04:00,150.19,151.82,150.19,151.55,21043.0,150.861,99
79,2024-10-15 09:45:00-04:00,151.59,152.1,150.82,151.08,36456.0,151.664,257
80,2024-10-15 10:00:00-04:00,151.17,151.65,151.15,151.15,11757.0,151.399,81
81,2024-10-15 10:15:00-04:00,151.1,151.47,151.06,151.13,14025.0,151.282,107
