,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,70.48,70.79,69.97,69.97,188030.0,70.476,697
1,2024-10-10 09:45:00-04:00,69.98,70.4,69.89,70.12,137467.0,70.192,784
2,2024-10-10 10:00:00-04:00,70.11,70.49,70.11,70.32,61646.0,70.349,416
3,2024-10-10 10:15:00-04:00,70.31,70.44,70.24,70.32,72206.0,70.359,450
4,2024-10-10 10:30:00-04:00,70.3,70.64,70.3,70.55,79553.0,70.548,593
5,2024-10-10 10:45:00-04:00,70.54,70.55,70.35,70.36,48243.0,70.449,404
6,2024-10-10 11:00:00-04:00,70.36,70.75,70.36,70.69,82422.0,70.525,441
7,2024-10-10 11:15:00-04:00,70.7,70.77,70.62,70.65,52253.0,70.697,417
8,2024-10-10 11:30:00-04:00,70.65,70.65,70.56,70.58,25044.0,70.602,225
9,2024-10-10 11:45:00-04:00,70.58,70.62,70.49,70.52,23074.0,70.546,204
10,2024-10-10 12:00:00-04:00,70.53,70.67,70.52,70.61,31174.0,70.581,269
11,2024-10-10 12:15:00-04:00,70.6,70.76,70.59,70.76,43826.0,70.688,361
12,2024-10-10 12:30:00-04:00,70.75,70.75,70.58,70.59,35097.0,70.672,274
13,2024-10-10 12:45:00-04:00,70.58,70.61,70.51,70.52,24518.0,70.547,198
14,2024-10-10 13:00:00-04:00,70.51,70.53,70.4,70.42,35873.0,70.455,293
15,2024-10-10 13:15:00-04:00,70.44,70.6,70.42,70.51,23409.0,70.504,208
16,2024-10-10 13:30:00-04:00,70.5,70.52,70.36,70.44,25734.0,70.442,220
17,2024-10-10 13:45:00-04:00,70.43,70.48,70.24,70.38,38615.0,70.365,288
18,2024-10-10 14:00:00-04:00,70.4,70.41,70.29,70.38,35441.0,70.344,312
19,2024-10-10 14:15:00-04:00,70.37,70.4,70.28,70.34,62272.0,70.339,418
20,2024-10-10 14:30:00-04:00,70.34,70.35,70.2,70.24,54459.0,70.304,381
21,2024-10-10 14:45:00-04:00,70.25,70.27,70.2,70.23,30471.0,70.233,259
22,2024-10-10 15:00:00-04:00,70.22,70.33,70.2,70.26,64983.0,70.267,463
23,2024-10-10 15:15:00-04:00,70.25,70.31,70.22,70.31,59719.0,70.271,415
24,2024-10-10 15:30:00-04:00,70.31,70.39,70.2,70.23,99926.0,70.32,640
25,2024-10-10 15:45:00-04:00,70.23,70.31,69.98,70.0,352762.0,70.123,2394
26,2024-10-11 09:30:00-04:00,73.8,73.87,71.26,72.93,482245.0,72.593,2354
27,2024-10-11 09:45:00-04:00,72.89,73.55,72.55,73.41,229400.0,73.106,1675
28,2024-10-11 10:00:00-04:00,73.4,73.96,73.22,73.95,188581.0,73.606,990
29,2024-10-11 10:15:00-04:00,73.92,74.74,73.89,74.63,340433.0,74.365,2039
30,2024-10-11 10:30:00-04:00,74.63,75.02,74.16,74.81,553196.0,74.67,3159
31,2024-10-11 10:45:00-04:00,74.79,75.15,74.77,75.0,244228.0,74.953,1728
32,2024-10-11 11:00:00-04:00,74.98,75.44,74.63,75.4,173466.0,75.02,1090
33,2024-10-11 11:15:00-04:00,75.4,75.5,75.27,75.47,137208.0,75.427,816
34,2024-10-11 11:30:00-04:00,75.45,75.95,75.45,75.91,285299.0,75.734,1811
35,2024-10-11 11:45:00-04:00,75.9,76.2,75.89,76.16,227278.0,76.021,1162
36,2024-10-11 12:00:00-04:00,76.16,76.37,76.09,76.21,141450.0,76.254,780
37,2024-10-11 12:15:00-04:00,76.22,76.28,75.45,75.9,163758.0,75.807,1022
38,2024-10-11 12:30:00-04:00,75.9,76.37,75.8,76.25,117022.0,76.138,615
39,2024-10-11 12:45:00-04:00,76.23,76.5,76.21,76.39,126627.0,76.382,673
40,2024-10-11 13:00:00-04:00,76.41,76.51,76.21,76.46,84905.0,76.375,497
41,2024-10-11 13:15:00-04:00,76.48,76.64,76.42,76.5,94893.0,76.507,581
42,2024-10-11 13:30:00-04:00,76.5,76.86,76.45,76.82,128314.0,76.61,633
43,2024-10-11 13:45:00-04:00,76.8,76.83,76.69,76.8,75062.0,76.775,406
44,2024-10-11 14:00:00-04:00,76.79,77.01,76.79,76.98,77176.0,76.909,366
45,2024-10-11 14:15:00-04:00,76.98,76.99,76.75,76.96,73650.0,76.872,370
46,2024-10-11 14:30:00-04:00,76.97,76.97,76.55,76.6,78672.0,76.67,458
47,2024-10-11 14:45:00-04:00,76.59,76.69,76.54,76.58,55687.0,76.614,404
48,2024-10-11 15:00:00-04:00,76.58,76.97,76.53,76.95,88918.0,76.76,494
49,2024-10-11 15:15:00-04:00,76.96,77.23,76.93,77.06,226075.0,77.105,1075
50,2024-10-11 15:30:00-04:00,77.08,77.14,76.71,76.72,191122.0,76.874,1247
51,2024-10-11 15:45:00-04:00,76.72,76.93,76.56,76.83,733261.0,76.802,5322
52,2024-10-14 09:30:00-04:00,76.95,76.95,76.1,76.14,237123.0,76.534,1092
53,2024-10-14 09:45:00-04:00,76.16,76.35,75.41,75.84,259419.0,75.964,1533
54,2024-10-14 10:00:00-04:00,75.83,76.42,75.83,76.25,120021.0,76.177,806
55,2024-10-14 10:15:00-04:00,76.29,76.41,75.88,76.1,110448.0,76.095,662
56,2024-10-14 10:30:00-04:00,76.14,76.33,76.09,76.25,67129.0,76.219,427
57,2024-10-14 10:45:00-04:00,76.25,76.59,76.19,76.59,128993.0,76.386,504
58,2024-10-14 11:00:00-04:00,76.58,76.58,76.3,76.45,43435.0,76.427,345
59,2024-10-14 11:15:00-04:00,76.45,76.54,76.33,76.45,45858.0,76.438,369
60,2024-10-14 11:30:00-04:00,76.44,76.63,76.43,76.63,44344.0,76.505,356
61,2024-10-14 11:45:00-04:00,76.63,76.86,76.63,76.86,50695.0,76.755,345
62,2024-10-14 12:00:00-04:00,76.88,77.03,76.8,77.0,76804.0,76.94,416
63,2024-10-14 12:15:00-04:00,77.0,77.2,77.0,77.18,65730.0,77.101,445
64,2024-10-14 12:30:00-04:00,77.17,77.22,76.82,76.83,50472.0,77.036,321
