,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,77.46,77.57,76.83,76.95,55625.0,77.315,212
1,2024-10-10 09:45:00-04:00,76.95,77.38,76.84,77.15,32237.0,77.078,230
2,2024-10-10 10:00:00-04:00,77.15,77.25,77.04,77.25,46416.0,77.13,206
3,2024-10-10 10:15:00-04:00,77.27,77.34,77.2,77.24,14209.0,77.268,110
4,2024-10-10 10:30:00-04:00,77.24,77.32,77.19,77.25,29199.0,77.271,154
5,2024-10-10 10:45:00-04:00,77.23,77.28,77.14,77.2,63961.0,77.201,295
6,2024-10-10 11:00:00-04:00,77.2,77.45,77.18,77.4,50231.0,77.311,256
7,2024-10-10 11:15:00-04:00,77.41,77.49,77.33,77.39,40735.0,77.412,166
8,2024-10-10 11:30:00-04:00,77.39,77.61,77.31,77.54,121965.0,77.42,210
9,2024-10-10 11:45:00-04:00,77.52,77.52,77.42,77.44,10242.0,77.49,82
10,2024-10-10 12:00:00-04:00,77.44,77.48,77.41,77.48,6432.0,77.439,53
11,2024-10-10 12:15:00-04:00,77.48,77.52,77.44,77.52,8999.0,77.479,80
12,2024-10-10 12:30:00-04:00,77.53,77.62,77.48,77.53,44159.0,77.538,235
13,2024-10-10 12:45:00-04:00,77.55,77.64,77.52,77.64,29940.0,77.581,232
14,2024-10-10 13:00:00-04:00,77.64,77.66,77.32,77.35,23654.0,77.529,193
15,2024-10-10 13:15:00-04:00,77.36,77.51,77.34,77.47,7780.0,77.453,65
16,2024-10-10 13:30:00-04:00,77.47,77.48,77.34,77.39,13657.0,77.396,120
17,2024-10-10 13:45:00-04:00,77.39,77.39,77.22,77.28,21330.0,77.282,140
18,2024-10-10 14:00:00-04:00,77.27,77.27,77.1,77.12,12129.0,77.201,109
19,2024-10-10 14:15:00-04:00,77.12,77.13,77.04,77.09,35375.0,77.091,299
20,2024-10-10 14:30:00-04:00,77.09,77.16,77.06,77.1,15464.0,77.111,139
21,2024-10-10 14:45:00-04:00,77.09,77.14,77.06,77.13,14682.0,77.109,121
22,2024-10-10 15:00:00-04:00,77.12,77.16,77.05,77.09,10517.0,77.098,97
23,2024-10-10 15:15:00-04:00,77.09,77.14,77.04,77.12,18935.0,77.102,163
24,2024-10-10 15:30:00-04:00,77.12,77.17,77.06,77.12,43363.0,77.107,356
25,2024-10-10 15:45:00-04:00,77.13,77.35,77.11,77.25,185448.0,77.244,1349
26,2024-10-11 09:30:00-04:00,77.27,77.92,77.24,77.54,16450.0,77.475,58
27,2024-10-11 09:45:00-04:00,77.55,77.79,77.5,77.69,23471.0,77.615,150
28,2024-10-11 10:00:00-04:00,77.69,78.1,77.68,78.02,23112.0,77.954,97
29,2024-10-11 10:15:00-04:00,78.08,78.33,78.08,78.32,10943.0,78.216,90
30,2024-10-11 10:30:00-04:00,78.3,78.4,78.3,78.36,20383.0,78.352,155
31,2024-10-11 10:45:00-04:00,78.39,78.56,78.32,78.49,20270.0,78.447,123
32,2024-10-11 11:00:00-04:00,78.47,78.51,78.4,78.48,10789.0,78.459,70
33,2024-10-11 11:15:00-04:00,78.5,78.54,78.31,78.31,8638.0,78.418,69
34,2024-10-11 11:30:00-04:00,78.32,78.5,78.31,78.42,18200.0,78.446,110
35,2024-10-11 11:45:00-04:00,78.43,78.46,78.37,78.42,9234.0,78.422,76
36,2024-10-11 12:00:00-04:00,78.37,78.38,78.2,78.28,9686.0,78.279,63
37,2024-10-11 12:15:00-04:00,78.29,78.3,77.98,78.01,7244.0,78.132,58
38,2024-10-11 12:30:00-04:00,78.0,78.06,77.95,77.97,6197.0,78.005,50
39,2024-10-11 12:45:00-04:00,77.97,77.99,77.9,77.96,7259.0,77.942,58
40,2024-10-11 13:00:00-04:00,77.99,78.01,77.93,77.97,4475.0,77.966,36
41,2024-10-11 13:15:00-04:00,77.97,77.99,77.83,77.97,21133.0,77.888,121
42,2024-10-11 13:30:00-04:00,77.98,78.01,77.95,78.01,6815.0,77.981,57
43,2024-10-11 13:45:00-04:00,78.04,78.07,77.99,78.05,9797.0,78.029,71
44,2024-10-11 14:00:00-04:00,78.04,78.06,78.01,78.03,7156.0,78.037,64
45,2024-10-11 14:15:00-04:00,78.02,78.04,77.97,78.0,7508.0,78.01,62
46,2024-10-11 14:30:00-04:00,78.0,78.01,77.86,77.92,9731.0,77.954,85
47,2024-10-11 14:45:00-04:00,77.93,77.94,77.88,77.92,12935.0,77.91,105
48,2024-10-11 15:00:00-04:00,77.92,78.04,77.92,78.03,12273.0,77.981,98
49,2024-10-11 15:15:00-04:00,78.03,78.04,77.96,77.99,14180.0,77.998,117
50,2024-10-11 15:30:00-04:00,77.96,78.03,77.94,78.0,22274.0,77.987,192
51,2024-10-11 15:45:00-04:00,78.0,78.13,77.86,78.02,210388.0,77.983,1384
52,2024-10-14 09:30:00-04:00,78.1,78.15,77.52,77.61,13000.0,78.003,31
53,2024-10-14 09:45:00-04:00,77.72,78.13,77.71,77.93,9838.0,77.969,50
54,2024-10-14 10:00:00-04:00,77.96,78.15,77.94,78.09,9263.0,78.036,74
55,2024-10-14 10:15:00-04:00,78.07,78.07,77.87,77.9,11335.0,77.953,88
56,2024-10-14 10:30:00-04:00,77.9,77.96,77.82,77.89,14833.0,77.896,105
57,2024-10-14 10:45:00-04:00,77.88,77.99,77.83,77.94,16223.0,77.932,52
58,2024-10-14 11:00:00-04:00,77.94,78.17,77.92,78.15,23092.0,78.087,75
59,2024-10-14 11:15:00-04:00,78.13,78.13,77.98,77.99,8289.0,78.052,71
60,2024-10-14 11:30:00-04:00,77.97,78.06,77.96,78.05,6209.0,78.014,58
61,2024-10-14 11:45:00-04:00,78.08,78.08,77.94,78.05,13559.0,78.017,114
62,2024-10-14 12:00:00-04:00,78.04,78.09,78.02,78.05,5477.0,78.046,51
63,2024-10-14 12:15:00-04:00,78.04,78.07,77.98,78.07,10046.0,78.019,84
64,2024-10-14 12:30:00-04:00,78.06,78.1,78.01,78.04,19793.0,78.035,157
65,2024-10-14 12:45:00-04:00,78.05,78.14,78.04,78.13,6338.0,78.09,55
66,2024-10-14 13:00:00-04:00,78.13,78.18,78.11,78.11,10778.0,78.147,78
67,2024-10-14 13:15:00-04:00,78.11,78.21,78.09,78.09,10359.0,78.144,79
68,2024-10-14 13:30:00-04:00,78.09,78.12,78.05,78.11,13035.0,78.09,94
