,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,46.9,47.05,46.33,46.4,303729.0,46.63,1117
1,2024-10-10 09:45:00-04:00,46.39,46.45,46.15,46.25,143098.0,46.271,946
2,2024-10-10 10:00:00-04:00,46.26,46.51,46.25,46.34,105596.0,46.397,511
3,2024-10-10 10:15:00-04:00,46.32,46.35,46.22,46.26,120258.0,46.281,637
4,2024-10-10 10:30:00-04:00,46.27,46.32,46.18,46.23,98970.0,46.252,422
5,2024-10-10 10:45:00-04:00,46.22,46.29,46.12,46.14,70795.0,46.212,400
6,2024-10-10 11:00:00-04:00,46.15,46.33,46.15,46.32,44953.0,46.279,279
7,2024-10-10 11:15:00-04:00,46.32,46.36,46.22,46.23,57428.0,46.294,335
8,2024-10-10 11:30:00-04:00,46.23,46.23,46.13,46.15,64293.0,46.171,367
9,2024-10-10 11:45:00-04:00,46.15,46.28,46.14,46.26,53206.0,46.215,337
10,2024-10-10 12:00:00-04:00,46.26,46.31,46.23,46.3,44685.0,46.272,306
11,2024-10-10 12:15:00-04:00,46.3,46.31,46.19,46.2,45708.0,46.254,260
12,2024-10-10 12:30:00-04:00,46.2,46.25,46.13,46.17,83553.0,46.198,523
13,2024-10-10 12:45:00-04:00,46.17,46.2,46.12,46.13,45242.0,46.164,299
14,2024-10-10 13:00:00-04:00,46.13,46.17,46.11,46.16,54872.0,46.141,277
15,2024-10-10 13:15:00-04:00,46.16,46.3,46.15,46.27,34618.0,46.236,241
16,2024-10-10 13:30:00-04:00,46.27,46.3,46.21,46.22,53595.0,46.262,271
17,2024-10-10 13:45:00-04:00,46.22,46.22,46.07,46.16,68032.0,46.116,429
18,2024-10-10 14:00:00-04:00,46.16,46.16,46.08,46.1,47407.0,46.119,288
19,2024-10-10 14:15:00-04:00,46.1,46.13,46.07,46.07,46007.0,46.102,251
20,2024-10-10 14:30:00-04:00,46.08,46.08,45.99,46.07,96367.0,46.027,543
21,2024-10-10 14:45:00-04:00,46.08,46.15,46.05,46.06,58978.0,46.097,367
22,2024-10-10 15:00:00-04:00,46.07,46.08,45.96,46.02,101561.0,46.007,626
23,2024-10-10 15:15:00-04:00,46.01,46.01,45.88,45.91,134297.0,45.938,736
24,2024-10-10 15:30:00-04:00,45.9,45.97,45.87,45.93,90980.0,45.923,558
25,2024-10-10 15:45:00-04:00,45.94,46.12,45.92,46.02,536548.0,46.046,3013
26,2024-10-11 09:30:00-04:00,46.14,46.69,46.11,46.47,345404.0,46.351,604
27,2024-10-11 09:45:00-04:00,46.47,46.61,46.37,46.59,50028.0,46.527,264
28,2024-10-11 10:00:00-04:00,46.59,46.89,46.54,46.87,100658.0,46.753,501
29,2024-10-11 10:15:00-04:00,46.86,46.92,46.75,46.76,70492.0,46.846,374
30,2024-10-11 10:30:00-04:00,46.74,46.79,46.61,46.64,98649.0,46.695,607
31,2024-10-11 10:45:00-04:00,46.64,46.66,46.57,46.58,43810.0,46.601,322
32,2024-10-11 11:00:00-04:00,46.58,46.69,46.58,46.59,36614.0,46.627,268
33,2024-10-11 11:15:00-04:00,46.59,46.62,46.48,46.49,43858.0,46.552,243
34,2024-10-11 11:30:00-04:00,46.49,46.55,46.42,46.51,72165.0,46.476,335
35,2024-10-11 11:45:00-04:00,46.51,46.53,46.43,46.5,105312.0,46.477,312
36,2024-10-11 12:00:00-04:00,46.49,46.54,46.43,46.52,63184.0,46.49,319
37,2024-10-11 12:15:00-04:00,46.53,46.58,46.52,46.53,33010.0,46.548,232
38,2024-10-11 12:30:00-04:00,46.54,46.59,46.5,46.54,43205.0,46.531,203
39,2024-10-11 12:45:00-04:00,46.54,46.59,46.5,46.51,34556.0,46.555,183
40,2024-10-11 13:00:00-04:00,46.51,46.55,46.48,46.52,35767.0,46.511,179
41,2024-10-11 13:15:00-04:00,46.53,46.56,46.51,46.55,48506.0,46.542,239
42,2024-10-11 13:30:00-04:00,46.55,46.67,46.55,46.66,98597.0,46.614,577
43,2024-10-11 13:45:00-04:00,46.66,46.69,46.63,46.66,51345.0,46.661,342
44,2024-10-11 14:00:00-04:00,46.64,46.65,46.54,46.55,36781.0,46.584,243
45,2024-10-11 14:15:00-04:00,46.55,46.59,46.52,46.52,29152.0,46.549,206
46,2024-10-11 14:30:00-04:00,46.53,46.54,46.46,46.49,33229.0,46.501,232
47,2024-10-11 14:45:00-04:00,46.5,46.53,46.49,46.51,30908.0,46.514,222
48,2024-10-11 15:00:00-04:00,46.51,46.58,46.48,46.56,71928.0,46.532,275
49,2024-10-11 15:15:00-04:00,46.58,46.59,46.49,46.51,115319.0,46.533,525
50,2024-10-11 15:30:00-04:00,46.52,46.53,46.44,46.52,122578.0,46.487,757
51,2024-10-11 15:45:00-04:00,46.53,46.55,46.4,46.47,374597.0,46.463,2064
52,2024-10-14 09:30:00-04:00,46.38,46.6,46.15,46.53,213206.0,46.373,254
53,2024-10-14 09:45:00-04:00,46.51,46.66,46.35,46.42,49575.0,46.527,270
54,2024-10-14 10:00:00-04:00,46.42,46.48,46.37,46.46,51127.0,46.431,359
55,2024-10-14 10:15:00-04:00,46.45,46.46,46.29,46.3,58761.0,46.375,376
56,2024-10-14 10:30:00-04:00,46.3,46.32,46.24,46.27,51453.0,46.276,367
57,2024-10-14 10:45:00-04:00,46.27,46.35,46.23,46.3,47206.0,46.28,315
58,2024-10-14 11:00:00-04:00,46.3,46.59,46.27,46.57,180077.0,46.418,420
59,2024-10-14 11:15:00-04:00,46.59,46.65,46.49,46.55,66398.0,46.568,382
60,2024-10-14 11:30:00-04:00,46.54,46.55,46.49,46.53,56816.0,46.517,245
61,2024-10-14 11:45:00-04:00,46.52,46.58,46.5,46.56,34737.0,46.533,216
62,2024-10-14 12:00:00-04:00,46.57,46.6,46.54,46.58,27137.0,46.571,166
63,2024-10-14 12:15:00-04:00,46.59,46.7,46.55,46.65,56091.0,46.623,212
64,2024-10-14 12:30:00-04:00,46.66,46.68,46.63,46.68,19038.0,46.659,126
65,2024-10-14 12:45:00-04:00,46.68,46.81,46.67,46.77,102826.0,46.759,425
