,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,164.41,165.17,163.97,164.11,15454.0,164.398,62
1,2024-10-10 09:45:00-04:00,164.21,164.36,163.74,163.88,22568.0,164.047,141
2,2024-10-10 10:00:00-04:00,163.75,164.02,163.44,163.44,10201.0,163.72,52
3,2024-10-10 10:15:00-04:00,163.5,163.79,163.4,163.4,6467.0,163.578,56
4,2024-10-10 10:30:00-04:00,163.31,163.58,163.1,163.46,8681.0,163.38,58
5,2024-10-10 10:45:00-04:00,163.4,163.83,163.39,163.76,5447.0,163.558,48
6,2024-10-10 11:00:00-04:00,163.88,164.25,163.56,164.13,17040.0,163.882,94
7,2024-10-10 11:15:00-04:00,164.26,164.6,164.15,164.6,10927.0,164.294,76
8,2024-10-10 11:30:00-04:00,164.47,164.61,164.32,164.61,6611.0,164.447,57
9,2024-10-10 11:45:00-04:00,164.53,164.95,164.53,164.9,7328.0,164.797,66
10,2024-10-10 12:00:00-04:00,164.84,164.95,164.61,164.91,13472.0,164.833,64
11,2024-10-10 12:15:00-04:00,165.07,165.26,164.72,164.88,15264.0,165.083,93
12,2024-10-10 12:30:00-04:00,164.91,165.02,164.56,164.57,4342.0,164.757,32
13,2024-10-10 12:45:00-04:00,164.61,164.8,164.61,164.67,3055.0,164.707,25
14,2024-10-10 13:00:00-04:00,164.66,164.71,164.54,164.68,2270.0,164.642,20
15,2024-10-10 13:15:00-04:00,164.72,165.09,164.71,165.04,2685.0,164.92,23
16,2024-10-10 13:30:00-04:00,164.9,164.95,164.79,164.79,1623.0,164.893,12
17,2024-10-10 13:45:00-04:00,164.93,164.93,164.47,164.86,5931.0,164.761,49
18,2024-10-10 14:00:00-04:00,164.88,164.88,164.69,164.78,3964.0,164.76,28
19,2024-10-10 14:15:00-04:00,164.84,164.98,164.74,164.89,6575.0,164.827,49
20,2024-10-10 14:30:00-04:00,164.8,164.96,164.72,164.89,7440.0,164.836,64
21,2024-10-10 14:45:00-04:00,164.89,165.1,164.88,164.88,5638.0,164.989,50
22,2024-10-10 15:00:00-04:00,164.92,165.13,164.85,165.03,11706.0,164.909,87
23,2024-10-10 15:15:00-04:00,165.03,165.19,164.96,165.0,19340.0,165.076,99
24,2024-10-10 15:30:00-04:00,165.02,165.13,164.93,165.05,18506.0,165.036,119
25,2024-10-10 15:45:00-04:00,165.16,165.98,165.14,165.74,76463.0,165.622,611
26,2024-10-11 09:30:00-04:00,165.9,165.99,165.53,165.99,7812.0,165.835,22
27,2024-10-11 09:45:00-04:00,165.98,166.76,165.87,166.76,12049.0,166.246,76
28,2024-10-11 10:00:00-04:00,166.76,166.8,166.28,166.44,13438.0,166.632,80
29,2024-10-11 10:15:00-04:00,166.44,166.68,166.17,166.18,7735.0,166.569,34
30,2024-10-11 10:30:00-04:00,166.19,166.19,165.93,165.95,2273.0,166.032,19
31,2024-10-11 10:45:00-04:00,165.92,166.33,165.91,166.28,4289.0,166.144,37
32,2024-10-11 11:00:00-04:00,166.21,166.53,166.21,166.53,2400.0,166.375,24
33,2024-10-11 11:15:00-04:00,166.5,166.55,166.1,166.1,3535.0,166.395,33
34,2024-10-11 11:30:00-04:00,166.11,166.41,166.11,166.28,4215.0,166.294,31
35,2024-10-11 11:45:00-04:00,166.3,166.33,165.97,166.33,5936.0,166.139,48
36,2024-10-11 12:00:00-04:00,166.24,166.39,166.19,166.23,2975.0,166.259,20
37,2024-10-11 12:15:00-04:00,166.2,166.28,166.13,166.21,3935.0,166.191,21
38,2024-10-11 12:30:00-04:00,166.13,166.26,166.0,166.12,6585.0,166.147,49
39,2024-10-11 12:45:00-04:00,166.09,166.13,165.88,166.13,4244.0,166.051,24
40,2024-10-11 13:00:00-04:00,166.13,166.18,165.72,165.99,10454.0,166.004,67
41,2024-10-11 13:15:00-04:00,165.97,166.29,165.95,166.24,3312.0,166.12,22
42,2024-10-11 13:30:00-04:00,166.3,166.42,166.26,166.38,3211.0,166.306,21
43,2024-10-11 13:45:00-04:00,166.45,166.51,166.4,166.42,3696.0,166.443,28
44,2024-10-11 14:00:00-04:00,166.47,166.48,166.26,166.34,15127.0,166.378,38
45,2024-10-11 14:15:00-04:00,166.31,166.42,166.21,166.31,7041.0,166.334,59
46,2024-10-11 14:30:00-04:00,166.25,166.45,165.95,166.05,10387.0,166.2,80
47,2024-10-11 14:45:00-04:00,166.0,166.47,166.0,166.47,14632.0,166.111,35
48,2024-10-11 15:00:00-04:00,166.42,166.49,166.13,166.47,8822.0,166.316,61
49,2024-10-11 15:15:00-04:00,166.47,166.54,166.42,166.44,6039.0,166.496,50
50,2024-10-11 15:30:00-04:00,166.38,166.58,166.13,166.13,24490.0,166.391,145
51,2024-10-11 15:45:00-04:00,166.09,166.15,165.77,165.93,56959.0,165.917,382
52,2024-10-14 09:30:00-04:00,166.21,166.91,166.1,166.48,32825.0,166.471,70
53,2024-10-14 09:45:00-04:00,166.55,166.81,166.46,166.75,8280.0,166.629,60
54,2024-10-14 10:00:00-04:00,166.75,167.26,166.75,167.15,10116.0,167.107,75
55,2024-10-14 10:15:00-04:00,167.21,167.56,167.03,167.4,4082.0,167.362,31
56,2024-10-14 10:30:00-04:00,167.54,168.05,167.37,168.0,13103.0,167.823,51
57,2024-10-14 10:45:00-04:00,167.9,167.9,167.28,167.28,8374.0,167.676,63
58,2024-10-14 11:00:00-04:00,167.42,167.42,167.17,167.35,11192.0,167.342,44
