,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,187.3,187.84,186.56,187.44,20477.0,187.29,101
1,2024-10-10 09:45:00-04:00,187.53,189.33,187.53,188.69,46106.0,188.893,235
2,2024-10-10 10:00:00-04:00,188.64,188.69,188.0,188.0,8656.0,188.416,67
3,2024-10-10 10:15:00-04:00,187.94,188.29,187.75,187.86,8898.0,188.094,62
4,2024-10-10 10:30:00-04:00,187.78,188.02,187.54,187.55,9092.0,187.793,57
5,2024-10-10 10:45:00-04:00,187.46,187.66,187.18,187.65,11722.0,187.395,91
6,2024-10-10 11:00:00-04:00,187.62,188.4,187.52,188.36,26848.0,188.087,169
7,2024-10-10 11:15:00-04:00,188.34,188.4,187.79,187.89,11407.0,188.105,80
8,2024-10-10 11:30:00-04:00,187.9,188.12,187.83,187.83,13923.0,187.965,92
9,2024-10-10 11:45:00-04:00,187.84,187.88,187.35,187.36,8733.0,187.605,69
10,2024-10-10 12:00:00-04:00,187.35,187.56,187.2,187.51,11225.0,187.369,83
11,2024-10-10 12:15:00-04:00,187.53,187.59,187.3,187.59,12444.0,187.427,99
12,2024-10-10 12:30:00-04:00,187.64,187.7,187.11,187.35,17267.0,187.332,111
13,2024-10-10 12:45:00-04:00,187.36,187.45,187.19,187.29,10364.0,187.335,76
14,2024-10-10 13:00:00-04:00,187.25,187.26,187.03,187.13,7654.0,187.152,53
15,2024-10-10 13:15:00-04:00,187.06,187.51,186.89,187.41,10707.0,187.147,84
16,2024-10-10 13:30:00-04:00,187.41,187.71,187.3,187.63,6934.0,187.465,44
17,2024-10-10 13:45:00-04:00,187.48,187.54,187.23,187.51,8440.0,187.432,58
18,2024-10-10 14:00:00-04:00,187.41,187.5,187.27,187.36,4430.0,187.376,37
19,2024-10-10 14:15:00-04:00,187.36,187.38,187.23,187.33,4470.0,187.324,34
20,2024-10-10 14:30:00-04:00,187.28,187.29,187.08,187.19,8886.0,187.19,57
21,2024-10-10 14:45:00-04:00,187.2,187.25,187.08,187.13,6823.0,187.147,53
22,2024-10-10 15:00:00-04:00,187.12,187.26,187.11,187.23,4644.0,187.2,38
23,2024-10-10 15:15:00-04:00,187.14,187.21,187.02,187.02,12013.0,187.106,86
24,2024-10-10 15:30:00-04:00,187.04,187.71,187.04,187.54,9405.0,187.448,70
25,2024-10-10 15:45:00-04:00,187.56,187.7,187.37,187.59,66128.0,187.531,493
26,2024-10-11 09:30:00-04:00,187.81,187.95,187.11,187.46,17939.0,187.64,71
