,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,436.5,439.18,431.62,438.16,34115.0,436.079,157
1,2024-10-10 09:45:00-04:00,436.39,440.41,436.38,439.04,10607.0,439.352,75
2,2024-10-10 10:00:00-04:00,440.13,441.3,439.27,440.74,9298.0,440.223,63
3,2024-10-10 10:15:00-04:00,441.17,441.17,439.34,439.68,16511.0,440.649,54
4,2024-10-10 10:30:00-04:00,439.66,440.0,438.03,440.0,3723.0,439.462,23
5,2024-10-10 10:45:00-04:00,439.5,440.71,439.5,440.11,7188.0,440.055,66
6,2024-10-10 11:00:00-04:00,440.11,441.82,440.1,441.71,1557.0,441.488,15
7,2024-10-10 11:15:00-04:00,441.81,442.32,441.54,442.05,19603.0,441.834,23
8,2024-10-10 11:30:00-04:00,442.09,442.54,441.64,441.64,1959.0,442.239,18
9,2024-10-10 11:45:00-04:00,442.41,443.17,442.09,442.22,3132.0,442.612,31
10,2024-10-10 12:00:00-04:00,442.48,443.72,442.34,443.72,7477.0,443.178,34
11,2024-10-10 12:15:00-04:00,443.87,444.27,443.34,443.34,3184.0,443.813,19
12,2024-10-10 12:30:00-04:00,443.23,443.65,442.84,442.92,3208.0,443.138,27
13,2024-10-10 12:45:00-04:00,443.13,443.31,442.17,442.2,5036.0,442.48,29
14,2024-10-10 13:00:00-04:00,442.68,442.68,440.78,441.17,1204.0,441.934,12
15,2024-10-10 13:15:00-04:00,441.45,442.67,441.41,442.32,1000.0,441.981,10
16,2024-10-10 13:30:00-04:00,442.5,442.5,441.67,441.98,1144.0,442.07,11
17,2024-10-10 13:45:00-04:00,441.65,441.82,440.87,441.66,3800.0,441.429,35
18,2024-10-10 14:00:00-04:00,441.68,442.16,441.5,441.77,6583.0,441.712,30
19,2024-10-10 14:15:00-04:00,441.8,442.89,441.78,442.89,6405.0,442.08,49
20,2024-10-10 14:30:00-04:00,443.03,443.03,441.14,441.53,6832.0,441.873,54
21,2024-10-10 14:45:00-04:00,441.72,442.53,441.61,442.35,3378.0,442.095,32
22,2024-10-10 15:00:00-04:00,442.35,442.53,441.62,441.63,4214.0,442.056,40
23,2024-10-10 15:15:00-04:00,441.83,442.25,441.49,441.59,7391.0,442.043,55
24,2024-10-10 15:30:00-04:00,441.57,442.64,441.57,442.64,8657.0,442.174,66
25,2024-10-10 15:45:00-04:00,442.68,444.69,442.68,443.39,38433.0,443.609,294
26,2024-10-11 09:30:00-04:00,443.36,446.36,443.36,445.63,3079.0,443.953,6
27,2024-10-11 09:45:00-04:00,445.99,447.95,445.99,446.71,7170.0,446.442,39
28,2024-10-11 10:00:00-04:00,445.94,448.11,445.53,447.22,2499.0,447.35,18
29,2024-10-11 10:15:00-04:00,448.02,449.3,448.02,449.21,4800.0,448.257,13
30,2024-10-11 10:30:00-04:00,449.43,450.14,449.4,449.75,3210.0,449.661,29
31,2024-10-11 10:45:00-04:00,450.14,451.34,449.96,451.31,2806.0,450.416,21
32,2024-10-11 11:00:00-04:00,451.37,452.42,451.37,452.36,8302.0,452.22,26
33,2024-10-11 11:15:00-04:00,452.85,452.86,451.84,452.31,2967.0,452.48,25
34,2024-10-11 11:30:00-04:00,452.64,453.72,452.3,453.45,1805.0,452.867,18
35,2024-10-11 11:45:00-04:00,453.5,453.58,452.47,452.51,4155.0,452.936,29
36,2024-10-11 12:00:00-04:00,452.78,453.2,452.4,453.09,3386.0,452.811,32
37,2024-10-11 12:15:00-04:00,452.91,452.96,451.63,451.85,8421.0,452.576,32
38,2024-10-11 12:30:00-04:00,451.96,452.25,451.58,451.85,1826.0,451.977,18
39,2024-10-11 12:45:00-04:00,451.79,452.18,451.42,451.99,8542.0,451.799,46
40,2024-10-11 13:00:00-04:00,452.06,452.08,451.79,452.05,2091.0,451.976,14
41,2024-10-11 13:15:00-04:00,452.08,452.39,451.99,452.27,2800.0,452.257,10
42,2024-10-11 13:30:00-04:00,452.53,453.36,452.53,453.36,2475.0,452.747,21
43,2024-10-11 13:45:00-04:00,453.36,453.65,453.24,453.65,1000.0,453.394,8
44,2024-10-11 14:00:00-04:00,453.67,453.84,453.16,453.84,758.0,453.629,7
45,2024-10-11 14:15:00-04:00,453.39,453.68,453.38,453.68,200.0,453.533,2
46,2024-10-11 14:30:00-04:00,453.68,454.0,453.37,453.98,3958.0,453.848,26
47,2024-10-11 14:45:00-04:00,454.09,454.64,454.08,454.59,4000.0,454.483,29
48,2024-10-11 15:00:00-04:00,454.45,455.47,454.45,455.39,9256.0,455.038,42
49,2024-10-11 15:15:00-04:00,455.35,455.93,455.2,455.33,3460.0,455.522,23
50,2024-10-11 15:30:00-04:00,455.33,457.0,455.33,455.84,11958.0,456.21,70
51,2024-10-11 15:45:00-04:00,455.77,456.69,455.32,456.47,41786.0,456.177,197
52,2024-10-14 09:30:00-04:00,457.76,458.36,456.85,457.56,3297.0,457.71,10
53,2024-10-14 09:45:00-04:00,457.11,459.0,456.38,457.96,3899.0,457.422,36
54,2024-10-14 10:00:00-04:00,458.82,458.82,456.0,456.25,9367.0,457.207,21
55,2024-10-14 10:15:00-04:00,456.24,456.88,455.07,456.88,2011.0,456.054,18
56,2024-10-14 10:30:00-04:00,457.02,457.58,456.93,457.16,2957.0,457.151,26
57,2024-10-14 10:45:00-04:00,457.12,458.3,456.67,457.39,2079.0,457.445,19
58,2024-10-14 11:00:00-04:00,458.09,458.62,457.35,458.62,3257.0,457.968,24
59,2024-10-14 11:15:00-04:00,459.28,459.89,459.12,459.12,5739.0,459.536,16
60,2024-10-14 11:30:00-04:00,459.17,460.25,458.77,460.22,3494.0,459.681,30
61,2024-10-14 11:45:00-04:00,460.3,461.1,460.14,460.99,3457.0,460.732,34
62,2024-10-14 12:00:00-04:00,460.73,461.49,460.1,461.06,4292.0,460.952,31
63,2024-10-14 12:15:00-04:00,460.84,461.75,460.83,461.28,2009.0,461.308,19
64,2024-10-14 12:30:00-04:00,460.8,460.8,460.34,460.47,755.0,460.576,7
65,2024-10-14 12:45:00-04:00,460.31,460.56,460.22,460.5,837.0,460.369,7
66,2024-10-14 13:00:00-04:00,460.22,460.22,459.83,460.19,2690.0,460.02,20
67,2024-10-14 13:15:00-04:00,460.05,460.53,459.77,460.36,3103.0,460.247,19
68,2024-10-14 13:30:00-04:00,460.18,460.18,459.59,459.72,1301.0,459.824,12
69,2024-10-14 13:45:00-04:00,459.56,460.13,459.56,460.13,762.0,459.877,5
70,2024-10-14 14:00:00-04:00,459.91,459.94,459.61,459.89,1632.0,459.821,10
71,2024-10-14 14:15:00-04:00,460.21,460.21,459.8,459.95,1957.0,459.943,16
72,2024-10-14 14:30:00-04:00,459.9,460.44,459.89,460.42,1200.0,460.232,12
73,2024-10-14 14:45:00-04:00,460.46,460.46,459.56,459.56,2369.0,460.074,17
74,2024-10-14 15:00:00-04:00,459.84,460.76,459.83,460.76,1799.0,460.154,15
75,2024-10-14 15:15:00-04:00,460.78,460.89,460.35,460.35,2176.0,460.693,20
76,2024-10-14 15:30:00-04:00,460.15,460.24,459.72,459.98,8461.0,460.001,73
77,2024-10-14 15:45:00-04:00,459.94,461.43,459.79,460.68,19855.0,460.697,163
78,2024-10-15 09:30:00-04:00,461.77,461.77,459.07,459.35,5132.0,460.523,30
79,2024-10-15 09:45:00-04:00,459.35,461.28,457.84,457.84,4006.0,459.919,33
80,2024-10-15 10:00:00-04:00,457.85,461.17,457.85,459.76,2798.0,459.759,23
81,2024-10-15 10:15:00-04:00,459.76,460.43,458.17,458.17,2979.0,459.596,24
82,2024-10-15 10:30:00-04:00,457.0,457.08,451.14,451.15,18045.0,453.291,132
83,2024-10-15 10:45:00-04:00,450.83,453.73,450.83,452.25,6335.0,452.337,46
84,2024-10-15 11:00:00-04:00,452.51,452.61,450.45,450.45,1985.0,451.531,19
85,2024-10-15 11:15:00-04:00,450.52,452.07,450.31,452.07,3524.0,450.819,32
86,2024-10-15 11:30:00-04:00,452.12,454.07,452.12,453.73,1934.0,453.044,17
87,2024-10-15 11:45:00-04:00,453.61,453.62,452.8,453.25,3700.0,453.26,34
88,2024-10-15 12:00:00-04:00,452.88,453.51,452.69,452.95,8392.0,453.204,77
89,2024-10-15 12:15:00-04:00,452.76,452.76,451.9,452.35,7071.0,452.296,57
90,2024-10-15 12:30:00-04:00,452.35,453.02,451.98,451.98,8760.0,452.7,61
91,2024-10-15 12:45:00-04:00,451.18,451.38,450.37,451.04,8454.0,450.971,61
92,2024-10-15 13:00:00-04:00,451.08,451.52,450.24,451.48,2311.0,451.12,23
93,2024-10-15 13:15:00-04:00,451.81,452.65,451.81,452.65,500.0,452.405,5
94,2024-10-15 13:30:00-04:00,452.72,452.72,451.53,451.99,2082.0,451.976,18
95,2024-10-15 13:45:00-04:00,452.27,452.74,452.26,452.74,2022.0,452.633,15
96,2024-10-15 14:00:00-04:00,452.74,452.99,451.71,452.07,986.0,452.549,9
97,2024-10-15 14:15:00-04:00,451.02,452.05,451.02,451.65,1607.0,451.571,15
98,2024-10-15 14:30:00-04:00,451.75,451.8,451.41,451.7,1475.0,451.66,12
99,2024-10-15 14:45:00-04:00,451.53,451.65,451.04,451.65,6179.0,451.553,9
100,2024-10-15 15:00:00-04:00,451.49,451.74,449.42,450.6,8031.0,450.577,56
101,2024-10-15 15:15:00-04:00,450.6,451.51,450.39,450.63,2599.0,451.031,21
102,2024-10-15 15:30:00-04:00,450.46,451.55,450.0,451.55,4677.0,450.713,38
103,2024-10-15 15:45:00-04:00,451.02,452.15,450.58,451.55,22652.0,451.24,179
104,2024-10-16 09:30:00-04:00,454.27,457.18,452.66,456.8,14940.0,454.677,73
105,2024-10-16 09:45:00-04:00,456.37,457.38,455.41,455.57,8562.0,456.269,57
106,2024-10-16 10:00:00-04:00,456.11,456.77,455.07,456.77,3400.0,455.605,33
107,2024-10-16 10:15:00-04:00,455.99,456.9,454.17,454.99,3203.0,455.249,19
108,2024-10-16 10:30:00-04:00,454.26,454.48,452.25,453.36,3697.0,453.655,33
109,2024-10-16 10:45:00-04:00,454.19,454.86,454.05,454.66,3826.0,454.48,36
