,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,468.45,471.27,465.95,467.09,18112.0,467.822,93
1,2024-10-10 09:45:00-04:00,467.27,467.44,465.6,465.6,5911.0,466.558,42
2,2024-10-10 10:00:00-04:00,465.6,469.3,465.16,468.3,11936.0,468.133,66
3,2024-10-10 10:15:00-04:00,468.45,469.3,468.16,468.16,2520.0,468.786,25
4,2024-10-10 10:30:00-04:00,468.6,469.77,468.6,469.77,9597.0,469.093,75
5,2024-10-10 10:45:00-04:00,469.6,469.9,468.85,469.36,2510.0,469.492,24
6,2024-10-10 11:00:00-04:00,469.7,470.86,469.67,470.81,5628.0,470.29,46
7,2024-10-10 11:15:00-04:00,470.81,471.0,470.2,470.35,1657.0,470.564,16
8,2024-10-10 11:30:00-04:00,470.45,470.52,469.99,470.31,2225.0,470.334,20
9,2024-10-10 11:45:00-04:00,470.08,470.29,469.57,470.05,5330.0,469.962,39
10,2024-10-10 12:00:00-04:00,470.06,471.0,469.78,470.85,5482.0,470.218,52
11,2024-10-10 12:15:00-04:00,471.25,472.36,471.25,472.05,3381.0,472.028,31
12,2024-10-10 12:30:00-04:00,471.88,471.88,470.51,470.67,3688.0,471.363,26
13,2024-10-10 12:45:00-04:00,470.79,471.24,470.79,471.17,1172.0,471.103,9
14,2024-10-10 13:00:00-04:00,470.97,471.35,470.85,470.85,600.0,471.01,6
15,2024-10-10 13:15:00-04:00,470.67,471.68,470.21,471.68,1607.0,471.044,12
16,2024-10-10 13:30:00-04:00,471.75,472.6,471.75,471.9,4080.0,472.209,23
17,2024-10-10 13:45:00-04:00,471.89,471.89,471.14,471.71,1015.0,471.532,10
18,2024-10-10 14:00:00-04:00,471.71,471.71,471.71,471.71,0.0,471.71,0
19,2024-10-10 14:15:00-04:00,471.99,471.99,470.98,470.98,2084.0,471.607,17
20,2024-10-10 14:30:00-04:00,471.08,471.08,470.43,470.74,5247.0,470.779,36
21,2024-10-10 14:45:00-04:00,470.9,472.51,470.9,472.51,3144.0,471.553,19
22,2024-10-10 15:00:00-04:00,472.52,472.78,471.75,472.43,8243.0,472.36,58
23,2024-10-10 15:15:00-04:00,472.32,472.6,471.32,471.32,6381.0,472.212,39
24,2024-10-10 15:30:00-04:00,471.56,472.25,471.36,471.88,7455.0,471.796,64
25,2024-10-10 15:45:00-04:00,472.0,473.9,471.74,473.29,22179.0,473.168,161
26,2024-10-11 09:30:00-04:00,474.92,478.96,474.92,478.02,5358.0,476.325,23
27,2024-10-11 09:45:00-04:00,477.37,478.08,475.61,476.63,4841.0,477.189,44
28,2024-10-11 10:00:00-04:00,476.63,481.36,476.2,481.36,6204.0,478.103,52
