,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,486.23,487.41,485.0,487.0,34938.0,486.185,130
1,2024-10-10 09:45:00-04:00,487.42,488.27,485.41,485.56,54904.0,487.027,290
2,2024-10-10 10:00:00-04:00,485.44,485.83,484.03,484.78,21950.0,484.877,128
3,2024-10-10 10:15:00-04:00,484.61,484.86,483.2,483.44,17270.0,484.505,154
4,2024-10-10 10:30:00-04:00,483.95,484.56,483.5,484.49,4210.0,483.981,35
5,2024-10-10 10:45:00-04:00,484.29,484.77,483.35,483.59,13099.0,484.158,96
6,2024-10-10 11:00:00-04:00,483.85,486.14,483.71,485.8,8961.0,485.064,53
7,2024-10-10 11:15:00-04:00,485.94,486.05,485.53,486.05,6215.0,485.796,50
8,2024-10-10 11:30:00-04:00,486.1,487.12,486.0,486.95,13643.0,486.707,79
9,2024-10-10 11:45:00-04:00,486.73,487.02,486.48,487.0,2723.0,486.812,15
10,2024-10-10 12:00:00-04:00,487.05,487.58,486.69,487.48,7237.0,487.152,54
11,2024-10-10 12:15:00-04:00,487.26,488.03,487.26,487.78,6412.0,487.735,41
12,2024-10-10 12:30:00-04:00,487.69,487.78,486.75,486.75,8717.0,487.236,59
13,2024-10-10 12:45:00-04:00,486.88,487.03,486.31,486.68,4688.0,486.659,33
14,2024-10-10 13:00:00-04:00,486.65,486.88,485.89,485.91,2209.0,486.487,19
15,2024-10-10 13:15:00-04:00,486.15,487.04,485.91,486.6,10288.0,486.24,43
16,2024-10-10 13:30:00-04:00,486.67,487.07,486.32,486.51,5533.0,486.734,40
17,2024-10-10 13:45:00-04:00,486.43,486.56,484.56,485.88,7584.0,485.667,62
18,2024-10-10 14:00:00-04:00,485.89,485.91,485.42,485.73,6148.0,485.69,44
19,2024-10-10 14:15:00-04:00,485.72,485.72,484.91,484.91,11408.0,485.447,79
20,2024-10-10 14:30:00-04:00,484.91,485.2,484.47,484.99,7513.0,484.941,65
21,2024-10-10 14:45:00-04:00,484.99,485.58,484.98,485.55,4175.0,485.282,40
22,2024-10-10 15:00:00-04:00,485.57,485.66,484.19,484.24,10531.0,485.059,87
23,2024-10-10 15:15:00-04:00,484.05,484.48,483.69,484.02,20085.0,483.987,174
24,2024-10-10 15:30:00-04:00,484.05,484.05,483.45,483.77,12766.0,483.692,94
25,2024-10-10 15:45:00-04:00,483.71,484.4,483.43,483.87,47945.0,483.889,391
26,2024-10-11 09:30:00-04:00,486.0,486.93,484.76,485.18,26381.0,485.829,91
27,2024-10-11 09:45:00-04:00,485.28,485.82,484.48,485.16,23866.0,485.107,122
28,2024-10-11 10:00:00-04:00,485.02,487.0,484.68,486.94,45101.0,485.624,226
29,2024-10-11 10:15:00-04:00,486.95,487.58,485.77,485.77,34710.0,486.615,152
30,2024-10-11 10:30:00-04:00,485.84,486.32,485.38,485.39,10310.0,485.719,63
31,2024-10-11 10:45:00-04:00,485.44,486.02,485.03,485.69,24199.0,485.381,144
32,2024-10-11 11:00:00-04:00,485.67,485.75,485.07,485.31,9869.0,485.326,79
33,2024-10-11 11:15:00-04:00,485.31,485.31,484.31,484.73,8858.0,484.725,48
34,2024-10-11 11:30:00-04:00,484.8,485.5,484.67,485.13,7349.0,485.055,56
35,2024-10-11 11:45:00-04:00,485.41,485.41,484.83,484.93,1752.0,485.08,17
36,2024-10-11 12:00:00-04:00,485.21,485.3,483.95,484.16,7201.0,484.413,51
37,2024-10-11 12:15:00-04:00,484.28,484.54,483.84,484.24,12886.0,484.312,115
38,2024-10-11 12:30:00-04:00,484.2,484.26,483.51,484.0,8737.0,483.829,66
39,2024-10-11 12:45:00-04:00,483.99,484.42,483.58,484.25,9460.0,484.142,80
40,2024-10-11 13:00:00-04:00,484.45,485.17,484.34,485.06,4092.0,484.745,36
41,2024-10-11 13:15:00-04:00,485.16,485.16,484.36,484.49,4673.0,484.641,34
42,2024-10-11 13:30:00-04:00,484.49,484.78,484.3,484.78,30476.0,484.513,84
43,2024-10-11 13:45:00-04:00,484.97,485.11,484.36,484.5,5569.0,484.655,34
44,2024-10-11 14:00:00-04:00,484.44,484.78,484.04,484.55,6806.0,484.439,64
45,2024-10-11 14:15:00-04:00,484.6,484.78,484.44,484.5,5177.0,484.583,49
46,2024-10-11 14:30:00-04:00,484.58,484.61,483.67,484.45,25532.0,484.466,103
47,2024-10-11 14:45:00-04:00,484.5,485.06,484.38,484.88,3895.0,484.759,33
48,2024-10-11 15:00:00-04:00,485.03,485.03,484.06,484.06,6797.0,484.439,51
49,2024-10-11 15:15:00-04:00,484.48,484.78,483.87,483.92,5453.0,484.232,46
50,2024-10-11 15:30:00-04:00,483.75,483.95,483.13,483.52,16198.0,483.583,124
51,2024-10-11 15:45:00-04:00,483.55,484.82,483.12,484.78,76564.0,484.334,600
52,2024-10-14 09:30:00-04:00,487.04,487.04,484.07,484.88,22756.0,485.875,72
53,2024-10-14 09:45:00-04:00,484.78,485.7,483.96,484.29,25460.0,484.848,195
54,2024-10-14 10:00:00-04:00,484.63,486.44,484.63,486.03,13902.0,485.486,98
55,2024-10-14 10:15:00-04:00,485.88,486.7,485.77,486.7,9850.0,486.343,62
56,2024-10-14 10:30:00-04:00,487.0,487.0,485.64,485.64,4163.0,486.306,31
57,2024-10-14 10:45:00-04:00,485.5,485.75,484.01,484.43,8979.0,484.867,69
58,2024-10-14 11:00:00-04:00,484.36,485.76,484.08,485.75,21463.0,484.841,127
59,2024-10-14 11:15:00-04:00,486.2,486.21,485.0,485.21,13291.0,485.457,89
60,2024-10-14 11:30:00-04:00,485.34,485.91,485.13,485.65,7999.0,485.564,56
61,2024-10-14 11:45:00-04:00,485.53,485.99,485.31,485.78,5485.0,485.716,37
62,2024-10-14 12:00:00-04:00,485.75,486.19,485.59,485.97,11446.0,485.894,84
