,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,122.93,123.58,122.37,122.37,15002.0,122.926,66
1,2024-10-10 09:45:00-04:00,122.43,122.78,121.78,122.64,12557.0,122.287,108
2,2024-10-10 10:00:00-04:00,122.77,123.25,122.77,123.22,11707.0,123.05,84
3,2024-10-10 10:15:00-04:00,123.25,123.45,123.14,123.14,11925.0,123.271,93
4,2024-10-10 10:30:00-04:00,123.16,123.43,123.03,123.38,11237.0,123.227,67
5,2024-10-10 10:45:00-04:00,123.26,123.27,122.83,122.85,7479.0,123.053,59
6,2024-10-10 11:00:00-04:00,122.85,122.98,122.78,122.87,7210.0,122.884,57
7,2024-10-10 11:15:00-04:00,122.73,122.81,122.45,122.46,3661.0,122.612,28
8,2024-10-10 11:30:00-04:00,122.4,122.52,122.3,122.46,16720.0,122.384,80
9,2024-10-10 11:45:00-04:00,122.47,122.55,122.47,122.53,6515.0,122.515,58
10,2024-10-10 12:00:00-04:00,122.49,123.09,122.48,122.95,17102.0,122.773,143
11,2024-10-10 12:15:00-04:00,122.94,122.94,122.48,122.54,7861.0,122.64,64
12,2024-10-10 12:30:00-04:00,122.5,122.94,122.31,122.77,37981.0,122.702,189
13,2024-10-10 12:45:00-04:00,122.84,122.98,122.75,122.98,23630.0,122.859,146
14,2024-10-10 13:00:00-04:00,122.92,123.05,122.24,122.24,11788.0,122.864,87
15,2024-10-10 13:15:00-04:00,122.26,122.74,122.16,122.56,8684.0,122.482,64
16,2024-10-10 13:30:00-04:00,122.56,122.8,122.49,122.75,22140.0,122.704,136
17,2024-10-10 13:45:00-04:00,122.75,122.77,122.23,122.38,11607.0,122.489,84
18,2024-10-10 14:00:00-04:00,122.38,122.38,121.95,121.95,4215.0,122.085,39
19,2024-10-10 14:15:00-04:00,121.95,122.58,121.93,122.37,24345.0,122.312,185
20,2024-10-10 14:30:00-04:00,122.29,122.41,121.96,122.22,10077.0,122.234,92
21,2024-10-10 14:45:00-04:00,122.23,122.44,122.2,122.27,7529.0,122.324,54
22,2024-10-10 15:00:00-04:00,122.22,122.37,122.14,122.37,10533.0,122.246,89
23,2024-10-10 15:15:00-04:00,122.38,122.73,122.38,122.5,12463.0,122.553,82
24,2024-10-10 15:30:00-04:00,122.5,122.59,122.39,122.52,26225.0,122.502,185
25,2024-10-10 15:45:00-04:00,122.54,123.01,122.47,122.92,139585.0,122.767,900
26,2024-10-11 09:30:00-04:00,122.08,123.94,122.08,123.78,16437.0,123.18,74
27,2024-10-11 09:45:00-04:00,123.59,124.03,123.52,123.76,14156.0,123.725,107
28,2024-10-11 10:00:00-04:00,123.76,124.38,123.67,124.09,16332.0,124.001,143
29,2024-10-11 10:15:00-04:00,124.25,124.59,124.25,124.39,8237.0,124.412,73
30,2024-10-11 10:30:00-04:00,124.36,124.36,123.98,124.1,4857.0,124.132,41
31,2024-10-11 10:45:00-04:00,124.11,124.28,123.76,124.13,8364.0,124.041,74
32,2024-10-11 11:00:00-04:00,124.13,124.2,124.06,124.08,2790.0,124.128,27
33,2024-10-11 11:15:00-04:00,124.07,124.44,124.07,124.42,12409.0,124.275,104
