,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,77.37,77.58,76.91,77.17,56687.0,77.242,202
1,2024-10-10 09:45:00-04:00,77.15,77.42,77.02,77.22,29411.0,77.228,258
2,2024-10-10 10:00:00-04:00,77.19,77.38,77.17,77.32,35874.0,77.306,258
3,2024-10-10 10:15:00-04:00,77.32,77.46,77.29,77.32,37033.0,77.362,280
4,2024-10-10 10:30:00-04:00,77.33,77.46,77.29,77.29,30126.0,77.367,237
5,2024-10-10 10:45:00-04:00,77.29,77.32,77.1,77.14,32859.0,77.182,266
6,2024-10-10 11:00:00-04:00,77.15,77.26,77.01,77.19,28736.0,77.159,230
7,2024-10-10 11:15:00-04:00,77.2,77.21,77.15,77.18,33902.0,77.182,230
8,2024-10-10 11:30:00-04:00,77.18,77.25,77.1,77.22,28741.0,77.183,213
9,2024-10-10 11:45:00-04:00,77.22,77.3,77.21,77.25,31115.0,77.26,223
10,2024-10-10 12:00:00-04:00,77.26,77.35,77.26,77.34,25276.0,77.315,198
11,2024-10-10 12:15:00-04:00,77.35,77.41,77.31,77.33,35410.0,77.359,235
12,2024-10-10 12:30:00-04:00,77.33,77.33,77.14,77.16,28087.0,77.259,217
13,2024-10-10 12:45:00-04:00,77.16,77.2,77.09,77.11,24468.0,77.135,153
14,2024-10-10 13:00:00-04:00,77.11,77.14,76.92,77.0,36019.0,76.994,262
15,2024-10-10 13:15:00-04:00,77.0,77.17,76.99,77.12,30797.0,77.09,196
16,2024-10-10 13:30:00-04:00,77.12,77.17,77.08,77.09,24860.0,77.127,203
17,2024-10-10 13:45:00-04:00,77.1,77.11,76.89,77.01,39247.0,76.985,304
18,2024-10-10 14:00:00-04:00,77.01,77.01,76.85,76.85,36477.0,76.937,251
19,2024-10-10 14:15:00-04:00,76.84,76.86,76.7,76.8,30575.0,76.775,226
20,2024-10-10 14:30:00-04:00,76.8,76.82,76.72,76.77,39239.0,76.784,286
21,2024-10-10 14:45:00-04:00,76.78,76.82,76.73,76.81,38170.0,76.78,273
22,2024-10-10 15:00:00-04:00,76.81,76.85,76.69,76.7,42344.0,76.748,276
23,2024-10-10 15:15:00-04:00,76.69,76.76,76.64,76.76,47431.0,76.723,327
24,2024-10-10 15:30:00-04:00,76.75,76.78,76.66,76.67,76000.0,76.725,509
25,2024-10-10 15:45:00-04:00,76.66,76.98,76.66,76.92,283898.0,76.861,1886
26,2024-10-11 09:30:00-04:00,76.43,76.85,76.36,76.5,69470.0,76.467,195
27,2024-10-11 09:45:00-04:00,76.54,76.97,76.51,76.94,33269.0,76.833,240
28,2024-10-11 10:00:00-04:00,76.92,77.19,76.8,77.18,60346.0,77.032,364
29,2024-10-11 10:15:00-04:00,77.18,77.31,77.16,77.23,53594.0,77.21,385
30,2024-10-11 10:30:00-04:00,77.22,77.33,77.19,77.32,40308.0,77.249,330
31,2024-10-11 10:45:00-04:00,77.33,77.54,77.32,77.48,79035.0,77.439,561
32,2024-10-11 11:00:00-04:00,77.48,77.74,77.47,77.64,36909.0,77.63,254
33,2024-10-11 11:15:00-04:00,77.62,77.71,77.58,77.67,39616.0,77.644,249
34,2024-10-11 11:30:00-04:00,77.67,77.78,77.6,77.76,73025.0,77.696,355
35,2024-10-11 11:45:00-04:00,77.76,77.83,77.49,77.52,60003.0,77.706,423
36,2024-10-11 12:00:00-04:00,77.52,77.57,77.43,77.47,20176.0,77.501,143
37,2024-10-11 12:15:00-04:00,77.46,77.49,77.27,77.3,22457.0,77.382,133
38,2024-10-11 12:30:00-04:00,77.29,77.36,77.26,77.28,27913.0,77.312,130
39,2024-10-11 12:45:00-04:00,77.28,77.39,77.26,77.38,27382.0,77.331,198
40,2024-10-11 13:00:00-04:00,77.38,77.4,77.29,77.31,22675.0,77.339,151
41,2024-10-11 13:15:00-04:00,77.32,77.43,77.28,77.43,25149.0,77.364,184
42,2024-10-11 13:30:00-04:00,77.42,77.6,77.41,77.6,35630.0,77.481,255
43,2024-10-11 13:45:00-04:00,77.6,77.62,77.51,77.62,76626.0,77.565,388
44,2024-10-11 14:00:00-04:00,77.61,77.63,77.48,77.56,37084.0,77.579,242
45,2024-10-11 14:15:00-04:00,77.56,77.6,77.51,77.52,28267.0,77.553,217
46,2024-10-11 14:30:00-04:00,77.53,77.55,77.41,77.41,33990.0,77.479,241
47,2024-10-11 14:45:00-04:00,77.43,77.51,77.41,77.49,34003.0,77.463,255
48,2024-10-11 15:00:00-04:00,77.49,77.65,77.48,77.61,40528.0,77.562,318
49,2024-10-11 15:15:00-04:00,77.61,77.65,77.57,77.62,49467.0,77.607,327
50,2024-10-11 15:30:00-04:00,77.61,77.73,77.6,77.66,58709.0,77.68,376
51,2024-10-11 15:45:00-04:00,77.66,77.75,77.58,77.6,322999.0,77.663,2044
52,2024-10-14 09:30:00-04:00,77.43,77.65,77.24,77.43,40713.0,77.423,92
53,2024-10-14 09:45:00-04:00,77.4,77.66,77.36,77.38,35858.0,77.475,161
54,2024-10-14 10:00:00-04:00,77.41,77.44,77.28,77.33,35933.0,77.334,165
55,2024-10-14 10:15:00-04:00,77.31,77.32,77.13,77.14,41500.0,77.197,283
56,2024-10-14 10:30:00-04:00,77.15,77.31,77.14,77.19,36813.0,77.224,262
57,2024-10-14 10:45:00-04:00,77.18,77.37,77.14,77.37,40453.0,77.24,257
58,2024-10-14 11:00:00-04:00,77.37,77.41,77.27,77.34,27544.0,77.35,198
59,2024-10-14 11:15:00-04:00,77.34,77.4,77.25,77.28,22517.0,77.319,187
60,2024-10-14 11:30:00-04:00,77.28,77.48,77.23,77.43,49833.0,77.341,266
61,2024-10-14 11:45:00-04:00,77.44,77.45,77.36,77.42,19069.0,77.409,144
62,2024-10-14 12:00:00-04:00,77.43,77.46,77.35,77.39,15869.0,77.397,124
63,2024-10-14 12:15:00-04:00,77.39,77.46,77.34,77.45,16973.0,77.395,104
64,2024-10-14 12:30:00-04:00,77.45,77.48,77.37,77.38,12166.0,77.427,97
65,2024-10-14 12:45:00-04:00,77.38,77.56,77.37,77.53,10930.0,77.461,77
66,2024-10-14 13:00:00-04:00,77.53,77.55,77.43,77.43,11296.0,77.517,71
67,2024-10-14 13:15:00-04:00,77.43,77.46,77.4,77.42,14137.0,77.436,103
68,2024-10-14 13:30:00-04:00,77.42,77.47,77.36,77.45,10193.0,77.424,84
69,2024-10-14 13:45:00-04:00,77.44,77.5,77.42,77.45,16042.0,77.471,109
70,2024-10-14 14:00:00-04:00,77.45,77.48,77.42,77.47,20051.0,77.455,127
71,2024-10-14 14:15:00-04:00,77.47,77.49,77.42,77.44,25332.0,77.457,116
72,2024-10-14 14:30:00-04:00,77.43,77.6,77.42,77.6,33507.0,77.462,111
73,2024-10-14 14:45:00-04:00,77.6,77.62,77.46,77.49,23279.0,77.531,157
74,2024-10-14 15:00:00-04:00,77.48,77.54,77.47,77.52,24826.0,77.507,140
75,2024-10-14 15:15:00-04:00,77.52,77.55,77.48,77.49,29306.0,77.513,173
76,2024-10-14 15:30:00-04:00,77.48,77.51,77.41,77.44,48285.0,77.456,306
77,2024-10-14 15:45:00-04:00,77.43,77.76,77.42,77.7,243298.0,77.614,1636
78,2024-10-15 09:30:00-04:00,77.52,77.75,77.14,77.23,57684.0,77.406,234
79,2024-10-15 09:45:00-04:00,77.2,77.44,77.01,77.04,86943.0,77.16,338
80,2024-10-15 10:00:00-04:00,77.05,77.27,76.92,77.19,58129.0,77.073,318
81,2024-10-15 10:15:00-04:00,77.19,77.31,76.96,76.96,74992.0,77.14,344
82,2024-10-15 10:30:00-04:00,76.97,76.97,76.61,76.66,45045.0,76.808,375
83,2024-10-15 10:45:00-04:00,76.66,76.79,76.52,76.56,33760.0,76.659,245
84,2024-10-15 11:00:00-04:00,76.56,76.66,76.55,76.59,28277.0,76.597,235
85,2024-10-15 11:15:00-04:00,76.6,76.71,76.52,76.67,51583.0,76.612,270
86,2024-10-15 11:30:00-04:00,76.67,76.76,76.61,76.75,31079.0,76.695,217
87,2024-10-15 11:45:00-04:00,76.75,76.77,76.65,76.72,65532.0,76.705,286
88,2024-10-15 12:00:00-04:00,76.72,76.91,76.67,76.87,45212.0,76.758,258
89,2024-10-15 12:15:00-04:00,76.88,76.98,76.82,76.98,26919.0,76.905,229
90,2024-10-15 12:30:00-04:00,76.97,77.1,76.95,77.05,45174.0,77.026,303
91,2024-10-15 12:45:00-04:00,77.05,77.06,76.93,76.99,25406.0,76.979,207
92,2024-10-15 13:00:00-04:00,76.99,77.04,76.78,76.85,23034.0,76.929,182
93,2024-10-15 13:15:00-04:00,76.86,76.89,76.79,76.82,22767.0,76.841,140
94,2024-10-15 13:30:00-04:00,76.81,76.96,76.8,76.94,27002.0,76.893,198
95,2024-10-15 13:45:00-04:00,76.94,76.95,76.84,76.87,28734.0,76.912,228
96,2024-10-15 14:00:00-04:00,76.88,76.88,76.77,76.79,30632.0,76.82,224
97,2024-10-15 14:15:00-04:00,76.79,76.79,76.6,76.64,31232.0,76.685,239
98,2024-10-15 14:30:00-04:00,76.65,76.7,76.61,76.69,27414.0,76.656,197
99,2024-10-15 14:45:00-04:00,76.7,76.79,76.65,76.79,38165.0,76.716,274
100,2024-10-15 15:00:00-04:00,76.8,76.8,76.52,76.52,48735.0,76.638,368
101,2024-10-15 15:15:00-04:00,76.53,76.8,76.53,76.69,144302.0,76.664,524
102,2024-10-15 15:30:00-04:00,76.69,76.78,76.59,76.67,120722.0,76.691,662
103,2024-10-15 15:45:00-04:00,76.67,76.75,76.48,76.61,348541.0,76.603,1964
104,2024-10-16 09:30:00-04:00,76.69,76.92,76.54,76.88,39812.0,76.69,185
105,2024-10-16 09:45:00-04:00,76.84,77.09,76.81,76.85,100286.0,76.909,361
106,2024-10-16 10:00:00-04:00,76.88,76.91,76.71,76.71,48316.0,76.802,224
107,2024-10-16 10:15:00-04:00,76.7,76.78,76.51,76.52,50445.0,76.666,406
108,2024-10-16 10:30:00-04:00,76.51,76.67,76.35,76.39,42259.0,76.531,290
109,2024-10-16 10:45:00-04:00,76.37,76.4,76.29,76.33,56950.0,76.342,418
