,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,272.82,273.5,270.99,272.56,141994.0,271.989,666
1,2024-10-10 09:45:00-04:00,272.56,274.4,272.45,273.61,74031.0,273.492,573
2,2024-10-10 10:00:00-04:00,273.53,274.85,273.51,274.6,31328.0,274.219,208
3,2024-10-10 10:15:00-04:00,274.41,274.79,273.61,273.63,29107.0,274.136,206
4,2024-10-10 10:30:00-04:00,273.69,273.88,273.08,273.08,24706.0,273.614,200
5,2024-10-10 10:45:00-04:00,273.1,273.39,272.8,273.17,14394.0,273.006,111
6,2024-10-10 11:00:00-04:00,273.12,274.36,272.92,274.17,16389.0,273.728,144
7,2024-10-10 11:15:00-04:00,274.22,274.27,273.8,274.03,26944.0,274.011,211
8,2024-10-10 11:30:00-04:00,274.02,274.02,273.39,273.75,20686.0,273.691,159
9,2024-10-10 11:45:00-04:00,273.76,274.03,273.66,273.9,8725.0,273.847,79
10,2024-10-10 12:00:00-04:00,273.9,274.63,273.89,274.5,17212.0,274.375,139
11,2024-10-10 12:15:00-04:00,274.57,274.92,274.45,274.88,18268.0,274.635,117
12,2024-10-10 12:30:00-04:00,274.81,275.05,274.42,274.42,14958.0,274.831,106
13,2024-10-10 12:45:00-04:00,274.57,274.57,274.1,274.17,13031.0,274.306,95
14,2024-10-10 13:00:00-04:00,274.17,274.28,273.67,273.76,21800.0,274.066,156
15,2024-10-10 13:15:00-04:00,273.8,274.62,273.69,274.02,15915.0,274.051,114
16,2024-10-10 13:30:00-04:00,274.05,274.11,273.4,273.49,17830.0,273.735,123
17,2024-10-10 13:45:00-04:00,273.41,273.67,272.88,273.63,18520.0,273.232,105
18,2024-10-10 14:00:00-04:00,273.57,273.57,272.91,272.91,12011.0,273.19,86
19,2024-10-10 14:15:00-04:00,272.97,273.14,272.67,273.13,21738.0,272.891,178
20,2024-10-10 14:30:00-04:00,273.13,273.19,272.6,272.9,19508.0,272.971,174
21,2024-10-10 14:45:00-04:00,272.84,273.0,272.73,272.85,17374.0,272.887,142
22,2024-10-10 15:00:00-04:00,272.96,273.0,272.52,272.52,28759.0,272.712,213
23,2024-10-10 15:15:00-04:00,272.55,272.71,272.03,272.63,52226.0,272.269,396
24,2024-10-10 15:30:00-04:00,272.6,272.76,272.01,272.4,51562.0,272.282,405
25,2024-10-10 15:45:00-04:00,272.48,273.51,272.43,273.22,120469.0,273.111,949
26,2024-10-11 09:30:00-04:00,274.01,276.53,274.01,275.11,49056.0,274.982,250
27,2024-10-11 09:45:00-04:00,275.25,275.25,274.31,274.34,23285.0,274.735,158
28,2024-10-11 10:00:00-04:00,274.44,275.63,274.11,275.16,32204.0,274.862,227
29,2024-10-11 10:15:00-04:00,275.33,275.81,274.97,275.51,19014.0,275.4,118
30,2024-10-11 10:30:00-04:00,275.4,275.72,275.26,275.48,14448.0,275.464,97
31,2024-10-11 10:45:00-04:00,275.56,276.27,275.43,275.8,25456.0,275.944,188
32,2024-10-11 11:00:00-04:00,275.75,275.79,275.3,275.74,14302.0,275.519,69
33,2024-10-11 11:15:00-04:00,275.7,275.96,275.6,275.87,14637.0,275.762,96
34,2024-10-11 11:30:00-04:00,275.88,276.73,275.77,276.44,27087.0,276.467,220
35,2024-10-11 11:45:00-04:00,276.71,276.71,276.08,276.19,11330.0,276.418,77
36,2024-10-11 12:00:00-04:00,276.17,276.18,275.31,275.5,14094.0,275.675,111
37,2024-10-11 12:15:00-04:00,275.41,275.63,275.24,275.37,11816.0,275.453,85
38,2024-10-11 12:30:00-04:00,275.42,275.79,275.16,275.33,19968.0,275.455,89
39,2024-10-11 12:45:00-04:00,275.4,275.7,275.33,275.67,8401.0,275.517,78
40,2024-10-11 13:00:00-04:00,275.74,275.85,275.26,275.29,8233.0,275.522,60
41,2024-10-11 13:15:00-04:00,275.25,275.5,275.2,275.44,7122.0,275.333,57
42,2024-10-11 13:30:00-04:00,275.44,275.58,275.23,275.45,14082.0,275.415,74
43,2024-10-11 13:45:00-04:00,275.41,275.45,275.0,275.08,14264.0,275.154,90
44,2024-10-11 14:00:00-04:00,275.06,275.36,275.06,275.32,7701.0,275.243,60
45,2024-10-11 14:15:00-04:00,275.39,275.54,275.32,275.45,10278.0,275.418,86
46,2024-10-11 14:30:00-04:00,275.45,275.45,275.11,275.24,14923.0,275.278,90
47,2024-10-11 14:45:00-04:00,275.31,275.43,275.08,275.43,11879.0,275.215,100
48,2024-10-11 15:00:00-04:00,275.42,275.69,275.25,275.64,14711.0,275.438,110
49,2024-10-11 15:15:00-04:00,275.63,275.8,275.47,275.48,20120.0,275.664,138
50,2024-10-11 15:30:00-04:00,275.51,276.29,275.51,276.0,21385.0,275.968,175
51,2024-10-11 15:45:00-04:00,276.04,276.5,275.7,275.75,115759.0,276.004,909
52,2024-10-14 09:30:00-04:00,275.69,277.5,275.51,276.96,47898.0,276.333,203
53,2024-10-14 09:45:00-04:00,276.92,277.5,276.42,277.5,22048.0,277.082,171
54,2024-10-14 10:00:00-04:00,277.47,278.32,277.32,278.29,24003.0,277.631,164
55,2024-10-14 10:15:00-04:00,278.22,278.31,277.77,278.24,15752.0,278.015,129
56,2024-10-14 10:30:00-04:00,278.27,279.05,278.16,279.02,35000.0,278.649,260
57,2024-10-14 10:45:00-04:00,278.99,279.11,278.64,278.65,17586.0,278.821,123
58,2024-10-14 11:00:00-04:00,278.67,279.34,278.51,279.22,21310.0,278.93,172
59,2024-10-14 11:15:00-04:00,279.24,279.36,278.36,278.52,17091.0,278.881,132
60,2024-10-14 11:30:00-04:00,278.5,279.18,278.38,279.14,30861.0,278.645,130
61,2024-10-14 11:45:00-04:00,279.26,279.35,278.89,279.08,13565.0,279.094,97
62,2024-10-14 12:00:00-04:00,279.06,279.72,278.85,279.36,37791.0,279.288,205
63,2024-10-14 12:15:00-04:00,279.38,279.58,279.23,279.51,13543.0,279.414,114
64,2024-10-14 12:30:00-04:00,279.53,279.58,278.94,279.03,21110.0,279.349,105
65,2024-10-14 12:45:00-04:00,279.04,279.24,278.94,279.1,13741.0,279.066,118
66,2024-10-14 13:00:00-04:00,279.1,279.37,278.99,279.37,15241.0,279.137,115
