,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,94.39,94.39,93.85,94.09,34693.0,94.201,153
1,2024-10-10 09:45:00-04:00,94.14,94.8,94.08,94.63,19549.0,94.417,165
2,2024-10-10 10:00:00-04:00,94.66,95.03,94.66,94.99,20997.0,94.926,154
3,2024-10-10 10:15:00-04:00,94.98,95.2,94.93,95.09,32615.0,95.091,197
4,2024-10-10 10:30:00-04:00,95.12,95.26,94.95,94.97,29297.0,95.115,174
5,2024-10-10 10:45:00-04:00,94.92,94.92,94.65,94.73,28152.0,94.763,177
6,2024-10-10 11:00:00-04:00,94.72,94.72,94.5,94.55,15298.0,94.61,111
7,2024-10-10 11:15:00-04:00,94.5,94.56,94.33,94.41,24043.0,94.394,185
8,2024-10-10 11:30:00-04:00,94.39,94.42,94.29,94.38,19459.0,94.353,150
9,2024-10-10 11:45:00-04:00,94.33,94.48,94.33,94.39,24515.0,94.404,149
10,2024-10-10 12:00:00-04:00,94.39,94.73,94.37,94.7,9015.0,94.59,73
11,2024-10-10 12:15:00-04:00,94.69,94.77,94.67,94.75,9193.0,94.711,80
12,2024-10-10 12:30:00-04:00,94.73,94.85,94.53,94.6,10478.0,94.723,81
13,2024-10-10 12:45:00-04:00,94.59,94.66,94.54,94.55,8971.0,94.607,67
14,2024-10-10 13:00:00-04:00,94.55,94.57,94.39,94.44,8189.0,94.487,67
15,2024-10-10 13:15:00-04:00,94.47,94.64,94.43,94.6,13178.0,94.502,63
16,2024-10-10 13:30:00-04:00,94.61,94.67,94.56,94.59,17457.0,94.594,89
17,2024-10-10 13:45:00-04:00,94.59,94.61,94.44,94.59,17705.0,94.549,128
18,2024-10-10 14:00:00-04:00,94.57,94.59,94.42,94.43,10024.0,94.532,81
19,2024-10-10 14:15:00-04:00,94.42,94.53,94.38,94.53,12921.0,94.436,108
20,2024-10-10 14:30:00-04:00,94.53,94.54,94.38,94.38,16124.0,94.471,123
21,2024-10-10 14:45:00-04:00,94.4,94.69,94.36,94.69,50948.0,94.562,240
22,2024-10-10 15:00:00-04:00,94.68,94.73,94.59,94.62,54653.0,94.688,199
23,2024-10-10 15:15:00-04:00,94.61,94.65,94.46,94.48,27058.0,94.555,214
24,2024-10-10 15:30:00-04:00,94.48,94.62,94.48,94.59,37741.0,94.549,292
25,2024-10-10 15:45:00-04:00,94.59,94.77,94.52,94.64,153517.0,94.645,1189
