,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,504.0,507.94,502.13,503.69,46746.0,505.054,252
1,2024-10-10 09:45:00-04:00,503.76,506.95,503.44,504.35,21461.0,505.409,144
2,2024-10-10 10:00:00-04:00,503.7,503.95,502.48,502.73,25567.0,503.057,147
3,2024-10-10 10:15:00-04:00,502.72,503.61,501.89,503.31,12500.0,502.988,93
4,2024-10-10 10:30:00-04:00,503.7,505.06,503.44,504.67,11972.0,504.256,103
5,2024-10-10 10:45:00-04:00,504.18,505.67,504.18,505.1,8271.0,505.214,67
6,2024-10-10 11:00:00-04:00,505.36,505.44,504.3,504.76,6048.0,504.875,47
7,2024-10-10 11:15:00-04:00,505.16,506.71,505.16,506.37,11718.0,506.177,74
8,2024-10-10 11:30:00-04:00,506.31,506.62,505.81,506.16,6290.0,506.311,50
9,2024-10-10 11:45:00-04:00,506.0,506.81,505.97,506.8,6321.0,506.465,58
10,2024-10-10 12:00:00-04:00,507.0,507.23,506.29,506.86,21180.0,506.803,126
11,2024-10-10 12:15:00-04:00,506.76,508.32,506.75,507.98,13661.0,507.575,85
12,2024-10-10 12:30:00-04:00,507.93,507.97,506.0,506.23,13977.0,507.457,97
13,2024-10-10 12:45:00-04:00,506.44,506.85,505.65,505.95,7063.0,506.2,54
14,2024-10-10 13:00:00-04:00,505.86,506.34,505.01,505.9,17458.0,505.82,150
15,2024-10-10 13:15:00-04:00,506.06,506.06,505.43,505.79,4261.0,505.721,32
16,2024-10-10 13:30:00-04:00,505.79,506.0,505.63,505.7,8157.0,505.89,67
17,2024-10-10 13:45:00-04:00,505.86,507.05,505.7,506.99,17784.0,506.254,130
18,2024-10-10 14:00:00-04:00,506.99,507.47,506.82,507.22,12298.0,507.102,109
19,2024-10-10 14:15:00-04:00,507.17,507.5,506.95,507.09,13658.0,507.217,106
20,2024-10-10 14:30:00-04:00,507.21,507.42,506.95,507.2,10091.0,507.17,86
21,2024-10-10 14:45:00-04:00,507.0,507.5,507.0,507.46,17633.0,507.221,143
22,2024-10-10 15:00:00-04:00,507.59,508.3,507.45,507.91,14050.0,507.94,117
23,2024-10-10 15:15:00-04:00,507.97,508.42,507.9,508.02,15075.0,508.183,94
24,2024-10-10 15:30:00-04:00,507.81,508.07,506.93,508.01,34944.0,507.432,239
25,2024-10-10 15:45:00-04:00,507.92,507.92,505.99,506.54,92439.0,506.837,659
26,2024-10-11 09:30:00-04:00,508.13,510.4,506.54,510.4,13029.0,508.589,67
27,2024-10-11 09:45:00-04:00,510.14,510.73,507.2,507.37,18428.0,509.191,105
28,2024-10-11 10:00:00-04:00,507.29,508.37,506.87,507.68,9630.0,507.534,74
29,2024-10-11 10:15:00-04:00,508.12,509.34,508.06,509.06,7777.0,508.706,69
30,2024-10-11 10:30:00-04:00,509.06,509.41,508.31,509.09,12211.0,508.802,111
31,2024-10-11 10:45:00-04:00,509.09,509.51,508.67,508.67,5678.0,509.122,38
32,2024-10-11 11:00:00-04:00,508.66,508.87,507.88,508.16,8096.0,508.308,49
33,2024-10-11 11:15:00-04:00,508.37,508.79,507.16,507.38,7206.0,508.343,55
34,2024-10-11 11:30:00-04:00,507.48,507.97,507.31,507.31,4866.0,507.628,40
35,2024-10-11 11:45:00-04:00,507.3,507.76,506.82,507.76,4365.0,507.085,39
36,2024-10-11 12:00:00-04:00,507.55,508.2,507.07,507.15,7055.0,507.72,53
37,2024-10-11 12:15:00-04:00,507.29,507.76,507.25,507.4,4908.0,507.533,37
38,2024-10-11 12:30:00-04:00,507.68,507.71,507.2,507.32,3011.0,507.392,29
39,2024-10-11 12:45:00-04:00,507.25,507.26,506.39,507.13,4770.0,506.766,43
40,2024-10-11 13:00:00-04:00,507.33,507.64,507.22,507.31,4059.0,507.398,35
41,2024-10-11 13:15:00-04:00,507.31,507.64,507.04,507.29,5102.0,507.306,44
42,2024-10-11 13:30:00-04:00,507.28,508.01,507.28,507.99,2927.0,507.673,21
43,2024-10-11 13:45:00-04:00,508.1,508.72,507.97,508.72,8345.0,508.197,65
44,2024-10-11 14:00:00-04:00,508.99,509.23,508.58,509.23,4421.0,508.953,24
45,2024-10-11 14:15:00-04:00,509.23,509.34,508.76,508.87,4280.0,509.075,42
46,2024-10-11 14:30:00-04:00,508.87,509.0,508.47,508.99,4452.0,508.79,41
47,2024-10-11 14:45:00-04:00,509.0,509.38,508.71,509.1,4532.0,509.012,45
48,2024-10-11 15:00:00-04:00,509.08,509.2,508.43,508.83,5903.0,508.864,53
49,2024-10-11 15:15:00-04:00,509.1,509.1,508.55,508.91,6935.0,508.809,52
50,2024-10-11 15:30:00-04:00,508.77,509.29,508.23,508.37,13615.0,508.772,115
51,2024-10-11 15:45:00-04:00,508.43,508.43,505.47,505.84,94308.0,506.38,747
52,2024-10-14 09:30:00-04:00,507.57,508.91,504.59,504.59,14420.0,507.017,60
53,2024-10-14 09:45:00-04:00,504.51,505.38,503.92,504.93,4299.0,504.698,31
54,2024-10-14 10:00:00-04:00,506.4,509.61,505.64,508.63,17540.0,508.116,139
55,2024-10-14 10:15:00-04:00,509.08,511.0,509.08,510.08,7111.0,510.413,53
56,2024-10-14 10:30:00-04:00,510.03,510.03,508.33,509.19,6879.0,509.127,61
57,2024-10-14 10:45:00-04:00,509.11,509.83,508.42,509.79,11992.0,508.894,86
