,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,39.97,39.97,39.62,39.65,103672.0,39.846,287
1,2024-10-10 09:45:00-04:00,39.62,39.98,39.57,39.85,65249.0,39.75,354
2,2024-10-10 10:00:00-04:00,39.84,39.96,39.74,39.86,158402.0,39.814,921
3,2024-10-10 10:15:00-04:00,39.84,39.89,39.7,39.71,72025.0,39.767,451
4,2024-10-10 10:30:00-04:00,39.72,39.9,39.71,39.84,160527.0,39.778,531
5,2024-10-10 10:45:00-04:00,39.84,39.9,39.77,39.79,42829.0,39.834,283
6,2024-10-10 11:00:00-04:00,39.79,39.87,39.76,39.87,35869.0,39.806,218
7,2024-10-10 11:15:00-04:00,39.88,39.98,39.85,39.95,64909.0,39.926,435
8,2024-10-10 11:30:00-04:00,39.95,39.99,39.9,39.9,26116.0,39.943,187
9,2024-10-10 11:45:00-04:00,39.9,40.04,39.89,39.96,42561.0,39.976,319
10,2024-10-10 12:00:00-04:00,39.97,39.99,39.86,39.89,19358.0,39.918,129
11,2024-10-10 12:15:00-04:00,39.9,39.97,39.89,39.94,19910.0,39.941,129
12,2024-10-10 12:30:00-04:00,39.94,39.94,39.82,39.85,27310.0,39.891,204
13,2024-10-10 12:45:00-04:00,39.83,39.9,39.82,39.89,34446.0,39.868,238
14,2024-10-10 13:00:00-04:00,39.88,39.94,39.79,39.8,28482.0,39.868,201
15,2024-10-10 13:15:00-04:00,39.81,39.93,39.79,39.88,43107.0,39.894,144
16,2024-10-10 13:30:00-04:00,39.89,39.9,39.83,39.84,29640.0,39.859,175
17,2024-10-10 13:45:00-04:00,39.84,39.84,39.71,39.84,22479.0,39.79,175
18,2024-10-10 14:00:00-04:00,39.83,39.87,39.72,39.72,41110.0,39.797,282
19,2024-10-10 14:15:00-04:00,39.72,39.75,39.67,39.73,53895.0,39.716,369
20,2024-10-10 14:30:00-04:00,39.74,39.78,39.64,39.68,62875.0,39.726,332
21,2024-10-10 14:45:00-04:00,39.69,39.73,39.66,39.72,26342.0,39.687,163
22,2024-10-10 15:00:00-04:00,39.73,39.73,39.62,39.65,38203.0,39.664,243
23,2024-10-10 15:15:00-04:00,39.65,39.67,39.6,39.62,48369.0,39.633,304
24,2024-10-10 15:30:00-04:00,39.62,39.62,39.48,39.5,102040.0,39.523,703
25,2024-10-10 15:45:00-04:00,39.5,39.72,39.48,39.6,327799.0,39.618,1924
26,2024-10-11 09:30:00-04:00,39.52,39.84,39.52,39.74,53274.0,39.623,168
27,2024-10-11 09:45:00-04:00,39.73,39.9,39.68,39.87,30504.0,39.761,152
28,2024-10-11 10:00:00-04:00,39.87,40.18,39.83,40.18,45651.0,40.019,208
29,2024-10-11 10:15:00-04:00,40.18,40.23,39.91,39.97,52031.0,40.063,275
30,2024-10-11 10:30:00-04:00,39.97,40.04,39.89,39.97,34397.0,39.982,205
31,2024-10-11 10:45:00-04:00,40.0,40.1,39.96,40.06,23099.0,40.039,143
32,2024-10-11 11:00:00-04:00,40.05,40.17,40.02,40.16,53381.0,40.086,290
33,2024-10-11 11:15:00-04:00,40.16,40.17,40.07,40.08,28251.0,40.121,210
34,2024-10-11 11:30:00-04:00,40.09,40.18,40.08,40.13,28850.0,40.136,214
35,2024-10-11 11:45:00-04:00,40.13,40.2,40.11,40.16,20332.0,40.159,147
36,2024-10-11 12:00:00-04:00,40.15,40.15,40.07,40.09,22671.0,40.107,138
37,2024-10-11 12:15:00-04:00,40.1,40.11,40.06,40.08,11176.0,40.079,90
38,2024-10-11 12:30:00-04:00,40.08,40.09,40.02,40.08,33211.0,40.053,167
39,2024-10-11 12:45:00-04:00,40.08,40.08,39.93,39.97,34341.0,39.986,190
40,2024-10-11 13:00:00-04:00,39.98,39.99,39.9,39.92,24980.0,39.933,175
41,2024-10-11 13:15:00-04:00,39.91,39.93,39.87,39.89,21978.0,39.895,146
42,2024-10-11 13:30:00-04:00,39.89,39.89,39.78,39.79,34743.0,39.832,201
43,2024-10-11 13:45:00-04:00,39.79,39.85,39.77,39.8,32624.0,39.812,222
44,2024-10-11 14:00:00-04:00,39.8,39.84,39.78,39.8,34132.0,39.801,240
45,2024-10-11 14:15:00-04:00,39.8,39.85,39.76,39.77,29978.0,39.806,251
46,2024-10-11 14:30:00-04:00,39.77,39.79,39.7,39.71,38911.0,39.743,299
47,2024-10-11 14:45:00-04:00,39.72,39.8,39.71,39.76,46513.0,39.741,364
48,2024-10-11 15:00:00-04:00,39.75,39.77,39.71,39.75,33192.0,39.747,238
49,2024-10-11 15:15:00-04:00,39.75,39.77,39.7,39.73,44726.0,39.739,343
50,2024-10-11 15:30:00-04:00,39.73,39.73,39.63,39.64,73854.0,39.672,521
51,2024-10-11 15:45:00-04:00,39.64,39.71,39.58,39.66,324541.0,39.649,2007
52,2024-10-14 09:30:00-04:00,39.24,39.57,39.2,39.52,83942.0,39.354,328
53,2024-10-14 09:45:00-04:00,39.52,39.8,39.47,39.51,46215.0,39.612,278
54,2024-10-14 10:00:00-04:00,39.53,39.75,39.5,39.73,58024.0,39.681,328
55,2024-10-14 10:15:00-04:00,39.72,39.78,39.52,39.76,46575.0,39.66,336
56,2024-10-14 10:30:00-04:00,39.76,39.9,39.71,39.89,33652.0,39.792,268
57,2024-10-14 10:45:00-04:00,39.87,39.88,39.76,39.83,40983.0,39.837,320
58,2024-10-14 11:00:00-04:00,39.82,39.92,39.75,39.91,120202.0,39.846,460
59,2024-10-14 11:15:00-04:00,39.89,39.94,39.81,39.83,62511.0,39.876,375
60,2024-10-14 11:30:00-04:00,39.84,39.92,39.72,39.92,128872.0,39.773,519
61,2024-10-14 11:45:00-04:00,39.91,39.93,39.82,39.82,43539.0,39.87,304
62,2024-10-14 12:00:00-04:00,39.82,39.95,39.81,39.93,23653.0,39.893,180
63,2024-10-14 12:15:00-04:00,39.91,39.97,39.89,39.93,49640.0,39.939,292
64,2024-10-14 12:30:00-04:00,39.93,39.97,39.9,39.93,78009.0,39.926,323
65,2024-10-14 12:45:00-04:00,39.94,40.02,39.94,39.99,30690.0,39.987,195
66,2024-10-14 13:00:00-04:00,39.99,40.0,39.93,39.94,20675.0,39.955,149
67,2024-10-14 13:15:00-04:00,39.94,40.09,39.93,40.08,64258.0,40.005,345
68,2024-10-14 13:30:00-04:00,40.08,40.17,40.04,40.15,43694.0,40.101,263
69,2024-10-14 13:45:00-04:00,40.15,40.25,40.1,40.16,120888.0,40.173,669
70,2024-10-14 14:00:00-04:00,40.16,40.25,40.14,40.23,81249.0,40.2,524
71,2024-10-14 14:15:00-04:00,40.23,40.26,40.2,40.23,93530.0,40.234,563
72,2024-10-14 14:30:00-04:00,40.21,40.25,40.18,40.23,42292.0,40.222,273
73,2024-10-14 14:45:00-04:00,40.23,40.24,40.2,40.21,44998.0,40.219,263
74,2024-10-14 15:00:00-04:00,40.21,40.29,40.19,40.27,67038.0,40.237,404
75,2024-10-14 15:15:00-04:00,40.27,40.28,40.24,40.27,67297.0,40.258,441
76,2024-10-14 15:30:00-04:00,40.27,40.28,40.17,40.21,106024.0,40.224,595
77,2024-10-14 15:45:00-04:00,40.21,40.28,40.15,40.24,367096.0,40.229,1965
78,2024-10-15 09:30:00-04:00,40.14,40.37,39.82,39.98,107526.0,40.025,371
79,2024-10-15 09:45:00-04:00,39.96,40.05,39.81,39.9,59792.0,39.947,379
80,2024-10-15 10:00:00-04:00,39.91,40.09,39.82,40.02,53251.0,39.948,358
81,2024-10-15 10:15:00-04:00,40.02,40.27,39.99,40.19,46326.0,40.127,330
82,2024-10-15 10:30:00-04:00,40.18,40.18,39.95,39.96,37329.0,40.065,271
83,2024-10-15 10:45:00-04:00,39.96,40.24,39.92,40.17,29751.0,40.079,224
84,2024-10-15 11:00:00-04:00,40.16,40.28,40.16,40.18,53057.0,40.215,314
85,2024-10-15 11:15:00-04:00,40.18,40.24,40.15,40.19,34813.0,40.194,258
86,2024-10-15 11:30:00-04:00,40.18,40.3,40.14,40.29,47777.0,40.214,302
87,2024-10-15 11:45:00-04:00,40.29,40.29,40.17,40.22,27172.0,40.234,225
88,2024-10-15 12:00:00-04:00,40.23,40.24,40.14,40.2,28704.0,40.19,183
89,2024-10-15 12:15:00-04:00,40.21,40.22,40.15,40.2,15570.0,40.185,125
90,2024-10-15 12:30:00-04:00,40.2,40.2,40.09,40.1,18850.0,40.154,142
91,2024-10-15 12:45:00-04:00,40.11,40.11,40.04,40.05,21467.0,40.07,138
92,2024-10-15 13:00:00-04:00,40.05,40.07,39.87,39.91,25762.0,39.973,170
93,2024-10-15 13:15:00-04:00,39.93,39.94,39.88,39.92,34177.0,39.912,174
94,2024-10-15 13:30:00-04:00,39.92,39.97,39.91,39.95,20896.0,39.942,156
95,2024-10-15 13:45:00-04:00,39.95,39.97,39.91,39.94,21472.0,39.937,131
96,2024-10-15 14:00:00-04:00,39.94,39.98,39.87,39.87,33856.0,39.928,204
97,2024-10-15 14:15:00-04:00,39.87,39.89,39.8,39.83,76606.0,39.836,435
98,2024-10-15 14:30:00-04:00,39.84,39.92,39.83,39.91,43272.0,39.874,260
99,2024-10-15 14:45:00-04:00,39.92,39.95,39.89,39.91,25445.0,39.92,191
100,2024-10-15 15:00:00-04:00,39.91,39.93,39.56,39.56,84929.0,39.755,528
101,2024-10-15 15:15:00-04:00,39.56,39.61,39.49,39.51,74780.0,39.547,520
102,2024-10-15 15:30:00-04:00,39.51,39.57,39.47,39.52,67103.0,39.518,471
103,2024-10-15 15:45:00-04:00,39.52,39.54,39.34,39.4,385734.0,39.429,2267
104,2024-10-16 09:30:00-04:00,39.69,39.75,39.46,39.74,62997.0,39.659,238
105,2024-10-16 09:45:00-04:00,39.77,39.98,39.49,39.7,62645.0,39.742,338
106,2024-10-16 10:00:00-04:00,39.7,39.89,39.7,39.8,35999.0,39.786,234
107,2024-10-16 10:15:00-04:00,39.8,39.83,39.71,39.83,29148.0,39.776,227
108,2024-10-16 10:30:00-04:00,39.83,39.98,39.8,39.8,45710.0,39.918,317
109,2024-10-16 10:45:00-04:00,39.81,39.97,39.8,39.97,91484.0,39.893,338
110,2024-10-16 11:00:00-04:00,39.97,39.97,39.77,39.78,60834.0,39.828,349
111,2024-10-16 11:15:00-04:00,39.77,39.79,39.61,39.67,26126.0,39.669,166
112,2024-10-16 11:30:00-04:00,39.66,39.67,39.53,39.58,47538.0,39.589,338
113,2024-10-16 11:45:00-04:00,39.57,39.57,39.5,39.52,22451.0,39.537,165
114,2024-10-16 12:00:00-04:00,39.53,39.59,39.45,39.47,52044.0,39.513,298
115,2024-10-16 12:15:00-04:00,39.47,39.47,39.4,39.41,62714.0,39.436,344
116,2024-10-16 12:30:00-04:00,39.41,39.47,39.39,39.45,27140.0,39.437,172
117,2024-10-16 12:45:00-04:00,39.45,39.52,39.45,39.52,18772.0,39.482,144
118,2024-10-16 13:00:00-04:00,39.52,39.56,39.48,39.54,22854.0,39.517,131
119,2024-10-16 13:15:00-04:00,39.54,39.57,39.51,39.55,14120.0,39.543,110
120,2024-10-16 13:30:00-04:00,39.55,39.61,39.55,39.61,29009.0,39.593,169
121,2024-10-16 13:45:00-04:00,39.62,39.67,39.55,39.55,49192.0,39.621,309
122,2024-10-16 14:00:00-04:00,39.55,39.64,39.52,39.63,36367.0,39.557,246
123,2024-10-16 14:15:00-04:00,39.64,39.71,39.64,39.7,29376.0,39.677,205
124,2024-10-16 14:30:00-04:00,39.7,39.79,39.66,39.79,137410.0,39.724,571
125,2024-10-16 14:45:00-04:00,39.79,39.91,39.78,39.83,58106.0,39.848,373
126,2024-10-16 15:00:00-04:00,39.83,39.83,39.77,39.8,32655.0,39.799,247
127,2024-10-16 15:15:00-04:00,39.8,39.84,39.73,39.77,61839.0,39.806,344
128,2024-10-16 15:30:00-04:00,39.78,39.95,39.76,39.95,53792.0,39.871,344
129,2024-10-16 15:45:00-04:00,39.95,39.97,39.85,39.89,270073.0,39.891,1527
130,2024-10-17 09:30:00-04:00,39.58,40.35,39.58,40.25,246110.0,40.013,1078
131,2024-10-17 09:45:00-04:00,40.25,40.29,40.05,40.16,74231.0,40.177,470
132,2024-10-17 10:00:00-04:00,40.17,40.23,40.06,40.08,59562.0,40.129,355
133,2024-10-17 10:15:00-04:00,40.1,40.12,39.81,39.84,38506.0,39.952,289
134,2024-10-17 10:30:00-04:00,39.83,39.91,39.8,39.86,51718.0,39.852,332
135,2024-10-17 10:45:00-04:00,39.87,40.05,39.87,40.04,42649.0,39.97,336
136,2024-10-17 11:00:00-04:00,40.05,40.08,39.99,40.05,51146.0,40.041,343
