,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,25.74,26.46,25.68,26.18,623062.0,26.033,1944
1,2024-10-10 09:45:00-04:00,26.18,26.55,26.12,26.54,235555.0,26.332,1337
2,2024-10-10 10:00:00-04:00,26.54,26.8,26.53,26.78,271422.0,26.676,1701
3,2024-10-10 10:15:00-04:00,26.78,26.85,26.54,26.58,305992.0,26.707,1770
4,2024-10-10 10:30:00-04:00,26.58,26.63,26.49,26.49,190718.0,26.548,960
5,2024-10-10 10:45:00-04:00,26.48,26.5,26.23,26.35,130142.0,26.345,856
6,2024-10-10 11:00:00-04:00,26.36,26.36,26.26,26.34,95246.0,26.31,649
7,2024-10-10 11:15:00-04:00,26.34,26.37,26.26,26.29,113275.0,26.31,683
8,2024-10-10 11:30:00-04:00,26.28,26.34,26.23,26.3,55069.0,26.291,427
9,2024-10-10 11:45:00-04:00,26.29,26.33,26.18,26.19,67114.0,26.262,482
10,2024-10-10 12:00:00-04:00,26.19,26.21,26.15,26.16,68649.0,26.172,509
11,2024-10-10 12:15:00-04:00,26.16,26.31,26.15,26.3,96524.0,26.227,633
12,2024-10-10 12:30:00-04:00,26.31,26.33,26.24,26.33,79510.0,26.289,478
13,2024-10-10 12:45:00-04:00,26.33,26.34,26.23,26.25,62296.0,26.271,403
14,2024-10-10 13:00:00-04:00,26.24,26.25,26.1,26.14,106001.0,26.163,401
15,2024-10-10 13:15:00-04:00,26.14,26.14,26.04,26.05,86149.0,26.079,528
16,2024-10-10 13:30:00-04:00,26.05,26.2,26.04,26.19,168117.0,26.09,600
17,2024-10-10 13:45:00-04:00,26.19,26.22,26.12,26.19,105149.0,26.176,712
18,2024-10-10 14:00:00-04:00,26.19,26.26,26.07,26.08,139369.0,26.2,564
19,2024-10-10 14:15:00-04:00,26.08,26.18,26.07,26.18,122026.0,26.121,805
20,2024-10-10 14:30:00-04:00,26.17,26.26,26.15,26.26,132169.0,26.216,835
21,2024-10-10 14:45:00-04:00,26.26,26.28,26.16,26.2,128201.0,26.229,766
22,2024-10-10 15:00:00-04:00,26.2,26.22,26.15,26.17,102583.0,26.182,560
23,2024-10-10 15:15:00-04:00,26.16,26.2,26.11,26.12,86093.0,26.163,612
24,2024-10-10 15:30:00-04:00,26.12,26.33,26.11,26.33,187988.0,26.236,1077
25,2024-10-10 15:45:00-04:00,26.33,26.4,26.32,26.38,720596.0,26.369,3788
26,2024-10-11 09:30:00-04:00,26.38,26.63,26.33,26.37,81309.0,26.438,229
27,2024-10-11 09:45:00-04:00,26.38,26.43,26.33,26.36,67000.0,26.378,450
28,2024-10-11 10:00:00-04:00,26.34,26.42,26.3,26.3,85013.0,26.362,607
29,2024-10-11 10:15:00-04:00,26.3,26.34,26.19,26.24,55735.0,26.257,391
30,2024-10-11 10:30:00-04:00,26.25,26.35,26.23,26.35,43333.0,26.296,280
31,2024-10-11 10:45:00-04:00,26.35,26.35,26.27,26.28,39255.0,26.307,265
32,2024-10-11 11:00:00-04:00,26.29,26.41,26.28,26.41,40340.0,26.334,271
33,2024-10-11 11:15:00-04:00,26.4,26.41,26.33,26.34,38740.0,26.362,300
34,2024-10-11 11:30:00-04:00,26.34,26.45,26.34,26.37,39798.0,26.379,293
35,2024-10-11 11:45:00-04:00,26.37,26.39,26.32,26.34,26176.0,26.349,192
36,2024-10-11 12:00:00-04:00,26.34,26.34,26.25,26.29,33385.0,26.291,261
37,2024-10-11 12:15:00-04:00,26.29,26.33,26.29,26.32,28235.0,26.305,158
38,2024-10-11 12:30:00-04:00,26.31,26.32,26.24,26.24,24921.0,26.29,156
39,2024-10-11 12:45:00-04:00,26.25,26.27,26.22,26.22,15358.0,26.248,134
40,2024-10-11 13:00:00-04:00,26.22,26.24,26.2,26.22,30928.0,26.223,202
41,2024-10-11 13:15:00-04:00,26.21,26.26,26.21,26.25,27972.0,26.228,206
42,2024-10-11 13:30:00-04:00,26.25,26.26,26.2,26.21,28617.0,26.235,188
43,2024-10-11 13:45:00-04:00,26.21,26.22,26.17,26.18,25407.0,26.192,164
44,2024-10-11 14:00:00-04:00,26.18,26.2,26.14,26.2,38085.0,26.16,234
45,2024-10-11 14:15:00-04:00,26.2,26.22,26.15,26.17,30999.0,26.188,175
46,2024-10-11 14:30:00-04:00,26.16,26.2,26.14,26.2,32820.0,26.161,240
47,2024-10-11 14:45:00-04:00,26.2,26.24,26.18,26.21,48606.0,26.21,250
48,2024-10-11 15:00:00-04:00,26.21,26.22,26.18,26.2,20623.0,26.203,156
49,2024-10-11 15:15:00-04:00,26.2,26.29,26.19,26.27,70964.0,26.242,452
50,2024-10-11 15:30:00-04:00,26.27,26.28,26.22,26.23,97273.0,26.241,678
51,2024-10-11 15:45:00-04:00,26.24,26.24,26.16,26.16,348324.0,26.203,1937
52,2024-10-14 09:30:00-04:00,25.9,25.99,25.79,25.88,84887.0,25.883,280
53,2024-10-14 09:45:00-04:00,25.88,26.11,25.84,25.94,54420.0,26.01,353
54,2024-10-14 10:00:00-04:00,25.96,26.06,25.9,25.99,79548.0,25.979,598
55,2024-10-14 10:15:00-04:00,26.0,26.0,25.87,25.96,35270.0,25.937,282
56,2024-10-14 10:30:00-04:00,25.98,26.08,25.98,26.08,60517.0,26.017,404
57,2024-10-14 10:45:00-04:00,26.08,26.21,26.07,26.14,61880.0,26.147,464
58,2024-10-14 11:00:00-04:00,26.14,26.18,26.1,26.15,32094.0,26.138,229
59,2024-10-14 11:15:00-04:00,26.14,26.25,26.13,26.19,111651.0,26.185,552
60,2024-10-14 11:30:00-04:00,26.2,26.21,26.11,26.16,61755.0,26.162,368
61,2024-10-14 11:45:00-04:00,26.16,26.21,26.14,26.19,56608.0,26.174,341
62,2024-10-14 12:00:00-04:00,26.19,26.28,26.13,26.26,126602.0,26.185,410
63,2024-10-14 12:15:00-04:00,26.27,26.3,26.19,26.21,44225.0,26.248,306
64,2024-10-14 12:30:00-04:00,26.2,26.22,26.17,26.2,20982.0,26.194,147
65,2024-10-14 12:45:00-04:00,26.2,26.24,26.16,26.23,105674.0,26.207,765
66,2024-10-14 13:00:00-04:00,26.22,26.31,26.2,26.26,79551.0,26.24,604
67,2024-10-14 13:15:00-04:00,26.25,26.29,26.17,26.2,50313.0,26.248,353
68,2024-10-14 13:30:00-04:00,26.2,26.27,26.19,26.26,49686.0,26.223,334
69,2024-10-14 13:45:00-04:00,26.27,26.27,26.23,26.24,22586.0,26.252,153
70,2024-10-14 14:00:00-04:00,26.24,26.26,26.2,26.22,24895.0,26.223,177
71,2024-10-14 14:15:00-04:00,26.23,26.26,26.19,26.2,35368.0,26.217,219
72,2024-10-14 14:30:00-04:00,26.2,26.21,26.12,26.14,61775.0,26.174,425
73,2024-10-14 14:45:00-04:00,26.14,26.22,26.11,26.17,77489.0,26.168,358
74,2024-10-14 15:00:00-04:00,26.17,26.18,26.09,26.1,50584.0,26.145,325
75,2024-10-14 15:15:00-04:00,26.1,26.11,26.02,26.03,49692.0,26.071,358
76,2024-10-14 15:30:00-04:00,26.04,26.05,25.98,26.0,128932.0,26.015,762
77,2024-10-14 15:45:00-04:00,26.0,26.17,25.98,26.14,461055.0,26.105,2457
78,2024-10-15 09:30:00-04:00,25.92,26.06,25.8,25.85,113362.0,25.913,445
79,2024-10-15 09:45:00-04:00,25.86,26.05,25.84,25.96,59636.0,25.967,389
80,2024-10-15 10:00:00-04:00,25.95,26.06,25.88,25.99,93297.0,25.934,535
81,2024-10-15 10:15:00-04:00,25.99,26.09,25.85,26.03,98024.0,25.996,621
82,2024-10-15 10:30:00-04:00,26.03,26.07,25.86,25.89,221213.0,26.015,699
83,2024-10-15 10:45:00-04:00,25.89,25.96,25.81,25.95,75001.0,25.872,502
84,2024-10-15 11:00:00-04:00,25.94,25.99,25.84,25.88,37891.0,25.926,277
85,2024-10-15 11:15:00-04:00,25.89,25.9,25.81,25.89,52066.0,25.862,381
86,2024-10-15 11:30:00-04:00,25.89,25.92,25.81,25.87,42203.0,25.86,330
87,2024-10-15 11:45:00-04:00,25.87,25.89,25.76,25.86,75013.0,25.824,489
88,2024-10-15 12:00:00-04:00,25.87,25.87,25.74,25.78,40935.0,25.78,290
89,2024-10-15 12:15:00-04:00,25.78,25.87,25.74,25.84,44877.0,25.804,275
90,2024-10-15 12:30:00-04:00,25.85,25.85,25.75,25.78,36033.0,25.801,229
91,2024-10-15 12:45:00-04:00,25.78,25.82,25.76,25.81,29359.0,25.785,193
92,2024-10-15 13:00:00-04:00,25.8,25.86,25.74,25.8,52110.0,25.782,329
93,2024-10-15 13:15:00-04:00,25.8,25.82,25.75,25.77,35915.0,25.786,260
94,2024-10-15 13:30:00-04:00,25.77,25.85,25.75,25.8,42341.0,25.8,316
95,2024-10-15 13:45:00-04:00,25.8,25.83,25.74,25.77,52726.0,25.779,401
96,2024-10-15 14:00:00-04:00,25.77,25.77,25.64,25.68,129314.0,25.72,799
97,2024-10-15 14:15:00-04:00,25.68,25.74,25.63,25.7,60337.0,25.68,359
98,2024-10-15 14:30:00-04:00,25.7,25.75,25.68,25.7,57140.0,25.716,313
