,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,162.58,163.89,161.95,162.37,59844.0,162.718,301
1,2024-10-10 09:45:00-04:00,162.25,163.67,162.01,162.85,102086.0,162.814,651
2,2024-10-10 10:00:00-04:00,163.02,163.47,162.71,163.26,50647.0,163.126,289
3,2024-10-10 10:15:00-04:00,163.24,164.45,163.18,163.72,50912.0,163.817,324
4,2024-10-10 10:30:00-04:00,163.71,164.8,163.61,164.56,26188.0,164.384,186
5,2024-10-10 10:45:00-04:00,164.51,164.51,163.95,164.18,11613.0,164.167,90
6,2024-10-10 11:00:00-04:00,164.18,164.41,163.97,164.25,23128.0,164.221,178
7,2024-10-10 11:15:00-04:00,164.25,164.44,163.61,164.03,24557.0,163.946,168
8,2024-10-10 11:30:00-04:00,164.02,164.25,163.96,164.12,11782.0,164.091,103
9,2024-10-10 11:45:00-04:00,164.2,164.75,164.16,164.61,15559.0,164.481,105
10,2024-10-10 12:00:00-04:00,164.65,165.14,164.57,165.05,28965.0,164.958,223
11,2024-10-10 12:15:00-04:00,165.0,165.37,164.98,165.37,19286.0,165.098,151
12,2024-10-10 12:30:00-04:00,165.42,165.73,165.25,165.33,43858.0,165.509,360
13,2024-10-10 12:45:00-04:00,165.37,166.13,165.37,165.92,46201.0,165.919,313
14,2024-10-10 13:00:00-04:00,165.91,166.18,165.72,166.13,26441.0,165.949,213
15,2024-10-10 13:15:00-04:00,166.13,166.54,166.06,166.49,32574.0,166.334,247
16,2024-10-10 13:30:00-04:00,166.51,166.94,166.48,166.78,46213.0,166.73,343
17,2024-10-10 13:45:00-04:00,166.81,167.2,166.75,167.05,34795.0,166.947,246
18,2024-10-10 14:00:00-04:00,167.05,167.24,166.76,166.78,38046.0,166.995,280
19,2024-10-10 14:15:00-04:00,166.79,166.82,166.55,166.74,16087.0,166.692,131
20,2024-10-10 14:30:00-04:00,166.73,166.81,166.33,166.34,16256.0,166.602,122
21,2024-10-10 14:45:00-04:00,166.39,166.45,166.17,166.44,22214.0,166.348,170
22,2024-10-10 15:00:00-04:00,166.45,166.83,166.45,166.6,35176.0,166.633,185
23,2024-10-10 15:15:00-04:00,166.56,166.6,165.87,165.88,31150.0,166.323,198
24,2024-10-10 15:30:00-04:00,165.84,165.89,165.16,165.27,98185.0,165.445,665
25,2024-10-10 15:45:00-04:00,165.28,165.39,164.75,164.85,195122.0,165.119,1471
26,2024-10-11 09:30:00-04:00,164.01,165.89,163.4,165.84,32664.0,164.537,113
27,2024-10-11 09:45:00-04:00,165.75,166.0,165.2,165.54,36960.0,165.686,262
28,2024-10-11 10:00:00-04:00,165.45,166.07,164.95,165.77,66719.0,165.501,422
29,2024-10-11 10:15:00-04:00,165.71,166.78,165.71,166.59,46463.0,166.301,287
30,2024-10-11 10:30:00-04:00,166.73,166.82,166.35,166.75,40352.0,166.613,252
31,2024-10-11 10:45:00-04:00,166.75,166.85,166.25,166.42,38480.0,166.594,292
32,2024-10-11 11:00:00-04:00,166.53,166.59,165.47,165.71,20276.0,166.024,153
33,2024-10-11 11:15:00-04:00,165.71,165.92,165.29,165.79,28405.0,165.497,164
34,2024-10-11 11:30:00-04:00,165.79,165.89,165.42,165.49,13777.0,165.61,104
35,2024-10-11 11:45:00-04:00,165.56,165.59,165.25,165.3,9541.0,165.39,67
36,2024-10-11 12:00:00-04:00,165.29,165.49,165.05,165.12,11640.0,165.218,89
37,2024-10-11 12:15:00-04:00,165.1,165.46,165.08,165.45,13782.0,165.172,105
38,2024-10-11 12:30:00-04:00,165.4,165.81,165.39,165.63,14103.0,165.589,109
39,2024-10-11 12:45:00-04:00,165.66,165.93,165.38,165.56,14955.0,165.694,116
40,2024-10-11 13:00:00-04:00,165.53,165.59,165.29,165.39,14886.0,165.411,116
41,2024-10-11 13:15:00-04:00,165.42,165.63,165.42,165.58,12162.0,165.511,89
42,2024-10-11 13:30:00-04:00,165.57,165.89,165.51,165.87,15640.0,165.672,142
43,2024-10-11 13:45:00-04:00,165.87,165.87,165.55,165.55,17672.0,165.761,163
44,2024-10-11 14:00:00-04:00,165.55,165.72,165.35,165.72,14406.0,165.537,120
45,2024-10-11 14:15:00-04:00,165.72,165.92,165.68,165.72,11882.0,165.805,100
46,2024-10-11 14:30:00-04:00,165.67,165.67,165.53,165.65,15224.0,165.609,124
47,2024-10-11 14:45:00-04:00,165.68,165.83,165.57,165.72,22392.0,165.7,168
48,2024-10-11 15:00:00-04:00,165.71,165.72,165.34,165.52,25401.0,165.492,226
49,2024-10-11 15:15:00-04:00,165.52,165.86,165.5,165.86,23887.0,165.636,189
50,2024-10-11 15:30:00-04:00,165.85,165.86,165.09,165.16,45376.0,165.439,389
51,2024-10-11 15:45:00-04:00,165.16,165.38,164.23,164.27,209017.0,164.564,1629
52,2024-10-14 09:30:00-04:00,162.65,163.55,162.05,163.17,77958.0,162.873,308
53,2024-10-14 09:45:00-04:00,163.11,163.87,162.71,162.77,27489.0,163.31,173
54,2024-10-14 10:00:00-04:00,162.86,163.28,162.65,163.13,40506.0,163.042,261
55,2024-10-14 10:15:00-04:00,163.12,163.12,162.18,162.49,31756.0,162.559,171
56,2024-10-14 10:30:00-04:00,162.64,162.95,162.37,162.87,39072.0,162.725,220
