,date,open,high,low,close,volume,average,barCount
0,2024-10-15 09:30:00-04:00,57.64,58.62,57.41,57.53,151697.0,57.854,551
1,2024-10-15 09:45:00-04:00,57.65,58.13,57.58,57.69,94544.0,57.818,506
2,2024-10-15 10:00:00-04:00,57.71,57.94,57.61,57.75,103422.0,57.74,524
3,2024-10-15 10:15:00-04:00,57.73,57.92,57.52,57.61,70900.0,57.715,485
4,2024-10-15 10:30:00-04:00,57.59,57.62,57.14,57.21,125538.0,57.329,669
5,2024-10-15 10:45:00-04:00,57.16,57.72,57.12,57.63,88422.0,57.438,464
6,2024-10-15 11:00:00-04:00,57.63,57.69,57.44,57.62,89365.0,57.565,448
7,2024-10-15 11:15:00-04:00,57.63,57.78,57.37,57.78,85432.0,57.563,554
8,2024-10-15 11:30:00-04:00,57.76,57.89,57.48,57.56,66595.0,57.699,421
9,2024-10-15 11:45:00-04:00,57.54,57.54,57.21,57.3,50051.0,57.344,329
10,2024-10-15 12:00:00-04:00,57.3,58.07,57.29,58.06,110583.0,57.736,544
11,2024-10-15 12:15:00-04:00,58.08,58.3,57.97,58.11,110974.0,58.115,504
12,2024-10-15 12:30:00-04:00,58.12,58.13,57.83,57.92,63857.0,57.944,369
13,2024-10-15 12:45:00-04:00,57.9,57.97,57.7,57.72,60953.0,57.834,287
14,2024-10-15 13:00:00-04:00,57.73,57.78,57.47,57.66,49144.0,57.641,284
15,2024-10-15 13:15:00-04:00,57.64,57.65,57.39,57.43,48932.0,57.55,281
16,2024-10-15 13:30:00-04:00,57.41,57.53,57.34,57.42,65077.0,57.425,338
17,2024-10-15 13:45:00-04:00,57.41,57.52,57.31,57.5,60991.0,57.394,296
18,2024-10-15 14:00:00-04:00,57.49,57.51,57.28,57.34,55059.0,57.399,290
19,2024-10-15 14:15:00-04:00,57.34,57.44,57.31,57.36,56808.0,57.377,350
20,2024-10-15 14:30:00-04:00,57.37,57.46,57.24,57.39,71115.0,57.333,345
21,2024-10-15 14:45:00-04:00,57.4,57.55,57.28,57.31,71391.0,57.355,426
22,2024-10-15 15:00:00-04:00,57.33,57.56,57.22,57.25,87565.0,57.36,452
23,2024-10-15 15:15:00-04:00,57.25,57.39,57.23,57.32,71852.0,57.305,333
24,2024-10-15 15:30:00-04:00,57.33,57.41,57.18,57.37,97871.0,57.296,611
25,2024-10-15 15:45:00-04:00,57.36,57.4,57.15,57.33,326616.0,57.272,2143
26,2024-10-16 09:30:00-04:00,57.82,57.85,57.3,57.53,191168.0,57.66,600
27,2024-10-16 09:45:00-04:00,57.5,57.68,57.32,57.68,101077.0,57.489,522
28,2024-10-16 10:00:00-04:00,57.65,58.45,57.62,57.84,188591.0,57.988,929
29,2024-10-16 10:15:00-04:00,57.85,58.02,57.48,57.49,78108.0,57.739,358
30,2024-10-16 10:30:00-04:00,57.52,57.57,57.31,57.43,77426.0,57.448,378
31,2024-10-16 10:45:00-04:00,57.45,57.63,57.38,57.44,52573.0,57.492,331
32,2024-10-16 11:00:00-04:00,57.46,57.78,57.43,57.66,47552.0,57.583,309
33,2024-10-16 11:15:00-04:00,57.67,57.71,57.37,57.45,71579.0,57.535,366
34,2024-10-16 11:30:00-04:00,57.42,57.63,57.34,57.6,56696.0,57.472,263
35,2024-10-16 11:45:00-04:00,57.57,57.65,57.44,57.47,36255.0,57.546,223
36,2024-10-16 12:00:00-04:00,57.46,57.62,57.46,57.52,40453.0,57.516,244
37,2024-10-16 12:15:00-04:00,57.5,57.65,57.48,57.61,28634.0,57.555,143
38,2024-10-16 12:30:00-04:00,57.59,57.66,57.51,57.58,28962.0,57.594,148
39,2024-10-16 12:45:00-04:00,57.58,57.72,57.56,57.62,39411.0,57.651,212
40,2024-10-16 13:00:00-04:00,57.64,57.85,57.51,57.83,52312.0,57.685,247
41,2024-10-16 13:15:00-04:00,57.83,57.92,57.48,57.48,37536.0,57.747,218
42,2024-10-16 13:30:00-04:00,57.48,57.56,57.43,57.52,50565.0,57.493,245
43,2024-10-16 13:45:00-04:00,57.52,57.54,57.42,57.47,60372.0,57.479,246
44,2024-10-16 14:00:00-04:00,57.47,57.57,57.37,57.5,67605.0,57.461,281
45,2024-10-16 14:15:00-04:00,57.5,57.57,57.32,57.35,61988.0,57.466,287
