,date,open,high,low,close,volume,average,barCount
0,2019-11-25,20.9,21.0,19.95,20.0,1695087.0,20.643,7871
1,2019-11-26,20.0,20.65,19.82,20.33,1331688.0,20.288,6740
2,2019-11-27,20.28,20.7,19.99,20.37,1371258.0,20.381,6694
3,2019-11-29,20.6,20.93,20.28,20.36,1062500.0,20.514,5189
4,2019-12-02,20.3,20.54,19.6,19.76,1015634.0,19.89,5251
5,2019-12-03,19.48,21.37,19.41,21.28,1499404.0,20.974,7468
6,2019-12-04,21.0,21.47,20.93,21.27,1080887.0,21.296,6504
7,2019-12-05,21.49,21.5,20.57,20.64,882065.0,20.993,5620
8,2019-12-06,20.78,21.04,18.82,18.94,3152172.0,19.828,15267
9,2019-12-09,19.07,19.3,18.67,18.78,2184258.0,19.011,13503
10,2019-12-10,18.78,19.09,18.58,18.87,1384505.0,18.802,8279
11,2019-12-11,19.03,19.11,18.53,18.65,1023149.0,18.678,6009
12,2019-12-12,18.56,19.05,18.32,18.45,1062059.0,18.531,7321
13,2019-12-13,18.47,18.72,18.32,18.62,1093496.0,18.535,7191
14,2019-12-16,18.6,18.97,18.22,18.52,1428806.0,18.609,9230
15,2019-12-17,18.54,18.7,18.31,18.44,1245982.0,18.472,8470
16,2019-12-18,18.48,19.0,18.48,18.64,1028344.0,18.774,5543
17,2019-12-19,18.58,19.67,18.5,19.41,1739215.0,19.366,9569
18,2019-12-20,19.4,20.0,19.05,19.83,3019158.0,19.675,12289
19,2019-12-23,19.79,19.85,19.34,19.7,1035516.0,19.676,6165
20,2019-12-24,19.69,19.79,19.35,19.75,380508.0,19.576,2267
21,2019-12-26,19.82,20.11,19.66,19.86,561979.0,19.891,3665
22,2019-12-27,19.99,20.0,19.25,19.52,782471.0,19.526,4986
23,2019-12-30,19.54,19.94,18.94,19.05,914573.0,19.112,5949
24,2019-12-31,18.96,19.64,18.96,19.56,847500.0,19.399,5074
25,2020-01-02,19.57,19.81,18.88,19.23,912057.0,19.128,4855
26,2020-01-03,19.02,19.36,18.72,18.89,765139.0,19.009,4389
27,2020-01-06,18.7,18.74,18.01,18.13,1029221.0,18.241,5498
28,2020-01-07,18.15,18.32,17.68,17.78,1105155.0,17.947,5422
29,2020-01-08,17.99,18.08,17.76,17.98,714176.0,17.961,3491
30,2020-01-09,18.0,18.55,17.9,18.4,941713.0,18.198,4389
31,2020-01-10,21.0,21.0,19.05,19.14,3901955.0,20.076,17691
32,2020-01-13,19.26,20.36,18.6,20.26,1706023.0,19.693,9092
33,2020-01-14,20.45,20.5,19.55,20.0,1018694.0,20.018,5452
34,2020-01-15,19.94,20.58,19.94,20.24,1324585.0,20.286,5645
35,2020-01-16,21.68,21.87,20.77,21.01,4107684.0,21.348,17089
36,2020-01-17,21.5,21.5,20.55,20.62,2968553.0,20.995,8170
37,2020-01-21,20.79,21.49,20.64,20.94,1779831.0,21.139,8804
38,2020-01-22,22.12,23.2,21.7,21.97,8631045.0,22.428,30323
39,2020-01-23,22.17,22.65,21.4,21.47,3055256.0,22.04,12333
40,2020-01-24,21.59,21.88,20.9,21.12,2103193.0,21.236,8572
41,2020-01-27,22.1,23.12,21.12,22.74,8584657.0,22.402,31922
42,2020-01-28,23.5,23.5,21.85,22.36,4620744.0,22.436,16687
43,2020-01-29,22.23,22.34,20.45,20.55,3906532.0,21.504,15759
44,2020-01-30,21.05,21.74,20.8,20.99,2319542.0,21.192,11004
45,2020-01-31,21.14,21.32,20.05,20.51,2302671.0,20.49,10125
46,2020-02-03,20.66,21.06,19.7,20.38,2642595.0,20.428,12831
47,2020-02-04,20.11,20.88,19.75,20.87,1386650.0,20.457,7267
48,2020-02-05,20.99,21.2,19.67,20.05,2155184.0,20.209,9802
49,2020-02-06,20.27,20.32,19.7,19.88,1515147.0,19.922,8201
50,2020-02-07,19.79,23.39,19.79,23.24,9172354.0,22.107,31404
51,2020-02-10,23.54,23.95,22.38,23.65,7877322.0,23.267,30410
52,2020-02-11,22.09,22.74,21.28,21.35,5567368.0,21.645,22007
53,2020-02-12,19.64,19.67,18.5,19.01,16228838.0,19.043,64758
54,2020-02-13,19.36,19.8,18.89,19.05,6182151.0,19.236,27549
55,2020-02-14,19.27,19.29,18.85,19.0,3667638.0,19.012,16385
56,2020-02-18,19.14,19.35,18.57,18.91,3491290.0,18.841,18034
57,2020-02-19,19.09,19.24,18.72,18.92,2723015.0,18.973,13074
58,2020-02-20,18.86,19.17,18.42,18.54,3043985.0,18.791,13837
59,2020-02-21,18.48,18.55,17.91,18.23,2763281.0,18.155,15814
60,2020-02-24,19.29,19.29,18.3,18.59,4570152.0,18.694,21741
61,2020-02-25,22.15,26.55,20.51,23.76,57291010.0,22.973,181387
62,2020-02-26,29.22,29.98,27.08,29.16,65273741.0,28.523,219074
63,2020-02-27,35.88,36.0,23.05,26.16,58642451.0,29.753,203744
64,2020-02-28,23.38,25.95,22.01,25.93,20686435.0,23.466,67489
65,2020-03-02,27.0,30.75,25.21,29.88,29696537.0,28.849,97473
66,2020-03-03,27.98,28.6,26.6,27.91,14943752.0,27.532,50689
67,2020-03-04,27.99,28.72,26.8,27.49,10393036.0,27.769,34596
68,2020-03-05,27.49,28.95,26.53,28.01,12966398.0,27.793,46200
69,2020-03-06,27.99,29.8,27.67,29.61,18934281.0,28.934,64674
70,2020-03-09,29.96,30.0,24.16,24.29,12309225.0,26.432,42812
71,2020-03-10,25.71,25.94,21.28,22.34,11553007.0,22.432,45449
72,2020-03-11,22.54,25.75,22.52,23.61,13357315.0,24.12,50621
73,2020-03-12,22.67,24.28,21.9,22.3,9473774.0,23.041,37383
74,2020-03-13,23.0,23.47,19.31,21.3,9899195.0,21.004,43197
