,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,28.3,28.36,28.06,28.08,163221.0,28.245,624
1,2024-10-10 09:45:00-04:00,28.08,28.35,28.08,28.29,84573.0,28.236,405
2,2024-10-10 10:00:00-04:00,28.29,28.38,28.29,28.38,89088.0,28.347,378
3,2024-10-10 10:15:00-04:00,28.37,28.5,28.35,28.45,143544.0,28.448,504
4,2024-10-10 10:30:00-04:00,28.43,28.58,28.4,28.54,162183.0,28.507,581
5,2024-10-10 10:45:00-04:00,28.53,28.53,28.41,28.44,111513.0,28.455,461
6,2024-10-10 11:00:00-04:00,28.44,28.47,28.35,28.36,170504.0,28.417,570
7,2024-10-10 11:15:00-04:00,28.36,28.38,28.26,28.3,178707.0,28.326,421
8,2024-10-10 11:30:00-04:00,28.3,28.35,28.28,28.33,102380.0,28.316,278
9,2024-10-10 11:45:00-04:00,28.34,28.47,28.33,28.45,140945.0,28.413,412
10,2024-10-10 12:00:00-04:00,28.45,28.49,28.43,28.46,122754.0,28.464,321
11,2024-10-10 12:15:00-04:00,28.46,28.49,28.43,28.49,182528.0,28.475,202
12,2024-10-10 12:30:00-04:00,28.49,28.53,28.44,28.46,95031.0,28.488,243
13,2024-10-10 12:45:00-04:00,28.46,28.53,28.45,28.46,71256.0,28.491,208
14,2024-10-10 13:00:00-04:00,28.46,28.47,28.39,28.39,123128.0,28.42,316
15,2024-10-10 13:15:00-04:00,28.4,28.45,28.38,28.44,142259.0,28.418,289
16,2024-10-10 13:30:00-04:00,28.44,28.45,28.41,28.44,81318.0,28.436,204
17,2024-10-10 13:45:00-04:00,28.45,28.46,28.39,28.44,224433.0,28.428,310
18,2024-10-10 14:00:00-04:00,28.44,28.46,28.36,28.37,78649.0,28.414,174
19,2024-10-10 14:15:00-04:00,28.37,28.42,28.33,28.41,114555.0,28.371,384
20,2024-10-10 14:30:00-04:00,28.4,28.41,28.36,28.38,108020.0,28.396,393
21,2024-10-10 14:45:00-04:00,28.38,28.4,28.37,28.39,129908.0,28.384,450
22,2024-10-10 15:00:00-04:00,28.39,28.43,28.34,28.38,129721.0,28.384,419
23,2024-10-10 15:15:00-04:00,28.38,28.41,28.36,28.37,126312.0,28.382,398
24,2024-10-10 15:30:00-04:00,28.36,28.4,28.34,28.39,151194.0,28.368,450
25,2024-10-10 15:45:00-04:00,28.39,28.41,28.29,28.33,450250.0,28.349,1237
26,2024-10-11 09:30:00-04:00,28.2,28.29,28.09,28.22,243180.0,28.195,1114
27,2024-10-11 09:45:00-04:00,28.22,28.28,28.14,28.22,407375.0,28.215,1815
28,2024-10-11 10:00:00-04:00,28.21,28.26,28.09,28.2,197760.0,28.189,897
29,2024-10-11 10:15:00-04:00,28.2,28.27,28.17,28.26,191721.0,28.223,892
30,2024-10-11 10:30:00-04:00,28.26,28.28,28.15,28.18,114344.0,28.211,494
31,2024-10-11 10:45:00-04:00,28.17,28.19,28.08,28.16,169213.0,28.127,451
32,2024-10-11 11:00:00-04:00,28.17,28.18,28.11,28.13,117861.0,28.133,368
33,2024-10-11 11:15:00-04:00,28.13,28.14,28.08,28.13,100864.0,28.108,356
34,2024-10-11 11:30:00-04:00,28.12,28.15,28.08,28.1,116206.0,28.109,353
35,2024-10-11 11:45:00-04:00,28.12,28.12,28.08,28.12,95024.0,28.106,289
36,2024-10-11 12:00:00-04:00,28.13,28.14,28.09,28.12,84649.0,28.117,229
37,2024-10-11 12:15:00-04:00,28.12,28.17,28.11,28.16,89287.0,28.145,241
38,2024-10-11 12:30:00-04:00,28.17,28.21,28.15,28.17,153399.0,28.183,412
39,2024-10-11 12:45:00-04:00,28.16,28.18,28.14,28.15,103318.0,28.162,295
40,2024-10-11 13:00:00-04:00,28.14,28.16,28.12,28.12,53436.0,28.139,226
41,2024-10-11 13:15:00-04:00,28.12,28.18,28.12,28.17,67530.0,28.151,261
42,2024-10-11 13:30:00-04:00,28.17,28.23,28.16,28.23,60839.0,28.193,241
43,2024-10-11 13:45:00-04:00,28.23,28.25,28.21,28.22,65378.0,28.232,269
44,2024-10-11 14:00:00-04:00,28.22,28.28,28.21,28.28,100290.0,28.248,256
45,2024-10-11 14:15:00-04:00,28.29,28.31,28.27,28.3,87893.0,28.289,228
46,2024-10-11 14:30:00-04:00,28.29,28.31,28.26,28.29,94530.0,28.287,264
47,2024-10-11 14:45:00-04:00,28.29,28.34,28.28,28.3,89915.0,28.312,289
48,2024-10-11 15:00:00-04:00,28.3,28.31,28.25,28.28,103393.0,28.287,351
49,2024-10-11 15:15:00-04:00,28.28,28.3,28.23,28.24,153875.0,28.255,494
50,2024-10-11 15:30:00-04:00,28.24,28.26,28.16,28.18,220723.0,28.207,680
51,2024-10-11 15:45:00-04:00,28.18,28.18,28.04,28.05,688039.0,28.083,2294
52,2024-10-14 09:30:00-04:00,27.83,27.88,27.69,27.86,128383.0,27.783,421
53,2024-10-14 09:45:00-04:00,27.85,27.92,27.77,27.78,106188.0,27.833,455
54,2024-10-14 10:00:00-04:00,27.78,27.91,27.72,27.89,76370.0,27.81,375
55,2024-10-14 10:15:00-04:00,27.9,27.91,27.75,27.76,68698.0,27.819,264
56,2024-10-14 10:30:00-04:00,27.77,27.89,27.77,27.88,87969.0,27.822,279
57,2024-10-14 10:45:00-04:00,27.87,27.98,27.86,27.91,128769.0,27.923,401
58,2024-10-14 11:00:00-04:00,27.9,27.96,27.84,27.88,101168.0,27.895,296
59,2024-10-14 11:15:00-04:00,27.88,27.89,27.81,27.86,53555.0,27.853,221
60,2024-10-14 11:30:00-04:00,27.86,27.89,27.79,27.86,60492.0,27.832,258
61,2024-10-14 11:45:00-04:00,27.85,27.88,27.81,27.88,30433.0,27.841,112
62,2024-10-14 12:00:00-04:00,27.88,27.92,27.87,27.91,37294.0,27.9,142
63,2024-10-14 12:15:00-04:00,27.9,27.9,27.84,27.86,83999.0,27.86,357
64,2024-10-14 12:30:00-04:00,27.86,27.88,27.82,27.88,78689.0,27.848,330
65,2024-10-14 12:45:00-04:00,27.87,27.9,27.85,27.89,80135.0,27.879,303
66,2024-10-14 13:00:00-04:00,27.89,27.9,27.84,27.85,89521.0,27.86,270
67,2024-10-14 13:15:00-04:00,27.85,27.88,27.84,27.87,103623.0,27.853,364
68,2024-10-14 13:30:00-04:00,27.86,27.89,27.84,27.88,44422.0,27.856,178
69,2024-10-14 13:45:00-04:00,27.88,27.91,27.87,27.88,38817.0,27.895,185
70,2024-10-14 14:00:00-04:00,27.88,27.88,27.84,27.87,49349.0,27.862,208
71,2024-10-14 14:15:00-04:00,27.88,27.88,27.76,27.78,153091.0,27.834,532
72,2024-10-14 14:30:00-04:00,27.79,27.82,27.77,27.8,76554.0,27.798,312
73,2024-10-14 14:45:00-04:00,27.8,27.8,27.72,27.75,104870.0,27.751,258
74,2024-10-14 15:00:00-04:00,27.75,27.76,27.68,27.69,96723.0,27.736,362
75,2024-10-14 15:15:00-04:00,27.69,27.69,27.6,27.64,102335.0,27.641,318
76,2024-10-14 15:30:00-04:00,27.63,27.72,27.61,27.71,139487.0,27.642,416
77,2024-10-14 15:45:00-04:00,27.71,27.76,27.66,27.75,620005.0,27.711,2306
78,2024-10-15 09:30:00-04:00,26.8,26.99,26.74,26.77,352841.0,26.858,944
79,2024-10-15 09:45:00-04:00,26.77,26.79,26.66,26.75,112889.0,26.73,548
80,2024-10-15 10:00:00-04:00,26.75,27.04,26.74,27.03,151634.0,26.903,629
81,2024-10-15 10:15:00-04:00,27.04,27.1,26.94,26.99,154929.0,27.022,645
82,2024-10-15 10:30:00-04:00,27.0,27.13,26.98,27.08,135138.0,27.064,664
83,2024-10-15 10:45:00-04:00,27.08,27.09,26.99,27.02,111731.0,27.032,456
84,2024-10-15 11:00:00-04:00,27.02,27.1,26.96,26.96,110586.0,27.038,327
85,2024-10-15 11:15:00-04:00,26.96,26.99,26.92,26.96,158032.0,26.951,476
86,2024-10-15 11:30:00-04:00,26.96,27.04,26.94,27.02,121195.0,26.987,529
87,2024-10-15 11:45:00-04:00,27.03,27.03,26.9,26.91,60968.0,26.962,293
88,2024-10-15 12:00:00-04:00,26.91,27.0,26.9,26.98,60249.0,26.954,268
89,2024-10-15 12:15:00-04:00,26.98,27.01,26.96,26.99,142546.0,26.987,275
90,2024-10-15 12:30:00-04:00,26.99,27.02,26.96,26.96,82507.0,26.981,231
91,2024-10-15 12:45:00-04:00,26.96,27.01,26.94,27.0,103690.0,26.974,268
92,2024-10-15 13:00:00-04:00,27.01,27.02,26.89,26.9,94068.0,26.947,286
93,2024-10-15 13:15:00-04:00,26.91,26.93,26.87,26.9,82591.0,26.898,202
94,2024-10-15 13:30:00-04:00,26.91,26.91,26.83,26.83,62232.0,26.865,240
95,2024-10-15 13:45:00-04:00,26.84,26.88,26.83,26.84,88605.0,26.853,238
96,2024-10-15 14:00:00-04:00,26.84,26.85,26.77,26.78,59853.0,26.798,201
97,2024-10-15 14:15:00-04:00,26.77,26.84,26.76,26.8,123312.0,26.806,335
98,2024-10-15 14:30:00-04:00,26.81,26.87,26.81,26.84,100380.0,26.84,305
99,2024-10-15 14:45:00-04:00,26.84,26.86,26.82,26.86,125002.0,26.841,447
100,2024-10-15 15:00:00-04:00,26.86,26.87,26.8,26.83,131830.0,26.842,345
101,2024-10-15 15:15:00-04:00,26.83,26.83,26.76,26.77,106726.0,26.792,290
102,2024-10-15 15:30:00-04:00,26.77,26.77,26.73,26.74,167261.0,26.751,513
103,2024-10-15 15:45:00-04:00,26.75,26.75,26.63,26.66,569497.0,26.672,1924
104,2024-10-16 09:30:00-04:00,26.79,26.86,26.72,26.77,156017.0,26.78,445
105,2024-10-16 09:45:00-04:00,26.77,26.79,26.66,26.69,68515.0,26.714,238
106,2024-10-16 10:00:00-04:00,26.7,26.75,26.66,26.69,64288.0,26.698,276
107,2024-10-16 10:15:00-04:00,26.7,26.77,26.68,26.68,84814.0,26.728,360
108,2024-10-16 10:30:00-04:00,26.68,26.74,26.62,26.64,50827.0,26.677,240
109,2024-10-16 10:45:00-04:00,26.64,26.74,26.64,26.74,51471.0,26.695,192
110,2024-10-16 11:00:00-04:00,26.73,26.73,26.61,26.63,107465.0,26.657,374
111,2024-10-16 11:15:00-04:00,26.63,26.71,26.61,26.71,115595.0,26.655,318
112,2024-10-16 11:30:00-04:00,26.71,26.71,26.65,26.7,84227.0,26.686,266
113,2024-10-16 11:45:00-04:00,26.69,26.74,26.66,26.72,69003.0,26.699,227
114,2024-10-16 12:00:00-04:00,26.73,26.74,26.68,26.69,38363.0,26.72,164
115,2024-10-16 12:15:00-04:00,26.69,26.71,26.67,26.68,84658.0,26.69,274
116,2024-10-16 12:30:00-04:00,26.67,26.71,26.66,26.67,81319.0,26.684,235
117,2024-10-16 12:45:00-04:00,26.67,26.71,26.66,26.68,151805.0,26.678,384
118,2024-10-16 13:00:00-04:00,26.68,26.73,26.67,26.73,57335.0,26.692,197
