,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,34.06,34.17,34.0,34.12,41819.0,34.076,166
1,2024-10-10 09:45:00-04:00,34.12,34.22,34.08,34.09,44611.0,34.154,281
2,2024-10-10 10:00:00-04:00,34.08,34.14,33.98,33.98,23437.0,34.084,190
3,2024-10-10 10:15:00-04:00,33.98,34.03,33.91,33.93,18045.0,33.963,159
4,2024-10-10 10:30:00-04:00,33.93,34.05,33.93,33.99,20382.0,33.997,175
5,2024-10-10 10:45:00-04:00,34.0,34.01,33.92,33.98,29211.0,33.964,206
6,2024-10-10 11:00:00-04:00,33.98,34.0,33.95,33.97,22567.0,33.97,190
7,2024-10-10 11:15:00-04:00,33.97,33.97,33.89,33.9,12339.0,33.921,106
8,2024-10-10 11:30:00-04:00,33.89,33.89,33.82,33.86,17656.0,33.859,122
9,2024-10-10 11:45:00-04:00,33.85,33.86,33.81,33.83,18538.0,33.843,140
10,2024-10-10 12:00:00-04:00,33.82,33.88,33.81,33.88,10688.0,33.839,89
11,2024-10-10 12:15:00-04:00,33.87,33.88,33.85,33.87,14047.0,33.866,87
12,2024-10-10 12:30:00-04:00,33.88,33.9,33.76,33.78,17810.0,33.839,137
13,2024-10-10 12:45:00-04:00,33.77,33.79,33.68,33.7,54651.0,33.737,355
14,2024-10-10 13:00:00-04:00,33.7,33.72,33.66,33.72,21408.0,33.691,155
15,2024-10-10 13:15:00-04:00,33.72,33.74,33.71,33.72,13389.0,33.724,111
16,2024-10-10 13:30:00-04:00,33.73,33.77,33.73,33.76,13330.0,33.75,100
17,2024-10-10 13:45:00-04:00,33.76,33.78,33.74,33.77,20257.0,33.762,122
18,2024-10-10 14:00:00-04:00,33.76,33.76,33.69,33.7,21913.0,33.722,152
19,2024-10-10 14:15:00-04:00,33.69,33.75,33.69,33.73,25158.0,33.719,164
20,2024-10-10 14:30:00-04:00,33.72,33.72,33.67,33.68,17950.0,33.691,131
21,2024-10-10 14:45:00-04:00,33.69,33.7,33.65,33.66,24881.0,33.666,157
22,2024-10-10 15:00:00-04:00,33.66,33.68,33.65,33.68,24277.0,33.666,138
23,2024-10-10 15:15:00-04:00,33.68,33.68,33.66,33.66,21350.0,33.671,161
24,2024-10-10 15:30:00-04:00,33.66,33.72,33.66,33.7,47047.0,33.695,271
25,2024-10-10 15:45:00-04:00,33.7,33.81,33.7,33.74,271303.0,33.763,1403
26,2024-10-11 09:30:00-04:00,33.74,33.91,33.74,33.81,33787.0,33.838,84
27,2024-10-11 09:45:00-04:00,33.81,33.84,33.75,33.8,13965.0,33.803,95
28,2024-10-11 10:00:00-04:00,33.78,33.87,33.78,33.87,17439.0,33.822,133
29,2024-10-11 10:15:00-04:00,33.87,33.96,33.87,33.94,23347.0,33.922,171
30,2024-10-11 10:30:00-04:00,33.93,33.93,33.78,33.79,22588.0,33.85,167
31,2024-10-11 10:45:00-04:00,33.79,33.89,33.78,33.86,13323.0,33.855,109
32,2024-10-11 11:00:00-04:00,33.85,33.92,33.84,33.91,11445.0,33.88,98
33,2024-10-11 11:15:00-04:00,33.91,33.94,33.9,33.92,10594.0,33.921,89
34,2024-10-11 11:30:00-04:00,33.92,33.95,33.89,33.92,37620.0,33.925,127
35,2024-10-11 11:45:00-04:00,33.92,33.92,33.84,33.89,18475.0,33.869,142
36,2024-10-11 12:00:00-04:00,33.89,33.93,33.87,33.91,41267.0,33.898,183
37,2024-10-11 12:15:00-04:00,33.91,33.97,33.9,33.95,30076.0,33.947,191
38,2024-10-11 12:30:00-04:00,33.95,33.99,33.94,33.98,22566.0,33.967,153
39,2024-10-11 12:45:00-04:00,33.98,34.0,33.97,33.99,20182.0,33.986,144
40,2024-10-11 13:00:00-04:00,33.99,34.0,33.95,33.98,18052.0,33.977,128
41,2024-10-11 13:15:00-04:00,33.98,33.99,33.95,33.95,31984.0,33.976,237
42,2024-10-11 13:30:00-04:00,33.95,33.97,33.92,33.97,24374.0,33.94,132
43,2024-10-11 13:45:00-04:00,33.97,33.99,33.94,33.95,30174.0,33.966,202
44,2024-10-11 14:00:00-04:00,33.94,33.97,33.93,33.94,27694.0,33.95,208
45,2024-10-11 14:15:00-04:00,33.94,33.94,33.86,33.87,28076.0,33.906,196
46,2024-10-11 14:30:00-04:00,33.87,33.88,33.82,33.83,27627.0,33.848,202
47,2024-10-11 14:45:00-04:00,33.83,33.9,33.83,33.89,36178.0,33.857,258
48,2024-10-11 15:00:00-04:00,33.89,33.95,33.89,33.95,22471.0,33.925,158
49,2024-10-11 15:15:00-04:00,33.95,33.97,33.94,33.96,30772.0,33.955,195
50,2024-10-11 15:30:00-04:00,33.95,33.99,33.94,33.96,44740.0,33.967,260
51,2024-10-11 15:45:00-04:00,33.96,33.97,33.91,33.93,297688.0,33.944,1288
52,2024-10-14 09:30:00-04:00,33.97,34.02,33.86,34.01,41680.0,33.958,241
53,2024-10-14 09:45:00-04:00,34.02,34.07,33.97,34.05,44825.0,34.015,309
