,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,244.94,245.4,243.55,244.47,8406.0,244.378,33
1,2024-10-10 09:45:00-04:00,244.6,245.46,244.16,244.52,8198.0,244.746,39
2,2024-10-10 10:00:00-04:00,245.1,245.21,244.23,244.98,35846.0,244.782,164
3,2024-10-10 10:15:00-04:00,244.99,245.5,244.57,244.71,6614.0,245.117,45
4,2024-10-10 10:30:00-04:00,244.81,245.4,244.73,245.22,13999.0,245.114,97
5,2024-10-10 10:45:00-04:00,245.22,245.22,244.42,244.43,28996.0,245.002,83
6,2024-10-10 11:00:00-04:00,244.64,245.25,244.56,245.22,8661.0,244.887,62
7,2024-10-10 11:15:00-04:00,245.37,245.45,245.18,245.37,5949.0,245.367,51
8,2024-10-10 11:30:00-04:00,245.33,245.47,245.17,245.18,7059.0,245.325,59
9,2024-10-10 11:45:00-04:00,245.14,245.34,244.84,245.1,9539.0,245.044,82
10,2024-10-10 12:00:00-04:00,244.98,245.12,244.8,244.83,3479.0,244.97,17
11,2024-10-10 12:15:00-04:00,244.93,245.42,244.93,245.17,6361.0,245.167,46
12,2024-10-10 12:30:00-04:00,245.11,245.35,244.25,244.29,3330.0,244.746,30
13,2024-10-10 12:45:00-04:00,244.32,244.48,244.1,244.48,5271.0,244.279,47
14,2024-10-10 13:00:00-04:00,244.12,244.12,243.49,243.79,10659.0,243.831,72
15,2024-10-10 13:15:00-04:00,243.86,244.69,243.86,244.31,10388.0,244.305,91
16,2024-10-10 13:30:00-04:00,244.34,244.96,244.25,244.53,31107.0,244.519,150
17,2024-10-10 13:45:00-04:00,244.63,245.08,244.46,244.95,17051.0,244.657,134
18,2024-10-10 14:00:00-04:00,244.92,245.06,244.54,244.79,20380.0,244.772,148
19,2024-10-10 14:15:00-04:00,244.71,245.49,244.6,245.25,23707.0,244.999,189
20,2024-10-10 14:30:00-04:00,245.24,245.74,245.13,245.46,17677.0,245.41,141
21,2024-10-10 14:45:00-04:00,245.41,245.71,245.25,245.4,25498.0,245.455,185
22,2024-10-10 15:00:00-04:00,245.43,245.69,245.34,245.55,15497.0,245.507,117
23,2024-10-10 15:15:00-04:00,245.6,245.6,245.32,245.53,17814.0,245.464,147
24,2024-10-10 15:30:00-04:00,245.54,246.07,245.52,245.78,41697.0,245.868,331
25,2024-10-10 15:45:00-04:00,245.81,246.16,245.51,245.91,146639.0,245.963,845
26,2024-10-11 09:30:00-04:00,246.72,248.83,245.89,247.32,21357.0,247.216,71
27,2024-10-11 09:45:00-04:00,247.33,247.7,246.75,247.26,18472.0,247.337,98
28,2024-10-11 10:00:00-04:00,247.81,248.07,246.89,247.62,12224.0,247.462,78
29,2024-10-11 10:15:00-04:00,247.54,248.89,247.54,248.89,13830.0,248.008,108
30,2024-10-11 10:30:00-04:00,248.89,249.4,248.59,249.19,27386.0,248.782,138
31,2024-10-11 10:45:00-04:00,249.38,249.93,249.16,249.79,11724.0,249.644,99
32,2024-10-11 11:00:00-04:00,249.79,250.07,249.32,250.07,7827.0,249.715,73
33,2024-10-11 11:15:00-04:00,250.19,250.2,249.57,249.63,23883.0,249.863,133
34,2024-10-11 11:30:00-04:00,249.66,250.31,249.66,250.01,7705.0,250.014,68
35,2024-10-11 11:45:00-04:00,250.02,250.12,249.68,249.94,8821.0,249.903,80
36,2024-10-11 12:00:00-04:00,249.83,249.93,249.15,249.15,10806.0,249.659,77
37,2024-10-11 12:15:00-04:00,249.29,249.42,248.72,248.84,16115.0,249.144,74
38,2024-10-11 12:30:00-04:00,248.84,248.85,248.63,248.64,6062.0,248.752,48
39,2024-10-11 12:45:00-04:00,248.61,248.73,248.43,248.52,4681.0,248.568,36
40,2024-10-11 13:00:00-04:00,248.7,248.71,248.41,248.49,5317.0,248.517,34
41,2024-10-11 13:15:00-04:00,248.49,248.49,248.19,248.32,7515.0,248.343,64
42,2024-10-11 13:30:00-04:00,248.34,248.9,248.32,248.9,18436.0,248.638,60
43,2024-10-11 13:45:00-04:00,248.89,249.28,248.88,249.25,14630.0,248.985,95
44,2024-10-11 14:00:00-04:00,249.25,249.5,249.25,249.46,6896.0,249.358,65
45,2024-10-11 14:15:00-04:00,249.46,249.66,249.34,249.66,6540.0,249.469,59
46,2024-10-11 14:30:00-04:00,249.66,250.14,249.54,250.14,9322.0,249.801,84
47,2024-10-11 14:45:00-04:00,250.16,250.18,249.84,250.07,7182.0,250.013,68
48,2024-10-11 15:00:00-04:00,250.01,250.54,249.98,250.54,14802.0,250.283,131
49,2024-10-11 15:15:00-04:00,250.5,250.56,250.18,250.18,26899.0,250.468,101
50,2024-10-11 15:30:00-04:00,250.13,250.13,249.48,249.59,11266.0,249.732,97
51,2024-10-11 15:45:00-04:00,249.6,250.33,249.6,250.21,56993.0,250.015,443
52,2024-10-14 09:30:00-04:00,249.63,249.63,248.05,248.37,9022.0,249.229,22
53,2024-10-14 09:45:00-04:00,248.71,249.9,248.54,248.56,5394.0,249.012,50
54,2024-10-14 10:00:00-04:00,248.56,249.99,248.55,249.86,5422.0,249.316,40
55,2024-10-14 10:15:00-04:00,249.77,250.87,249.54,250.63,12703.0,250.383,65
56,2024-10-14 10:30:00-04:00,250.74,250.79,250.17,250.59,7233.0,250.528,51
57,2024-10-14 10:45:00-04:00,250.72,250.95,250.19,250.95,5765.0,250.538,48
58,2024-10-14 11:00:00-04:00,250.99,251.78,250.74,251.78,13603.0,251.202,81
59,2024-10-14 11:15:00-04:00,251.51,251.78,251.13,251.51,8349.0,251.417,49
60,2024-10-14 11:30:00-04:00,251.51,251.72,251.49,251.62,3730.0,251.556,23
