,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,95.05,95.5,94.29,94.3,45857.0,94.943,180
1,2024-10-10 09:45:00-04:00,94.33,95.25,94.33,95.01,23825.0,94.933,148
2,2024-10-10 10:00:00-04:00,95.06,95.34,95.0,95.04,24809.0,95.205,116
3,2024-10-10 10:15:00-04:00,95.08,95.23,94.94,95.11,12238.0,95.11,88
4,2024-10-10 10:30:00-04:00,95.14,95.34,95.04,95.24,9359.0,95.209,63
5,2024-10-10 10:45:00-04:00,95.22,95.22,95.01,95.06,14863.0,95.105,116
6,2024-10-10 11:00:00-04:00,95.07,95.13,94.97,95.09,11478.0,95.053,75
7,2024-10-10 11:15:00-04:00,95.06,95.12,94.87,94.91,37525.0,95.066,102
8,2024-10-10 11:30:00-04:00,94.89,95.04,94.79,95.03,17677.0,94.917,80
9,2024-10-10 11:45:00-04:00,95.01,95.23,95.01,95.17,13722.0,95.159,82
10,2024-10-10 12:00:00-04:00,95.18,95.32,95.14,95.23,19548.0,95.2,100
11,2024-10-10 12:15:00-04:00,95.25,95.33,95.13,95.33,12226.0,95.244,72
12,2024-10-10 12:30:00-04:00,95.35,95.42,95.14,95.19,15633.0,95.288,101
13,2024-10-10 12:45:00-04:00,95.18,95.26,95.11,95.11,13155.0,95.191,96
14,2024-10-10 13:00:00-04:00,95.1,95.11,94.94,95.03,13279.0,95.007,94
15,2024-10-10 13:15:00-04:00,95.05,95.14,95.02,95.13,10432.0,95.083,88
16,2024-10-10 13:30:00-04:00,95.12,95.18,95.06,95.11,15937.0,95.114,110
17,2024-10-10 13:45:00-04:00,95.1,95.12,94.86,94.91,14361.0,94.955,98
18,2024-10-10 14:00:00-04:00,94.89,94.92,94.84,94.86,11287.0,94.875,86
19,2024-10-10 14:15:00-04:00,94.83,94.95,94.79,94.92,18754.0,94.852,104
20,2024-10-10 14:30:00-04:00,94.92,94.93,94.67,94.74,14874.0,94.816,133
21,2024-10-10 14:45:00-04:00,94.73,94.84,94.71,94.81,17917.0,94.765,135
22,2024-10-10 15:00:00-04:00,94.82,94.84,94.74,94.78,27595.0,94.8,173
23,2024-10-10 15:15:00-04:00,94.77,94.88,94.73,94.75,28053.0,94.8,201
24,2024-10-10 15:30:00-04:00,94.73,94.88,94.71,94.88,28124.0,94.788,239
25,2024-10-10 15:45:00-04:00,94.88,94.95,94.62,94.7,163785.0,94.751,1245
26,2024-10-11 09:30:00-04:00,94.79,95.42,94.67,95.05,75027.0,94.96,559
27,2024-10-11 09:45:00-04:00,95.05,95.45,94.92,95.3,84292.0,95.223,674
28,2024-10-11 10:00:00-04:00,95.23,95.65,95.04,95.59,59592.0,95.431,474
29,2024-10-11 10:15:00-04:00,95.61,95.86,95.57,95.79,75716.0,95.692,497
30,2024-10-11 10:30:00-04:00,95.79,95.82,95.25,95.29,142560.0,95.709,396
31,2024-10-11 10:45:00-04:00,95.31,95.59,95.27,95.52,61466.0,95.42,496
32,2024-10-11 11:00:00-04:00,95.52,95.53,95.24,95.28,80563.0,95.389,555
33,2024-10-11 11:15:00-04:00,95.29,95.52,95.2,95.5,54564.0,95.382,416
34,2024-10-11 11:30:00-04:00,95.47,95.53,95.25,95.52,55769.0,95.415,460
35,2024-10-11 11:45:00-04:00,95.48,95.7,95.4,95.65,63645.0,95.567,529
36,2024-10-11 12:00:00-04:00,95.62,95.86,95.59,95.78,60167.0,95.754,500
37,2024-10-11 12:15:00-04:00,95.79,95.87,95.7,95.79,61638.0,95.773,488
38,2024-10-11 12:30:00-04:00,95.81,95.97,95.78,95.95,39726.0,95.915,324
39,2024-10-11 12:45:00-04:00,95.95,96.14,95.87,95.99,78632.0,95.99,491
40,2024-10-11 13:00:00-04:00,96.01,96.04,95.77,95.93,57009.0,95.885,441
41,2024-10-11 13:15:00-04:00,95.95,96.09,95.91,95.99,55642.0,95.984,468
42,2024-10-11 13:30:00-04:00,96.02,96.2,95.96,96.18,81988.0,96.059,543
