,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,630.42,630.99,627.93,627.93,5380.0,629.911,15
1,2024-10-10 09:45:00-04:00,628.39,629.04,626.59,628.67,3311.0,627.731,12
2,2024-10-10 10:00:00-04:00,628.66,629.06,627.35,628.98,1720.0,628.324,15
3,2024-10-10 10:15:00-04:00,629.81,629.81,628.25,629.13,2357.0,628.992,21
4,2024-10-10 10:30:00-04:00,629.64,630.96,629.64,629.75,2479.0,630.411,19
5,2024-10-10 10:45:00-04:00,629.9,629.9,628.84,628.99,413.0,629.272,4
6,2024-10-10 11:00:00-04:00,629.73,631.4,629.73,631.25,1000.0,630.496,10
7,2024-10-10 11:15:00-04:00,631.78,631.83,630.43,631.05,1629.0,631.044,7
8,2024-10-10 11:30:00-04:00,630.55,630.96,629.91,630.92,1350.0,630.505,11
9,2024-10-10 11:45:00-04:00,630.78,631.78,630.78,631.78,1156.0,631.252,10
10,2024-10-10 12:00:00-04:00,631.38,632.41,631.16,632.29,1462.0,631.946,12
11,2024-10-10 12:15:00-04:00,632.54,632.74,632.1,632.18,4350.0,632.335,37
12,2024-10-10 12:30:00-04:00,632.07,632.09,630.46,630.46,3894.0,631.223,22
13,2024-10-10 12:45:00-04:00,630.98,632.09,630.91,631.05,7467.0,631.369,49
14,2024-10-10 13:00:00-04:00,631.96,631.96,629.62,629.63,805.0,630.538,7
15,2024-10-10 13:15:00-04:00,630.15,631.17,630.15,631.12,1897.0,630.665,12
16,2024-10-10 13:30:00-04:00,631.56,631.56,630.06,630.38,1451.0,630.807,11
17,2024-10-10 13:45:00-04:00,630.04,630.76,629.7,630.76,7013.0,630.035,38
18,2024-10-10 14:00:00-04:00,629.97,630.62,629.8,630.62,4075.0,630.115,33
19,2024-10-10 14:15:00-04:00,630.19,630.85,629.76,630.85,10241.0,630.036,62
20,2024-10-10 14:30:00-04:00,630.35,630.79,629.8,629.97,6428.0,629.92,43
21,2024-10-10 14:45:00-04:00,630.1,630.14,629.83,629.96,3731.0,630.012,36
22,2024-10-10 15:00:00-04:00,630.2,630.28,630.19,630.22,910.0,630.221,9
23,2024-10-10 15:15:00-04:00,630.22,630.22,629.3,629.62,6657.0,629.76,44
24,2024-10-10 15:30:00-04:00,629.78,630.69,629.78,630.69,2809.0,630.245,25
25,2024-10-10 15:45:00-04:00,630.69,632.16,630.69,631.27,28278.0,631.613,202
26,2024-10-11 09:30:00-04:00,632.0,639.0,632.0,634.49,10005.0,634.785,45
27,2024-10-11 09:45:00-04:00,637.65,638.15,634.58,636.57,8514.0,636.199,64
28,2024-10-11 10:00:00-04:00,636.69,639.52,636.26,638.43,7732.0,637.87,73
29,2024-10-11 10:15:00-04:00,638.0,639.5,637.98,638.88,9657.0,638.844,73
30,2024-10-11 10:30:00-04:00,638.3,638.79,637.03,637.31,4100.0,637.735,37
31,2024-10-11 10:45:00-04:00,637.18,638.7,636.77,637.38,8148.0,637.642,58
32,2024-10-11 11:00:00-04:00,637.82,638.74,636.66,637.72,2032.0,637.681,19
33,2024-10-11 11:15:00-04:00,637.16,637.72,636.98,637.67,2250.0,637.58,22
34,2024-10-11 11:30:00-04:00,637.5,640.0,636.89,638.74,10403.0,639.026,83
35,2024-10-11 11:45:00-04:00,638.54,639.09,637.74,637.81,3859.0,638.447,31
36,2024-10-11 12:00:00-04:00,637.74,638.29,636.8,637.67,7560.0,637.612,57
37,2024-10-11 12:15:00-04:00,637.74,637.74,636.56,636.62,6114.0,637.238,45
38,2024-10-11 12:30:00-04:00,636.94,637.28,636.06,636.72,2304.0,636.653,19
39,2024-10-11 12:45:00-04:00,636.89,636.89,635.99,636.29,1635.0,636.466,14
40,2024-10-11 13:00:00-04:00,636.55,636.86,635.77,635.77,3955.0,636.505,39
41,2024-10-11 13:15:00-04:00,636.75,637.1,636.41,637.01,2339.0,636.911,19
42,2024-10-11 13:30:00-04:00,637.36,637.89,636.97,637.55,6875.0,637.403,39
43,2024-10-11 13:45:00-04:00,637.61,637.61,636.45,636.45,2713.0,637.182,26
44,2024-10-11 14:00:00-04:00,637.09,637.5,636.71,636.77,3348.0,637.068,27
45,2024-10-11 14:15:00-04:00,636.58,636.67,636.15,636.22,800.0,636.402,8
46,2024-10-11 14:30:00-04:00,636.18,636.46,635.28,635.73,5861.0,635.92,50
47,2024-10-11 14:45:00-04:00,636.0,636.4,635.72,635.95,3632.0,636.046,32
48,2024-10-11 15:00:00-04:00,635.92,637.96,635.92,637.37,9134.0,636.64,82
49,2024-10-11 15:15:00-04:00,637.45,637.89,637.11,637.2,7465.0,637.483,62
50,2024-10-11 15:30:00-04:00,637.26,638.9,637.04,637.33,11918.0,638.213,99
51,2024-10-11 15:45:00-04:00,637.12,638.0,636.73,637.46,44972.0,637.393,263
52,2024-10-14 09:30:00-04:00,637.0,639.42,636.4,639.07,7470.0,637.251,13
53,2024-10-14 09:45:00-04:00,639.08,641.37,638.42,639.55,1367.0,639.854,12
54,2024-10-14 10:00:00-04:00,639.43,640.97,639.42,640.45,2176.0,640.007,19
55,2024-10-14 10:15:00-04:00,640.89,641.56,639.72,640.54,2925.0,640.417,25
56,2024-10-14 10:30:00-04:00,641.44,642.68,641.44,642.68,1690.0,642.086,16
57,2024-10-14 10:45:00-04:00,642.68,642.84,641.78,642.36,3684.0,642.398,32
58,2024-10-14 11:00:00-04:00,642.46,645.01,642.04,644.85,5027.0,643.962,36
59,2024-10-14 11:15:00-04:00,645.01,645.9,643.32,644.18,8320.0,645.065,38
