,date,open,high,low,close,volume,average,barCount
0,2009-12-14,44.43,44.6,44.19,44.55,43632700.0,44.44,70247
1,2009-12-15,44.41,44.67,44.17,44.3,53145900.0,44.414,74098
2,2009-12-16,44.47,44.7,44.29,44.36,49540500.0,44.524,72168
3,2009-12-17,44.17,44.21,43.76,43.83,69100900.0,43.938,95461
4,2009-12-18,44.15,44.48,44.0,44.46,85419700.0,44.232,109670
5,2009-12-21,44.67,45.13,44.67,44.96,63193100.0,44.964,78516
6,2009-12-22,45.07,45.29,45.03,45.23,43785500.0,45.194,63078
7,2009-12-23,45.32,45.57,45.21,45.56,53719500.0,45.399,73519
8,2009-12-24,45.61,45.98,45.6,45.98,25482900.0,45.841,38834
9,2009-12-28,46.08,46.3,45.94,46.22,39202700.0,46.147,55006
10,2009-12-29,46.23,46.25,45.99,46.03,27816100.0,46.095,43552
11,2009-12-30,46.0,46.26,45.96,46.17,49906100.0,46.099,68228
12,2009-12-31,46.25,46.28,45.75,45.75,37649600.0,45.997,55764
13,2010-01-04,46.32,46.49,46.27,46.42,47254600.0,46.379,77722
14,2010-01-05,46.38,46.5,46.16,46.42,54544900.0,46.354,84909
15,2010-01-06,46.39,46.55,46.07,46.19,76251900.0,46.297,104344
16,2010-01-07,46.2,46.27,45.92,46.17,64022700.0,46.083,99232
17,2010-01-08,46.04,46.55,45.93,46.55,75695600.0,46.313,98411
18,2010-01-11,46.6,46.64,46.12,46.36,87245500.0,46.304,113629
19,2010-01-12,46.08,46.14,45.53,45.78,76858500.0,45.819,110071
20,2010-01-13,45.93,46.49,45.61,46.35,81862000.0,46.059,121863
21,2010-01-14,46.27,46.52,46.22,46.38,63007000.0,46.38,92924
22,2010-01-15,46.45,46.55,45.65,45.85,104246100.0,46.008,147329
23,2010-01-19,45.95,46.64,45.95,46.59,67754100.0,46.42,112162
24,2010-01-20,46.27,46.28,45.43,45.92,119664500.0,45.787,160724
25,2010-01-21,46.06,46.35,45.3,45.49,165600300.0,45.655,239082
26,2010-01-22,45.34,45.48,44.04,44.16,158878100.0,44.83,234390
27,2010-01-25,44.39,44.6,44.12,44.31,106159500.0,44.408,162105
28,2010-01-26,44.28,44.89,44.05,44.35,118720700.0,44.494,193064
29,2010-01-27,44.29,44.85,44.01,44.7,135222100.0,44.414,242366
30,2010-01-28,44.39,44.43,43.32,43.55,166212700.0,43.71,294490
31,2010-01-29,43.9,44.02,42.63,42.79,189696700.0,43.301,308678
32,2010-02-01,42.91,43.28,42.88,43.26,113107800.0,43.098,183105
33,2010-02-02,43.31,43.78,43.03,43.65,95977700.0,43.45,156559
34,2010-02-03,43.45,43.97,43.42,43.89,73727700.0,43.76,127190
35,2010-02-04,43.57,43.66,42.62,42.64,134074200.0,42.988,214851
36,2010-02-05,42.76,43.02,42.12,42.98,187973100.0,42.624,282208
37,2010-02-08,42.93,43.18,42.64,42.67,79419700.0,42.923,135633
38,2010-02-09,43.16,43.51,42.76,43.11,107784800.0,43.148,180929
39,2010-02-10,43.1,43.31,42.75,43.02,79661200.0,43.03,135736
40,2010-02-11,43.01,43.79,42.76,43.67,73384600.0,43.394,117204
41,2010-02-12,43.27,43.88,43.16,43.76,83983300.0,43.559,147707
42,2010-02-16,44.07,44.35,43.85,44.32,69530100.0,44.15,103392
