,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,544.72,544.72,541.98,543.0,8813.0,543.384,22
1,2024-10-10 09:45:00-04:00,543.2,545.03,543.07,543.83,6810.0,543.899,50
2,2024-10-10 10:00:00-04:00,543.96,545.33,543.76,544.12,7879.0,544.364,72
3,2024-10-10 10:15:00-04:00,544.1,544.97,543.57,543.61,6579.0,544.228,59
4,2024-10-10 10:30:00-04:00,543.86,543.86,543.14,543.38,8752.0,543.389,8
5,2024-10-10 10:45:00-04:00,543.1,543.1,541.49,542.26,5971.0,542.344,43
6,2024-10-10 11:00:00-04:00,542.36,544.14,542.36,544.0,2467.0,543.579,22
7,2024-10-10 11:15:00-04:00,544.8,544.8,544.05,544.05,1580.0,544.202,15
8,2024-10-10 11:30:00-04:00,544.21,544.31,543.42,543.96,3834.0,543.907,31
9,2024-10-10 11:45:00-04:00,543.79,543.8,543.51,543.7,4476.0,543.695,31
10,2024-10-10 12:00:00-04:00,543.83,543.88,543.08,543.78,1968.0,543.491,14
11,2024-10-10 12:15:00-04:00,543.62,543.64,543.43,543.57,1767.0,543.535,12
12,2024-10-10 12:30:00-04:00,543.47,544.06,543.08,543.2,6684.0,543.409,41
13,2024-10-10 12:45:00-04:00,543.2,543.24,542.47,542.47,2717.0,542.762,16
14,2024-10-10 13:00:00-04:00,542.49,542.81,542.0,542.37,9658.0,542.443,51
15,2024-10-10 13:15:00-04:00,542.49,543.37,542.49,542.8,2042.0,542.997,15
16,2024-10-10 13:30:00-04:00,543.12,543.48,542.26,542.26,1219.0,542.826,10
17,2024-10-10 13:45:00-04:00,542.28,542.28,540.77,541.88,1909.0,541.598,18
18,2024-10-10 14:00:00-04:00,541.56,541.7,540.92,540.92,1031.0,541.372,8
19,2024-10-10 14:15:00-04:00,541.04,541.4,540.82,540.84,1834.0,541.016,17
20,2024-10-10 14:30:00-04:00,540.82,541.07,540.48,540.58,8968.0,540.737,72
21,2024-10-10 14:45:00-04:00,540.67,541.0,540.08,540.12,5200.0,540.609,49
22,2024-10-10 15:00:00-04:00,540.72,540.72,539.43,539.61,2523.0,540.063,24
23,2024-10-10 15:15:00-04:00,539.88,539.99,539.36,539.55,7462.0,539.651,45
24,2024-10-10 15:30:00-04:00,539.56,541.24,539.42,539.97,10906.0,540.435,100
25,2024-10-10 15:45:00-04:00,540.03,540.25,539.27,539.45,48053.0,539.864,381
26,2024-10-11 09:30:00-04:00,540.26,542.02,539.68,539.73,9744.0,540.809,30
27,2024-10-11 09:45:00-04:00,539.27,539.76,539.22,539.43,1050.0,539.526,8
28,2024-10-11 10:00:00-04:00,539.3,542.85,539.3,542.84,20298.0,541.887,133
29,2024-10-11 10:15:00-04:00,543.53,545.4,543.17,545.4,11488.0,544.056,74
30,2024-10-11 10:30:00-04:00,546.29,547.35,545.57,545.8,6617.0,546.432,58
31,2024-10-11 10:45:00-04:00,545.88,547.52,545.51,547.51,2800.0,546.571,27
32,2024-10-11 11:00:00-04:00,546.72,547.54,546.5,547.53,3268.0,546.92,30
33,2024-10-11 11:15:00-04:00,547.59,547.66,546.2,547.55,6082.0,547.104,39
34,2024-10-11 11:30:00-04:00,547.94,549.98,547.7,549.72,7878.0,548.635,56
35,2024-10-11 11:45:00-04:00,549.6,550.58,549.54,550.13,4516.0,550.017,39
36,2024-10-11 12:00:00-04:00,550.12,550.65,548.77,548.87,5136.0,549.727,20
37,2024-10-11 12:15:00-04:00,548.85,548.85,547.93,548.62,1912.0,548.562,14
38,2024-10-11 12:30:00-04:00,548.48,548.65,548.42,548.52,1800.0,548.522,13
