,date,open,high,low,close,volume,average,barCount
0,2024-11-11 09:30:00-05:00,40.46,40.98,39.43,39.46,244424.0,40.261,999
1,2024-11-11 09:45:00-05:00,39.46,39.94,38.46,38.57,159154.0,39.277,651
2,2024-11-11 10:00:00-05:00,38.57,38.77,38.03,38.74,232596.0,38.301,1238
3,2024-11-11 10:15:00-05:00,38.73,39.29,38.54,39.14,112204.0,38.848,564
4,2024-11-11 10:30:00-05:00,39.14,39.48,39.06,39.1,73391.0,39.25,449
5,2024-11-11 10:45:00-05:00,39.11,40.39,39.1,40.34,202702.0,39.811,1274
6,2024-11-11 11:00:00-05:00,40.34,40.9,40.09,40.83,246176.0,40.447,1185
7,2024-11-11 11:15:00-05:00,40.8,41.17,40.4,40.47,158641.0,40.852,593
8,2024-11-11 11:30:00-05:00,40.45,40.47,40.1,40.33,104985.0,40.294,379
9,2024-11-11 11:45:00-05:00,40.34,40.48,40.1,40.25,51953.0,40.283,240
10,2024-11-11 12:00:00-05:00,40.18,40.18,39.81,39.84,68151.0,40.036,405
11,2024-11-11 12:15:00-05:00,39.86,39.94,39.33,39.42,55779.0,39.677,371
12,2024-11-11 12:30:00-05:00,39.42,39.69,39.39,39.62,39210.0,39.575,255
13,2024-11-11 12:45:00-05:00,39.62,39.89,39.56,39.65,52971.0,39.729,322
14,2024-11-11 13:00:00-05:00,39.63,39.65,39.35,39.5,87546.0,39.473,479
15,2024-11-11 13:15:00-05:00,39.49,39.5,38.89,39.18,60303.0,39.194,295
16,2024-11-11 13:30:00-05:00,39.15,39.17,38.91,39.12,59407.0,39.041,352
17,2024-11-11 13:45:00-05:00,39.14,39.27,38.97,39.0,46301.0,39.126,263
18,2024-11-11 14:00:00-05:00,39.01,39.22,38.88,39.22,56039.0,39.025,359
19,2024-11-11 14:15:00-05:00,39.2,39.57,39.17,39.44,57682.0,39.375,344
20,2024-11-11 14:30:00-05:00,39.42,39.66,39.33,39.63,36380.0,39.539,268
21,2024-11-11 14:45:00-05:00,39.62,39.68,39.47,39.47,42493.0,39.565,258
22,2024-11-11 15:00:00-05:00,39.47,39.5,39.25,39.25,39080.0,39.362,231
23,2024-11-11 15:15:00-05:00,39.23,39.4,39.07,39.07,54792.0,39.262,346
24,2024-11-11 15:30:00-05:00,39.09,39.64,39.07,39.46,179298.0,39.428,828
25,2024-11-11 15:45:00-05:00,39.46,39.51,39.11,39.26,304642.0,39.27,1666
26,2024-11-12 09:30:00-05:00,38.77,40.5,38.77,39.84,258988.0,39.911,1206
27,2024-11-12 09:45:00-05:00,39.88,40.2,39.25,39.36,120109.0,39.67,558
28,2024-11-12 10:00:00-05:00,39.28,39.53,38.76,39.19,83368.0,39.044,394
29,2024-11-12 10:15:00-05:00,39.2,39.2,38.57,38.66,76030.0,38.871,465
30,2024-11-12 10:30:00-05:00,38.74,38.82,38.37,38.4,84779.0,38.556,395
31,2024-11-12 10:45:00-05:00,38.43,38.69,38.31,38.5,74424.0,38.449,278
32,2024-11-12 11:00:00-05:00,38.5,38.61,38.26,38.35,51288.0,38.452,273
33,2024-11-12 11:15:00-05:00,38.39,38.5,38.25,38.38,60951.0,38.357,306
34,2024-11-12 11:30:00-05:00,38.37,38.52,38.25,38.25,41110.0,38.406,299
35,2024-11-12 11:45:00-05:00,38.21,38.4,38.08,38.18,58679.0,38.223,333
36,2024-11-12 12:00:00-05:00,38.15,38.24,38.04,38.11,38807.0,38.137,234
37,2024-11-12 12:15:00-05:00,38.11,38.37,38.1,38.34,41773.0,38.171,211
38,2024-11-12 12:30:00-05:00,38.34,38.39,38.1,38.1,27549.0,38.253,172
39,2024-11-12 12:45:00-05:00,38.12,38.21,37.97,38.05,109403.0,38.064,543
40,2024-11-12 13:00:00-05:00,38.05,38.28,38.04,38.17,27936.0,38.14,173
41,2024-11-12 13:15:00-05:00,38.2,38.29,38.11,38.2,26082.0,38.207,171
42,2024-11-12 13:30:00-05:00,38.19,38.29,38.13,38.22,37945.0,38.205,252
43,2024-11-12 13:45:00-05:00,38.22,38.37,38.15,38.23,28286.0,38.262,155
44,2024-11-12 14:00:00-05:00,38.23,38.24,38.11,38.14,19701.0,38.162,126
45,2024-11-12 14:15:00-05:00,38.14,38.2,38.03,38.14,60222.0,38.131,314
46,2024-11-12 14:30:00-05:00,38.12,38.17,38.06,38.09,30332.0,38.104,214
47,2024-11-12 14:45:00-05:00,38.1,38.18,37.99,38.06,96773.0,38.066,358
48,2024-11-12 15:00:00-05:00,38.07,38.26,38.04,38.05,64934.0,38.139,315
49,2024-11-12 15:15:00-05:00,38.05,38.11,37.95,37.98,80737.0,38.013,467
50,2024-11-12 15:30:00-05:00,37.98,38.11,37.93,38.01,91782.0,38.021,566
51,2024-11-12 15:45:00-05:00,38.01,38.03,37.8,37.89,301937.0,37.897,1839
52,2024-11-13 09:30:00-05:00,38.87,39.6,38.48,39.49,212884.0,39.147,737
