date,open,high,low,close,volume,average,barCount
2022-12-12 09:30:00-05:00,10.5,10.61,10.45,10.52,35626.0,10.522,210
2022-12-12 09:45:00-05:00,10.53,10.55,10.43,10.46,25064.0,10.508,216
2022-12-12 10:00:00-05:00,10.48,10.77,10.47,10.67,90175.0,10.606,456
2022-12-12 10:15:00-05:00,10.67,10.8,10.67,10.69,55942.0,10.733,397
2022-12-12 10:30:00-05:00,10.71,10.72,10.62,10.67,37584.0,10.677,295
2022-12-12 10:45:00-05:00,10.67,10.71,10.64,10.65,53640.0,10.672,353
2022-12-12 11:00:00-05:00,10.65,10.75,10.64,10.71,43461.0,10.701,257
2022-12-12 11:15:00-05:00,10.7,10.75,10.68,10.72,30548.0,10.716,183
2022-12-12 11:30:00-05:00,10.72,10.72,10.67,10.71,19732.0,10.701,145
2022-12-12 11:45:00-05:00,10.7,10.71,10.69,10.71,16770.0,10.702,134
2022-12-12 12:00:00-05:00,10.71,10.72,10.68,10.71,32596.0,10.703,212
2022-12-12 12:15:00-05:00,10.71,10.72,10.68,10.71,50303.0,10.694,246
2022-12-12 12:30:00-05:00,10.72,10.73,10.7,10.72,22314.0,10.71,168
2022-12-12 12:45:00-05:00,10.72,10.73,10.71,10.72,18352.0,10.717,129
2022-12-12 13:00:00-05:00,10.72,10.73,10.66,10.67,31777.0,10.7,195
2022-12-12 13:15:00-05:00,10.67,10.69,10.66,10.68,17595.0,10.677,125
2022-12-12 13:30:00-05:00,10.68,10.7,10.67,10.7,21091.0,10.685,122
2022-12-12 13:45:00-05:00,10.7,10.86,10.69,10.85,34632.0,10.783,206
2022-12-12 14:00:00-05:00,10.86,10.86,10.76,10.78,36617.0,10.815,184
2022-12-12 14:15:00-05:00,10.78,10.78,10.76,10.76,13695.0,10.772,107
2022-12-12 14:30:00-05:00,10.77,10.77,10.73,10.77,26701.0,10.755,196
2022-12-12 14:45:00-05:00,10.77,10.78,10.76,10.78,33615.0,10.771,232
2022-12-12 15:00:00-05:00,10.78,10.89,10.77,10.8,125350.0,10.831,620
2022-12-12 15:15:00-05:00,10.8,10.86,10.79,10.86,113291.0,10.818,401
2022-12-12 15:30:00-05:00,10.86,10.86,10.83,10.85,52807.0,10.845,353
2022-12-12 15:45:00-05:00,10.85,10.87,10.81,10.84,257188.0,10.843,1319
2022-12-13 09:30:00-05:00,11.4,11.47,11.24,11.33,111392.0,11.368,563
2022-12-13 09:45:00-05:00,11.33,11.4,11.09,11.12,35607.0,11.26,257
2022-12-13 10:00:00-05:00,11.12,11.14,10.99,10.99,21924.0,11.072,160
2022-12-13 10:15:00-05:00,10.99,11.02,10.82,10.85,39672.0,10.925,241
2022-12-13 10:30:00-05:00,10.84,10.85,10.68,10.72,29302.0,10.765,201
2022-12-13 10:45:00-05:00,10.7,10.88,10.7,10.76,29030.0,10.801,197
2022-12-13 11:00:00-05:00,10.77,10.86,10.74,10.86,16955.0,10.772,119
2022-12-13 11:15:00-05:00,10.88,10.95,10.88,10.89,26542.0,10.912,218
2022-12-13 11:30:00-05:00,10.89,10.91,10.84,10.88,22458.0,10.878,163
2022-12-13 11:45:00-05:00,10.88,10.88,10.77,10.79,14211.0,10.821,104
2022-12-13 12:00:00-05:00,10.79,10.83,10.75,10.8,32749.0,10.796,188
2022-12-13 12:15:00-05:00,10.8,10.82,10.75,10.79,29926.0,10.793,182
2022-12-13 12:30:00-05:00,10.78,10.79,10.72,10.73,15680.0,10.749,105
2022-12-13 12:45:00-05:00,10.74,10.81,10.66,10.79,40742.0,10.72,171
2022-12-13 13:00:00-05:00,10.8,10.82,10.73,10.76,16552.0,10.793,121
2022-12-13 13:15:00-05:00,10.76,10.81,10.75,10.77,17291.0,10.788,127
2022-12-13 13:30:00-05:00,10.77,10.82,10.75,10.82,9680.0,10.775,79
2022-12-13 13:45:00-05:00,10.83,10.84,10.76,10.83,22223.0,10.803,157
2022-12-13 14:00:00-05:00,10.83,10.86,10.82,10.85,12021.0,10.847,99
2022-12-13 14:15:00-05:00,10.85,10.87,10.8,10.87,15866.0,10.827,117
2022-12-13 14:30:00-05:00,10.86,10.92,10.84,10.92,12054.0,10.861,85
2022-12-13 14:45:00-05:00,10.92,10.92,10.79,10.81,16267.0,10.849,118
2022-12-13 15:00:00-05:00,10.8,10.82,10.77,10.81,14802.0,10.791,101
2022-12-13 15:15:00-05:00,10.8,10.86,10.79,10.84,16208.0,10.828,115
2022-12-13 15:30:00-05:00,10.84,10.89,10.82,10.87,58358.0,10.848,285
2022-12-13 15:45:00-05:00,10.87,10.88,10.81,10.82,237426.0,10.841,1094
2022-12-14 09:30:00-05:00,10.85,11.01,10.76,10.84,16528.0,10.818,85
2022-12-14 09:45:00-05:00,10.8,10.83,10.71,10.83,7774.0,10.746,58
2022-12-14 10:00:00-05:00,10.84,10.84,10.63,10.69,31235.0,10.749,139
2022-12-14 10:15:00-05:00,10.69,10.72,10.52,10.56,22039.0,10.623,136
2022-12-14 10:30:00-05:00,10.56,10.57,10.44,10.48,32770.0,10.499,191
2022-12-14 10:45:00-05:00,10.48,10.51,10.37,10.42,69666.0,10.417,292
2022-12-14 11:00:00-05:00,10.42,10.55,10.41,10.53,45690.0,10.492,286
2022-12-14 11:15:00-05:00,10.53,10.56,10.51,10.55,17551.0,10.523,115
2022-12-14 11:30:00-05:00,10.55,10.55,10.51,10.51,11247.0,10.522,70
2022-12-14 11:45:00-05:00,10.51,10.53,10.49,10.51,9619.0,10.506,63
2022-12-14 12:00:00-05:00,10.5,10.5,10.45,10.49,60483.0,10.481,222
2022-12-14 12:15:00-05:00,10.49,10.52,10.48,10.5,33034.0,10.496,212
2022-12-14 12:30:00-05:00,10.51,10.55,10.48,10.49,17981.0,10.512,113
2022-12-14 12:45:00-05:00,10.49,10.53,10.48,10.5,56489.0,10.493,133
2022-12-14 13:00:00-05:00,10.51,10.56,10.51,10.52,16396.0,10.525,87
2022-12-14 13:15:00-05:00,10.51,10.54,10.48,10.51,22729.0,10.5,152
2022-12-14 13:30:00-05:00,10.51,10.61,10.51,10.59,25823.0,10.569,134
2022-12-14 13:45:00-05:00,10.59,10.6,10.55,10.57,17990.0,10.574,109
2022-12-14 14:00:00-05:00,10.57,10.57,10.46,10.54,74414.0,10.488,445
2022-12-14 14:15:00-05:00,10.52,10.54,10.49,10.49,34828.0,10.508,201
2022-12-14 14:30:00-05:00,10.49,10.63,10.36,10.59,61969.0,10.47,424
2022-12-14 14:45:00-05:00,10.59,10.59,10.46,10.52,44955.0,10.526,331
2022-12-14 15:00:00-05:00,10.52,10.68,10.5,10.63,42194.0,10.597,291
2022-12-14 15:15:00-05:00,10.63,10.64,10.49,10.49,34453.0,10.585,223
2022-12-14 15:30:00-05:00,10.49,10.51,10.43,10.5,64318.0,10.48,450
2022-12-14 15:45:00-05:00,10.49,10.54,10.48,10.53,218813.0,10.497,1291
2022-12-15 09:30:00-05:00,10.32,10.33,9.8,10.02,116708.0,9.967,567
2022-12-15 09:45:00-05:00,10.02,10.03,9.9,9.93,33192.0,9.962,186
2022-12-15 10:00:00-05:00,9.93,9.96,9.81,9.94,54087.0,9.878,357
2022-12-15 10:15:00-05:00,9.92,10.08,9.9,10.03,53825.0,10.01,309
2022-12-15 10:30:00-05:00,10.03,10.05,9.94,10.04,71260.0,9.992,233
2022-12-15 10:45:00-05:00,10.04,10.12,10.0,10.05,106994.0,10.073,314
2022-12-15 11:00:00-05:00,10.07,10.07,9.98,10.03,32685.0,10.007,204
2022-12-15 11:15:00-05:00,10.01,10.08,9.99,10.07,33479.0,10.038,191
2022-12-15 11:30:00-05:00,10.06,10.08,10.05,10.06,28760.0,10.067,171
2022-12-15 11:45:00-05:00,10.07,10.09,10.06,10.07,45839.0,10.066,241
2022-12-15 12:00:00-05:00,10.06,10.08,10.0,10.07,48954.0,10.049,222
2022-12-15 12:15:00-05:00,10.06,10.07,9.98,9.98,30725.0,10.033,198
2022-12-15 12:30:00-05:00,10.0,10.08,9.99,10.07,47560.0,10.029,234
2022-12-15 12:45:00-05:00,10.07,10.13,10.06,10.09,66965.0,10.09,276
2022-12-15 13:00:00-05:00,10.08,10.12,10.06,10.07,68648.0,10.076,246
2022-12-15 13:15:00-05:00,10.07,10.07,10.0,10.03,22376.0,10.03,116
2022-12-15 13:30:00-05:00,10.03,10.09,10.02,10.03,67803.0,10.051,316
2022-12-15 13:45:00-05:00,10.03,10.05,10.0,10.02,31747.0,10.022,187
2022-12-15 14:00:00-05:00,10.02,10.04,9.99,10.03,23417.0,10.007,175
2022-12-15 14:15:00-05:00,10.03,10.12,10.01,10.08,42046.0,10.059,260
2022-12-15 14:30:00-05:00,10.09,10.21,10.07,10.2,80737.0,10.146,443
2022-12-15 14:45:00-05:00,10.2,10.22,10.18,10.21,71597.0,10.194,416
2022-12-15 15:00:00-05:00,10.21,10.22,10.16,10.16,81204.0,10.183,452
2022-12-15 15:15:00-05:00,10.16,10.16,10.06,10.11,32704.0,10.092,223
2022-12-15 15:30:00-05:00,10.11,10.11,10.05,10.07,51298.0,10.078,409
2022-12-15 15:45:00-05:00,10.06,10.14,10.06,10.11,257016.0,10.1,1640
2022-12-16 09:30:00-05:00,9.96,10.08,9.8,10.08,195329.0,9.917,312
2022-12-16 09:45:00-05:00,10.05,10.11,9.99,10.01,21655.0,10.027,178
2022-12-16 10:00:00-05:00,9.99,10.02,9.92,9.97,98203.0,9.993,299
2022-12-16 10:15:00-05:00,9.98,10.05,9.89,9.9,20880.0,9.96,160
2022-12-16 10:30:00-05:00,9.9,9.93,9.88,9.89,91367.0,9.9,122
2022-12-16 10:45:00-05:00,9.88,9.88,9.78,9.81,21650.0,9.817,162
2022-12-16 11:00:00-05:00,9.82,9.82,9.69,9.73,100983.0,9.787,316
2022-12-16 11:15:00-05:00,9.75,9.79,9.64,9.65,25342.0,9.716,195
2022-12-16 11:30:00-05:00,9.66,9.74,9.66,9.73,37681.0,9.714,200
2022-12-16 11:45:00-05:00,9.72,9.73,9.62,9.66,18165.0,9.668,141
2022-12-16 12:00:00-05:00,9.67,9.67,9.56,9.6,81088.0,9.607,494
