,date,open,high,low,close,volume,average,barCount
0,2021-11-18,52.0,56.2,46.01,49.5,10087677.0,51.738,41577
1,2021-11-19,45.5,53.23,43.23,53.0,2251969.0,48.293,12018
2,2021-11-22,51.52,51.8,44.11,44.38,1411056.0,47.522,8251
3,2021-11-23,44.84,46.82,39.0,39.38,1452801.0,42.088,8131
4,2021-11-24,38.44,43.35,37.5,41.01,1246559.0,40.227,6729
5,2021-11-26,40.0,40.56,38.19,40.05,383143.0,39.542,1639
6,2021-11-29,40.94,42.27,39.61,41.75,355409.0,40.849,1871
7,2021-11-30,41.9,44.22,38.18,38.18,408534.0,40.084,2140
8,2021-12-01,38.5,38.9,32.57,32.66,1338339.0,35.166,6600
9,2021-12-02,33.54,33.92,29.9,30.67,2695139.0,31.157,13438
10,2021-12-03,30.4,31.32,24.33,24.82,3291700.0,26.483,13231
11,2021-12-06,25.6,27.45,24.66,27.42,1798323.0,25.885,7064
12,2021-12-07,28.52,31.6,27.6,30.9,1407956.0,30.238,5218
13,2021-12-08,31.16,34.49,30.8,33.0,1231975.0,32.993,6386
14,2021-12-09,33.0,33.26,30.2,30.46,866891.0,30.778,4281
15,2021-12-10,30.5,32.5,30.0,31.94,706853.0,31.435,4174
16,2021-12-13,32.7,33.85,28.66,29.52,872197.0,30.226,4031
17,2021-12-14,29.5,30.6,28.36,29.75,764718.0,29.555,2260
18,2021-12-15,30.18,31.83,29.15,30.81,340314.0,30.579,1370
19,2021-12-16,31.26,31.5,28.61,30.06,1115980.0,29.693,5751
20,2021-12-17,29.0,30.29,27.39,27.95,1219467.0,28.445,5343
21,2021-12-20,26.82,28.42,26.06,27.14,657396.0,27.182,2810
22,2021-12-21,27.16,28.9,26.08,28.8,675992.0,27.876,3990
23,2021-12-22,28.8,32.49,28.6,29.81,999644.0,30.406,4258
24,2021-12-23,29.5,32.32,29.5,31.36,397561.0,31.293,2125
25,2021-12-27,31.17,36.33,31.13,35.03,1047563.0,34.6,5559
26,2021-12-28,34.88,34.88,30.51,30.84,757414.0,32.376,4129
27,2021-12-29,30.61,33.03,29.65,31.39,376969.0,31.065,2091
28,2021-12-30,31.8,34.43,31.25,32.02,422934.0,33.15,2053
29,2021-12-31,32.0,33.44,31.55,32.0,301857.0,32.416,1597
30,2022-01-03,32.66,32.77,30.95,31.48,509988.0,31.607,2920
31,2022-01-04,31.3,32.07,28.78,30.31,786963.0,29.848,5127
32,2022-01-05,30.0,30.46,25.63,26.05,1295459.0,27.577,7686
33,2022-01-06,26.71,27.46,24.89,26.99,1334445.0,26.568,7338
34,2022-01-07,26.21,27.51,25.08,27.05,845414.0,26.257,4316
35,2022-01-10,26.53,27.68,25.52,27.22,670211.0,26.394,3796
36,2022-01-11,27.22,28.51,26.96,27.41,339885.0,27.658,1994
37,2022-01-12,27.86,28.91,27.16,27.91,485944.0,28.01,2874
38,2022-01-13,28.1,28.7,27.01,27.19,863417.0,27.521,4866
39,2022-01-14,26.57,28.45,25.55,26.21,603062.0,26.6,3582
40,2022-01-18,25.3,25.9,22.81,23.68,1483265.0,23.792,6758
41,2022-01-19,24.41,26.5,23.8,25.01,697296.0,25.308,2908
42,2022-01-20,25.32,27.35,24.61,24.83,779033.0,25.857,5376
43,2022-01-21,24.24,25.11,23.1,24.55,480480.0,24.422,3055
44,2022-01-24,23.22,30.95,21.3,30.28,2363124.0,26.192,10846
45,2022-01-25,28.13,32.0,26.49,31.0,1423300.0,29.385,8200
46,2022-01-26,31.0,33.24,30.3,31.2,1358501.0,31.865,6699
47,2022-01-27,31.13,31.27,27.34,28.49,500439.0,28.807,2984
48,2022-01-28,27.98,29.71,27.16,29.2,445852.0,28.496,2735
49,2022-01-31,29.0,31.11,28.42,30.25,455397.0,30.06,2842
50,2022-02-01,30.57,32.4,29.71,30.65,714998.0,31.159,4227
51,2022-02-02,31.02,31.02,27.0,28.0,781091.0,28.112,4798
52,2022-02-03,27.26,28.78,25.31,26.47,567105.0,26.71,3872
53,2022-02-04,26.59,27.64,25.77,26.8,322008.0,26.877,1880
54,2022-02-07,26.72,29.2,26.26,26.57,437541.0,27.325,2225
55,2022-02-08,26.39,29.47,26.05,28.8,446311.0,28.236,2468
56,2022-02-09,29.12,30.7,28.87,29.89,412006.0,29.916,2156
57,2022-02-10,28.64,33.26,28.62,30.55,636111.0,31.455,3546
58,2022-02-11,30.57,31.7,27.16,27.35,341866.0,28.654,1971
59,2022-02-14,27.55,29.41,26.75,27.19,419350.0,27.635,2638
60,2022-02-15,27.5,29.07,27.47,28.74,375781.0,28.318,2247
61,2022-02-16,27.69,28.17,26.8,27.8,349119.0,27.606,2261
62,2022-02-17,27.1,27.97,25.75,25.93,552114.0,26.567,3273
63,2022-02-18,26.0,26.28,23.31,24.23,1399937.0,24.131,7050
64,2022-02-22,24.14,25.61,23.6,24.44,802478.0,24.552,4676
65,2022-02-23,24.64,25.07,23.4,24.09,1106375.0,24.07,4339
66,2022-02-24,23.18,25.25,22.84,25.05,901427.0,23.873,5141
67,2022-02-25,24.87,25.74,23.63,24.13,746401.0,24.513,4701
68,2022-02-28,24.09,26.0,23.1,25.33,720542.0,25.03,4054
69,2022-03-01,25.33,25.7,22.66,23.01,669644.0,23.88,3467
70,2022-03-02,23.69,24.13,22.12,24.08,672878.0,23.167,3713
71,2022-03-03,23.58,24.19,21.18,21.35,1471218.0,22.693,8838
72,2022-03-04,24.88,27.21,24.0,26.78,3859677.0,25.749,19556
73,2022-03-07,26.96,27.63,25.83,27.02,985684.0,26.793,4308
74,2022-03-08,26.68,31.93,26.29,29.9,1753185.0,29.869,10394
75,2022-03-09,30.14,31.95,29.48,30.92,651852.0,30.803,3825
76,2022-03-10,30.0,32.38,29.81,31.66,677398.0,31.42,3796
77,2022-03-11,31.68,35.29,31.55,33.36,1133743.0,33.7,5502
78,2022-03-14,33.2,35.73,32.3,33.0,1296295.0,34.085,6012
79,2022-03-15,33.02,37.15,33.02,35.7,723713.0,35.856,3802
80,2022-03-16,36.15,37.26,34.63,36.15,825641.0,36.19,4131
81,2022-03-17,36.51,39.7,35.89,38.75,1086303.0,38.188,6456
82,2022-03-18,37.81,40.1,34.78,35.58,1519405.0,37.468,7401
83,2022-03-21,35.66,36.74,31.69,33.49,1158147.0,33.403,7187
84,2022-03-22,33.06,36.48,33.0,35.41,960976.0,35.389,4520
85,2022-03-23,34.25,35.99,32.16,32.24,851531.0,33.856,4655
86,2022-03-24,32.62,33.79,30.6,33.72,679084.0,32.435,3083
87,2022-03-25,33.75,35.4,32.09,32.4,393751.0,33.472,1669
88,2022-03-28,32.07,34.9,31.0,34.69,677285.0,33.585,3447
89,2022-03-29,35.0,37.65,34.36,36.07,1113972.0,36.532,4433
90,2022-03-30,35.83,38.46,34.1,34.99,620742.0,35.776,2734
91,2022-03-31,34.98,35.48,31.84,31.99,505902.0,33.244,2434
92,2022-04-01,32.5,33.34,31.09,31.74,369453.0,31.957,1873
93,2022-04-04,32.42,33.93,32.28,33.5,493393.0,33.065,1586
94,2022-04-05,32.85,33.08,30.69,31.04,744274.0,31.718,3613
95,2022-04-06,30.51,31.0,27.93,30.55,798533.0,29.403,3711
96,2022-04-07,30.25,31.95,28.84,29.76,489102.0,30.069,2548
97,2022-04-08,29.47,29.54,27.65,27.83,373125.0,28.408,2002
98,2022-04-11,27.31,28.8,26.53,28.12,419686.0,27.621,2732
99,2022-04-12,28.18,29.15,26.53,27.06,302048.0,27.387,2034
100,2022-04-13,27.05,28.2,26.62,27.71,389666.0,27.232,1927
101,2022-04-14,27.68,27.76,26.27,26.97,239016.0,26.725,1444
102,2022-04-18,26.92,27.53,25.2,26.43,450855.0,26.055,2729
103,2022-04-19,26.28,28.75,25.87,28.29,368289.0,27.663,2261
104,2022-04-20,28.35,28.69,27.28,28.47,233855.0,28.294,1630
105,2022-04-21,28.82,29.1,26.87,28.02,384460.0,27.898,2760
106,2022-04-22,27.94,28.8,27.81,28.02,262452.0,28.202,1791
107,2022-04-25,27.59,28.68,27.25,28.42,236520.0,28.074,1561
108,2022-04-26,27.98,28.11,26.48,27.81,445577.0,27.535,3149
109,2022-04-27,27.36,28.25,26.85,27.58,366252.0,27.516,2740
110,2022-04-28,27.71,28.36,26.26,27.73,318048.0,27.567,2431
111,2022-04-29,27.46,28.51,26.59,27.0,227396.0,26.999,1682
112,2022-05-02,27.02,27.34,25.25,27.08,415532.0,26.357,2062
113,2022-05-03,27.01,28.06,26.34,27.46,570714.0,27.111,3858
114,2022-05-04,27.26,28.42,26.12,28.19,247049.0,27.362,1814
115,2022-05-05,28.04,28.6,25.25,26.15,817855.0,25.969,4737
116,2022-05-06,25.97,26.26,22.87,23.81,1838215.0,24.237,10630
117,2022-05-09,23.52,23.52,19.45,20.35,1956527.0,20.254,10707
118,2022-05-10,20.69,22.33,19.77,20.52,1384599.0,20.544,7269
119,2022-05-11,20.11,20.11,17.19,17.71,1863213.0,18.226,10458
120,2022-05-12,17.25,18.79,16.75,17.64,1249412.0,17.904,8391
121,2022-05-13,18.16,18.54,17.01,17.6,1250835.0,17.671,7956
122,2022-05-16,17.95,17.95,16.19,16.61,2445499.0,17.03,16119
123,2022-05-17,16.67,19.65,16.67,18.92,3733536.0,18.16,19310
124,2022-05-18,18.36,19.56,18.01,19.18,1022030.0,18.808,6302
125,2022-05-19,18.76,22.87,18.76,22.23,2562511.0,21.535,13615
126,2022-05-20,22.48,22.48,19.33,20.53,2071267.0,20.598,11037
127,2022-05-23,20.14,20.91,19.32,20.26,1081026.0,20.229,6509
128,2022-05-24,19.61,20.24,19.19,20.02,924302.0,19.884,6531
129,2022-05-25,19.64,20.0,19.15,19.67,1396729.0,19.599,6127
130,2022-05-26,19.57,19.78,18.86,18.89,572979.0,19.284,3059
131,2022-05-27,19.14,19.19,17.81,18.35,1256366.0,18.339,6123
132,2022-05-31,18.38,18.65,18.14,18.28,899405.0,18.331,5778
133,2022-06-01,18.22,18.47,17.62,17.67,1086557.0,17.951,6151
134,2022-06-02,17.84,18.45,17.55,18.21,1555889.0,18.077,9159
135,2022-06-03,17.83,18.18,17.23,17.32,748160.0,17.578,5095
136,2022-06-06,17.83,17.85,16.33,16.53,1300649.0,16.897,8331
137,2022-06-07,16.37,16.88,16.01,16.42,795640.0,16.339,4876
138,2022-06-08,16.43,17.12,16.25,16.29,583638.0,16.536,3685
139,2022-06-09,16.0,16.2,15.54,15.89,782008.0,15.972,4777
140,2022-06-10,15.5,15.86,14.95,15.02,988449.0,15.269,6605
141,2022-06-13,14.13,14.89,13.8,14.11,1333559.0,14.074,8456
142,2022-06-14,14.39,14.39,13.27,13.36,1600733.0,13.5,7829
143,2022-06-15,13.47,14.13,13.23,13.74,2293130.0,13.68,15626
144,2022-06-16,13.21,13.52,11.72,11.91,2185118.0,12.161,12122
145,2022-06-17,12.01,12.38,11.61,12.14,1755256.0,12.101,8138
146,2022-06-21,12.22,12.56,11.69,11.86,997054.0,12.021,5512
147,2022-06-22,11.62,11.97,11.5,11.82,875017.0,11.738,5185
148,2022-06-23,11.99,12.93,11.82,12.91,814538.0,12.403,4349
149,2022-06-24,13.01,13.55,13.01,13.33,883697.0,13.323,4876
150,2022-06-27,13.35,13.35,12.62,12.72,558628.0,12.823,3362
151,2022-06-28,12.75,13.1,12.01,12.01,518393.0,12.289,3292
152,2022-06-29,11.99,12.01,11.38,11.49,337878.0,11.538,2188
153,2022-06-30,11.25,11.71,10.78,11.65,779182.0,11.371,4913
154,2022-07-01,11.62,12.2,11.52,12.07,458794.0,12.012,3241
155,2022-07-05,11.79,12.71,11.59,12.61,501934.0,12.312,3401
