,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,376.32,377.36,375.11,377.21,42700.0,376.668,134
1,2024-10-10 09:45:00-04:00,377.2,378.71,376.93,377.25,65460.0,377.855,336
2,2024-10-10 10:00:00-04:00,376.68,377.38,376.68,376.99,3830.0,377.003,33
3,2024-10-10 10:15:00-04:00,376.88,376.9,375.32,375.33,9121.0,376.304,48
4,2024-10-10 10:30:00-04:00,375.38,375.76,375.1,375.41,5922.0,375.427,49
5,2024-10-10 10:45:00-04:00,375.29,376.11,375.08,375.81,11758.0,375.572,79
6,2024-10-10 11:00:00-04:00,375.78,377.65,375.59,377.39,8988.0,376.258,59
7,2024-10-10 11:15:00-04:00,377.23,378.48,377.19,378.35,17715.0,378.057,61
8,2024-10-10 11:30:00-04:00,378.16,378.28,377.79,377.83,4995.0,378.066,42
9,2024-10-10 11:45:00-04:00,377.82,377.82,377.55,377.72,2082.0,377.7,18
10,2024-10-10 12:00:00-04:00,377.83,377.83,377.5,377.66,2454.0,377.634,20
11,2024-10-10 12:15:00-04:00,377.66,377.7,376.73,377.14,5209.0,377.29,45
12,2024-10-10 12:30:00-04:00,376.96,377.17,376.01,376.09,5661.0,376.723,35
13,2024-10-10 12:45:00-04:00,376.35,376.35,376.08,376.12,1592.0,376.193,11
14,2024-10-10 13:00:00-04:00,376.23,376.24,375.85,376.01,4504.0,376.056,34
15,2024-10-10 13:15:00-04:00,376.05,376.83,376.05,376.54,7871.0,376.484,58
16,2024-10-10 13:30:00-04:00,376.54,376.54,375.59,375.75,15749.0,376.003,99
17,2024-10-10 13:45:00-04:00,375.57,375.94,375.21,375.94,5158.0,375.565,45
18,2024-10-10 14:00:00-04:00,375.71,375.87,375.5,375.62,7520.0,375.671,63
19,2024-10-10 14:15:00-04:00,375.44,375.5,375.13,375.37,2729.0,375.326,24
20,2024-10-10 14:30:00-04:00,375.37,375.37,374.36,374.75,19299.0,374.936,67
21,2024-10-10 14:45:00-04:00,374.64,375.14,374.59,375.03,6505.0,374.949,52
22,2024-10-10 15:00:00-04:00,375.05,375.39,375.02,375.13,9363.0,375.183,83
23,2024-10-10 15:15:00-04:00,375.13,375.59,375.05,375.22,22853.0,375.292,133
24,2024-10-10 15:30:00-04:00,375.27,375.9,375.21,375.9,24827.0,375.558,144
25,2024-10-10 15:45:00-04:00,375.86,377.12,375.76,376.4,83940.0,376.682,591
26,2024-10-11 09:30:00-04:00,377.31,378.69,376.24,377.02,28650.0,377.24,159
27,2024-10-11 09:45:00-04:00,376.66,377.75,376.56,377.14,11900.0,377.14,93
28,2024-10-11 10:00:00-04:00,376.81,378.02,376.74,377.34,10246.0,377.32,70
29,2024-10-11 10:15:00-04:00,377.13,378.35,377.12,377.77,13227.0,377.607,80
30,2024-10-11 10:30:00-04:00,378.08,378.08,377.46,377.72,11349.0,377.759,92
31,2024-10-11 10:45:00-04:00,377.72,377.99,377.53,377.91,17738.0,377.745,110
32,2024-10-11 11:00:00-04:00,377.92,378.43,377.49,378.43,25065.0,377.797,147
33,2024-10-11 11:15:00-04:00,378.43,378.49,377.15,377.22,8864.0,377.984,63
34,2024-10-11 11:30:00-04:00,377.53,378.02,377.47,377.75,5047.0,377.713,39
35,2024-10-11 11:45:00-04:00,377.55,377.64,376.86,377.08,6722.0,377.224,57
36,2024-10-11 12:00:00-04:00,377.15,377.35,376.49,376.49,4649.0,376.97,39
37,2024-10-11 12:15:00-04:00,376.53,376.66,375.82,376.11,7543.0,376.163,48
38,2024-10-11 12:30:00-04:00,376.14,376.61,376.14,376.25,4100.0,376.357,30
39,2024-10-11 12:45:00-04:00,376.29,376.67,376.14,376.67,8279.0,376.353,56
40,2024-10-11 13:00:00-04:00,376.69,376.78,376.36,376.56,7670.0,376.562,62
41,2024-10-11 13:15:00-04:00,376.65,376.85,376.49,376.85,4245.0,376.69,37
42,2024-10-11 13:30:00-04:00,376.85,377.13,376.81,376.95,9868.0,376.983,74
43,2024-10-11 13:45:00-04:00,377.09,377.14,376.46,376.93,11609.0,376.779,97
44,2024-10-11 14:00:00-04:00,376.94,377.25,376.83,377.07,3118.0,377.075,26
45,2024-10-11 14:15:00-04:00,377.31,377.46,377.24,377.24,2700.0,377.323,24
46,2024-10-11 14:30:00-04:00,377.25,377.41,377.05,377.21,3305.0,377.262,30
47,2024-10-11 14:45:00-04:00,377.25,377.65,377.13,377.65,13951.0,377.302,109
48,2024-10-11 15:00:00-04:00,377.65,378.08,377.59,377.91,9136.0,377.796,63
49,2024-10-11 15:15:00-04:00,378.03,378.16,377.73,377.79,12891.0,378.024,105
50,2024-10-11 15:30:00-04:00,377.68,378.32,377.56,378.32,30761.0,377.899,210
51,2024-10-11 15:45:00-04:00,378.24,379.07,377.77,379.01,121638.0,378.654,831
52,2024-10-14 09:30:00-04:00,378.9,379.54,377.35,378.78,14039.0,378.64,43
53,2024-10-14 09:45:00-04:00,378.47,379.53,378.47,379.38,9250.0,379.107,71
54,2024-10-14 10:00:00-04:00,379.38,380.0,379.14,380.0,3584.0,379.601,29
55,2024-10-14 10:15:00-04:00,379.81,380.72,379.71,380.08,5695.0,380.016,40
56,2024-10-14 10:30:00-04:00,380.5,381.4,380.5,381.37,3474.0,381.074,34
57,2024-10-14 10:45:00-04:00,381.26,381.28,380.47,381.08,8304.0,380.854,67
58,2024-10-14 11:00:00-04:00,380.79,382.2,380.79,381.92,7752.0,381.553,54
59,2024-10-14 11:15:00-04:00,382.17,382.67,381.8,382.3,12899.0,382.091,102
60,2024-10-14 11:30:00-04:00,382.29,382.96,382.03,382.36,50689.0,382.542,106
61,2024-10-14 11:45:00-04:00,382.39,382.47,381.79,382.3,7873.0,382.191,69
62,2024-10-14 12:00:00-04:00,382.3,382.74,382.27,382.74,7787.0,382.499,44
63,2024-10-14 12:15:00-04:00,382.61,383.17,382.49,382.94,7407.0,382.787,61
64,2024-10-14 12:30:00-04:00,382.97,383.18,382.48,382.78,3083.0,382.741,21
65,2024-10-14 12:45:00-04:00,382.67,382.79,382.37,382.79,4367.0,382.556,41
66,2024-10-14 13:00:00-04:00,382.49,383.11,382.38,382.4,8166.0,382.609,66
67,2024-10-14 13:15:00-04:00,382.54,382.71,382.43,382.58,4256.0,382.584,40
68,2024-10-14 13:30:00-04:00,382.59,382.94,382.14,382.94,8111.0,382.473,75
69,2024-10-14 13:45:00-04:00,382.88,382.99,382.64,382.65,11226.0,382.858,94
70,2024-10-14 14:00:00-04:00,382.69,383.72,382.69,383.63,13137.0,383.059,119
71,2024-10-14 14:15:00-04:00,383.7,384.25,383.44,383.84,14224.0,383.805,125
72,2024-10-14 14:30:00-04:00,383.73,384.29,383.73,384.14,8405.0,383.96,68
73,2024-10-14 14:45:00-04:00,384.24,384.28,383.78,383.97,11647.0,383.999,99
74,2024-10-14 15:00:00-04:00,383.9,384.34,383.66,384.26,9387.0,384.083,81
75,2024-10-14 15:15:00-04:00,384.32,384.68,384.15,384.68,14555.0,384.377,100
76,2024-10-14 15:30:00-04:00,384.74,384.74,384.35,384.48,22121.0,384.539,156
77,2024-10-14 15:45:00-04:00,384.52,385.01,384.07,384.26,117580.0,384.438,850
78,2024-10-15 09:30:00-04:00,386.65,387.91,384.56,387.0,36200.0,386.809,117
79,2024-10-15 09:45:00-04:00,387.0,388.14,386.8,387.1,20322.0,387.404,137
80,2024-10-15 10:00:00-04:00,387.35,389.25,387.31,389.21,45583.0,388.555,274
81,2024-10-15 10:15:00-04:00,389.27,390.85,389.27,390.84,33507.0,390.14,195
82,2024-10-15 10:30:00-04:00,390.64,391.1,389.83,390.67,23598.0,390.47,186
83,2024-10-15 10:45:00-04:00,390.42,390.6,389.73,389.85,12181.0,390.127,108
