,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,355.0,355.95,352.32,355.95,37252.0,354.824,127
1,2024-10-10 09:45:00-04:00,355.44,356.0,352.9,352.94,9068.0,354.951,71
2,2024-10-10 10:00:00-04:00,352.47,353.95,352.13,353.88,23961.0,353.502,113
3,2024-10-10 10:15:00-04:00,353.32,353.41,352.59,352.7,2769.0,352.93,19
4,2024-10-10 10:30:00-04:00,352.97,352.97,352.0,352.0,6065.0,352.489,28
5,2024-10-10 10:45:00-04:00,352.04,352.28,351.84,352.06,3769.0,352.011,35
6,2024-10-10 11:00:00-04:00,352.28,353.31,352.11,353.08,6713.0,352.723,45
7,2024-10-10 11:15:00-04:00,352.87,352.89,352.1,352.24,2225.0,352.52,20
8,2024-10-10 11:30:00-04:00,352.24,352.95,352.18,352.78,4109.0,352.611,37
9,2024-10-10 11:45:00-04:00,352.78,352.78,352.3,352.5,2061.0,352.574,15
10,2024-10-10 12:00:00-04:00,352.5,352.68,352.1,352.58,3003.0,352.412,28
11,2024-10-10 12:15:00-04:00,352.54,353.05,352.5,352.95,2677.0,352.693,20
12,2024-10-10 12:30:00-04:00,352.95,353.26,352.22,352.22,4492.0,352.925,29
13,2024-10-10 12:45:00-04:00,352.2,352.5,352.2,352.34,2656.0,352.342,15
14,2024-10-10 13:00:00-04:00,352.27,352.44,351.79,351.79,3621.0,352.074,33
15,2024-10-10 13:15:00-04:00,351.94,352.45,351.93,352.23,1997.0,352.188,17
16,2024-10-10 13:30:00-04:00,352.23,353.0,352.23,352.83,8018.0,352.705,57
17,2024-10-10 13:45:00-04:00,352.83,353.11,352.11,352.97,14568.0,352.67,86
18,2024-10-10 14:00:00-04:00,352.97,353.75,352.73,353.63,11523.0,353.248,87
19,2024-10-10 14:15:00-04:00,353.47,353.48,352.98,353.16,12872.0,353.31,72
20,2024-10-10 14:30:00-04:00,353.32,354.16,353.2,353.49,24202.0,353.772,147
21,2024-10-10 14:45:00-04:00,353.56,354.1,353.42,353.72,10782.0,353.693,98
22,2024-10-10 15:00:00-04:00,353.72,353.85,352.63,352.67,14801.0,353.308,90
23,2024-10-10 15:15:00-04:00,352.57,352.83,351.86,352.82,18095.0,352.32,154
24,2024-10-10 15:30:00-04:00,352.84,353.16,352.67,352.8,15775.0,352.925,105
25,2024-10-10 15:45:00-04:00,352.81,354.14,352.8,353.38,35660.0,353.663,314
26,2024-10-11 09:30:00-04:00,355.0,355.03,353.12,353.59,10264.0,354.766,20
27,2024-10-11 09:45:00-04:00,353.45,354.62,352.93,354.07,15289.0,353.487,110
