,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,128.48,129.11,127.77,127.82,14569.0,128.354,66
1,2024-10-10 09:45:00-04:00,127.93,128.43,127.27,128.22,31731.0,127.828,259
2,2024-10-10 10:00:00-04:00,128.22,128.73,127.99,128.72,18825.0,128.25,134
3,2024-10-10 10:15:00-04:00,128.72,128.98,128.58,128.73,13139.0,128.799,54
4,2024-10-10 10:30:00-04:00,128.88,129.38,128.57,129.3,14679.0,128.901,46
5,2024-10-10 10:45:00-04:00,129.14,129.19,128.62,128.72,17725.0,128.826,50
6,2024-10-10 11:00:00-04:00,128.72,128.9,128.35,128.66,8512.0,128.617,35
7,2024-10-10 11:15:00-04:00,128.79,128.89,128.52,128.65,3962.0,128.666,34
8,2024-10-10 11:30:00-04:00,128.68,128.71,128.1,128.2,7145.0,128.419,63
9,2024-10-10 11:45:00-04:00,128.24,128.54,128.2,128.49,4373.0,128.318,35
10,2024-10-10 12:00:00-04:00,128.47,128.57,128.24,128.39,8702.0,128.44,69
11,2024-10-10 12:15:00-04:00,128.38,128.58,128.06,128.07,5266.0,128.253,38
12,2024-10-10 12:30:00-04:00,128.19,128.54,127.97,128.35,7044.0,128.227,60
13,2024-10-10 12:45:00-04:00,128.26,128.53,128.09,128.53,6045.0,128.336,45
14,2024-10-10 13:00:00-04:00,128.61,128.75,128.09,128.31,6231.0,128.433,51
15,2024-10-10 13:15:00-04:00,128.33,128.86,128.33,128.65,5966.0,128.725,48
16,2024-10-10 13:30:00-04:00,128.7,128.85,128.6,128.68,5000.0,128.746,42
17,2024-10-10 13:45:00-04:00,128.56,128.56,128.01,128.41,9448.0,128.334,73
18,2024-10-10 14:00:00-04:00,128.37,128.4,128.03,128.14,5952.0,128.196,42
19,2024-10-10 14:15:00-04:00,128.12,128.29,128.04,128.29,5577.0,128.171,46
20,2024-10-10 14:30:00-04:00,128.26,128.36,127.85,128.18,15131.0,128.238,95
21,2024-10-10 14:45:00-04:00,128.2,128.59,128.16,128.59,18641.0,128.46,74
