,date,open,high,low,close,volume,average,barCount
0,2009-12-02,46.75,47.79,46.67,47.72,9609500.0,47.49,52742
1,2009-12-03,47.08,47.25,46.05,46.35,13762400.0,46.397,69069
2,2009-12-04,47.0,47.19,45.17,45.64,16929700.0,45.876,83547
3,2009-12-07,45.83,46.5,45.64,46.34,8205600.0,46.205,39111
4,2009-12-08,46.1,46.2,45.42,45.87,5859000.0,45.773,35375
5,2009-12-09,45.7,45.73,45.11,45.3,6121400.0,45.302,32135
6,2009-12-10,45.54,46.17,45.17,45.99,7391400.0,45.754,39257
7,2009-12-11,45.95,47.02,45.92,46.93,7086200.0,46.742,37961
8,2009-12-14,47.2,47.91,46.92,47.84,8496200.0,47.53,37173
9,2009-12-15,47.76,47.9,47.37,47.66,6636100.0,47.708,32323
10,2009-12-16,47.88,48.0,47.46,47.48,4143700.0,47.765,24209
11,2009-12-17,47.34,47.94,47.1,47.5,6968800.0,47.649,32417
12,2009-12-18,47.66,48.36,46.91,48.24,8543500.0,47.899,34647
13,2009-12-21,48.39,49.52,48.05,49.33,7211700.0,49.226,30064
14,2009-12-22,49.32,49.37,48.39,48.79,4793700.0,48.75,25131
15,2009-12-23,48.96,49.1,48.46,48.85,2883200.0,48.827,15144
16,2009-12-24,48.82,49.22,48.52,48.65,1442200.0,48.786,7867
17,2009-12-28,48.62,48.98,48.3,48.45,3723800.0,48.569,18322
18,2009-12-29,48.67,48.75,48.39,48.58,3468000.0,48.602,18770
19,2009-12-30,48.42,48.71,48.24,48.7,2500000.0,48.553,14645
20,2009-12-31,48.79,49.12,48.33,48.37,2787400.0,48.788,14295
21,2010-01-04,48.47,48.89,48.4,48.55,4315800.0,48.633,23942
22,2010-01-05,48.51,49.23,48.26,48.73,4276700.0,48.798,22157
23,2010-01-06,48.59,49.7,48.59,49.66,6726000.0,49.434,32399
24,2010-01-07,50.2,50.79,49.72,50.27,11810700.0,50.228,52622
25,2010-01-08,50.05,50.11,49.58,50.07,6116600.0,49.909,31185
26,2010-01-11,50.16,50.33,49.74,50.18,3518300.0,50.074,18791
