,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,85.5,85.78,85.32,85.39,15029.0,85.507,68
1,2024-10-10 09:45:00-04:00,85.44,86.04,85.43,85.98,15466.0,85.803,110
2,2024-10-10 10:00:00-04:00,86.03,86.42,86.03,86.31,13826.0,86.17,88
3,2024-10-10 10:15:00-04:00,86.33,86.54,86.32,86.33,7413.0,86.408,64
4,2024-10-10 10:30:00-04:00,86.33,86.45,86.25,86.25,7017.0,86.356,56
5,2024-10-10 10:45:00-04:00,86.24,86.28,86.06,86.11,15772.0,86.172,115
6,2024-10-10 11:00:00-04:00,86.07,86.4,86.07,86.4,7458.0,86.185,55
7,2024-10-10 11:15:00-04:00,86.4,86.44,86.3,86.33,4099.0,86.38,39
8,2024-10-10 11:30:00-04:00,86.36,86.36,86.13,86.17,4988.0,86.22,32
9,2024-10-10 11:45:00-04:00,86.19,86.22,86.08,86.09,4016.0,86.143,37
10,2024-10-10 12:00:00-04:00,86.13,86.16,86.08,86.16,4306.0,86.127,38
11,2024-10-10 12:15:00-04:00,86.19,86.33,86.16,86.29,4748.0,86.262,42
12,2024-10-10 12:30:00-04:00,86.27,86.27,85.97,86.0,7273.0,86.134,65
13,2024-10-10 12:45:00-04:00,86.0,86.13,85.97,86.05,5027.0,86.07,35
14,2024-10-10 13:00:00-04:00,86.05,86.05,85.81,85.92,4260.0,85.931,38
15,2024-10-10 13:15:00-04:00,85.94,86.18,85.93,86.11,4767.0,86.049,27
16,2024-10-10 13:30:00-04:00,86.11,86.12,85.91,85.92,6714.0,86.03,39
17,2024-10-10 13:45:00-04:00,85.92,85.95,85.74,85.89,5856.0,85.849,52
18,2024-10-10 14:00:00-04:00,85.89,85.89,85.8,85.8,9157.0,85.83,69
19,2024-10-10 14:15:00-04:00,85.81,85.82,85.61,85.8,7216.0,85.734,65
20,2024-10-10 14:30:00-04:00,85.78,85.79,85.63,85.72,8855.0,85.728,76
21,2024-10-10 14:45:00-04:00,85.7,85.84,85.67,85.82,19061.0,85.728,122
22,2024-10-10 15:00:00-04:00,85.81,85.89,85.74,85.89,17803.0,85.826,115
23,2024-10-10 15:15:00-04:00,85.91,86.08,85.88,85.99,24322.0,85.963,198
24,2024-10-10 15:30:00-04:00,86.02,86.14,85.99,86.09,20292.0,86.044,177
25,2024-10-10 15:45:00-04:00,86.1,86.42,85.99,86.36,88258.0,86.244,667
26,2024-10-11 09:30:00-04:00,86.35,87.25,86.35,87.16,11302.0,86.698,52
27,2024-10-11 09:45:00-04:00,87.15,87.2,86.88,87.2,6103.0,87.12,51
28,2024-10-11 10:00:00-04:00,87.07,87.38,87.02,87.34,3207.0,87.2,26
29,2024-10-11 10:15:00-04:00,87.43,87.71,87.43,87.63,10350.0,87.598,65
30,2024-10-11 10:30:00-04:00,87.65,87.72,87.57,87.71,4101.0,87.638,37
31,2024-10-11 10:45:00-04:00,87.72,87.99,87.69,87.87,4143.0,87.878,36
32,2024-10-11 11:00:00-04:00,87.83,87.9,87.67,87.83,6656.0,87.79,53
33,2024-10-11 11:15:00-04:00,87.86,87.86,87.56,87.56,5007.0,87.726,39
34,2024-10-11 11:30:00-04:00,87.6,87.87,87.59,87.75,5251.0,87.751,44
35,2024-10-11 11:45:00-04:00,87.75,87.83,87.66,87.83,7135.0,87.744,59
36,2024-10-11 12:00:00-04:00,87.79,87.8,87.5,87.55,9534.0,87.655,68
37,2024-10-11 12:15:00-04:00,87.56,87.56,87.34,87.37,6179.0,87.469,51
38,2024-10-11 12:30:00-04:00,87.37,87.41,87.34,87.37,5315.0,87.376,42
39,2024-10-11 12:45:00-04:00,87.37,87.39,87.34,87.39,4309.0,87.371,30
40,2024-10-11 13:00:00-04:00,87.4,87.4,87.26,87.3,5708.0,87.306,35
41,2024-10-11 13:15:00-04:00,87.28,87.28,87.21,87.25,3386.0,87.251,29
42,2024-10-11 13:30:00-04:00,87.29,87.4,87.26,87.38,4280.0,87.318,36
43,2024-10-11 13:45:00-04:00,87.4,87.43,87.35,87.39,4481.0,87.388,39
44,2024-10-11 14:00:00-04:00,87.34,87.48,87.34,87.45,5049.0,87.406,48
45,2024-10-11 14:15:00-04:00,87.47,87.55,87.45,87.5,26104.0,87.494,111
46,2024-10-11 14:30:00-04:00,87.5,87.72,87.46,87.72,15633.0,87.537,96
47,2024-10-11 14:45:00-04:00,87.71,87.78,87.69,87.71,7966.0,87.737,56
48,2024-10-11 15:00:00-04:00,87.7,87.78,87.7,87.77,5443.0,87.736,49
49,2024-10-11 15:15:00-04:00,87.77,87.82,87.75,87.79,9630.0,87.799,74
50,2024-10-11 15:30:00-04:00,87.79,87.86,87.78,87.85,17088.0,87.828,131
51,2024-10-11 15:45:00-04:00,87.85,88.08,87.84,87.96,85217.0,87.988,555
52,2024-10-14 09:30:00-04:00,87.74,87.75,87.45,87.5,12317.0,87.702,28
53,2024-10-14 09:45:00-04:00,87.42,87.85,87.42,87.69,20267.0,87.537,62
54,2024-10-14 10:00:00-04:00,87.74,87.9,87.57,87.75,10017.0,87.692,60
55,2024-10-14 10:15:00-04:00,87.7,87.83,87.61,87.61,3766.0,87.711,35
56,2024-10-14 10:30:00-04:00,87.69,88.0,87.68,88.0,10519.0,87.859,69
57,2024-10-14 10:45:00-04:00,87.97,88.02,87.87,88.0,6527.0,87.952,39
58,2024-10-14 11:00:00-04:00,88.01,88.1,87.81,87.93,6105.0,87.963,48
59,2024-10-14 11:15:00-04:00,87.98,88.07,87.77,87.94,7961.0,87.928,58
60,2024-10-14 11:30:00-04:00,87.92,88.1,87.92,88.09,2114.0,88.006,18
61,2024-10-14 11:45:00-04:00,88.12,88.13,88.02,88.03,4224.0,88.07,34
62,2024-10-14 12:00:00-04:00,88.04,88.1,88.0,88.03,5122.0,88.05,41
63,2024-10-14 12:15:00-04:00,88.01,88.05,87.95,88.02,8712.0,87.989,29
64,2024-10-14 12:30:00-04:00,88.02,88.11,88.02,88.08,5015.0,88.077,37
65,2024-10-14 12:45:00-04:00,88.08,88.18,88.06,88.17,25446.0,88.078,65
66,2024-10-14 13:00:00-04:00,88.18,88.24,88.16,88.2,4670.0,88.193,34
67,2024-10-14 13:15:00-04:00,88.18,88.24,88.13,88.23,5504.0,88.182,48
68,2024-10-14 13:30:00-04:00,88.21,88.23,88.13,88.22,5828.0,88.193,46
69,2024-10-14 13:45:00-04:00,88.23,88.25,88.2,88.2,5355.0,88.224,46
70,2024-10-14 14:00:00-04:00,88.19,88.26,88.17,88.26,6211.0,88.223,47
71,2024-10-14 14:15:00-04:00,88.27,88.32,88.22,88.28,16600.0,88.278,58
72,2024-10-14 14:30:00-04:00,88.28,88.41,88.27,88.4,6209.0,88.342,53
73,2024-10-14 14:45:00-04:00,88.41,88.41,88.31,88.35,6472.0,88.368,52
74,2024-10-14 15:00:00-04:00,88.34,88.44,88.33,88.37,8568.0,88.395,73
75,2024-10-14 15:15:00-04:00,88.37,88.4,88.12,88.13,34263.0,88.257,142
76,2024-10-14 15:30:00-04:00,88.13,88.18,88.02,88.16,13165.0,88.134,107
77,2024-10-14 15:45:00-04:00,88.14,88.47,88.08,88.44,86609.0,88.347,629
78,2024-10-15 09:30:00-04:00,88.8,88.8,88.4,88.62,14774.0,88.735,42
79,2024-10-15 09:45:00-04:00,88.7,88.78,88.12,88.25,9199.0,88.495,63
80,2024-10-15 10:00:00-04:00,88.23,88.68,88.23,88.64,4413.0,88.414,37
81,2024-10-15 10:15:00-04:00,88.68,88.95,88.65,88.83,7506.0,88.823,60
82,2024-10-15 10:30:00-04:00,88.8,88.92,88.57,88.73,8746.0,88.733,66
83,2024-10-15 10:45:00-04:00,88.58,88.72,88.55,88.58,5211.0,88.624,38
84,2024-10-15 11:00:00-04:00,88.61,88.95,88.61,88.84,16636.0,88.85,123
85,2024-10-15 11:15:00-04:00,88.81,88.93,88.81,88.87,2966.0,88.87,24
86,2024-10-15 11:30:00-04:00,88.86,88.88,88.77,88.88,4901.0,88.813,34
87,2024-10-15 11:45:00-04:00,88.85,88.96,88.8,88.87,8845.0,88.894,70
88,2024-10-15 12:00:00-04:00,88.88,89.01,88.83,88.98,5237.0,88.94,41
89,2024-10-15 12:15:00-04:00,89.02,89.11,88.99,89.08,6110.0,89.054,48
90,2024-10-15 12:30:00-04:00,89.07,89.12,88.87,88.91,13074.0,89.068,78
91,2024-10-15 12:45:00-04:00,88.9,88.98,88.76,88.84,8741.0,88.872,58
92,2024-10-15 13:00:00-04:00,88.81,88.81,88.51,88.57,4561.0,88.641,33
93,2024-10-15 13:15:00-04:00,88.63,88.7,88.6,88.67,5053.0,88.639,32
94,2024-10-15 13:30:00-04:00,88.7,88.76,88.69,88.71,6012.0,88.728,48
