,date,open,high,low,close,volume,average,barCount
0,2024-10-28 09:30:00-04:00,76.58,77.5,76.58,77.39,760514.0,77.039,3072
1,2024-10-28 09:45:00-04:00,77.4,77.42,76.54,76.7,294723.0,76.899,1333
2,2024-10-28 10:00:00-04:00,76.74,77.1,76.64,76.89,208628.0,76.858,1155
3,2024-10-28 10:15:00-04:00,76.89,77.27,76.79,77.08,146023.0,77.045,791
4,2024-10-28 10:30:00-04:00,77.06,77.44,77.01,77.39,159273.0,77.242,863
5,2024-10-28 10:45:00-04:00,77.39,77.55,77.26,77.41,187998.0,77.441,939
6,2024-10-28 11:00:00-04:00,77.41,77.79,77.25,77.76,242252.0,77.561,1142
7,2024-10-28 11:15:00-04:00,77.76,77.94,77.52,77.54,213924.0,77.71,1150
8,2024-10-28 11:30:00-04:00,77.54,77.72,77.45,77.52,91159.0,77.594,552
9,2024-10-28 11:45:00-04:00,77.54,77.82,77.5,77.73,126571.0,77.623,803
10,2024-10-28 12:00:00-04:00,77.73,77.73,77.43,77.64,84655.0,77.585,528
11,2024-10-28 12:15:00-04:00,77.64,77.75,77.57,77.59,72884.0,77.674,447
12,2024-10-28 12:30:00-04:00,77.58,77.59,77.32,77.48,101560.0,77.424,572
13,2024-10-28 12:45:00-04:00,77.47,77.49,77.15,77.27,128887.0,77.313,615
14,2024-10-28 13:00:00-04:00,77.26,77.3,77.04,77.09,113613.0,77.154,606
15,2024-10-28 13:15:00-04:00,77.09,77.26,77.03,77.17,121920.0,77.148,676
16,2024-10-28 13:30:00-04:00,77.17,77.21,76.97,77.01,86730.0,77.116,499
17,2024-10-28 13:45:00-04:00,77.02,77.02,76.75,76.9,130730.0,76.865,646
18,2024-10-28 14:00:00-04:00,76.91,76.91,76.77,76.83,73108.0,76.835,439
19,2024-10-28 14:15:00-04:00,76.82,76.88,76.68,76.72,81161.0,76.793,446
20,2024-10-28 14:30:00-04:00,76.74,76.77,76.53,76.6,110574.0,76.617,651
21,2024-10-28 14:45:00-04:00,76.6,76.84,76.45,76.52,128095.0,76.618,713
22,2024-10-28 15:00:00-04:00,76.51,76.62,76.44,76.51,108518.0,76.533,652
23,2024-10-28 15:15:00-04:00,76.51,76.59,76.36,76.43,118680.0,76.464,752
24,2024-10-28 15:30:00-04:00,76.44,76.66,76.32,76.33,199601.0,76.491,1280
25,2024-10-28 15:45:00-04:00,76.34,76.4,76.07,76.08,494369.0,76.207,3187
26,2024-10-29 09:30:00-04:00,75.39,76.25,75.15,76.03,232162.0,75.715,1099
27,2024-10-29 09:45:00-04:00,76.08,76.24,75.68,75.85,125409.0,75.932,672
28,2024-10-29 10:00:00-04:00,75.83,76.37,75.75,76.2,123535.0,76.112,615
29,2024-10-29 10:15:00-04:00,76.23,76.42,76.11,76.17,113036.0,76.27,694
30,2024-10-29 10:30:00-04:00,76.18,76.23,76.01,76.01,105159.0,76.101,513
31,2024-10-29 10:45:00-04:00,76.03,76.19,75.96,76.11,140438.0,76.076,898
32,2024-10-29 11:00:00-04:00,76.11,76.43,75.95,76.38,188667.0,76.19,1061
33,2024-10-29 11:15:00-04:00,76.35,76.4,75.97,76.21,113955.0,76.178,770
34,2024-10-29 11:30:00-04:00,76.24,76.71,76.16,76.64,113621.0,76.4,746
35,2024-10-29 11:45:00-04:00,76.66,76.69,76.49,76.56,84886.0,76.557,502
36,2024-10-29 12:00:00-04:00,76.56,76.76,76.44,76.5,79471.0,76.615,500
37,2024-10-29 12:15:00-04:00,76.5,76.56,76.39,76.48,87081.0,76.467,491
38,2024-10-29 12:30:00-04:00,76.47,76.72,76.41,76.68,100205.0,76.537,574
39,2024-10-29 12:45:00-04:00,76.68,76.94,76.63,76.93,95643.0,76.807,623
40,2024-10-29 13:00:00-04:00,76.92,77.19,76.92,77.11,180468.0,77.07,837
41,2024-10-29 13:15:00-04:00,77.09,77.37,76.95,77.34,115180.0,77.14,601
42,2024-10-29 13:30:00-04:00,77.36,77.45,77.15,77.32,172207.0,77.334,803
43,2024-10-29 13:45:00-04:00,77.35,77.53,77.28,77.47,98353.0,77.404,502
44,2024-10-29 14:00:00-04:00,77.46,77.58,77.34,77.42,122405.0,77.463,731
45,2024-10-29 14:15:00-04:00,77.42,77.62,77.33,77.62,131923.0,77.462,750
46,2024-10-29 14:30:00-04:00,77.62,77.62,77.35,77.37,92575.0,77.504,604
47,2024-10-29 14:45:00-04:00,77.38,77.5,77.1,77.37,150849.0,77.289,852
48,2024-10-29 15:00:00-04:00,77.37,77.38,77.0,77.06,94382.0,77.178,502
49,2024-10-29 15:15:00-04:00,77.08,77.19,77.03,77.17,68727.0,77.101,479
50,2024-10-29 15:30:00-04:00,77.18,77.34,77.17,77.21,115333.0,77.245,765
51,2024-10-29 15:45:00-04:00,77.2,77.28,76.9,76.94,429456.0,77.024,2868
52,2024-10-30 09:30:00-04:00,76.67,78.24,76.67,78.13,273201.0,77.593,924
53,2024-10-30 09:45:00-04:00,78.08,78.27,77.92,77.99,135202.0,78.097,713
