date,open,high,low,close,volume,average,barCount
2022-11-28 09:30:00-05:00,43.93,43.96,43.6,43.7,327706.0,43.814,1399
2022-11-28 09:45:00-05:00,43.7,43.82,43.39,43.44,280606.0,43.621,968
2022-11-28 10:00:00-05:00,43.44,43.74,43.42,43.6,168515.0,43.608,809
2022-11-28 10:15:00-05:00,43.61,43.87,43.6,43.71,144998.0,43.724,696
2022-11-28 10:30:00-05:00,43.72,43.86,43.64,43.82,167111.0,43.751,642
2022-11-28 10:45:00-05:00,43.82,43.9,43.62,43.65,138536.0,43.799,617
2022-11-28 11:00:00-05:00,43.65,43.72,43.57,43.67,77328.0,43.643,445
2022-11-28 11:15:00-05:00,43.67,43.68,43.58,43.62,83029.0,43.619,498
2022-11-28 11:30:00-05:00,43.63,43.74,43.57,43.58,76963.0,43.675,445
2022-11-28 11:45:00-05:00,43.58,43.68,43.56,43.66,62216.0,43.614,296
2022-11-28 12:00:00-05:00,43.66,43.7,43.47,43.47,97096.0,43.563,427
2022-11-28 12:15:00-05:00,43.47,43.53,43.44,43.5,45410.0,43.494,296
2022-11-28 12:30:00-05:00,43.51,43.65,43.5,43.64,40628.0,43.59,273
2022-11-28 12:45:00-05:00,43.64,43.65,43.45,43.47,70752.0,43.553,412
2022-11-28 13:00:00-05:00,43.47,43.54,43.45,43.53,57726.0,43.487,317
2022-11-28 13:15:00-05:00,43.53,43.55,43.48,43.5,41493.0,43.525,238
2022-11-28 13:30:00-05:00,43.5,43.55,43.43,43.48,43098.0,43.479,277
2022-11-28 13:45:00-05:00,43.48,43.52,43.36,43.38,51268.0,43.424,315
2022-11-28 14:00:00-05:00,43.38,43.42,43.35,43.4,41914.0,43.384,286
2022-11-28 14:15:00-05:00,43.41,43.41,43.31,43.34,41825.0,43.354,301
2022-11-28 14:30:00-05:00,43.34,43.38,43.29,43.3,38477.0,43.344,258
2022-11-28 14:45:00-05:00,43.29,43.33,43.26,43.27,48621.0,43.3,285
2022-11-28 15:00:00-05:00,43.27,43.31,43.16,43.19,89252.0,43.229,505
2022-11-28 15:15:00-05:00,43.2,43.3,43.15,43.18,172222.0,43.23,921
2022-11-28 15:30:00-05:00,43.18,43.21,43.12,43.18,128518.0,43.169,900
2022-11-28 15:45:00-05:00,43.18,43.19,42.99,43.01,1044462.0,43.069,5278
2022-11-29 09:30:00-05:00,42.98,43.34,42.98,43.1,186971.0,43.14,657
2022-11-29 09:45:00-05:00,43.08,43.3,43.05,43.29,114694.0,43.197,593
2022-11-29 10:00:00-05:00,43.29,43.29,43.12,43.14,77636.0,43.202,421
2022-11-29 10:15:00-05:00,43.14,43.36,43.13,43.35,93802.0,43.252,387
2022-11-29 10:30:00-05:00,43.35,43.41,43.23,43.26,108481.0,43.321,388
2022-11-29 10:45:00-05:00,43.26,43.36,43.14,43.31,91781.0,43.264,396
2022-11-29 11:00:00-05:00,43.31,43.36,43.04,43.09,103285.0,43.175,453
2022-11-29 11:15:00-05:00,43.09,43.12,42.96,43.05,102362.0,43.05,657
2022-11-29 11:30:00-05:00,43.05,43.1,43.01,43.05,47109.0,43.072,325
2022-11-29 11:45:00-05:00,43.06,43.27,43.03,43.27,47601.0,43.146,304
2022-11-29 12:00:00-05:00,43.27,43.34,43.23,43.33,69566.0,43.296,368
2022-11-29 12:15:00-05:00,43.32,43.33,43.19,43.23,59315.0,43.261,423
2022-11-29 12:30:00-05:00,43.23,43.33,43.22,43.3,35769.0,43.281,281
2022-11-29 12:45:00-05:00,43.3,43.38,43.24,43.33,52173.0,43.316,279
2022-11-29 13:00:00-05:00,43.34,43.39,43.28,43.37,48715.0,43.33,296
2022-11-29 13:15:00-05:00,43.38,43.39,43.21,43.26,58341.0,43.275,308
2022-11-29 13:30:00-05:00,43.26,43.4,43.26,43.4,45832.0,43.339,327
2022-11-29 13:45:00-05:00,43.39,43.46,43.39,43.4,83334.0,43.423,404
2022-11-29 14:00:00-05:00,43.41,43.66,43.41,43.65,111199.0,43.538,597
2022-11-29 14:15:00-05:00,43.64,43.64,43.51,43.54,76341.0,43.578,456
2022-11-29 14:30:00-05:00,43.54,43.58,43.5,43.57,68191.0,43.546,470
2022-11-29 14:45:00-05:00,43.57,43.68,43.54,43.68,74577.0,43.621,521
2022-11-29 15:00:00-05:00,43.68,43.78,43.67,43.73,149431.0,43.728,695
2022-11-29 15:15:00-05:00,43.74,43.81,43.7,43.75,171641.0,43.757,940
2022-11-29 15:30:00-05:00,43.76,43.84,43.67,43.71,463687.0,43.773,2211
2022-11-29 15:45:00-05:00,43.71,43.77,43.65,43.68,484840.0,43.699,2945
2022-11-30 09:30:00-05:00,43.66,43.87,43.37,43.48,183984.0,43.593,709
2022-11-30 09:45:00-05:00,43.46,43.47,43.14,43.14,113231.0,43.27,634
2022-11-30 10:00:00-05:00,43.13,43.39,43.08,43.39,154930.0,43.227,737
2022-11-30 10:15:00-05:00,43.38,43.39,43.17,43.22,48127.0,43.259,311
2022-11-30 10:30:00-05:00,43.22,43.45,43.15,43.42,138209.0,43.292,604
2022-11-30 10:45:00-05:00,43.41,43.42,43.25,43.3,76567.0,43.329,403
2022-11-30 11:00:00-05:00,43.31,43.47,43.24,43.46,54914.0,43.358,316
2022-11-30 11:15:00-05:00,43.45,43.56,43.35,43.46,91182.0,43.448,456
2022-11-30 11:30:00-05:00,43.47,43.54,43.42,43.51,40239.0,43.466,223
2022-11-30 11:45:00-05:00,43.51,43.54,43.44,43.54,31266.0,43.493,196
2022-11-30 12:00:00-05:00,43.54,43.62,43.51,43.52,74877.0,43.56,336
2022-11-30 12:15:00-05:00,43.52,43.52,43.33,43.4,60126.0,43.408,324
2022-11-30 12:30:00-05:00,43.4,43.53,43.39,43.51,131303.0,43.461,835
2022-11-30 12:45:00-05:00,43.51,43.57,43.39,43.42,54657.0,43.503,413
2022-11-30 13:00:00-05:00,43.41,43.46,43.36,43.37,40154.0,43.422,183
2022-11-30 13:15:00-05:00,43.37,43.39,43.32,43.36,43863.0,43.356,171
2022-11-30 13:30:00-05:00,43.36,43.82,43.29,43.72,204593.0,43.592,1333
2022-11-30 13:45:00-05:00,43.72,43.9,43.56,43.86,76107.0,43.683,455
2022-11-30 14:00:00-05:00,43.87,44.06,43.86,43.95,177641.0,43.99,834
2022-11-30 14:15:00-05:00,43.96,44.1,43.93,43.98,129593.0,44.019,814
2022-11-30 14:30:00-05:00,43.95,43.98,43.74,43.75,121467.0,43.863,482
2022-11-30 14:45:00-05:00,43.76,43.9,43.72,43.8,147583.0,43.814,818
2022-11-30 15:00:00-05:00,43.8,43.96,43.77,43.9,109000.0,43.869,549
2022-11-30 15:15:00-05:00,43.91,44.02,43.89,43.99,123758.0,43.982,715
2022-11-30 15:30:00-05:00,43.98,44.1,43.96,44.01,177112.0,44.037,1041
2022-11-30 15:45:00-05:00,44.01,44.18,43.96,44.16,545150.0,44.075,3591
2022-12-01 09:30:00-05:00,44.3,44.63,44.13,44.17,285454.0,44.311,956
2022-12-01 09:45:00-05:00,44.18,44.35,44.11,44.26,221213.0,44.254,1066
2022-12-01 10:00:00-05:00,44.24,44.37,43.79,43.84,170905.0,44.07,1037
2022-12-01 10:15:00-05:00,43.87,43.91,43.63,43.8,146110.0,43.777,644
2022-12-01 10:30:00-05:00,43.79,43.95,43.68,43.94,208904.0,43.795,841
2022-12-01 10:45:00-05:00,43.93,44.1,43.88,44.0,146689.0,43.99,757
2022-12-01 11:00:00-05:00,44.02,44.03,43.83,43.87,83824.0,43.929,392
2022-12-01 11:15:00-05:00,43.87,43.95,43.78,43.93,78218.0,43.861,429
2022-12-01 11:30:00-05:00,43.94,44.07,43.93,43.97,56250.0,44.005,403
2022-12-01 11:45:00-05:00,43.96,43.97,43.83,43.88,101482.0,43.905,729
2022-12-01 12:00:00-05:00,43.88,43.95,43.81,43.91,59208.0,43.885,436
2022-12-01 12:15:00-05:00,43.92,43.99,43.87,43.96,45431.0,43.934,344
2022-12-01 12:30:00-05:00,43.95,44.02,43.86,43.87,177780.0,43.954,549
2022-12-01 12:45:00-05:00,43.87,43.95,43.78,43.86,84162.0,43.874,360
2022-12-01 13:00:00-05:00,43.86,43.94,43.83,43.84,42682.0,43.876,223
2022-12-01 13:15:00-05:00,43.83,43.83,43.66,43.68,56413.0,43.735,307
2022-12-01 13:30:00-05:00,43.68,43.77,43.66,43.76,53476.0,43.731,280
2022-12-01 13:45:00-05:00,43.76,43.8,43.68,43.74,44951.0,43.734,247
2022-12-01 14:00:00-05:00,43.73,43.83,43.65,43.83,53188.0,43.734,317
2022-12-01 14:15:00-05:00,43.82,43.89,43.77,43.84,51828.0,43.846,360
2022-12-01 14:30:00-05:00,43.84,43.86,43.8,43.84,33785.0,43.837,261
2022-12-01 14:45:00-05:00,43.82,43.93,43.82,43.9,42241.0,43.877,272
2022-12-01 15:00:00-05:00,43.9,43.97,43.86,43.91,61029.0,43.924,378
2022-12-01 15:15:00-05:00,43.91,43.93,43.79,43.84,49546.0,43.851,379
