,date,open,high,low,close,volume,average,barCount
0,2019-11-29,92.8,93.49,92.51,92.8,432059.0,93.002,3098
1,2019-12-02,93.0,93.62,91.44,91.63,1116189.0,92.229,7981
2,2019-12-03,90.6,90.78,88.5,88.87,2121810.0,88.949,14117
3,2019-12-04,89.16,89.81,88.13,88.17,1126328.0,88.925,8138
4,2019-12-05,89.11,89.33,87.6,87.86,873456.0,88.019,6122
5,2019-12-06,88.79,89.5,88.55,88.58,872455.0,88.909,6547
6,2019-12-09,88.48,88.58,87.3,87.61,1489855.0,87.701,9302
7,2019-12-10,87.58,87.92,86.36,86.51,1345531.0,87.017,8870
8,2019-12-11,86.47,87.15,86.08,87.02,1519850.0,86.725,10145
9,2019-12-12,87.7,89.9,87.32,88.47,1879323.0,88.891,12864
10,2019-12-13,88.2,89.43,87.42,87.58,1182092.0,88.014,9048
11,2019-12-16,87.95,89.46,87.95,88.63,1158741.0,88.92,8236
12,2019-12-17,88.58,89.99,88.35,89.36,1128422.0,89.462,8555
13,2019-12-18,89.5,89.98,88.36,88.84,853219.0,88.959,6090
14,2019-12-19,89.28,89.78,89.05,89.22,1186685.0,89.438,8019
15,2019-12-20,89.39,89.9,89.05,89.28,1364945.0,89.486,7814
16,2019-12-23,89.72,90.1,89.28,89.44,989852.0,89.681,7029
17,2019-12-24,89.46,89.63,88.66,89.15,485911.0,88.976,3438
18,2019-12-26,89.3,89.72,88.8,89.26,477267.0,89.211,3273
19,2019-12-27,89.31,89.39,88.01,88.37,898850.0,88.334,6320
20,2019-12-30,88.51,88.86,87.51,87.96,1226394.0,88.018,7445
21,2019-12-31,87.71,88.46,87.71,88.09,1360633.0,88.107,9226
22,2020-01-02,89.57,90.57,89.1,89.74,1717720.0,89.749,11585
23,2020-01-03,86.8,88.16,86.26,87.9,2512486.0,87.344,15406
24,2020-01-06,86.72,88.07,86.65,87.7,1324462.0,87.571,9433
25,2020-01-07,87.41,88.16,86.74,86.77,1254309.0,87.283,8306
26,2020-01-08,86.9,88.45,86.3,87.3,2714785.0,87.401,17193
27,2020-01-09,87.72,88.72,87.5,87.95,1500605.0,88.016,10728
28,2020-01-10,88.01,88.26,86.97,87.31,1186081.0,87.389,8064
29,2020-01-13,87.35,87.67,86.7,86.89,1574659.0,87.062,10104
30,2020-01-14,88.21,89.64,87.71,87.85,1995095.0,88.404,13235
31,2020-01-15,87.61,88.8,87.25,88.29,1219815.0,88.23,8699
32,2020-01-16,88.79,89.72,88.78,89.54,1492633.0,89.343,10843
33,2020-01-17,89.8,90.1,88.96,89.7,2993529.0,89.648,16490
34,2020-01-21,87.88,88.0,84.57,85.79,6968807.0,85.979,36430
35,2020-01-22,86.4,87.57,83.15,83.34,6500761.0,84.981,36383
36,2020-01-23,83.0,85.17,81.06,84.88,4154783.0,83.702,25181
37,2020-01-24,84.31,84.73,80.28,81.9,5124539.0,81.775,30036
38,2020-01-27,77.97,78.46,76.55,77.63,6672341.0,77.784,37206
39,2020-01-28,78.25,78.48,77.0,77.05,5511500.0,77.61,27483
40,2020-01-29,77.4,77.49,75.01,75.21,4293964.0,76.12,24132
41,2020-01-30,74.36,77.98,74.36,77.75,4537058.0,76.351,28491
42,2020-01-31,77.17,77.29,74.52,74.8,3708625.0,75.329,23334
43,2020-02-03,75.54,77.12,74.88,74.91,2662166.0,75.704,16940
44,2020-02-04,76.64,79.53,76.5,78.89,4700240.0,78.507,27333
45,2020-02-05,80.8,82.36,80.05,81.85,4994236.0,81.362,28478
46,2020-02-06,82.4,82.73,79.79,80.5,3362254.0,80.643,20442
47,2020-02-07,80.06,80.24,78.65,79.48,2310324.0,79.379,14898
48,2020-02-10,78.94,79.61,77.78,79.47,2116151.0,78.914,13401
49,2020-02-11,80.02,81.45,79.94,80.53,1958541.0,80.844,13475
50,2020-02-12,81.09,82.6,81.0,82.2,1991477.0,81.974,12957
51,2020-02-13,81.0,81.74,80.37,80.99,2056704.0,80.827,12460
52,2020-02-14,81.02,81.44,79.4,79.55,2040556.0,80.053,12525
53,2020-02-18,79.19,80.63,78.65,80.24,2804280.0,79.807,16901
54,2020-02-19,80.85,80.94,79.19,79.42,2372904.0,79.835,13267
55,2020-02-20,79.2,81.67,79.2,79.91,1899957.0,80.381,13562
56,2020-02-21,79.32,79.4,77.32,78.01,2902423.0,77.975,19180
57,2020-02-24,75.05,76.02,73.65,75.47,4510918.0,75.07,30061
58,2020-02-25,75.76,76.18,70.32,70.57,5346827.0,72.324,35123
59,2020-02-26,71.75,71.91,65.89,66.53,6446815.0,68.019,40716
60,2020-02-27,62.85,69.02,61.2,64.94,7701433.0,65.3,46618
61,2020-02-28,62.85,64.88,60.82,61.59,7151056.0,62.553,42956
62,2020-03-02,61.13,61.27,57.04,61.26,9065393.0,59.22,52681
63,2020-03-03,63.01,63.53,57.96,58.29,6289244.0,60.358,38043
64,2020-03-04,59.49,59.74,56.31,59.47,8119790.0,58.012,45864
65,2020-03-05,57.11,57.16,50.93,51.59,10964320.0,53.901,60307
66,2020-03-06,48.64,56.0,48.26,52.1,13459813.0,53.044,75320
67,2020-03-09,49.55,50.99,45.91,46.78,9678350.0,48.23,56167
68,2020-03-10,51.0,54.33,46.62,52.56,12654342.0,50.724,71480
69,2020-03-11,50.53,51.23,48.05,49.34,8443230.0,49.252,47907
70,2020-03-12,42.77,44.31,37.01,37.08,16307721.0,40.661,75919
71,2020-03-13,41.35,42.49,34.0,41.64,20439233.0,37.852,82854
72,2020-03-16,34.35,39.37,30.38,35.47,24725746.0,34.854,104954
73,2020-03-17,36.48,38.14,30.05,30.67,18008016.0,32.79,79689
74,2020-03-18,28.81,28.97,17.8,21.38,31720608.0,22.308,127402
75,2020-03-19,21.36,23.99,18.09,21.28,28215954.0,21.929,115740
76,2020-03-20,23.35,30.74,22.2,24.5,33239107.0,25.563,123824
77,2020-03-23,25.97,26.6,23.37,26.25,22308666.0,25.253,85532
78,2020-03-24,31.99,34.15,30.01,33.0,27126636.0,32.106,102618
79,2020-03-25,37.95,39.47,33.29,36.6,27319916.0,36.962,108028
80,2020-03-26,38.36,39.78,34.53,35.55,24070206.0,37.329,99194
81,2020-03-27,35.02,35.2,32.03,32.84,15208534.0,33.297,62390
82,2020-03-30,30.48,31.8,28.0,30.16,15901933.0,30.024,62539
83,2020-03-31,31.31,33.61,30.58,31.55,13916589.0,32.132,54616
84,2020-04-01,29.57,29.69,25.36,25.65,23991154.0,26.946,96480
85,2020-04-02,25.38,26.09,23.0,23.42,21862109.0,24.441,85655
86,2020-04-03,24.27,24.94,21.56,22.89,24492018.0,22.669,91990
87,2020-04-06,23.85,24.8,21.8,24.02,27717710.0,23.599,99321
88,2020-04-07,28.2,28.69,23.72,24.48,37643372.0,26.171,143171
89,2020-04-08,25.65,27.54,24.51,27.51,28624032.0,26.521,92130
90,2020-04-09,29.89,34.04,29.57,31.5,47562429.0,31.699,146829
91,2020-04-13,32.63,32.68,27.59,28.91,32050583.0,29.104,105206
92,2020-04-14,30.52,32.21,30.38,30.9,22558761.0,31.186,71760
93,2020-04-15,32.01,32.6,29.88,31.86,41074864.0,31.188,127119
94,2020-04-16,30.42,30.5,27.92,28.21,37924577.0,28.712,123535
95,2020-04-17,29.9,30.11,28.86,29.08,23505790.0,29.358,69813
96,2020-04-20,27.93,28.67,26.69,27.79,32769911.0,27.804,84698
97,2020-04-21,27.01,28.36,26.76,27.88,23804003.0,27.829,64242
98,2020-04-22,27.3,27.66,25.01,25.88,71660678.0,26.208,224971
99,2020-04-23,26.0,26.56,25.66,25.72,29978521.0,26.241,96743
100,2020-04-24,25.99,26.15,24.67,25.56,29433138.0,25.408,97130
101,2020-04-27,25.98,26.34,24.87,25.0,32489045.0,25.634,98270
102,2020-04-28,25.86,28.43,25.5,27.84,53936407.0,27.095,152663
103,2020-04-29,29.58,31.84,29.49,31.21,45782829.0,30.916,132126
104,2020-04-30,29.65,31.07,28.32,29.58,38501165.0,29.63,117071
105,2020-05-01,28.1,29.25,26.13,26.62,42946200.0,27.118,124677
106,2020-05-04,23.91,25.56,22.76,25.26,56375348.0,24.444,147391
107,2020-05-05,26.03,26.35,23.98,24.12,32178547.0,24.947,86817
108,2020-05-06,23.98,24.35,22.38,22.91,38912691.0,23.003,107087
109,2020-05-07,22.96,24.45,22.44,22.75,39904986.0,23.379,113963
