,date,open,high,low,close,volume,average,barCount
0,2018-09-10,87.68,88.45,87.15,88.09,2129955.0,88.043,15771
1,2018-09-11,87.96,89.35,87.83,89.12,1566285.0,88.755,11338
2,2018-09-12,88.9,89.21,87.44,87.8,1568095.0,88.029,11114
3,2018-09-13,87.98,90.2,87.83,89.58,2308584.0,89.603,16157
4,2018-09-14,89.74,90.48,89.49,90.33,1812437.0,90.026,14307
5,2018-09-17,90.5,91.39,89.94,90.16,1267019.0,90.538,8589
6,2018-09-18,89.34,90.53,88.65,90.11,1342466.0,89.945,9999
7,2018-09-19,90.02,90.61,89.18,89.35,1337642.0,89.673,10048
8,2018-09-20,89.84,89.93,88.91,89.12,1692607.0,89.296,13045
9,2018-09-21,89.57,90.25,87.11,89.94,2538435.0,89.752,16262
10,2018-09-24,89.83,89.83,87.02,87.84,2423782.0,87.584,17790
11,2018-09-25,87.83,88.04,86.82,87.92,1420232.0,87.543,10566
12,2018-09-26,88.85,89.46,88.46,88.97,1406679.0,89.057,9427
13,2018-09-27,88.93,89.99,88.24,88.34,1493099.0,88.932,10436
14,2018-09-28,88.33,89.34,88.29,89.06,1390326.0,88.93,9574
15,2018-10-01,89.29,89.58,87.52,87.61,1714639.0,88.288,13018
16,2018-10-02,87.24,87.44,85.84,86.71,2318142.0,86.646,17006
17,2018-10-03,87.02,87.92,86.82,87.39,1390612.0,87.402,10970
18,2018-10-04,87.32,87.76,85.52,86.04,2190848.0,86.057,15427
19,2018-10-05,86.12,86.75,84.02,84.14,3144176.0,84.738,21528
20,2018-10-08,84.07,84.49,82.37,83.68,2093381.0,83.591,14266
21,2018-10-09,83.71,84.41,81.28,81.43,3133181.0,81.812,20938
22,2018-10-10,82.8,82.8,78.87,78.93,3910392.0,79.437,29063
23,2018-10-11,81.09,81.98,78.93,80.12,3730097.0,80.505,27972
24,2018-10-12,81.3,81.47,79.32,80.18,1866367.0,80.184,15761
25,2018-10-15,80.4,81.95,80.1,81.34,2502607.0,81.357,18016
26,2018-10-16,81.6,84.21,81.23,83.52,3589058.0,83.293,26011
27,2018-10-17,88.02,89.48,86.16,88.49,8066925.0,88.134,51806
28,2018-10-18,89.0,89.61,86.52,87.09,3838106.0,87.728,27978
29,2018-10-19,87.26,88.83,87.02,87.43,3502737.0,87.742,25716
30,2018-10-22,87.84,89.23,87.34,88.61,1960580.0,88.475,13584
31,2018-10-23,87.02,87.61,84.43,86.33,3987880.0,85.581,27409
32,2018-10-24,86.07,86.71,81.92,82.19,3950513.0,83.76,29677
33,2018-10-25,82.69,86.27,82.48,85.6,2977629.0,85.279,22869
34,2018-10-26,84.1,85.58,82.84,84.63,2439405.0,84.328,19953
35,2018-10-29,85.98,86.95,83.92,84.99,2356293.0,85.508,19325
36,2018-10-30,84.38,86.25,84.38,85.85,3110258.0,85.332,23916
37,2018-10-31,87.25,87.7,85.37,85.51,2021424.0,86.562,16204
38,2018-11-01,85.62,88.47,85.62,88.04,2435630.0,87.657,17742
39,2018-11-02,88.45,90.28,88.0,88.68,2169140.0,88.94,15658
40,2018-11-05,88.98,89.82,88.28,89.47,1306979.0,89.302,9509
41,2018-11-06,89.69,90.25,88.83,89.64,1415275.0,89.629,10613
42,2018-11-07,90.22,92.33,89.65,92.16,2581876.0,91.723,19211
43,2018-11-08,92.09,92.85,91.53,92.56,1910193.0,92.322,12963
44,2018-11-09,92.41,93.6,91.74,92.35,2107263.0,92.479,15434
45,2018-11-12,92.36,92.69,91.03,91.2,2105858.0,91.724,15653
46,2018-11-13,91.63,93.38,91.63,92.6,2494881.0,92.644,16766
47,2018-11-14,93.03,93.47,91.38,91.79,1654903.0,92.401,12617
48,2018-11-15,91.39,92.66,89.02,91.98,2987492.0,90.945,20664
49,2018-11-16,91.84,92.6,90.07,92.26,1969183.0,91.581,15138
50,2018-11-19,92.32,92.95,91.16,92.09,1891919.0,92.093,15000
51,2018-11-20,91.2,92.79,90.45,91.77,2353106.0,91.989,17961
52,2018-11-21,91.92,93.38,91.82,92.86,2172716.0,92.936,15721
53,2018-11-23,93.27,95.08,92.79,94.84,2259169.0,94.36,15670
54,2018-11-26,95.56,95.81,91.73,91.75,2545383.0,92.997,18418
55,2018-11-27,92.35,94.2,92.12,93.38,3196350.0,93.181,23277
56,2018-11-28,93.71,94.72,93.42,94.48,1908851.0,94.342,14481
57,2018-11-29,94.04,95.45,94.03,95.07,2541915.0,94.976,17790
58,2018-11-30,94.9,96.8,94.9,96.7,2322664.0,96.155,16262
59,2018-12-03,97.67,97.85,95.96,96.46,1720891.0,96.768,12121
