,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,185.82,185.82,184.73,184.73,5852.0,185.303,32
1,2024-10-10 09:45:00-04:00,184.77,185.36,184.77,184.93,3843.0,185.114,32
2,2024-10-10 10:00:00-04:00,184.93,185.87,184.76,185.73,5125.0,185.367,44
3,2024-10-10 10:15:00-04:00,185.61,185.76,185.01,185.16,11030.0,185.452,67
4,2024-10-10 10:30:00-04:00,185.2,185.2,184.98,184.98,2573.0,185.082,18
5,2024-10-10 10:45:00-04:00,184.98,185.18,184.91,185.06,7349.0,185.021,66
6,2024-10-10 11:00:00-04:00,185.09,185.54,184.97,185.42,4400.0,185.314,40
7,2024-10-10 11:15:00-04:00,185.61,185.65,185.27,185.37,6941.0,185.49,63
8,2024-10-10 11:30:00-04:00,185.46,186.17,185.44,186.04,4963.0,185.836,43
9,2024-10-10 11:45:00-04:00,185.96,186.04,185.9,185.92,2694.0,185.959,13
10,2024-10-10 12:00:00-04:00,186.0,186.42,186.0,186.42,900.0,186.099,8
11,2024-10-10 12:15:00-04:00,186.32,186.32,186.14,186.14,735.0,186.221,7
12,2024-10-10 12:30:00-04:00,186.15,186.15,185.56,185.58,7630.0,185.911,56
13,2024-10-10 12:45:00-04:00,185.63,185.89,185.6,185.89,1794.0,185.725,15
14,2024-10-10 13:00:00-04:00,185.74,185.83,185.55,185.67,4117.0,185.733,36
15,2024-10-10 13:15:00-04:00,185.56,185.78,185.38,185.77,3935.0,185.552,38
16,2024-10-10 13:30:00-04:00,185.87,186.1,185.55,185.69,5300.0,185.843,46
17,2024-10-10 13:45:00-04:00,185.65,185.65,185.23,185.46,1977.0,185.431,17
18,2024-10-10 14:00:00-04:00,185.58,185.58,185.33,185.37,2400.0,185.397,17
19,2024-10-10 14:15:00-04:00,185.34,185.72,185.33,185.59,8049.0,185.525,62
20,2024-10-10 14:30:00-04:00,185.53,185.65,185.31,185.61,4496.0,185.542,36
21,2024-10-10 14:45:00-04:00,185.61,185.77,185.61,185.74,7058.0,185.7,44
22,2024-10-10 15:00:00-04:00,185.76,186.11,185.76,186.06,5792.0,185.936,48
23,2024-10-10 15:15:00-04:00,186.06,186.66,185.94,186.52,17252.0,186.357,127
24,2024-10-10 15:30:00-04:00,186.59,186.79,186.53,186.78,7975.0,186.654,63
25,2024-10-10 15:45:00-04:00,186.82,187.24,186.75,186.86,53537.0,186.981,379
26,2024-10-11 09:30:00-04:00,187.34,187.34,186.52,186.88,5844.0,187.164,19
27,2024-10-11 09:45:00-04:00,187.03,187.03,186.26,186.45,5239.0,186.546,44
28,2024-10-11 10:00:00-04:00,186.45,186.55,185.99,186.19,4526.0,186.306,27
29,2024-10-11 10:15:00-04:00,186.4,186.65,186.38,186.65,2009.0,186.559,18
30,2024-10-11 10:30:00-04:00,186.66,186.98,186.53,186.77,3509.0,186.784,24
31,2024-10-11 10:45:00-04:00,186.91,187.24,186.91,186.93,3039.0,187.052,29
32,2024-10-11 11:00:00-04:00,187.02,187.46,186.87,187.45,5438.0,187.239,30
33,2024-10-11 11:15:00-04:00,187.41,187.53,187.0,187.01,6590.0,187.25,50
34,2024-10-11 11:30:00-04:00,187.02,187.11,186.84,187.0,1925.0,186.984,18
35,2024-10-11 11:45:00-04:00,187.0,187.64,187.0,187.47,8218.0,187.333,64
36,2024-10-11 12:00:00-04:00,187.64,187.82,187.44,187.45,13523.0,187.599,100
37,2024-10-11 12:15:00-04:00,187.31,187.59,187.08,187.59,3800.0,187.315,34
38,2024-10-11 12:30:00-04:00,187.43,187.56,187.37,187.37,3093.0,187.471,26
39,2024-10-11 12:45:00-04:00,187.46,187.86,187.36,187.83,4347.0,187.6,40
40,2024-10-11 13:00:00-04:00,187.96,188.32,187.77,187.9,11099.0,187.979,86
41,2024-10-11 13:15:00-04:00,187.88,188.0,187.75,187.88,6019.0,187.88,34
42,2024-10-11 13:30:00-04:00,187.77,187.88,187.59,187.82,8185.0,187.772,60
43,2024-10-11 13:45:00-04:00,187.84,188.02,187.79,187.83,7219.0,187.909,55
44,2024-10-11 14:00:00-04:00,187.85,187.92,187.77,187.85,2820.0,187.86,24
45,2024-10-11 14:15:00-04:00,187.86,187.96,187.58,187.63,6308.0,187.777,60
46,2024-10-11 14:30:00-04:00,187.57,187.76,187.29,187.73,7022.0,187.493,64
47,2024-10-11 14:45:00-04:00,187.79,188.29,187.78,188.18,8865.0,188.081,64
48,2024-10-11 15:00:00-04:00,188.21,188.39,188.18,188.38,7280.0,188.301,64
49,2024-10-11 15:15:00-04:00,188.42,188.44,188.25,188.28,5164.0,188.334,50
50,2024-10-11 15:30:00-04:00,188.3,188.37,188.08,188.25,14471.0,188.261,118
51,2024-10-11 15:45:00-04:00,188.25,188.27,187.84,188.03,48945.0,188.033,393
52,2024-10-14 09:30:00-04:00,188.54,188.84,187.62,188.33,4785.0,188.269,19
53,2024-10-14 09:45:00-04:00,188.18,188.51,187.95,188.47,2105.0,188.326,20
54,2024-10-14 10:00:00-04:00,188.57,188.83,188.56,188.83,3345.0,188.656,24
55,2024-10-14 10:15:00-04:00,188.79,189.46,188.79,188.83,11066.0,189.155,44
56,2024-10-14 10:30:00-04:00,188.83,189.3,188.83,189.23,2533.0,189.186,18
57,2024-10-14 10:45:00-04:00,189.26,189.26,188.92,188.94,3200.0,189.099,29
58,2024-10-14 11:00:00-04:00,188.98,189.23,188.82,189.07,4366.0,188.944,40
59,2024-10-14 11:15:00-04:00,189.01,189.13,188.85,189.0,7862.0,189.068,78
60,2024-10-14 11:30:00-04:00,189.0,189.25,188.92,189.25,10300.0,189.074,63
61,2024-10-14 11:45:00-04:00,189.23,189.33,189.15,189.31,3366.0,189.262,30
62,2024-10-14 12:00:00-04:00,189.31,189.32,188.76,188.76,4341.0,189.115,40
63,2024-10-14 12:15:00-04:00,188.75,189.23,188.75,189.23,3260.0,188.964,32
64,2024-10-14 12:30:00-04:00,189.19,189.22,188.96,188.96,2327.0,189.111,23
65,2024-10-14 12:45:00-04:00,188.86,188.98,188.77,188.81,2000.0,188.85,20
66,2024-10-14 13:00:00-04:00,188.82,188.82,188.48,188.48,5267.0,188.658,45
67,2024-10-14 13:15:00-04:00,188.47,188.5,188.27,188.39,3551.0,188.383,25
68,2024-10-14 13:30:00-04:00,188.3,188.3,187.93,187.93,5316.0,188.104,42
69,2024-10-14 13:45:00-04:00,188.03,188.08,187.93,188.03,1459.0,188.017,11
70,2024-10-14 14:00:00-04:00,187.93,188.42,187.91,188.14,7773.0,188.042,61
71,2024-10-14 14:15:00-04:00,188.22,188.56,188.22,188.56,3345.0,188.372,30
72,2024-10-14 14:30:00-04:00,188.63,188.96,188.62,188.77,5932.0,188.787,44
73,2024-10-14 14:45:00-04:00,188.69,188.76,188.53,188.63,4600.0,188.633,40
74,2024-10-14 15:00:00-04:00,188.64,188.73,188.45,188.45,1440.0,188.635,14
75,2024-10-14 15:15:00-04:00,188.44,188.59,188.26,188.36,15263.0,188.42,137
76,2024-10-14 15:30:00-04:00,188.21,188.28,187.95,188.16,13053.0,188.135,119
77,2024-10-14 15:45:00-04:00,188.16,188.63,188.09,188.42,44773.0,188.404,380
78,2024-10-15 09:30:00-04:00,188.05,189.92,188.05,189.21,11109.0,188.578,36
79,2024-10-15 09:45:00-04:00,189.33,190.0,189.08,189.99,10136.0,189.715,74
80,2024-10-15 10:00:00-04:00,189.99,189.99,188.92,189.92,6340.0,189.571,49
81,2024-10-15 10:15:00-04:00,189.9,190.98,189.89,190.52,10143.0,190.365,62
82,2024-10-15 10:30:00-04:00,190.53,190.67,190.27,190.28,8328.0,190.519,61
83,2024-10-15 10:45:00-04:00,190.22,190.5,189.86,190.19,5987.0,190.152,49
84,2024-10-15 11:00:00-04:00,190.29,190.85,190.29,190.53,5494.0,190.602,38
85,2024-10-15 11:15:00-04:00,190.71,191.08,190.36,190.37,8490.0,190.625,49
86,2024-10-15 11:30:00-04:00,190.2,190.69,189.98,190.44,4871.0,190.306,39
87,2024-10-15 11:45:00-04:00,190.44,190.45,189.96,190.02,7010.0,190.286,36
88,2024-10-15 12:00:00-04:00,190.28,190.8,190.18,190.67,5694.0,190.509,44
89,2024-10-15 12:15:00-04:00,190.53,190.7,190.47,190.56,3333.0,190.619,27
90,2024-10-15 12:30:00-04:00,190.46,190.62,189.9,189.9,6925.0,190.444,55
