,date,open,high,low,close,volume,average,barCount
0,2024-10-24 09:30:00-04:00,82.96,83.09,82.58,82.76,1040806.0,82.855,3261
1,2024-10-24 09:45:00-04:00,82.75,83.03,82.74,82.97,246220.0,82.927,1599
2,2024-10-24 10:00:00-04:00,82.97,83.15,82.95,82.96,366540.0,83.038,2214
3,2024-10-24 10:15:00-04:00,82.97,83.04,82.88,83.02,283151.0,82.963,1846
4,2024-10-24 10:30:00-04:00,83.02,83.18,82.94,83.15,272758.0,83.076,1718
5,2024-10-24 10:45:00-04:00,83.14,83.27,82.99,83.24,279499.0,83.166,1841
6,2024-10-24 11:00:00-04:00,83.23,83.25,83.01,83.12,217119.0,83.116,1284
7,2024-10-24 11:15:00-04:00,83.12,83.19,83.05,83.17,165463.0,83.12,1008
8,2024-10-24 11:30:00-04:00,83.17,83.19,83.06,83.08,123552.0,83.137,719
9,2024-10-24 11:45:00-04:00,83.09,83.11,82.95,83.03,165281.0,83.023,755
10,2024-10-24 12:00:00-04:00,83.03,83.07,82.92,82.92,162571.0,83.012,969
11,2024-10-24 12:15:00-04:00,82.92,83.0,82.89,82.98,139751.0,82.938,642
12,2024-10-24 12:30:00-04:00,82.98,83.05,82.97,83.01,87490.0,83.011,481
13,2024-10-24 12:45:00-04:00,83.0,83.13,83.0,83.11,112883.0,83.086,547
14,2024-10-24 13:00:00-04:00,83.11,83.23,83.08,83.23,137164.0,83.179,729
15,2024-10-24 13:15:00-04:00,83.22,83.26,83.2,83.23,127849.0,83.231,808
16,2024-10-24 13:30:00-04:00,83.23,83.26,83.17,83.25,142128.0,83.213,765
17,2024-10-24 13:45:00-04:00,83.24,83.3,83.18,83.19,135409.0,83.239,641
18,2024-10-24 14:00:00-04:00,83.19,83.25,83.08,83.23,205556.0,83.149,1076
19,2024-10-24 14:15:00-04:00,83.23,83.32,83.21,83.23,155611.0,83.263,902
20,2024-10-24 14:30:00-04:00,83.24,83.25,83.11,83.16,219406.0,83.177,1188
21,2024-10-24 14:45:00-04:00,83.16,83.23,83.06,83.06,231318.0,83.145,1257
22,2024-10-24 15:00:00-04:00,83.06,83.22,83.03,83.17,266205.0,83.104,1392
23,2024-10-24 15:15:00-04:00,83.18,83.2,83.09,83.1,203144.0,83.158,1215
24,2024-10-24 15:30:00-04:00,83.11,83.14,83.02,83.06,309119.0,83.08,1602
25,2024-10-24 15:45:00-04:00,83.06,83.12,83.0,83.06,993366.0,83.057,5240
26,2024-10-25 09:30:00-04:00,83.2,83.3,82.76,82.8,618302.0,83.057,2396
27,2024-10-25 09:45:00-04:00,82.8,82.98,82.52,82.93,511625.0,82.754,2303
