date,open,high,low,close,volume,average,barCount
2022-11-25 09:30:00-05:00,50.71,50.95,50.67,50.75,893271.0,50.776,1287
2022-11-25 09:45:00-05:00,50.75,50.82,50.67,50.7,538911.0,50.74033333333333,1089
2022-11-25 10:00:00-05:00,50.71,50.77,50.62,50.65,322002.0,50.699,722
2022-11-25 10:15:00-05:00,50.65,50.79,50.64,50.69,346329.0,50.71833333333333,719
2022-11-25 10:30:00-05:00,50.69,50.74,50.66,50.66,362862.0,50.68733333333333,815
2022-11-25 10:45:00-05:00,50.67,50.75,50.66,50.72,265107.0,50.71366666666667,582
2022-11-25 11:00:00-05:00,50.72,50.81,50.69,50.76,333141.0,50.754,698
2022-11-25 11:15:00-05:00,50.77,50.8,50.72,50.77,267057.0,50.764,624
2022-11-25 11:30:00-05:00,50.77,50.79,50.7,50.75,349686.0,50.74433333333333,767
2022-11-25 11:45:00-05:00,50.75,50.8,50.73,50.78,235347.0,50.767,598
2022-11-25 12:00:00-05:00,50.77,50.85,50.73,50.82,333990.0,50.78966666666667,739
2022-11-25 12:15:00-05:00,50.83,50.91,50.82,50.88,345075.0,50.863,787
2022-11-25 12:30:00-05:00,50.88,50.94,50.83,50.86,383574.0,50.878,852
2022-11-25 12:45:00-05:00,50.85,51.03,50.84,51.01,809712.0,50.93733333333333,1860
2022-11-28 09:30:00-05:00,50.91,51.55,50.91,51.47,1248303.0,51.25733333333333,1984
2022-11-28 09:45:00-05:00,51.47,51.5,51.21,51.28,463008.0,51.34633333333333,1114
2022-11-28 10:00:00-05:00,51.27,51.3,51.12,51.25,584589.0,51.214,1430
2022-11-28 10:15:00-05:00,51.25,51.29,51.09,51.13,537381.0,51.20366666666667,1315
2022-11-28 10:30:00-05:00,51.14,51.21,51.09,51.15,333243.0,51.15266666666667,875
2022-11-28 10:45:00-05:00,51.14,51.17,51.02,51.07,431790.0,51.08533333333333,1165
2022-11-28 11:00:00-05:00,51.06,51.12,51.01,51.12,299388.0,51.068,796
2022-11-28 11:15:00-05:00,51.11,51.17,51.09,51.12,367254.0,51.12766666666667,852
2022-11-28 11:30:00-05:00,51.12,51.23,51.12,51.21,263952.0,51.19066666666667,625
2022-11-28 11:45:00-05:00,51.21,51.27,51.21,51.25,213228.0,51.242,475
2022-11-28 12:00:00-05:00,51.25,51.3,51.15,51.2,232665.0,51.229,584
2022-11-28 12:15:00-05:00,51.2,51.31,51.19,51.3,195273.0,51.268,485
2022-11-28 12:30:00-05:00,51.3,51.37,51.28,51.29,246540.0,51.32033333333333,560
2022-11-28 12:45:00-05:00,51.29,51.31,51.21,51.26,184086.0,51.26166666666667,465
2022-11-28 13:00:00-05:00,51.26,51.26,51.17,51.23,251808.0,51.22966666666667,462
2022-11-28 13:15:00-05:00,51.24,51.25,51.2,51.23,205917.0,51.22266666666667,524
2022-11-28 13:30:00-05:00,51.22,51.27,51.16,51.16,217566.0,51.22433333333333,526
2022-11-28 13:45:00-05:00,51.16,51.21,51.09,51.11,375024.0,51.159,875
2022-11-28 14:00:00-05:00,51.11,51.17,51.09,51.16,272037.0,51.135,739
2022-11-28 14:15:00-05:00,51.16,51.23,51.15,51.18,255387.0,51.181,683
2022-11-28 14:30:00-05:00,51.18,51.24,51.18,51.21,272919.0,51.20433333333333,716
2022-11-28 14:45:00-05:00,51.21,51.22,51.14,51.15,483063.0,51.194,758
2022-11-28 15:00:00-05:00,51.15,51.16,51.04,51.06,339888.0,51.09233333333333,812
2022-11-28 15:15:00-05:00,51.06,51.13,51.01,51.03,512142.0,51.07,1087
2022-11-28 15:30:00-05:00,51.03,51.22,51.03,51.2,863103.0,51.16233333333333,1715
2022-11-28 15:45:00-05:00,51.2,51.22,51.09,51.16,1249857.0,51.159,2659
2022-11-29 09:30:00-05:00,51.01,51.15,50.86,50.98,827205.0,51.02,1058
2022-11-29 09:45:00-05:00,50.98,51.03,50.86,51.0,538548.0,50.94866666666667,899
2022-11-29 10:00:00-05:00,50.99,51.07,50.93,51.06,358101.0,51.014,621
2022-11-29 10:15:00-05:00,51.05,51.1,50.97,51.08,345528.0,51.04033333333333,721
2022-11-29 10:30:00-05:00,51.08,51.14,51.03,51.13,478428.0,51.087,1010
2022-11-29 10:45:00-05:00,51.13,51.14,51.01,51.04,256446.0,51.06733333333333,651
2022-11-29 11:00:00-05:00,51.03,51.04,50.89,50.97,508134.0,50.98933333333333,814
2022-11-29 11:15:00-05:00,50.95,50.98,50.88,50.92,364716.0,50.925,497
2022-11-29 11:30:00-05:00,50.92,51.02,50.91,51.01,220761.0,50.98633333333333,519
2022-11-29 11:45:00-05:00,51.01,51.11,50.99,51.08,316920.0,51.059,628
2022-11-29 12:00:00-05:00,51.08,51.1,51.03,51.09,133662.0,51.071,299
2022-11-29 12:15:00-05:00,51.09,51.17,51.01,51.16,336165.0,51.10366666666667,599
2022-11-29 12:30:00-05:00,51.16,51.23,51.12,51.22,250626.0,51.17866666666667,455
2022-11-29 12:45:00-05:00,51.22,51.22,51.15,51.19,141681.0,51.18,341
2022-11-29 13:00:00-05:00,51.18,51.24,51.17,51.22,135165.0,51.20266666666667,310
2022-11-29 13:15:00-05:00,51.23,51.23,51.15,51.16,184110.0,51.19,414
2022-11-29 13:30:00-05:00,51.15,51.22,51.14,51.16,146799.0,51.179,283
2022-11-29 13:45:00-05:00,51.16,51.17,51.08,51.13,132006.0,51.124,315
2022-11-29 14:00:00-05:00,51.13,51.22,51.12,51.15,158457.0,51.181,373
2022-11-29 14:15:00-05:00,51.15,51.17,51.05,51.07,168207.0,51.11233333333333,360
2022-11-29 14:30:00-05:00,51.06,51.07,50.98,50.98,212946.0,51.024,490
2022-11-29 14:45:00-05:00,50.98,51.06,50.98,51.06,193269.0,51.014,450
2022-11-29 15:00:00-05:00,51.05,51.06,50.96,50.98,214191.0,51.01133333333333,478
2022-11-29 15:15:00-05:00,50.99,51.0,50.92,50.93,317583.0,50.96033333333333,725
2022-11-29 15:30:00-05:00,50.92,50.95,50.85,50.91,748635.0,50.90133333333333,1507
2022-11-29 15:45:00-05:00,50.91,51.0,50.9,50.98,1030497.0,50.946,2199
2022-11-30 09:30:00-05:00,50.87,50.92,50.6,50.75,841683.0,50.77666666666667,1434
2022-11-30 09:45:00-05:00,50.75,50.92,50.68,50.75,416727.0,50.797,940
2022-11-30 10:00:00-05:00,50.75,50.79,50.66,50.76,282147.0,50.72466666666667,677
2022-11-30 10:15:00-05:00,50.75,50.75,50.6,50.64,303474.0,50.65466666666667,544
2022-11-30 10:30:00-05:00,50.65,50.71,50.62,50.69,246657.0,50.664,462
2022-11-30 10:45:00-05:00,50.69,50.69,50.59,50.66,331878.0,50.63466666666667,651
2022-11-30 11:00:00-05:00,50.67,50.77,50.66,50.71,406938.0,50.72033333333333,763
2022-11-30 11:15:00-05:00,50.71,50.76,50.66,50.67,263070.0,50.71233333333333,555
2022-11-30 11:30:00-05:00,50.68,50.71,50.65,50.69,126660.0,50.679,308
2022-11-30 11:45:00-05:00,50.68,50.72,50.61,50.63,208647.0,50.653,491
2022-11-30 12:00:00-05:00,50.63,50.63,50.54,50.57,210294.0,50.58366666666667,476
2022-11-30 12:15:00-05:00,50.56,50.57,50.45,50.45,328734.0,50.50266666666667,640
2022-11-30 12:30:00-05:00,50.45,50.49,50.43,50.49,272721.0,50.46066666666667,555
2022-11-30 12:45:00-05:00,50.47,50.48,50.4,50.41,242118.0,50.433,543
2022-11-30 13:00:00-05:00,50.4,50.49,50.4,50.48,228183.0,50.453,576
2022-11-30 13:15:00-05:00,50.47,50.49,50.44,50.44,209679.0,50.46866666666667,458
2022-11-30 13:30:00-05:00,50.44,50.72,50.4,50.64,914091.0,50.59033333333333,1765
2022-11-30 13:45:00-05:00,50.65,50.75,50.52,50.73,437853.0,50.65666666666667,977
2022-11-30 14:00:00-05:00,50.75,50.78,50.58,50.66,623085.0,50.67966666666667,1278
2022-11-30 14:15:00-05:00,50.66,50.77,50.64,50.7,677742.0,50.704,1433
2022-11-30 14:30:00-05:00,50.71,50.73,50.58,50.6,468135.0,50.66766666666667,1089
2022-11-30 14:45:00-05:00,50.6,50.71,50.6,50.7,575937.0,50.65066666666667,1242
2022-11-30 15:00:00-05:00,50.7,50.81,50.7,50.77,642315.0,50.76333333333333,1345
2022-11-30 15:15:00-05:00,50.77,50.86,50.75,50.83,996288.0,50.79766666666667,2128
2022-11-30 15:30:00-05:00,50.82,50.87,50.77,50.81,1148538.0,50.81733333333333,2202
2022-11-30 15:45:00-05:00,50.81,50.9,50.67,50.75,3845169.0,50.75266666666667,7267
2022-12-01 09:30:00-05:00,50.68,50.68,50.28,50.47,1623660.0,50.50866666666667,2401
2022-12-01 09:45:00-05:00,50.49,50.55,50.34,50.48,735585.0,50.44766666666667,1766
2022-12-01 10:00:00-05:00,50.48,50.53,50.24,50.29,798435.0,50.334,1785
2022-12-01 10:15:00-05:00,50.29,50.49,50.28,50.39,390486.0,50.38633333333333,944
2022-12-01 10:30:00-05:00,50.39,50.46,50.25,50.44,559173.0,50.336,1202
2022-12-01 10:45:00-05:00,50.44,50.53,50.39,50.52,507840.0,50.494,1206
2022-12-01 11:00:00-05:00,50.52,50.58,50.47,50.51,434424.0,50.52133333333333,951
2022-12-01 11:15:00-05:00,50.52,50.59,50.43,50.52,346116.0,50.52633333333333,698
2022-12-01 11:30:00-05:00,50.53,50.7,50.53,50.67,767919.0,50.636,933
2022-12-01 11:45:00-05:00,50.67,50.72,50.6,50.67,411045.0,50.65766666666667,803
2022-12-01 12:00:00-05:00,50.67,50.69,50.59,50.68,324846.0,50.64166666666667,687
2022-12-01 12:15:00-05:00,50.67,50.83,50.66,50.82,427773.0,50.72366666666667,678
2022-12-01 12:30:00-05:00,50.81,50.95,50.81,50.94,356055.0,50.88733333333333,801
2022-12-01 12:45:00-05:00,50.94,50.97,50.87,50.96,309702.0,50.92533333333333,651
2022-12-01 13:00:00-05:00,50.95,51.01,50.95,50.97,292773.0,50.97666666666667,640
